sen_str,swapped_sen_str,leaf_rule
"Le desfăcu șireturile , să încapă mai multe lucruri , apoi , înainte de a adormi , se închină .","Le șireturile desfăcu , să încapă mai multe lucruri , apoi , înainte de a adormi , se închină .",[0] -> [12] -> [13] -> [14]
Studiul arată că nucile pot constitui o opțiune alimentară pentru persoanele diagnosticate cu diabetul de tip 2 și care doresc să reducă consumul de carbohidrați .,Studiul arată că nucile pot o opțiune alimentară pentru persoanele diagnosticate cu diabetul de tip 2 constitui și care doresc să reducă consumul de carbohidrați .,[0] -> [12] -> [13] -> [14]
"La 28 iunie 2000 , Comisia a organizat o întâlnire consultativă privind regulamentul cu părțile interesate , inclusiv cu reprezentanți ai sectorului asigurărilor și ai autorităților naționale în materie de concurență .","La 28 iunie 2000 , Comisia a o întâlnire consultativă privind regulamentul cu părțile interesate , inclusiv cu reprezentanți ai sectorului asigurărilor și ai autorităților naționale în materie de concurență organizat .",[0] -> [12] -> [13] -> [14]
""" ( 5 ) La articolul 6 , alineatul ( 1 ) se înlocuiește cu următorul text : "" ( 1 ) Produsele hormonale și substanțele beta- agoniste a căror administrare la animalele de fermă este autorizată în conformitate cu articolele 4 , 5 sau 5a trebuie să îndeplinească cerințele prevăzute în Directiva 2001 / 82 / CE .",""" ( 5 ) La articolul 6 , alineatul ( 1 ) se înlocuiește cu următorul text : "" ( 1 ) Produsele hormonale și substanțele beta- agoniste a căror administrare la animalele de fermă este autorizată în conformitate cu articolele 4 , 5 sau 5a trebuie să cerințele prevăzute în Directiva 2001 / 82 / CE îndeplinească .",[0] -> [12] -> [13] -> [14]
"Rimbaud invita poetul modern să viziteze nevăzutul , neauzitul , nepipăitul și nemirosibilul pentru a putea reinventa poezia .","Rimbaud poetul modern invita să viziteze nevăzutul , neauzitul , nepipăitul și nemirosibilul pentru a putea reinventa poezia .",[0] -> [12] -> [13] -> [14]
"Premierul ungar , Ferenc Gyurcsany , a prezentat scuze pentru reprimarea sângeroasă a revoluției din 1956 , îndreptată împotriva dominației sovietice .","Premierul ungar , Ferenc Gyurcsany , a scuze prezentat pentru reprimarea sângeroasă a revoluției din 1956 , îndreptată împotriva dominației sovietice .",[0] -> [12] -> [13] -> [14]
"La expirarea termenului limită până la care coloniștii evrei puteau pleca voluntar din Fâșia Gaza , doar 60% dintre aceștia părăsiseră zona , astfel încât armata și poliția au început evacuarea forțată .","La expirarea termenului limită până la care coloniștii evrei puteau pleca voluntar din Fâșia Gaza , doar 60% dintre aceștia zona părăsiseră , astfel încât armata și poliția au început evacuarea forțată .",[0] -> [12] -> [13] -> [14]
"Datele de epidemiologie la populația peste 65 de ani sunt completate de trei studii dedicate unui studiu de cohortă multicentric din SUA ( Cardiovascular Health Study ) , un studiu populațional din vestul Franței și un studiu amplu din Norvegia ( citat de Rosendhal-4 ) , care afirmă o incidență similară de 43163 / 1 pacienți .","Datele de epidemiologie la populația peste 65 de ani sunt completate de trei studii dedicate unui studiu de cohortă multicentric din SUA ( Cardiovascular Health Study ) , un studiu populațional din vestul Franței și un studiu amplu din Norvegia ( citat de Rosendhal-4 ) , care o incidență similară de 43163 / 1 pacienți afirmă .",[0] -> [12] -> [13] -> [14]
Armatorul garantează marinarilor locali îmbarcați condiții de trai și de muncă la bord similare cu cele de care beneficiază marinarii din CE .,Armatorul condiții de trai și de muncă la bord similare cu cele de care beneficiază marinarii din CE garantează marinarilor locali îmbarcați .,[0] -> [12] -> [13] -> [14]
Cercetătorii au urmărit în mod special factorii de risc – un grup de factori de risc care determină riscul general de îmbolnăvire cu diabet de tip 2 și cu boli cardiovasculare în cazul unei persoane .,Cercetătorii au factorii de risc – un grup de factori de risc care determină riscul general de îmbolnăvire cu diabet de tip 2 în cazul unei persoane urmărit în mod special și cu boli cardiovasculare .,[0] -> [12] -> [13] -> [14]
