sen_str,swapped_sen_str,leaf_rule
Sáttmálinn opnaði nýjar hafnir fyrir viðskiptum og gerði útlendingum kleift að ferðast inni í landinu .,Sáttmálinn opnaði nýjar hafnir fyrir viðskiptum og útlendingum gerði kleift að ferðast inni í landinu .,[0] -> [2] -> [3] -> [4]
"Þannig var maður á munnlegu prófi hjá Kristjáni Árnasyni spurður á þann hátt út í efni Ilionskviðu að ljóst væri að maður hefði ekki bara skautað yfir það helsta eða lesið endursagnir af köflunum , heldur tileinkað sér líka öll smáatriði .","Þannig var maður á munnlegu prófi hjá Kristjáni Árnasyni spurður á þann hátt út í efni Ilionskviðu að ljóst væri að maður hefði ekki bara skautað yfir það helsta eða lesið endursagnir af köflunum , heldur sér tileinkað líka öll smáatriði .",[0] -> [2] -> [3] -> [4]
Það sem gerði þá ákvörðun erfiða var sú staðreynd að Till var búinn að eignast dóttur sem hann þurfti að skilja eftir .,Það sem erfiða gerði þá ákvörðun var sú staðreynd að Till var búinn að eignast dóttur sem hann þurfti að skilja eftir .,[0] -> [2] -> [3] -> [4]
"Keri-Lynn Wilson er af íslenskum og úkraínskum ættum í Winnipeg í Kanada , menntuð sem flautuleikari og hljómsveitarstjóri frá Juilliard í New York og hefur getið sér gott orð fyrir störf sín vítt og breitt um tónlistarheiminn .","Keri-Lynn Wilson er af íslenskum og úkraínskum ættum í Winnipeg í Kanada , menntuð sem flautuleikari og hljómsveitarstjóri frá Juilliard í New York og hefur sér getið gott orð fyrir störf sín vítt og breitt um tónlistarheiminn .",[0] -> [2] -> [3] -> [4]
Manchester City fékk einu stigi meira en Liverpool og tryggði sér enska meistaratitilinn annað árið í röð .,Manchester City fékk einu stigi meira en Liverpool og sér tryggði enska meistaratitilinn annað árið í röð .,[0] -> [2] -> [3] -> [4]
"Við gáfum okkur mikinn tíma í að finna hina fullkomnu karamellufreistingu , sem okkur tóks svo sannarlega vel til , segir Silja Mist Sigurkarlsdóttir vörumerkjastjóri hjá Nóa Síríus .","Við okkur gáfum mikinn tíma í að finna hina fullkomnu karamellufreistingu , sem okkur tóks svo sannarlega vel til , segir Silja Mist Sigurkarlsdóttir vörumerkjastjóri hjá Nóa Síríus .",[0] -> [2] -> [3] -> [4]
Þá kosti tafir á umferð á höfuðborgarsvæðinu þjóðarbúið orðið milljarða ár hvert .,Þá þjóðarbúið kosti tafir á umferð á höfuðborgarsvæðinu orðið milljarða ár hvert .,[0] -> [2] -> [3] -> [4]
Það er því dásamlegt að geta bjargað þessu og fært Mexíkóum nýtt snið og nýja hefð .,Það er því dásamlegt að geta bjargað þessu og Mexíkóum fært nýtt snið og nýja hefð .,[0] -> [2] -> [3] -> [4]
Það er verið að senda Landsvirkjun tóninn þessa dagana eins og við heyrum .,Það er verið að Landsvirkjun senda tóninn þessa dagana eins og við heyrum .,[0] -> [2] -> [3] -> [4]
"Peter Dutton , innanríkisráðherra Ástralíu , segist vilja veita vegabréfsáritunum suður-afrískra bænda forgang svo þeir geti flúið hryllilegar aðstæður í heimalandinu og komið til siðmenntaðs lands .","Peter Dutton , innanríkisráðherra Ástralíu , segist vilja vegabréfsáritunum suður-afrískra bænda veita forgang svo þeir geti flúið hryllilegar aðstæður í heimalandinu og komið til siðmenntaðs lands .",[0] -> [2] -> [3] -> [4]
