sen_str,swapped_sen_str,leaf_rule
awa'rey =ri ikʉ ʉnkwasa uwe' =ki .,awa'rey =ri ʉnkwasa ikʉ uwe' =ki .,[0] -> [1]
uye' =ri ikʉnha' wincho' nane' =ri,uye' =ri wincho' ikʉnha' nane' =ri,[0] -> [1]
"ichʉ nʉn zarikʉn nʉkeykuma awa =gwi ,","ichʉ zarikʉn nʉn nʉkeykuma awa =gwi ,",[0] -> [1]
"uye' =ri , ikʉnha' =si =ri , ɉwi =gwi anekʉwa'ne' =ri ,","uye' =ri , ikʉnha' =si =ri , anekʉwa'ne' ɉwi =gwi =ri ,",[0] -> [1]
"eymi i'ngwi wa'nʉyin azare' =ri ,","eymi wa'nʉyin i'ngwi azare' =ri ,",[0] -> [1]
unige' =ri ( d ) eyma ɉwa inayʉngwasi,unige' =ri ( d ) inayʉngwasi eyma ɉwa,[0] -> [1]
"eymi n =a'ba' =ri , ikʉ ikinkumʉya ni .","eymi n =a'ba' =ri , ikinkumʉya ikʉ ni .",[0] -> [1]
"ka'gʉmʉ =ri pinna ɉuna zʉ'ʉn kwey ,","ka'gʉmʉ =ri kwey pinna ɉuna zʉ'ʉn ,",[0] -> [1]
uwe' =ri iwa ikʉndi eyma keywʉ winau' neyka nanʉn =di .,uwe' =ri iwa eyma keywʉ winau' ikʉndi neyka nanʉn =di .,[0] -> [1]
"ikʉnha' =ri sʉmbrenu bunsi winapʉnsi ,","ikʉnha' =ri winapʉnsi sʉmbrenu bunsi ,",[0] -> [1]
"ey una =ri , ʉndi eyma wi ʉngʉn nuku' na' nʉnno","ey una =ri , ʉndi wi ʉngʉn eyma nuku' na' nʉnno",[0] -> [1]
"eymi =ri , manʉnka' zʉn warunhʉkwey niga ni ,","eymi =ri , warunhʉkwey manʉnka' zʉn niga ni ,",[0] -> [1]
eyma =ri ɉe ɉunʉya =gwi ni =gwi aya gunanʉn =di .,eyma =ri ɉunʉya ɉe =gwi ni =gwi aya gunanʉn =di .,[0] -> [1]
gwiaɉina =ri eyma =ri ka'agʉmmʉ chungwa =ri .,gwiaɉina =ri ka'agʉmmʉ chungwa eyma =ri =ri .,[0] -> [1]
sanusi ikʉ anakwana neki .,sanusi anakwana ikʉ neki .,[0] -> [1]
uye' pera yow anʉkizu'na una .,uye' anʉkizu'na pera yow una .,[0] -> [1]
eymi bunsi chari zorie' =ri .,eymi chari bunsi zorie' =ri .,[0] -> [1]
awe' =ri misakʉ =ri du ʉnwinasey .,awe' =ri du ʉnwinasey misakʉ =ri .,[0] -> [1]
"nʉngwa =ri birin =di , ey =ki ka'gʉmʉ , ey =ki umʉ =ta , bunsi chanu' =gwi nane' =ri","nʉngwa =ri birin =di , ey =ki ka'gʉmʉ , ey =ki umʉ =ta , chanu' bunsi =gwi nane' =ri",[0] -> [1]
kwa ( kwa ) sien anyos kwa quinyentos mil anyos neki icho'na unige' =ki,kwa ( kwa ) icho'na sien anyos kwa quinyentos mil anyos neki unige' =ki,[0] -> [1]
"iwa ikʉ =ri ( mhm ) mʉkʉ =ri mowga mikʉnʉsi , a'mia =ri","iwa ( mhm ) mʉkʉ =ri mowga mikʉnʉsi ikʉ =ri , a'mia =ri",[0] -> [1]
"in =sin dikin besa =ri amʉ'kanʉya =ri ,","in =sin dikin amʉ'kanʉya besa =ri =ri ,",[0] -> [1]
uye' =ri ikʉ =ri a'mʉchu' nʉnna ni zʉn,uye' =ri a'mʉchu' ikʉ =ri nʉnna ni zʉn,[0] -> [1]
"eymi pari ingeygwi kwakumaye' =ri ,","eymi pari kwakumaye' ingeygwi =ri ,",[0] -> [1]
"kakʉ Serankwa =se' zʉ'ʉn a'chwi zoyana na'me' , ka'gʉmʉ pinna ɉuna kwʉya ni .","kakʉ Serankwa =se' zʉ'ʉn a'chwi zoyana na'me' , kwʉya ka'gʉmʉ pinna ɉuna ni .",[0] -> [1]
"tima , tima =sin =gwi ayey =gwi , ikʉndi winzarikay =gwi yeyka nanʉn =di .","tima , tima =sin =gwi ayey =gwi , winzarikay =gwi yeyka ikʉndi nanʉn =di .",[0] -> [1]
"ʉndi a =kin ingʉ zamʉ kwʉy ʉwa =ri , ekʉkuma gunti au' nʉnno .","ʉndi kwʉy a =kin ingʉ zamʉ ʉwa =ri , ekʉkuma gunti au' nʉnno .",[0] -> [1]
"bisikleta a'nʉ sana =se' zʉn a'chu'na ,","bisikleta sana a'nʉ =se' zʉn a'chu'na ,",[0] -> [1]
ne' =ri ( eh ) ema bunsi chari zori zʉn neyka .,ne' =ri chari ( eh ) ema bunsi zori zʉn neyka .,[0] -> [1]
gwirwa sanja agwʉga =ri pinna =gwi ku' no,gwirwa sanja agwʉga =ri ku' pinna =gwi no,[0] -> [1]
"emʉnʉ aye' =ri ( eh ) i'ngwi mamʉ kwana nʉnna ,","emʉnʉ aye' =ri kwana ( eh ) i'ngwi mamʉ nʉnna ,",[0] -> [1]
"ey ʉndi eyma =ri yów geyna anitʉrʉ na ,","ey ʉndi yów geyna anitʉrʉ eyma =ri na ,",[0] -> [1]
uye' =ri bunsi chari zoya uye' =ri .,uye' =ri chari bunsi zoya uye' =ri .,[0] -> [1]
yow ɉomʉ asige' bunsi ichʉn nʉge' =ri,yow ɉomʉ asige' ichʉn bunsi nʉge' =ri,[0] -> [1]
"ey eyma pinna =se' neki kamʉ'kanʉkwey neyka ,","ey pinna =se' neki kamʉ'kanʉkwey eyma neyka ,",[0] -> [1]
ʉndi sanusi ɉe ʉnbotenʉn unige' keywʉ zʉn,ʉndi sanusi ʉnbotenʉn ɉe unige' keywʉ zʉn,[0] -> [1]
ki eymi zi o' anazanikʉnno zʉn me'zari zʉ'ʉn,ki eymi o' zi anazanikʉnno zʉn me'zari zʉ'ʉn,[0] -> [1]
ey andi ikʉ kwakumana yʉkwa nʉndi,ey andi kwakumana ikʉ yʉkwa nʉndi,[0] -> [1]
"kwa eyma =ri awʉn neki ga' ʉngawʉn ( nu nu ) nuge' =ri , nʉgu neki gu' nʉnkwa aya =gwi","kwa awʉn neki ga' ʉngawʉn eyma =ri ( nu nu ) nuge' =ri , nʉgu neki gu' nʉnkwa aya =gwi",[0] -> [1]
andi kwimʉkʉnʉ =ri ánu'gwe aniku' neyka ki nʉnno a'chʉndi .,andi ánu'gwe aniku' kwimʉkʉnʉ =ri neyka ki nʉnno a'chʉndi .,[0] -> [1]
