sen_str,swapped_sen_str,leaf_rule
"Ullensaker kommune toppar landsstatistikken med 174.136 kroner per innbyggjar , mykje takka vera hovudflyplassen Gardermoen .","Ullensaker kommune landsstatistikken toppar med 174.136 kroner per innbyggjar , mykje takka vera hovudflyplassen Gardermoen .",[0] -> [1] -> [2] -> [3]
- Eg meiner at born har rett til å styra over eigen kropp .,- Eg meiner at born rett til å styra over eigen kropp har .,[0] -> [1] -> [2] -> [3]
Menneska flyktar i panikk - Wells var også blant dei fyrste som skildra fenomenet massehysteri .,Menneska flyktar i panikk - Wells var også blant dei fyrste som fenomenet massehysteri skildra .,[0] -> [1] -> [2] -> [3]
"Eg takkar ja , ler og gjev han dei fem ekstraeuroane i tips .","Eg ja takkar , ler og gjev han dei fem ekstraeuroane i tips .",[0] -> [1] -> [2] -> [3]
Han var glad for det samrøystes vedtaket og trur saka har modna seg over tid .,Han var glad for det samrøystes vedtaket og trur saka har seg modna over tid .,[0] -> [1] -> [2] -> [3]
"Det meiner dominikanarmunken Arnfinn Haram , som òg synest statskyrkja treng litt mosjon .","Det meiner dominikanarmunken Arnfinn Haram , som òg synest statskyrkja litt mosjon treng .",[0] -> [1] -> [2] -> [3]
"37 prosent av dei spurde i Sogn og Fjordane seier dei opplever å ha dårleg råd , og 40 prosent uttrykkjer bekymring for å låne over evne .","37 prosent av dei spurde i Sogn og Fjordane seier dei opplever å dårleg råd ha , og 40 prosent uttrykkjer bekymring for å låne over evne .",[0] -> [1] -> [2] -> [3]
Men bakkeinvasjonen av Afghanistan og det tunge militære engasjementet for å slå ned Taliban var eit mistak .,Men bakkeinvasjonen av Afghanistan og det tunge militære engasjementet for å Taliban slå ned var eit mistak .,[0] -> [1] -> [2] -> [3]
"Kristian har i tillegg vore på språkreise i England før , og hadde så god erfaring med det at han bestemte seg for å ta vidaregåande der .","Kristian har i tillegg vore på språkreise i England før , og så god erfaring med det at han bestemte seg for å ta vidaregåande der hadde .",[0] -> [1] -> [2] -> [3]
Høgre har endra seg .,Høgre har seg endra .,[0] -> [1] -> [2] -> [3]
"Bakgrunnen er blant anna at vi har latt oss inspirere av storebror i Sogndal , som tidlegare har hatt konsertar for eit yngre publikum , forklarar Førsund .","Bakgrunnen er blant anna at vi har latt oss inspirere av storebror i Sogndal , som tidlegare har konsertar hatt for eit yngre publikum , forklarar Førsund .",[0] -> [1] -> [2] -> [3]
