sen_str,swapped_sen_str,leaf_rule
Icare ere tugera bu Baadojeba Bakorokudu ao keje .,Icare tugera bu ere Baadojeba Bakorokudu ao keje .,[0] -> [1]
"2Sabadore jiwu meri aregodure dukeje , ure sinagoga kejewuge eerduwado pugeje .","2Sabadore aregodure jiwu meri dukeje , ure sinagoga kejewuge eerduwado pugeje .",[0] -> [1]
Woe boe ekere tuginoi jamedu .,Woe ekere boe tuginoi jamedu .,[0] -> [1]
"Nowu du kodi , Elias uture torekari piji , jordure Safat onaregedu Eliseu ji , unure moto bowuje tapiradoge eidorugogui puapodu ikera pudogidure pobe taci iwurekotowuge ebo , ure boiwuge ekodu jetorodo .","Nowu du kodi , Elias uture torekari piji , jordure Safat onaregedu Eliseu ji , moto bowuje unure tapiradoge eidorugogui puapodu ikera pudogidure pobe taci iwurekotowuge ebo , ure boiwuge ekodu jetorodo .",[0] -> [1]
"3 Meri jetui baru oia keje dupiji jii meri jogodu kae , boeco kurirewu mugure moto jamedu boe keje .","3 Meri jetui baru oia keje dupiji jii meri jogodu kae , kurirewu boeco mugure moto jamedu boe keje .",[0] -> [1]
"Kode , kodiba akaiwore awu pegareugei ?","Kode , akaiwore kodiba awu pegareugei ?",[0] -> [1]
Aidure Kuogori jiwuge ere tuwobe eiaro mugudo Kuogori tada .,Aidure Kuogori jiwuge tuwobe eiaro mugudo ere Kuogori tada .,[0] -> [1]
"Egore Ure boe ewidoboe , ure boe ewogwadoboe tagi karegao .","Egore Ure boe ewidoboe , boe ewogwadoboe ure tagi karegao .",[0] -> [1]
"Akire are akowarudo , imirema ikare itowarudo .","Akire are akowarudo , ikare imirema itowarudo .",[0] -> [1]
"1 Amagodo ei erowo turo pemegareuji , ero pemegareuwo enoroe kurirewu rema , eedori kawo toroe keje , ewo toroe maku taidu tabo .","1 Amagodo ei erowo turo pemegareuji , pemegareuwo ero enoroe kurirewu rema , eedori kawo toroe keje , ewo toroe maku taidu tabo .",[0] -> [1]
"8Icare readodure ewiegai tuiordure jiboe jamedu boeji , icare ure etudo Jope bakurirewu kae .","8Icare readodure ewiegai tuiordure jiboe jamedu boeji , icare etudo ure Jope bakurirewu kae .",[0] -> [1]
"Ere nowu kuide ewido , ere nowu nabure ewido .","Ere nowu kuide ewido , nowu nabure ewido ere .",[0] -> [1]
"Ere edo tuburedo bure paru , ure epemegago . 3 Du kodi , nowu inodu koia , boe erore ta ...","Ere edo tuburedo bure paru , epemegago ure . 3 Du kodi , nowu inodu koia , boe erore ta ...",[0] -> [1]
3 Du kejere icare ere tugirimi Cafarnaum bakurirewu kae .,3 Du kejere icare tugirimi ere Cafarnaum bakurirewu kae .,[0] -> [1]
"2Tagodu kaba awu moto kejeboe reore , mare tado taginoi , tai tameardae pemegado dutabo .","2Tagodu kaba awu moto kejeboe reore , mare tado taginoi , pemegado tai tameardae dutabo .",[0] -> [1]
Icare ire jorugo tu .,Icare jorugo tu ire .,[0] -> [1]
"Itaiwore woje , itaiwore woje , itaiwore ibagi woje .","Itaiwore woje , woje itaiwore , itaiwore ibagi woje .",[0] -> [1]
Iage egore ieraro makudu wararere .,Iage egore wararere ieraro makudu .,[0] -> [1]
"1 Mare awu moto kejewu imedu aidukare aregodure Pao Utaroe pijiboeji , mare paga karega , nowu inodure matadureboe reoreboere ai , jamedu umodukare nowu inodu pawuje , mare paga karega , tu Aroe koiare ure boedo boe pawuje ji .","1 Mare awu moto kejewu imedu aidukare aregodure Pao Utaroe pijiboeji , mare paga karega , matadureboe reoreboere nowu inodure ai , jamedu umodukare nowu inodu pawuje , mare paga karega , tu Aroe koiare ure boedo boe pawuje ji .",[0] -> [1]
