sen_str,swapped_sen_str,leaf_rule
"Durch das parallele Wiegen wird eine Häufigkeit von über 100 Chargen pro Stunde ohne Kontamination und Vermischung erreicht , da sich jede Charge in einem separaten Gefäß befindet .","Durch das parallele Wiegen wird eine Häufigkeit von über 100 Chargen pro Stunde ohne Kontamination und Vermischung erreicht , da sich in einem separaten Gefäß befindet jede Charge .",[0] -> [1] -> [23] -> [24] -> [26]
"An dem Dienstag dreht sich alles darum , die Wähler an die Urne zu bringen , aber das nützt alles nichts , wenn ein registrierter Wähler nicht auf der Liste erscheint .","An dem Dienstag dreht sich alles darum , die Wähler an die Urne zu bringen , aber das nützt alles nichts , wenn nicht auf der Liste erscheint ein registrierter Wähler .",[0] -> [1] -> [23] -> [24] -> [26]
"Kaltblütig nahm er sie wieder auf , machte den General auf den Ernst der Verteidigungsabsichten aufmerksam , und machte durch seinen Mut und seine Unerschrockenheit in dem Maße Eindruck auf ihn , dass dieser gegen das Versprechen einer Kontribution ohne weitere Versuche abzog , wenn auch mit der Drohung , wieder zu kommen .","Kaltblütig nahm er sie wieder auf , machte den General auf den Ernst der Verteidigungsabsichten aufmerksam , und machte durch seinen Mut und seine Unerschrockenheit in dem Maße Eindruck auf ihn , dass gegen das Versprechen einer Kontribution ohne weitere Versuche abzog dieser , wenn auch mit der Drohung , wieder zu kommen .",[0] -> [1] -> [23] -> [24] -> [26]
Bevor Sharon Wyatt 1977 ihr Fernsehdebüt gab arbeitete sie als Lehrerin .,Bevor 1977 ihr Fernsehdebüt gab Sharon Wyatt arbeitete sie als Lehrerin .,[0] -> [1] -> [23] -> [24] -> [26]
"Hier erhielt Kuriakose Chavara 1817 die Klerikertonsur musste jedoch das Institut später wieder verlassen , da seine Eltern sowie sein älterer Bruder starben und er sich um seine kleine Nichte kümmern musste .","Hier erhielt Kuriakose Chavara 1817 die Klerikertonsur musste jedoch das Institut später wieder verlassen , da starben seine Eltern sowie sein älterer Bruder und er sich um seine kleine Nichte kümmern musste .",[0] -> [1] -> [23] -> [24] -> [26]
"Großgruppenmoderation ist eine sozialpsychologische Methode , um große Planungs - und Entscheidungsgruppen von 50 bis 200 ( oder sogar bis 1000 ) Teilnehmern in einem großen Versammlungsraum so zu steuern ( Moderation ) , dass sie in kurzer Zeit , typisch sind 2 bis 3 Tage , zu umsetzbaren Ergebnissen kommen .","Großgruppenmoderation ist eine sozialpsychologische Methode , um große Planungs - und Entscheidungsgruppen von 50 bis 200 ( oder sogar bis 1000 ) Teilnehmern in einem großen Versammlungsraum so zu steuern ( Moderation ) , dass in kurzer Zeit , typisch sind 2 bis 3 Tage , zu umsetzbaren Ergebnissen kommen sie .",[0] -> [1] -> [23] -> [24] -> [26]
"Da es sich um eine offene Meisterschaft handelt , nehmen neben deutschen Sportlern unter anderem Aktive aus Österreich , der Schweiz , Italien , Skandinavien und Osteuropa teil .","Da sich um eine offene Meisterschaft handelt es , nehmen neben deutschen Sportlern unter anderem Aktive aus Österreich , der Schweiz , Italien , Skandinavien und Osteuropa teil .",[0] -> [1] -> [23] -> [24] -> [26]
"Sobald man den Laden betritt erwartet einen ein freundlich helles Ambiente und das strahlende Lächeln von Frau Herrmann , die mich auch gleich bediente .","Sobald den Laden betritt man erwartet einen ein freundlich helles Ambiente und das strahlende Lächeln von Frau Herrmann , die mich auch gleich bediente .",[0] -> [1] -> [23] -> [24] -> [26]
"Es besteht keine Möglichkeit den Dienst auf Linux zu nutzen , da Silverlight anders als Adobe Flash nur für die zwei genannten Betriebssysteme zu der Verfügung steht .","Es besteht keine Möglichkeit den Dienst auf Linux zu nutzen , da anders als Adobe Flash nur für die zwei genannten Betriebssysteme zu der Verfügung steht Silverlight .",[0] -> [1] -> [23] -> [24] -> [26]
"Wie bekanntgegeben wurde , hat die ECB die Entscheidungshoheit , und es wäre unangemessen , wenn die Bank für sich selbst sprechen würde , indem sie die Berücksichtigung anderer Alternativen ausschlösse .","Wie bekanntgegeben wurde , hat die ECB die Entscheidungshoheit , und es wäre unangemessen , wenn die Bank für sich selbst sprechen würde , indem die Berücksichtigung anderer Alternativen ausschlösse sie .",[0] -> [1] -> [23] -> [24] -> [26]
"Er musste immer wieder feststellen , dass die Professoren mehr dem Staat , als der Kirche vertrauten und den katholischen Charakter als Hindernis ansahen .","Er musste immer wieder feststellen , dass mehr dem Staat , als der Kirche vertrauten die Professoren und den katholischen Charakter als Hindernis ansahen .",[0] -> [1] -> [23] -> [24] -> [26]
"Li Jue und Guo Si flohen in die westlichen Berge und lebten als Banditen , bis sie später von der Hand ihrer eigenen Offiziere starben .","Li Jue und Guo Si flohen in die westlichen Berge und lebten als Banditen , bis später von der Hand ihrer eigenen Offiziere starben sie .",[0] -> [1] -> [23] -> [24] -> [26]
"Der Eindruck von dem Ende einer Epoche wird verstärkt , nachdem auch auf dem Aushängeschild der Genossenschaftswirtschaft , dem Einzelhandelskonzern Konsum , der Pleitegeier klebt .","Der Eindruck von dem Ende einer Epoche wird verstärkt , nachdem auch auf dem Aushängeschild der Genossenschaftswirtschaft , dem Einzelhandelskonzern Konsum , klebt der Pleitegeier .",[0] -> [1] -> [23] -> [24] -> [26]
"Die so entstandenen Abbildungen machten Schmalfuß international bekannt , da der Pilzführer in zahlreichen Auflagen auch in dem Ausland eine große Verbreitung fand .","Die so entstandenen Abbildungen machten Schmalfuß international bekannt , da in zahlreichen Auflagen auch in dem Ausland eine große Verbreitung fand der Pilzführer .",[0] -> [1] -> [23] -> [24] -> [26]
"Obwohl er auf dem Gymnasium kaum naturwissenschaftlichen Unterricht genoss , sondern bei ihm das Erlernen von Altsprachen in dem Vordergrund stand , studierte er Chemie .","Obwohl auf dem Gymnasium kaum naturwissenschaftlichen Unterricht genoss er , sondern bei ihm das Erlernen von Altsprachen in dem Vordergrund stand , studierte er Chemie .",[0] -> [1] -> [23] -> [24] -> [26]
"Da das Schiff über keinen eigenen Antrieb verfügt , muss es zu dem jeweiligen Einsatzort geschleppt werden .","Da über keinen eigenen Antrieb verfügt das Schiff , muss es zu dem jeweiligen Einsatzort geschleppt werden .",[0] -> [1] -> [23] -> [24] -> [26]
