sen_str,swapped_sen_str,leaf_rule
شما می‌خواهید تا آخر عمر تان حسرت بخورید و خود تان را سرزنش کنید و با خدا غریبی کنید ؟,شما می‌خواهید تا آخر عمر تان حسرت بخورید و سرزنش کنید خود تان را و با خدا غریبی کنید ؟,[0] -> [1]
تو هم که از مرگ گریزی نداری .,تو هم که از مرگ نداری گریزی .,[0] -> [1]
سرمربی تیم استقلال تهران در ادامه ، بازیکنان را به دو گروه سفید و آبی تقسیم کرد تا پس از انجام کارهای تاکتیکی به سوی دروازه شوت‌زنی کنند .,سرمربی تیم استقلال تهران در ادامه ، به دو گروه سفید و آبی تقسیم کرد بازیکنان را تا پس از انجام کارهای تاکتیکی به سوی دروازه شوت‌زنی کنند .,[0] -> [1]
من در ظرف ده سال بیشتر اوقات خود را در این شهر به سر برده‌ام .,من در ظرف ده سال در این شهر به سر برده‌ام بیشتر اوقات خود را .,[0] -> [1]
آقای قاف اسناد را در کامپیوتر ثبت می‌کرد و شماره می‌زد و آقای کاف آخر وقت اسناد را جمع‌آوری و بسته‌بندی می‌کرد .,آقای قاف در کامپیوتر ثبت می‌کرد اسناد را و شماره می‌زد و آقای کاف آخر وقت اسناد را جمع‌آوری و بسته‌بندی می‌کرد .,[0] -> [1]
ناچار هر تابلویی را که نشانه‌ای از اندام تناسل زن یا مرد را نشان می‌داد مصادره کرد ؛ و اصلاً کاری با موضوع و معنا یش نداشت .,ناچار مصادره کرد هر تابلویی را که نشانه‌ای از اندام تناسل زن یا مرد را نشان می‌داد ؛ و اصلاً کاری با موضوع و معنا یش نداشت .,[0] -> [1]
گریزی به عالم خیال زدم و کودک را در زهدان گرم و نرم مادر به تماشا نشستم و او را دیدم که گوش به آوای دلنشین مادر سپرده بود ، جنب و جوش می‌کرد و به هر سو پای می‌کوفت .,گریزی به عالم خیال زدم و کودک را در زهدان گرم و نرم مادر به تماشا نشستم و او را دیدم که گوش به آوای دلنشین مادر سپرده بود ، جنب و جوش می‌کرد و به هر سو می‌کوفت پای .,[0] -> [1]
او توقع زنانه‌یی داشت که پیامبر آن را برآورده نکرده بود ؛ که بعداً ممکن است به آن اشاره کنم .,او توقع زنانه‌یی داشت که پیامبر برآورده نکرده آن را بود ؛ که بعداً ممکن است به آن اشاره کنم .,[0] -> [1]
کدام استدلال نشان می‌دهد که برای ترویج فرهنگ شهادت باید شهید در دانشگاه تدفین کرد ؟,کدام استدلال نشان می‌دهد که برای ترویج فرهنگ شهادت باید در دانشگاه تدفین کرد شهید ؟,[0] -> [1]
ابوبکر آن قدر عذر و بهانه آورد که او را معذور داشتم .,ابوبکر آن قدر عذر و بهانه آورد که معذور داشتم او را .,[0] -> [1]
ثانیه به ثانیه نبودن ت را شمرده‌ام .,ثانیه به ثانیه شمرده‌ام نبودن ت را .,[0] -> [1]
البته دکارت بعدا با طرح تفاوت میان منحنیهای جبری و منحنیهای مکانیکی ) که امروزه ترانساندانتال نامیده می‌شود ( گام مهمی به جلو برداشت که مساله رابطه میان هندسه و جبر را دگرگون کرد .,البته دکارت بعدا با طرح تفاوت میان منحنیهای جبری و منحنیهای مکانیکی ) که امروزه ترانساندانتال نامیده می‌شود ( گام مهمی به جلو برداشت که دگرگون کرد مساله رابطه میان هندسه و جبر را .,[0] -> [1]
دستی که یازده ساعت را پاک می‌کند و می‌نویسد : « ده ساعت به افطار مانده » احمد کیف را از روی زمین برمی‌دارد .,دستی که پاک می‌کند یازده ساعت را و می‌نویسد : « ده ساعت به افطار مانده » احمد کیف را از روی زمین برمی‌دارد .,[0] -> [1]
روزگاری که آدمی به بلوغ فکری رسید و مسیر حیات خود را با چراغ اندیشه روشن کرد ، اساس تاریخ پی نهاده شد .,روزگاری که آدمی به بلوغ فکری رسید و با چراغ اندیشه روشن کرد مسیر حیات خود را ، اساس تاریخ پی نهاده شد .,[0] -> [1]
اما اگر همین مشت‌زن را با استفاده از تکنیک‌های روانشناسی ورزشی تهییج بکنید زمانی که وارد رینگ می‌شود عملکردی بسیار برتر از آن چه که از وی انتظار می‌رود را از خود نشان خواهد داد .,اما اگر همین مشت‌زن را با استفاده از تکنیک‌های روانشناسی ورزشی تهییج بکنید زمانی که وارد رینگ می‌شود از خود نشان خواهد داد عملکردی بسیار برتر از آن چه که از وی انتظار می‌رود را .,[0] -> [1]
هم‌اکنون در هجده کیلومتری شرق توس ، دهکده‌ای است با قلعه‌ای قدیمی ، به همین نام باژ و این سؤال را پیش می‌آورد که آیا این همان آبادی است که فردوسی در آن چشم به جهان گشوده ؟,هم‌اکنون در هجده کیلومتری شرق توس ، دهکده‌ای است با قلعه‌ای قدیمی ، به همین نام باژ و پیش می‌آورد این سؤال را که آیا این همان آبادی است که فردوسی در آن چشم به جهان گشوده ؟,[0] -> [1]
اگر بر چیزهایی که سجده بر آنها جایز نیست سجده کرده باشید نمازهای خود را قضا کنید .,اگر بر چیزهایی که سجده بر آنها جایز نیست سجده کرده باشید قضا کنید نمازهای خود را .,[0] -> [1]
حس طبعی ادب و نزاکت دول را وادار می‌کند که به دربار یکدیگر نمایندگانی اعزام دارند که از حیث رتبه و مقام در یک ردیف قرار گرفته‌اند .,حس طبعی ادب و نزاکت وادار می‌کند دول را که به دربار یکدیگر نمایندگانی اعزام دارند که از حیث رتبه و مقام در یک ردیف قرار گرفته‌اند .,[0] -> [1]
بررسی‌های قبلی دربارهٔ رابطهٔ مصرف زیاد گوشت قرمز و سرطان پروستات نتایج متناقضی به دست داده بود .,بررسی‌های قبلی دربارهٔ رابطهٔ مصرف زیاد گوشت قرمز و سرطان پروستات به دست داده نتایج متناقضی بود .,[0] -> [1]
همه به یاد دارند که سر الکس یک بار به خاطر پرتاب کفش به بکام ، ابروی ستارهٔ منچستر را شکاف داده بود .,همه به یاد دارند که سر الکس یک بار به خاطر پرتاب کفش به بکام ، شکاف داده ابروی ستارهٔ منچستر را بود .,[0] -> [1]
در حمام آواز بخوان و کمی آب‌بازی کن .,در حمام بخوان آواز و کمی آب‌بازی کن .,[0] -> [1]
احتمال دارد شخص دیگری سنگ را پرتاب کرده باشد .,احتمال دارد شخص دیگری پرتاب کرده سنگ را باشد .,[0] -> [1]
حداکثر به مدت 24 ماه هیچ گونه پروندهٔ جدیدی را تحت این برنامه پذیرش نخواهند کرد .,حداکثر به مدت 24 ماه تحت این برنامه پذیرش نخواهند کرد هیچ گونه پروندهٔ جدیدی را .,[0] -> [1]
آیا شهرداری می‌تواند با اعتبار 4 میلیارد تومان خیابان‌های طالقانی و علامه را تعریض بکند ؟,آیا شهرداری می‌تواند با اعتبار 4 میلیارد تومان تعریض بکند خیابان‌های طالقانی و علامه را ؟,[0] -> [1]
دولت‌های نهم و دهم توجه ویژه به کمیتهٔ امداد مبذول داشتند .,دولت‌های نهم و دهم به کمیتهٔ امداد مبذول داشتند توجه ویژه .,[0] -> [1]
مردم محاکمهٔ بزرگ‌ترین دیکتاتور دنیا را مشاهده خواهند کرد .,مردم مشاهده خواهند کرد محاکمهٔ بزرگ‌ترین دیکتاتور دنیا را .,[0] -> [1]
اگر در خواب دیدید که برف پارو می‌کنید به کمک کسی غم و اندوه را از خود می‌رانید .,اگر در خواب دیدید که پارو می‌کنید برف به کمک کسی غم و اندوه را از خود می‌رانید .,[0] -> [1]
چه او در همان حال که محلهٔ سردزک را قرق می‌کرد ، کاری به کار زن‌ها و بچه‌ها نداشت ، بلکه بر عکس با مردم به مهربانی رفتار می‌کرد و اگر اجل‌برگشته‌ای با زنی شوخی می‌کرد یا به کسی زور می‌گفت ، دیگر جان سلامت از دست داش آکل به در نمی‌برد .,چه او در همان حال که قرق می‌کرد محلهٔ سردزک را ، کاری به کار زن‌ها و بچه‌ها نداشت ، بلکه بر عکس با مردم به مهربانی رفتار می‌کرد و اگر اجل‌برگشته‌ای با زنی شوخی می‌کرد یا به کسی زور می‌گفت ، دیگر جان سلامت از دست داش آکل به در نمی‌برد .,[0] -> [1]
آنچنان سریع قیمت‌ها را جمع می‌زند که گویا نابغهٔ ریاضی است .,آنچنان سریع جمع می‌زند قیمت‌ها را که گویا نابغهٔ ریاضی است .,[0] -> [1]
چه کسی پروژهٔ تقلب 2 را کلید خواهد زد ؟,چه کسی کلید خواهد زد پروژهٔ تقلب 2 را ؟,[0] -> [1]
