sen_str,swapped_sen_str,leaf_rule
"Sebagai akibat bertambah nya pembatasan pemerintah , harga pasar gelap untuk produksi yang bersangkut paut akan bertambah , seperti yang dikatakan pembatasan mewakili berkurang nya penawaran dan bertambah nya kemungkinan rugi pada bagian penawar , penjual , dan seluruh makelar .","Sebagai akibat bertambah nya pembatasan pemerintah , harga pasar gelap untuk produksi yang bersangkut paut akan bertambah , seperti yang dikatakan mewakili pembatasan berkurang nya penawaran dan bertambah nya kemungkinan rugi pada bagian penawar , penjual , dan seluruh makelar .",[0] -> [1] -> [2] -> [3] -> [5]
Satu-satu nya teman yang dimiliki nya adalah Alan A . Allen ( Rupert Grint ) yang tidak memiliki kepekaan bau dan bisa mengatasi angin Patrick .,Satu-satu nya teman yang dimiliki nya adalah Alan A . Allen ( Rupert Grint ) tidak memiliki yang kepekaan bau dan bisa mengatasi angin Patrick .,[0] -> [1] -> [2] -> [3] -> [5]
"Apa kah Kevin cs bisa memenangkan pertaruhan dengan Mike , yaitu membawa seorang gadis cantik ke pesta dan mendapatkan hati Jessica kembali ?","Apa kah bisa memenangkan Kevin cs pertaruhan dengan Mike , yaitu membawa seorang gadis cantik ke pesta dan mendapatkan hati Jessica kembali ?",[0] -> [1] -> [2] -> [3] -> [5]
Yang juga dipamerkan untuk pertama kali nya adalah peta Kementerian Pertahanan Inggris yang membayangkan perang dingin dan yang digunakan dalam ujian sekolah militer .,Yang juga dipamerkan untuk pertama kali nya adalah peta Kementerian Pertahanan Inggris membayangkan yang perang dingin dan yang digunakan dalam ujian sekolah militer .,[0] -> [1] -> [2] -> [3] -> [5]
"Sementara Direktur INCO Sri Kuncoro , dalam kesempatan yang sama , perseroan tahun ini telah membeli 32 pembangkit listrik tenaga diesel ( PLTD ) yang setara dengan 32 Mega Watt untuk memberikan tenaga listrik tambahan bagi perseroan .","Sementara Direktur INCO Sri Kuncoro , dalam kesempatan yang sama , tahun ini telah membeli perseroan 32 pembangkit listrik tenaga diesel ( PLTD ) yang setara dengan 32 Mega Watt untuk memberikan tenaga listrik tambahan bagi perseroan .",[0] -> [1] -> [2] -> [3] -> [5]
"Tanaman yang tak banyak memerlukan air justru lebih populer , mengingat ketiadaan pengairan intensif .","Tanaman tak banyak memerlukan yang air justru lebih populer , mengingat ketiadaan pengairan intensif .",[0] -> [1] -> [2] -> [3] -> [5]
Apa nama lembaga yang akan melayani radio-radio ini ?,Apa nama lembaga akan melayani yang radio-radio ini ?,[0] -> [1] -> [2] -> [3] -> [5]
"Antara yang memuji beliau adalah Datuk Yusof Haslam yang digelar "" Six Million Dollar Man "" . David Teo sebagai penerbit dan juga Ketua Pegawai Esekutif ( CEO ) Metrowealth International Group ( MIG ) juga menganggap Cicak - Man sebagai satu keajaiban dengan sambutan dan kelainan yang ditonjolkan dalam industri perfileman Malaysia .","Antara memuji yang beliau adalah Datuk Yusof Haslam yang digelar "" Six Million Dollar Man "" . David Teo sebagai penerbit dan juga Ketua Pegawai Esekutif ( CEO ) Metrowealth International Group ( MIG ) juga menganggap Cicak - Man sebagai satu keajaiban dengan sambutan dan kelainan yang ditonjolkan dalam industri perfileman Malaysia .",[0] -> [1] -> [2] -> [3] -> [5]
"Di Laporan Pangsa Pasar Desember 2010 , OPSWAT melaporkan bahwa Dropbox telah menguasai 10,41 % dari pasar Backup Client di seluruh dunia , berdasarkan angka instalasI Dropbox .","Di Laporan Pangsa Pasar Desember 2010 , OPSWAT melaporkan bahwa telah menguasai Dropbox 10,41 % dari pasar Backup Client di seluruh dunia , berdasarkan angka instalasI Dropbox .",[0] -> [1] -> [2] -> [3] -> [5]
Para siswa Belanda itu belum memutuskan apa kah mereka akan mengkomersilkan motor listrik mereka .,Para siswa Belanda itu belum memutuskan apa kah akan mengkomersilkan mereka motor listrik mereka .,[0] -> [1] -> [2] -> [3] -> [5]
"Imbalan nya , Uber akan menerima investasi satu miliar dolar dan satu kursi di dewan direksi perusahaan China ini .","Imbalan nya , akan menerima Uber investasi satu miliar dolar dan satu kursi di dewan direksi perusahaan China ini .",[0] -> [1] -> [2] -> [3] -> [5]
"Ketika pasukan Tartar pada tahun 1576 menyerang Polska , Sultan Usmaniyah menyatakan perlindungan nya .","Ketika menyerang pasukan Tartar pada tahun 1576 Polska , Sultan Usmaniyah menyatakan perlindungan nya .",[0] -> [1] -> [2] -> [3] -> [5]
"Menurut Fitri , dalam perjanjian ini perseroan melaksanakan jasa manajemen dan teknik untuk mengelola lahan kebun dan pabrik kelapa sawit milik GIN seluas 10.815,82 hektar yang berlokasi di Kecamatan Pelangsiran , Kabupaten Indragirihilir , Riau .","Menurut Fitri , dalam perjanjian ini melaksanakan perseroan jasa manajemen dan teknik untuk mengelola lahan kebun dan pabrik kelapa sawit milik GIN seluas 10.815,82 hektar yang berlokasi di Kecamatan Pelangsiran , Kabupaten Indragirihilir , Riau .",[0] -> [1] -> [2] -> [3] -> [5]
Dan jalan tersebut merupakan sebuah sejarah pembangunan yang dulu nya digunakan untuk transportasi utama di pulau Jawa yang dibuat oleh Deandles berkebangsaan Belanda .,Dan merupakan jalan tersebut sebuah sejarah pembangunan yang dulu nya digunakan untuk transportasi utama di pulau Jawa yang dibuat oleh Deandles berkebangsaan Belanda .,[0] -> [1] -> [2] -> [3] -> [5]
"PT Multi Prima Sejahtera Tbk ( LPIN ) melalui PT Multi Usaha Wisesa , telah menjual 50 persen saham PT Lippo Melco Autoparts kepada Mitsubishi Electronic Company , pihak yang bukan merupakan pihak terafiliasi dengan perseroan .","PT Multi Prima Sejahtera Tbk ( LPIN ) melalui PT Multi Usaha Wisesa , telah menjual 50 persen saham PT Lippo Melco Autoparts kepada Mitsubishi Electronic Company , pihak bukan merupakan yang pihak terafiliasi dengan perseroan .",[0] -> [1] -> [2] -> [3] -> [5]
"Akhirnya , PERMIAS South Florida , Florida , terpilih secara resmi sebagai tuan rumah Seminar Nasional PERMIAS 1997 dengan suara terbanyak untuk menggantikan PERMIAS Hawaii yang mengundurkan diri .","Akhirnya , PERMIAS South Florida , Florida , terpilih secara resmi sebagai tuan rumah Seminar Nasional PERMIAS 1997 dengan suara terbanyak untuk menggantikan PERMIAS Hawaii mengundurkan yang diri .",[0] -> [1] -> [2] -> [3] -> [5]
"Pada awal konferensi London pada bulan Desember 1912 , duta besar keenam negara Great Powers menolak rencana mendirikan Albania yang merdeka .","Pada awal konferensi London pada bulan Desember 1912 , menolak duta besar keenam negara Great Powers rencana mendirikan Albania yang merdeka .",[0] -> [1] -> [2] -> [3] -> [5]
