sen_str,swapped_sen_str,leaf_rule
« Αυτό είναι δουλειά της υποδιεύθυνσης Ηλεκτρονικού Εγκλήματος » μου απαντάει .,« Αυτό είναι δουλειά της υποδιεύθυνσης Ηλεκτρονικού Εγκλήματος » απαντάει μου .,[0] -> [2] -> [3] -> [4]
« Όπως περνάς σ τη φυλακή » μου απαντάει πολύ λογικά .,« Όπως περνάς σ τη φυλακή » απαντάει μου πολύ λογικά .,[0] -> [2] -> [3] -> [4]
"Πιέστηκε πολύ σ τα χρόνια της κρίσης και δεν υπάρχει λόγος να της φορτώσω τώρα και το άγχος της επιβίωσης , που μπορεί να μας βρει με την πειθαρχική δίωξή μου .","Πιέστηκε πολύ σ τα χρόνια της κρίσης και δεν υπάρχει λόγος να φορτώσω της τώρα και το άγχος της επιβίωσης , που μπορεί να μας βρει με την πειθαρχική δίωξή μου .",[0] -> [2] -> [3] -> [4]
"« Γιατί ο διευθυντής μπορεί να μου πει “ άσ' το , μην το ψάξεις ” , ή “ άσ' το για αργότερα , δε βιάζει ” » .","« Γιατί ο διευθυντής μπορεί να πει μου “ άσ' το , μην το ψάξεις ” , ή “ άσ' το για αργότερα , δε βιάζει ” » .",[0] -> [2] -> [3] -> [4]
"Σπάω το κεφάλι μου να καταλάβω πώς δε με πήρε ένα τηλέφωνο , για να μου πει ότι τον παρακολουθούν και να μου δώσει τα στοιχεία του φορτηγού και του Σουζούκι .","Σπάω το κεφάλι μου να καταλάβω πώς δε με πήρε ένα τηλέφωνο , για να πει μου ότι τον παρακολουθούν και να μου δώσει τα στοιχεία του φορτηγού και του Σουζούκι .",[0] -> [2] -> [3] -> [4]
"Είναι ο Ζήσης , που ήρθε να μας πει τις ευχές του με το απαραίτητο πακέτο σ το χέρι .","Είναι ο Ζήσης , που ήρθε να πει μας τις ευχές του με το απαραίτητο πακέτο σ το χέρι .",[0] -> [2] -> [3] -> [4]
"Θέλει να μάθει το λόγο της επίσκεψής μου , και της τον εξηγώ .","Θέλει να μάθει το λόγο της επίσκεψής μου , και τον εξηγώ της .",[0] -> [2] -> [3] -> [4]
"« Αν το στικάκι δεν έχει σχέση με την έρευνα , θα της το επιστρέφω » .","« Αν το στικάκι δεν έχει σχέση με την έρευνα , θα το επιστρέφω της » .",[0] -> [2] -> [3] -> [4]
"« Ναι , αλλά έμεινε στάσιμος υπέρ πίστεως και πατρίδος » της απαντάει η Κατερίνα , με το ίδιο έξαλλο ύφος .","« Ναι , αλλά έμεινε στάσιμος υπέρ πίστεως και πατρίδος » απαντάει της η Κατερίνα , με το ίδιο έξαλλο ύφος .",[0] -> [2] -> [3] -> [4]
« Δε βρήκαμε ούτε δακτυλικά αποτυπώματα ούτε έγγραφα σ το τζιπ του Λαλόπουλου » μου ανακοινώνει .,« Δε βρήκαμε ούτε δακτυλικά αποτυπώματα ούτε έγγραφα σ το τζιπ του Λαλόπουλου » ανακοινώνει μου .,[0] -> [2] -> [3] -> [4]
"Η Αδριανή με παίρνει σπάνια τηλέφωνο σ τη δουλειά , και όταν με παίρνει , καλεί πάντα το κινητό μου και ποτέ το τηλέφωνο της υπηρεσίας .","Η Αδριανή παίρνει με σπάνια τηλέφωνο σ τη δουλειά , και όταν με παίρνει , καλεί πάντα το κινητό μου και ποτέ το τηλέφωνο της υπηρεσίας .",[0] -> [2] -> [3] -> [4]
« Οι συμπτώσεις » μου απαντάει .,« Οι συμπτώσεις » απαντάει μου .,[0] -> [2] -> [3] -> [4]
« Γιατί μας σταμάτησαν την έρευνα » .,« Γιατί σταμάτησαν μας την έρευνα » .,[0] -> [2] -> [3] -> [4]
"Σπάω το κεφάλι μου να καταλάβω πώς δε με πήρε ένα τηλέφωνο , για να μου πει ότι τον παρακολουθούν και να μου δώσει τα στοιχεία του φορτηγού και του Σουζούκι .","Σπάω το κεφάλι μου να καταλάβω πώς δε με πήρε ένα τηλέφωνο , για να μου πει ότι τον παρακολουθούν και να δώσει μου τα στοιχεία του φορτηγού και του Σουζούκι .",[0] -> [2] -> [3] -> [4]
"« Πατούλιες πατούλιες κινήσαμε την παραμονή του Τίμιου Σταυρού από τα γύρω χωριά για την κορφή τ' απάτητου βουνού , του γερο - Ψηλορείτη , 'κείνη τη χρονιά σ τα χίλια οχτακόσα » μου 'λεγε προχθές η θεια - Καντίκω κι έσταζε το δάκρυο σ τ' αυλακιασμένα μάγουλα και κομπόδενε η φωνή από ιερή συγκίνηση .","« Πατούλιες πατούλιες κινήσαμε την παραμονή του Τίμιου Σταυρού από τα γύρω χωριά για την κορφή τ' απάτητου βουνού , του γερο - Ψηλορείτη , 'κείνη τη χρονιά σ τα χίλια οχτακόσα » 'λεγε μου προχθές η θεια - Καντίκω κι έσταζε το δάκρυο σ τ' αυλακιασμένα μάγουλα και κομπόδενε η φωνή από ιερή συγκίνηση .",[0] -> [2] -> [3] -> [4]
« Για να μας πει το τελευταίο » του απαντώ .,« Για να πει μας το τελευταίο » του απαντώ .,[0] -> [2] -> [3] -> [4]
Θεωρώ ότι πρέπει να πουλάμε τις επιτυχίες μας καλύτερα και να τους δίνουμε μεγαλύτερη έμφαση .,Θεωρώ ότι πρέπει να πουλάμε τις επιτυχίες μας καλύτερα και να δίνουμε τους μεγαλύτερη έμφαση .,[0] -> [2] -> [3] -> [4]
« Η αύξηση θα σου καλύψει πιθανώς τη δόση του δανείου » .,« Η αύξηση θα καλύψει σου πιθανώς τη δόση του δανείου » .,[0] -> [2] -> [3] -> [4]
Αν θα πρέπει να της το πω και πώς να της το πω .,Αν θα πρέπει να της το πω και πώς να το πω της .,[0] -> [2] -> [3] -> [4]
« Αυτό το βραχιόλι είναι από δω » μου λέει .,« Αυτό το βραχιόλι είναι από δω » λέει μου .,[0] -> [2] -> [3] -> [4]
« Εσύ τώρα νομίζεις ότι με κοροΐδεψες » της απαντάει απαξιωτικά η Αδριανή .,« Εσύ τώρα νομίζεις ότι με κοροΐδεψες » απαντάει της απαξιωτικά η Αδριανή .,[0] -> [2] -> [3] -> [4]
"Θέλω να είμαστε οι δυο μας , γιατί έτσι θα μου μιλήσει πιο ελεύθερα .","Θέλω να είμαστε οι δυο μας , γιατί έτσι θα μιλήσει μου πιο ελεύθερα .",[0] -> [2] -> [3] -> [4]
"Και γυρίζει και κάνει σ τ' αυτί του Νικολή : « Μαυροκακομοίρη , έλα να σε δέσω σ το μύλο να κάνεις το μπεγίρι , γιατί , άνε μαςε πάρει χαμπάρι ο Στελιανός , χαθήκαμε » .","Και γυρίζει και κάνει σ τ' αυτί του Νικολή : « Μαυροκακομοίρη , έλα να σε δέσω σ το μύλο να κάνεις το μπεγίρι , γιατί , άνε πάρει μαςε χαμπάρι ο Στελιανός , χαθήκαμε » .",[0] -> [2] -> [3] -> [4]
Μούδε « ορίστε » δεν του 'πε ο μοναχοφαγάς .,Μούδε « ορίστε » δεν 'πε του ο μοναχοφαγάς .,[0] -> [2] -> [3] -> [4]
"« Θα ήθελα να μιλήσουμε , αλλά όχι σ την αστυνομία ούτε σ τον Πειραιά » μου λέει .","« Θα ήθελα να μιλήσουμε , αλλά όχι σ την αστυνομία ούτε σ τον Πειραιά » λέει μου .",[0] -> [2] -> [3] -> [4]
"Η Κατερίνα μου ρίχνει ένα πλάγιο βλέμμα και κρυφογελάει , αλλά το « κρυφό » είναι σχήμα λόγου , γιατί της Αδριανής δεν της ξεφεύγει τίποτα .","Η Κατερίνα ρίχνει μου ένα πλάγιο βλέμμα και κρυφογελάει , αλλά το « κρυφό » είναι σχήμα λόγου , γιατί της Αδριανής δεν της ξεφεύγει τίποτα .",[0] -> [2] -> [3] -> [4]
"« Εξάλλου , και τα δύο πλοία ήταν καινούρια » μου απαντάει και μου επιβεβαιώνει την απάντηση του Στεργιάδη .","« Εξάλλου , και τα δύο πλοία ήταν καινούρια » μου απαντάει και επιβεβαιώνει μου την απάντηση του Στεργιάδη .",[0] -> [2] -> [3] -> [4]
« Θα μείνει όπως το έφτιαξε » μας έλεγε κάθε φορά .,« Θα μείνει όπως το έφτιαξε » έλεγε μας κάθε φορά .,[0] -> [2] -> [3] -> [4]
