sen_str,swapped_sen_str,leaf_rule
அமெரிக்க நிறுவனங்கள் உடன் இணைந்து அணு மின் நிலையங்களுக்குத் தேவைய் ஆன அணு உலைகளைத் தயாரிப்பதற்க் ஆன வர்த்தக ரீதியில் ஆன பேச்சுவார்த்தை விரைவில் தொடங்கும் .,அமெரிக்க நிறுவனங்கள் உடன் இணைந்து தயாரிப்பதற்க் அணு மின் நிலையங்களுக்குத் தேவைய் ஆன அணு உலைகளைத் ஆன வர்த்தக ரீதியில் ஆன பேச்சுவார்த்தை விரைவில் தொடங்கும் .,[0] -> [1]
எதிர்க்கட்சி அரசியல் தலைவர்களை பயமுறுத்துவதற்க் ஆக இதை ஆளும் கட்சி பயன்படுத்தி வருகிறது என்று எதிர்க்கட்சிகள் குற்றம்சாட்டிய் உள்ளன .,எதிர்க்கட்சி அரசியல் தலைவர்களை பயமுறுத்துவதற்க் ஆக ஆளும் இதை கட்சி பயன்படுத்தி வருகிறது என்று எதிர்க்கட்சிகள் குற்றம்சாட்டிய் உள்ளன .,[0] -> [1]
ஷீலா தீட்சித்தை கேலி செய்த டி.வி. வர்ணனையாளர் மீது உரிய நடவடிக்கை எடுக்க வேண்டும் என்ற் உம் கேட்டுக் கொண்டது .,ஷீலா தீட்சித்தை கேலி செய்த டி.வி. வர்ணனையாளர் மீது எடுக்க உரிய நடவடிக்கை வேண்டும் என்ற் உம் கேட்டுக் கொண்டது .,[0] -> [1]
நானாக இந்த கடிதத்தை எழுதினேன் .,நானாக எழுதினேன் இந்த கடிதத்தை .,[0] -> [1]
அவர்கள் என்னையே கூப்பிடுகிறார்கள் .,அவர்கள் கூப்பிடுகிறார்கள் என்னையே .,[0] -> [1]
தமிழர்களை அவர்களது சொந்த இடங்களில் மறுபடியும் குடியமர்த்துவது குறித்த் உம் அகதி முகாம்களில் உள்ள தமிழர்களுக்க் உம் உள்ளூர் மக்களுக்க் உம் அடிப்படை வசதிகளை செய்து கொடுப்பது குறித்த் உம் அரசுப் பிரதிநிதிய் உடன் அவர் ஆலோசித்தார் .,தமிழர்களை அவர்களது சொந்த இடங்களில் மறுபடியும் குடியமர்த்துவது குறித்த் உம் அகதி முகாம்களில் உள்ள தமிழர்களுக்க் உம் உள்ளூர் மக்களுக்க் உம் செய்து அடிப்படை வசதிகளை கொடுப்பது குறித்த் உம் அரசுப் பிரதிநிதிய் உடன் அவர் ஆலோசித்தார் .,[0] -> [1]
அவருக்குப் பிறகு இரண்டாவது பெண் தலைமைச் செயலாளார் என்ற பெருமையை மாலதி பெற்றுள்ளார் .,அவருக்குப் பிறகு மாலதி பெற்றுள்ளார் இரண்டாவது பெண் தலைமைச் செயலாளார் என்ற பெருமையை .,[0] -> [1]
குமார் ஒரு வீடு கட்டப் போகிறான் .,குமார் கட்டப் ஒரு வீடு போகிறான் .,[0] -> [1]
குமார் ஒரு பெட்டி வாங்கினான் .,குமார் வாங்கினான் ஒரு பெட்டி .,[0] -> [1]
குமார் ராஜாவை அடித்தான் .,குமார் அடித்தான் ராஜாவை .,[0] -> [1]
