sen_str,swapped_sen_str,leaf_rule
"O sistema de radar por o que máis se coñece a Alvarez , e que ademais xogou un papel importante en a aviación , sobre todo en o transporte aéreo de Berlín en a posguerra , é o Ground Controlled Approach ( GCA ) .","O sistema de radar por o que máis se a Alvarez coñece , e que ademais xogou un papel importante en a aviación , sobre todo en o transporte aéreo de Berlín en a posguerra , é o Ground Controlled Approach ( GCA ) .",[0] -> [1] -> [2]
Talvez por iso unha onda de bágoas nubra as súas pupilas mentres a sílaba de o tempo desenterra a súa colleita e entrega o seu misterio a as augas ligadas .,Talvez por iso unha onda de bágoas nubra as súas pupilas mentres a sílaba de o tempo desenterra a súa colleita e a as augas ligadas entrega o seu misterio .,[0] -> [1] -> [2]
Tamén sinalou que Rogers presentara hai pouco unha nova aplicación que axuda a clientela a monitorizar o seu uso de datos .,Tamén sinalou que Rogers presentara hai pouco unha nova aplicación que a clientela axuda a monitorizar o seu uso de datos .,[0] -> [1] -> [2]
"Villar explicou para A Nosa Terra que realizará unha intervención "" crítica con esta comisión de investigación , crítica con a xestión de a catástrofe , e en a que abordaremos cuestións como a falla de medios , a manipulación e a situación actual , que nos obriga a non poder pasar páxina en o tema Prestige .","Villar para A Nosa Terra explicou que realizará unha intervención "" crítica con esta comisión de investigación , crítica con a xestión de a catástrofe , e en a que abordaremos cuestións como a falla de medios , a manipulación e a situación actual , que nos obriga a non poder pasar páxina en o tema Prestige .",[0] -> [1] -> [2]
"Proporcionou rutas para o comercio , a colonización e a guerra , así como comida ( de a pesca e de a recolecta de marisco ) a numerosas comunidades a o longo de os tempos .","a numerosas comunidades Proporcionou rutas para o comercio , a colonización e a guerra , así como comida ( de a pesca e de a recolecta de marisco ) a o longo de os tempos .",[0] -> [1] -> [2]
"O estado ofrecerá a as persoas maiores de idade 500 euros , que se poderán gastar ata o 31 de decembro de 2017 .","O estado a as persoas maiores de idade ofrecerá 500 euros , que se poderán gastar ata o 31 de decembro de 2017 .",[0] -> [1] -> [2]
"O presidente de a Deputación de a Coruña dirixiu se a a Academia Galega , e encargou a Leandro Carré Alvarellos a versión galega de dous capítulos ( 25 e 26 de o Tomo II ) .","O presidente de a Deputación de a Coruña dirixiu se a a Academia Galega , e a Leandro Carré Alvarellos encargou a versión galega de dous capítulos ( 25 e 26 de o Tomo II ) .",[0] -> [1] -> [2]
"Larry Vance , o canadense que investiga o accidente de o avión , declarou a SPIEGEL que está convencido de que un de os pilotos intentou aterrizar o aparello en a superficie de o océano para que afundise .","Larry Vance , o canadense que investiga o accidente de o avión , a SPIEGEL declarou que está convencido de que un de os pilotos intentou aterrizar o aparello en a superficie de o océano para que afundise .",[0] -> [1] -> [2]
"Pois a iniciativa de a obra , por encargo de o Concello , debe se a a Empresa Municipal de Subministro de Auga EMALCSA , sociedade de servizos de solvencia recoñecida por todos os grupos municipais , que constitúe un instrumento político de control de primeira magnitude de o goberno local e que leva moitos anos dando beneficios económicos a as arcas municipais , como expresión sensíbel de que a empresa pública tamén pode ser tan rendíbel como a privada con unha administración adecuada .","Pois a iniciativa de a obra , por encargo de o Concello , debe se a a Empresa Municipal de Subministro de Auga EMALCSA , sociedade de servizos de solvencia recoñecida por todos os grupos municipais , que constitúe un instrumento político de control de primeira magnitude de o goberno local e que leva moitos anos a as arcas municipais dando beneficios económicos , como expresión sensíbel de que a empresa pública tamén pode ser tan rendíbel como a privada con unha administración adecuada .",[0] -> [1] -> [2]
""" Sinto me poderoso cando o imito "" , explicou a Slate John Di Domenico , imitador de Donald Trump , o ano pasado .",""" Sinto me poderoso cando o imito "" , a Slate explicou John Di Domenico , imitador de Donald Trump , o ano pasado .",[0] -> [1] -> [2]
