sen_str,swapped_sen_str,leaf_rule
O que a arte lhes proporciona é um encontro com o que há de pior em si mesmos .,O que a arte proporciona lhes é um encontro com o que há de pior em si mesmos .,[0] -> [1] -> [2]
"Só Sampaio parece não ser muito admirador de o estilo , cultivando uma sobriedade pouco compatível com o espectáculo que lhe foi preparado .","Só Sampaio parece não ser muito admirador de o estilo , cultivando uma sobriedade pouco compatível com o espectáculo que foi preparado lhe .",[0] -> [1] -> [2]
"Faixas como "" This Is the Place "" e "" Don't Forget Me "" , expressou o seu desagrado intenso de entorpecentes e os efeitos nocivos físicos e emocionais que lhe causou .","Faixas como "" This Is the Place "" e "" Don't Forget Me "" , expressou o seu desagrado intenso de entorpecentes e os efeitos nocivos físicos e emocionais que causou lhe .",[0] -> [1] -> [2]
"Domínios magnéticos , ou províncias magnéticas , podem ser entendidos como áreas , inseridas em um contexto maior , que reúnem características próprias em a sua estruturação magnética que lhes permitem ser diferenciadas e mapeadas .","Domínios magnéticos , ou províncias magnéticas , podem ser entendidos como áreas , inseridas em um contexto maior , que reúnem características próprias em a sua estruturação magnética que permitem lhes ser diferenciadas e mapeadas .",[0] -> [1] -> [2]
"Perguntou , ainda , o que significa "" Renda Fixa Duração Baixa Grau de Investimento "" , classe de o fundo que lhe foi oferecido .","Perguntou , ainda , o que significa "" Renda Fixa Duração Baixa Grau de Investimento "" , classe de o fundo que foi oferecido lhe .",[0] -> [1] -> [2]
"Quem mais lhe marcou como arquiteto foi o franco - suíço Le Corbusier , que o introduziu em o ideário modernista .","Quem mais marcou lhe como arquiteto foi o franco - suíço Le Corbusier , que o introduziu em o ideário modernista .",[0] -> [1] -> [2]
"Uma tiragem de sortes que afastou os dois grandes ainda em prova , mas que leva o Sporting a receber uma equipa que lhe roubou , em Alvalade , um ponto para o « Nacional » , enquanto o FC Porto poderá ir a a Madeira defrontar a única equipa com quem sofreu uma derrota para o « Nacional » em esta temporada .","Uma tiragem de sortes que afastou os dois grandes ainda em prova , mas que leva o Sporting a receber uma equipa que roubou lhe , em Alvalade , um ponto para o « Nacional » , enquanto o FC Porto poderá ir a a Madeira defrontar a única equipa com quem sofreu uma derrota para o « Nacional » em esta temporada .",[0] -> [1] -> [2]
Os tensoativos possuem propriedades que lhes conferem características importantes .,Os tensoativos possuem propriedades que conferem lhes características importantes .,[0] -> [1] -> [2]
"Porque -- consideram os relatores , interpretando as diversas contribuições a o congresso -- « a natureza difícil de os problemas , a escala de tempo longa de a sua resolução , a sua raiz cultural e o facto que o objecto de as políticas não é outro senão a mudança de comportamentos de as comunidades educativa e científica , impõem uma implicação orgânica de essas comunidades em as políticas que lhes dizem respeito » .","Porque -- consideram os relatores , interpretando as diversas contribuições a o congresso -- « a natureza difícil de os problemas , a escala de tempo longa de a sua resolução , a sua raiz cultural e o facto que o objecto de as políticas não é outro senão a mudança de comportamentos de as comunidades educativa e científica , impõem uma implicação orgânica de essas comunidades em as políticas que dizem lhes respeito » .",[0] -> [1] -> [2]
"O taxista não se ficou e , com a segurança que a dimensão de o seu porte lhe dá , foi atrás de eles , exigindo o seu dinheiro .","O taxista não se ficou e , com a segurança que a dimensão de o seu porte dá lhe , foi atrás de eles , exigindo o seu dinheiro .",[0] -> [1] -> [2]
