sen_str,swapped_sen_str,leaf_rule
Serà quan se 'n tingui una bona quantitat que la plataforma les adreçarà a Loyola de Palacio acompanyant la carta .,Serà quan se 'n tingui una bona quantitat que la plataforma adreçarà les a Loyola de Palacio acompanyant la carta .,[0] -> [4] -> [5] -> [6]
"D' altra banda , s' ha creat l' apartat anomenat ' mainada-peques-kids ' , dedicat a els diabètics més joves .","D' altra banda , ha creat s' l' apartat anomenat ' mainada-peques-kids ' , dedicat a els diabètics més joves .",[0] -> [4] -> [5] -> [6]
"El grup socialista es va abstenir la setmana passada a l' elecció de els nou membres de el CAC , el nom de els quals havia estat pactat prèviament entre tots els grups , amb la qual cosa va bloquejar la constitució d' aquest òrgan per expressar el seu rebuig a el fet que encara no s' haguessin produït canvis a la cúpula directiva de la CCRTV , a el marge de el nomenament de Puig .","El grup socialista es va abstenir la setmana passada a l' elecció de els nou membres de el CAC , el nom de els quals havia estat pactat prèviament entre tots els grups , amb la qual cosa va bloquejar la constitució d' aquest òrgan per expressar el seu rebuig a el fet que encara no haguessin produït s' canvis a la cúpula directiva de la CCRTV , a el marge de el nomenament de Puig .",[0] -> [4] -> [5] -> [6]
"Pel que fa a la sanitat , Cañellas ha recordat que el 1995 va suggerir a el Departament de Sanitat de la Generalitat que s' adoptessin les mesures oportunes per "" agilitzar les intervencions quirúrgiques "" i evitar les llistes d' espera i que es fixessin "" terminis màxims perquè l' Administració es fes responsable de les operacions "" , i , en cas contrari , que els afectats poguessin recórrer a d' altres serveis sanitaris o que es reparessin els danys i perjudicis derivats de el retard .","Pel que fa a la sanitat , Cañellas ha recordat que el 1995 va suggerir a el Departament de Sanitat de la Generalitat que s' adoptessin les mesures oportunes per "" agilitzar les intervencions quirúrgiques "" i evitar les llistes d' espera i que es fixessin "" terminis màxims perquè l' Administració es fes responsable de les operacions "" , i , en cas contrari , que els afectats poguessin recórrer a d' altres serveis sanitaris o que reparessin es els danys i perjudicis derivats de el retard .",[0] -> [4] -> [5] -> [6]
"A el llarg de l' any 2004 , s' analitzarà , a través de diverses mostres , la relació de l' artista empordanès amb la cultura de masses , l' Empordà , el Manifest Groc , Antoni Gaudí , Federico García Lorca o el Quixot de Cervantes .","A el llarg de l' any 2004 , analitzarà s' , a través de diverses mostres , la relació de l' artista empordanès amb la cultura de masses , l' Empordà , el Manifest Groc , Antoni Gaudí , Federico García Lorca o el Quixot de Cervantes .",[0] -> [4] -> [5] -> [6]
"La posta d' una tortuga només dura 10 minuts , però si no es filma en aquell moment , s' ha d' esperar tot un any "" , confessa Sañé .","La posta d' una tortuga només dura 10 minuts , però si no filma es en aquell moment , s' ha d' esperar tot un any "" , confessa Sañé .",[0] -> [4] -> [5] -> [6]
Aquesta assignatura pendent que arrossegava des de la seva joventut ara li ha estat aprovada per un Tribunal de Compensació de la Universitat que té com a objectiu la resolució de casos extraordinaris .,Aquesta assignatura pendent que arrossegava des de la seva joventut ara ha estat aprovada li per un Tribunal de Compensació de la Universitat que té com a objectiu la resolució de casos extraordinaris .,[0] -> [4] -> [5] -> [6]
"Els preus van baixar a Catalunya una dècima el mes de setembre passat i la inflació interanual se situa , després d' aquesta baixada , en el 3,3 % , segons ha informat avui l' Instituto Nacional de Estadística .","Els preus van baixar a Catalunya una dècima el mes de setembre passat i la inflació interanual situa se , després d' aquesta baixada , en el 3,3 % , segons ha informat avui l' Instituto Nacional de Estadística .",[0] -> [4] -> [5] -> [6]
"La seva aplicació anirà a càrrec de l' Autoritat Antimonopolis , que només tindrà la facultat d' assenyalar possibles casos d' incompatibilitat , però no sancionar , cosa que farà el Parlament .","La seva aplicació anirà a càrrec de l' Autoritat Antimonopolis , que només tindrà la facultat d' assenyalar possibles casos d' incompatibilitat , però no sancionar , cosa farà que el Parlament .",[0] -> [4] -> [5] -> [6]
"Segons fonts municipals , el contingut de les propostes , que van ser presentades per el PSC-Ciutadans pel Canvi , ERC i CiU , era força similar i en la de el PSC , que va ser presentada per els diputats Joan Galcerán i David Pérez , no es descarta exigir responsabilitats a l' empresa Necso , encarregada de les obres de reparació .","Segons fonts municipals , el contingut de les propostes , que van ser presentades per el PSC-Ciutadans pel Canvi , ERC i CiU , era força similar i en la de el PSC , que va ser presentada per els diputats Joan Galcerán i David Pérez , no descarta es exigir responsabilitats a l' empresa Necso , encarregada de les obres de reparació .",[0] -> [4] -> [5] -> [6]
"El que també es desconeix és qui serà el conductor de l' embarcació , tot i que segurament serà algun de els tres primers esportistes de el rànquing espanyol de windsurf .","El que també desconeix es és qui serà el conductor de l' embarcació , tot i que segurament serà algun de els tres primers esportistes de el rànquing espanyol de windsurf .",[0] -> [4] -> [5] -> [6]
"Els seus dos films estrella , Carib's Leap i Western Deep es fusionen per donar peu a la primera retrospectiva real de McQueen a Catalunya , un viatge a el passat on es recull des de el primer film ' Bear ' ( 1993 ) amb el qual va debutar i va aconseguir el premi Turner de el Royal College of Art de Londres , fins obres com ' Exodus ' ( 1992/1997 ) , on mostra com homes cosmopolites vestits amb elegància transporten palmeres entre la multitud d' un carrer londinenc .","Els seus dos films estrella , Carib's Leap i Western Deep fusionen es per donar peu a la primera retrospectiva real de McQueen a Catalunya , un viatge a el passat on es recull des de el primer film ' Bear ' ( 1993 ) amb el qual va debutar i va aconseguir el premi Turner de el Royal College of Art de Londres , fins obres com ' Exodus ' ( 1992/1997 ) , on mostra com homes cosmopolites vestits amb elegància transporten palmeres entre la multitud d' un carrer londinenc .",[0] -> [4] -> [5] -> [6]
En aquesta nova etapa es proposa atraure el màxim nombre possible de públic a través de multiplicar l' oferta d' escurabutxaques .,En aquesta nova etapa proposa es atraure el màxim nombre possible de públic a través de multiplicar l' oferta d' escurabutxaques .,[0] -> [4] -> [5] -> [6]
El jutjat d' instrucció número 2 de Vilanova i la Geltrú ( Garraf ) s' ha fet càrrec de les investigacions que s' han obert per un delicte de lesions .,El jutjat d' instrucció número 2 de Vilanova i la Geltrú ( Garraf ) s' ha fet càrrec de les investigacions que han obert s' per un delicte de lesions .,[0] -> [4] -> [5] -> [6]
"D' altra banda , els agricultors asseguren que ja tenen concedida des de 1971 una concessió d' aigua d' hivern de 4,6 metres cúbics per segon durant 14 hores diàries que els permetria salvar la campanya de cereals i es pregunten on és aquesta aigua .","D' altra banda , els agricultors asseguren que ja tenen concedida des de 1971 una concessió d' aigua d' hivern de 4,6 metres cúbics per segon durant 14 hores diàries que els permetria salvar la campanya de cereals i es pregunten és on aquesta aigua .",[0] -> [4] -> [5] -> [6]
"Lagun Aro , fons de pensions de la Corporació Cooperativa Mondragón ja ha pres posició sobre l' OPA llançada per el Deutsche Bank en decidir que no acudirà a l' oferta per considerar la "" barata "" , i encara que no jutja d' "" hostil "" aquesta Oferta Pública , sí que l' ha definit com "" poc amistosa "" .","Lagun Aro , fons de pensions de la Corporació Cooperativa Mondragón ja ha pres posició sobre l' OPA llançada per el Deutsche Bank en decidir que no acudirà a l' oferta per considerar la "" barata "" , i encara que no jutja d' "" hostil "" aquesta Oferta Pública , sí que ha definit l' com "" poc amistosa "" .",[0] -> [4] -> [5] -> [6]
