sen_str,swapped_sen_str,leaf_rule
Агымдагы елның сентябрендә Түбән Кама эзтабарлары Кырымнан килгән хезмәттәшләре белән берлектә сугыш узган урыннарда казу эшләре оештырган .,Агымдагы елның сентябрендә Түбән Кама эзтабарлары Кырымнан килгән хезмәттәшләре белән берлектә узган сугыш урыннарда казу эшләре оештырган .,[0] -> [1]
"« Математика һәм чит тел , тарих һәм чит тел буенча белем алган белгечләр мәктәпләргә кирәк , алар төпләнеп калыр дип өметләнәбез » , — дип белдерде ул .","« Математика һәм чит тел , тарих һәм чит тел буенча белем алган белгечләр мәктәпләргә кирәк , төпләнеп алар калыр дип өметләнәбез » , — дип белдерде ул .",[0] -> [1]
Социаль челтәрдә Казанда Тукай урамында низаг вакытында билгесез кеше ир-атны юлга этеп чыгарган һәм аны автомобиль таптаткан .,Социаль челтәрдә Казанда Тукай урамында низаг вакытында ир-атны юлга этеп билгесез кеше чыгарган һәм аны автомобиль таптаткан .,[0] -> [1]
"Ихтыяҗ булса , аларның саны арттырылачак .","Ихтыяҗ булса , арттырылачак аларның саны .",[0] -> [1]
"Әмма сәүдә үзәгендә вакцинация пунктына аерым керү урыны оештырылса , ул барлык теләүчеләр өчен эшне дәвам итәчәк .","Әмма сәүдә үзәгендә оештырылса вакцинация пунктына аерым керү урыны , ул барлык теләүчеләр өчен эшне дәвам итәчәк .",[0] -> [1]
"Согуд Гарәбстаны рәсми рәвештә игълан итүенчә , быел бөтен дөньядан 1 млн кеше хаҗ кыла алачак .","Согуд Гарәбстаны рәсми рәвештә игълан итүенчә , быел бөтен дөньядан хаҗ кыла 1 млн кеше алачак .",[0] -> [1]
"Татарстанның мәгариф һәм фән министры Илсур Һадиуллин әйтүенчә , укытучыларны мәктәпләрдә тотып калу өчен , халык тарафыннан яхшы мөнәсәбәт кирәк .","Татарстанның мәгариф һәм фән министры Илсур Һадиуллин әйтүенчә , укытучыларны мәктәпләрдә тотып калу өчен , кирәк халык тарафыннан яхшы мөнәсәбәт .",[0] -> [1]
"Татарстанда томан төшәчәк , күз күреме 500 метр яки кимрәк булырга мөмкин .","Татарстанда төшәчәк томан , күз күреме 500 метр яки кимрәк булырга мөмкин .",[0] -> [1]
Гади сүз белән әйткәндә суда тутык бар .,Гади сүз белән әйткәндә суда бар тутык .,[0] -> [1]
Азнакайның Яңа юл бистәсендәге күп функцияле үзәктә биредә туып - үскән Рамил Фәттаховның фотокүргәзмәсе тәкъдим ителгән .,Азнакайның Яңа юл бистәсендәге күп функцияле үзәктә тәкъдим ителгән биредә туып - үскән Рамил Фәттаховның фотокүргәзмәсе .,[0] -> [1]
"Тикшерү ачыклаганча , бу хәл 5 октябрьдә кич булган .","Тикшерү ачыклаганча , 5 октябрьдә кич булган бу хәл .",[0] -> [1]
Яңгыр яву һәм яшен булу ихтималы саклана .,Яңгыр яву һәм булу яшен ихтималы саклана .,[0] -> [1]
Шулай ук үзең белән коронавируска каршы прививка ясатылган сертификат һәм ПЦР-тест булырга тиеш .,Шулай ук үзең белән булырга коронавируска каршы прививка ясатылган сертификат һәм ПЦР-тест тиеш .,[0] -> [1]
"« Курскта яшәүчеләр дә , бөтен ил халкының да ковидтан саклануның төп юлы — вакцинация икәнен аңлаулары бик мөһим » , — дип китерелә Мишустин сүзләре ил Хөкүмәтенең телеграм-каналында .","« Курскта яшәүчеләр дә , бөтен ил халкының да — вакцинация ковидтан саклануның төп юлы икәнен аңлаулары бик мөһим » , — дип китерелә Мишустин сүзләре ил Хөкүмәтенең телеграм-каналында .",[0] -> [1]
"Ул халык санын алу бик мөһим , җаваплы чор булганын искәртте .","Ул бик мөһим , җаваплы чор булганын халык санын алу искәртте .",[0] -> [1]
"Ул мюзиклны төшерү турында килешү төзелгәнен , хәзер матди яктан ярдәм кирәклеген әйтте .","Ул мюзиклны төшерү турында килешү төзелгәнен , хәзер матди яктан кирәклеген ярдәм әйтте .",[0] -> [1]
"« Курскта яшәүчеләр дә , бөтен ил халкының да ковидтан саклануның төп юлы — вакцинация икәнен аңлаулары бик мөһим » , — дип китерелә Мишустин сүзләре ил Хөкүмәтенең телеграм-каналында .","« бик мөһим Курскта яшәүчеләр дә , бөтен ил халкының да ковидтан саклануның төп юлы — вакцинация икәнен аңлаулары » , — дип китерелә Мишустин сүзләре ил Хөкүмәтенең телеграм-каналында .",[0] -> [1]
"Кызганычка , төрле ярышларда күп тапкырлар җиңү яулаган район баһадиры пневмонияне җиңә алмады .","Кызганычка , пневмонияне җиңә төрле ярышларда күп тапкырлар җиңү яулаган район баһадиры алмады .",[0] -> [1]
Агымдагы елның сентябрендә Түбән Кама эзтабарлары Кырымнан килгән хезмәттәшләре белән берлектә сугыш узган урыннарда казу эшләре оештырган .,Агымдагы елның сентябрендә Кырымнан килгән хезмәттәшләре белән берлектә сугыш узган урыннарда казу эшләре оештырган Түбән Кама эзтабарлары .,[0] -> [1]
Быел хаҗга яше 65тән артмаган кешеләр бара алачак .,Быел хаҗга 65тән артмаган яше кешеләр бара алачак .,[0] -> [1]
"Үрчү сәләте ягыннан татар милләте болай да утрак , төпле гаиләле халык .","Үрчү сәләте ягыннан болай да утрак татар милләте , төпле гаиләле халык .",[0] -> [1]
« Безнең бурыч - планлаштырылган эшләрне нәтиҗәле башкару .,« - планлаштырылган эшләрне нәтиҗәле башкару Безнең бурыч .,[0] -> [1]
Белешмәлекне Төмән өлкәсендә дини вәзгыятьне өйрәнү белән шөгыльләнүче белгечләргә ислам объектларында эшләүчеләр куллана ала .,Белешмәлекне куллана Төмән өлкәсендә дини вәзгыятьне өйрәнү белән шөгыльләнүче белгечләргә ислам объектларында эшләүчеләр ала .,[0] -> [1]
« Ил күләмендә татарларның саны кимемәсен иде дип теләр идем .,« Ил күләмендә кимемәсен татарларның саны иде дип теләр идем .,[0] -> [1]
"Безнең күп төрле җәмәгать оешмалары , матбугат чаралары , сәнгать учреждениеләре белән уртак проектлар гамәлдә .","Безнең күп төрле җәмәгать оешмалары , матбугат чаралары , сәнгать учреждениеләре белән гамәлдә уртак проектлар .",[0] -> [1]
Котлауларны журналның баш мөхәррире Рөстәм Галиуллин кабул итеп алды .,Котлауларны кабул итеп журналның баш мөхәррире Рөстәм Галиуллин алды .,[0] -> [1]
"Әгерҗедә спортчы , Чечня Республикасы территориясендә хәрби конфликтта катнашкан хәрби хәрәкәтләр ветераны Антон Шушпанов вафат .","Әгерҗедә вафат спортчы , Чечня Республикасы территориясендә хәрби конфликтта катнашкан хәрби хәрәкәтләр ветераны Антон Шушпанов .",[0] -> [1]
Ә милләтле халык телле булырга тиеш .,Ә телле булырга милләтле халык тиеш .,[0] -> [1]
"Әлбәттә , бер ел эчендә барысын да эшләп бетерү мөмкин түгел .","Әлбәттә , мөмкин бер ел эчендә барысын да эшләп бетерү түгел .",[0] -> [1]
"« Математика һәм чит тел , тарих һәм чит тел буенча белем алган белгечләр мәктәпләргә кирәк , алар төпләнеп калыр дип өметләнәбез » , — дип белдерде ул .","« мәктәпләргә кирәк Математика һәм чит тел , тарих һәм чит тел буенча белем алган белгечләр , алар төпләнеп калыр дип өметләнәбез » , — дип белдерде ул .",[0] -> [1]
Россиядән 11318 кеше Хаҗга бара алачак .,Россиядән Хаҗга бара 11318 кеше алачак .,[0] -> [1]
Монда үз милләтләренең асыл егетләре җыелган .,Монда җыелган үз милләтләренең асыл егетләре .,[0] -> [1]
"Альберт Ризванов сүзләренә караганда , аларны башка илләргә сәяхәт итүчеләр алып кайтырга мөмкин .","Альберт Ризванов сүзләренә караганда , аларны алып башка илләргә сәяхәт итүчеләр кайтырга мөмкин .",[0] -> [1]
"Һәлак булган сугышчының сөякләре янында медальоны да табылган , шуның буенча аның шәхесен ачыклый алганнар .","Һәлак булган сугышчының сөякләре янында табылган медальоны да , шуның буенча аның шәхесен ачыклый алганнар .",[0] -> [1]
Моңа кадәр республиканың Гидрометеоүзәге Татарстан халкын яшенләр көтелүе һәм көчле җил турында кисәткән иде .,Моңа кадәр Татарстан халкын яшенләр көтелүе һәм көчле җил турында кисәткән республиканың Гидрометеоүзәге иде .,[0] -> [1]
"Түбән Кама районының торак пунктларында « Юл - урам челтәрен норматив хәлгә китерү » программасы буенча 50 миллион сумлык эшләр планлаштырылган , моңа Борок , Югары Чаллы , Актүбә , Сухрау , Каенлы , Олы Афанас авыллары керә .","Түбән Кама районының торак пунктларында « Юл - урам челтәрен норматив хәлгә китерү » программасы буенча планлаштырылган 50 миллион сумлык эшләр , моңа Борок , Югары Чаллы , Актүбә , Сухрау , Каенлы , Олы Афанас авыллары керә .",[0] -> [1]
Коронавирустан саклануның төп ысулы вакцинация булып тора — башка юл юк .,Коронавирустан саклануның төп ысулы вакцинация булып тора — юк башка юл .,[0] -> [1]
Социаль челтәрдә Казанда Тукай урамында низаг вакытында билгесез кеше ир-атны юлга этеп чыгарган һәм аны автомобиль таптаткан .,Социаль челтәрдә Казанда Тукай урамында низаг вакытында билгесез кеше ир-атны юлга этеп чыгарган һәм аны таптаткан автомобиль .,[0] -> [1]
"Шуңа да карамастан , шәһәр һәм районда ремонт таләп итә торган автоюллар күләме бик зур кала бирә һәм шикаятьләр күп килә .","Шуңа да карамастан , шәһәр һәм районда бик зур кала ремонт таләп итә торган автоюллар күләме бирә һәм шикаятьләр күп килә .",[0] -> [1]
"Әмма сәүдә үзәгендә вакцинация пунктына аерым керү урыны оештырылса , ул барлык теләүчеләр өчен эшне дәвам итәчәк .","Әмма сәүдә үзәгендә вакцинация пунктына аерым керү урыны оештырылса , барлык теләүчеләр өчен эшне дәвам ул итәчәк .",[0] -> [1]
"Дәүләт дәрәҗәсендә борчылып сөйлиләр , ә менә халык , массакүләм мәгълүмат чаралары , башка оешмалар тарафыннан әгәр аларга яхшы караш булмаса , ул бик катлаулы » , — диде министр « Татар-информ » хәбәрчесенә .","Дәүләт дәрәҗәсендә борчылып сөйлиләр , ә әгәр булмаса менә халык , массакүләм мәгълүмат чаралары , башка оешмалар тарафыннан аларга яхшы караш , ул бик катлаулы » , — диде министр « Татар-информ » хәбәрчесенә .",[0] -> [1]
"Татарстан Гидрометеорология һәм әйләнә-тирә мохитне күзәтү үзәге хәбәр иткәнчә , һава торышы болытлы һәм коры булачак .","Татарстан Гидрометеорология һәм әйләнә-тирә мохитне күзәтү үзәге хәбәр иткәнчә , болытлы һәм коры булачак һава торышы .",[0] -> [1]
"Бәлки , ике төрлесен дә күрсәтеп , комбинация ясау кирәктер .","Бәлки , кирәктер ике төрлесен дә күрсәтеп , комбинация ясау .",[0] -> [1]
"Шәһәр җирлегенә генә дә 15 миллиард тирәсе акча кирәк » , - диде Рамил Муллин .","Шәһәр җирлегенә генә дә кирәк 15 миллиард тирәсе акча » , - диде Рамил Муллин .",[0] -> [1]
