sen_str,swapped_sen_str,leaf_rule
બંધારણ ની ૩૭૦ ની કલમ અને ૩૫-એ કલમ કાશ્મિર ના લોકોને ખાસ દરજ્જો આપે છે .,બંધારણ ની ૩૭૦ ની કલમ અને ૩૫-એ કલમ ખાસ દરજ્જો આપે કાશ્મિર ના લોકોને છે .,[0]
"ઉત્તરપ્રદેશ / ઉન્નાવ અકસ્માત મામલે CBIએ ચાર્જશીટ દાખલ કરી , કુલદીપ સેંગર સહિત કોઈ પર _ _ આરોપ નહીં","ઉત્તરપ્રદેશ / ઉન્નાવ અકસ્માત મામલે CBIએ ચાર્જશીટ દાખલ કરી , _ _ આરોપ કુલદીપ સેંગર સહિત કોઈ પર નહીં",[0]
હું ઘરે આવીશ અને તને ફોન કરીશ .,હું ઘરે આવીશ અને ફોન કરીશ તને .,[0]
છોક્રીએ તે ની બહેનપણીને પત્ર લખ્યો .,છોક્રીએ પત્ર લખ્યો તે ની બહેનપણીને .,[0]
"બોલિવૂડમાંથી કંગના રનૌત , એકતા કપૂર , અદનાન સામી , કરન જોહરને પણ પદ્મશ્રી એવોર્ડ આપવા ની જાહેરાત થઈ છે .","બોલિવૂડમાંથી પદ્મશ્રી એવોર્ડ આપવા ની જાહેરાત થઈ કંગના રનૌત , એકતા કપૂર , અદનાન સામી , કરન જોહરને પણ છે .",[0]
_ _ કાર્યાલય પ્રધાનમંત્રીએ રાષ્ટ્રીય મતદાતા દિવસ નિમિત્તે શુભેચ્છા પાઠવી પ્રધાનમંત્રી શ્રી નરેન્દ્ર મોદીએ આજે રાષ્ટ્રીય મતદાતા દિવસ નિમિત્તે લોકોને શુભેચ્છા પાઠવી હતી .,_ _ કાર્યાલય પ્રધાનમંત્રીએ રાષ્ટ્રીય મતદાતા દિવસ નિમિત્તે શુભેચ્છા પાઠવી પ્રધાનમંત્રી શ્રી નરેન્દ્ર મોદીએ આજે રાષ્ટ્રીય મતદાતા દિવસ નિમિત્તે શુભેચ્છા પાઠવી લોકોને હતી .,[0]
""" હા ! “ મેં નાનકડા રાજકુમારને કહ્યું .",""" હા ! “ મેં કહ્યું નાનકડા રાજકુમારને .",[0]
મિતાએ લિનાને ચોપડી આપી .,મિતાએ ચોપડી આપી લિનાને .,[0]
મિતાએ મગનને કહ્યું .,મિતાએ કહ્યું મગનને .,[0]
એટલે જ ઈસુએ ફરીથી લોકોને ઉત્પત્તિ ના પુસ્તકમાં જણાવેલો નિયમ યાદ દેવડાવ્યો .,એટલે જ ઈસુએ ફરીથી ઉત્પત્તિ ના પુસ્તકમાં જણાવેલો નિયમ યાદ દેવડાવ્યો લોકોને .,[0]
