sen_str,swapped_sen_str,leaf_rule
"Näʹde son âʹtte puk oudd , di jiõčč tietenki tok kuättses mâânn , leša tõʹst ij šõõdd šiõǥǥ jieʹllem , puk ku väldd čeäkklee jällmõõžž .","Näʹde âʹtte puk oudd son , di jiõčč tietenki tok kuättses mâânn , leša tõʹst ij šõõdd šiõǥǥ jieʹllem , puk ku väldd čeäkklee jällmõõžž .",[0] -> [1] -> [2]
"Mõõni , mõõni de kueʹtt lij , kämmǥa kueʹtt lij , di son mõõni tõzz de tut ceälkk što : ” No mõõzz ton puõʹttiǩ .","Mõõni , mõõni de kueʹtt lij , kämmǥa kueʹtt lij , di son mõõni tõzz de tut ceälkk što : ” No mõõzz puõʹttiǩ ton .",[0] -> [1] -> [2]
"De son vaaʹldi , mõõni di heävaš ǩiʹcsti di de son vaaʹldi , ǩeässti di vuejjli .","De vaaʹldi son , mõõni di heävaš ǩiʹcsti di de son vaaʹldi , ǩeässti di vuejjli .",[0] -> [1] -> [2]
Mutta mon jiõm muuʹšt mainsted puârast .,Mutta jiõm muuʹšt mon mainsted puârast .,[0] -> [1] -> [2]
A mäʹhtt šât ton še puõʹttiǩ . ”,A mäʹhtt šât puõʹttiǩ ton še . ”,[0] -> [1] -> [2]
"De son âʹtte mõõni , kuälmad vuâra juʹn mõõni , mõõni de sami siõm heäppaž ââlǥaž ǩiʹcsti .","De âʹtte mõõni son , kuälmad vuâra juʹn mõõni , mõõni de sami siõm heäppaž ââlǥaž ǩiʹcsti .",[0] -> [1] -> [2]
"” Äʹn , äʹn kâʹl mon piâzzam , ” ceälkk , ” ko dõõn ... ”","” Äʹn , äʹn kâʹl piâzzam mon , ” ceälkk , ” ko dõõn ... ”",[0] -> [1] -> [2]
No son mâʹst teâtt ...,No mâʹst teâtt son ...,[0] -> [1] -> [2]
Kâʹl son peäss .,Kâʹl peäss son .,[0] -> [1] -> [2]
Âʹpet puõʹtte ceäʹlǩǩe : ” Ton čuõppõõllâd õõk . ”,Âʹpet puõʹtte ceäʹlǩǩe : ” čuõppõõllâd Ton õõk . ”,[0] -> [1] -> [2]
Di kaavân ǥu vaaʹldi de ton âʹtte šõʹddiǩ .,Di kaavân ǥu vaaʹldi de âʹtte šõʹddiǩ ton .,[0] -> [1] -> [2]
"Leäi , leäi di âʹpet ooumaž lij tõn niõđ teâđstam di son tõn niõđ vuõddmâstõlškuõʹđi ja sitten son mâŋŋa vaaʹldi kaavân .","Leäi , leäi di âʹpet ooumaž lij tõn niõđ teâđstam di tõn niõđ vuõddmâstõlškuõʹđi son ja sitten son mâŋŋa vaaʹldi kaavân .",[0] -> [1] -> [2]
"Na son âʹtte pohtt puk jällmõõžžâz toʹben , pohtt , pohtt , pohtt , pohtt tõzz ool de iʹlmstââvv .","Na âʹtte pohtt son puk jällmõõžžâz toʹben , pohtt , pohtt , pohtt , pohtt tõzz ool de iʹlmstââvv .",[0] -> [1] -> [2]
"Joo mon tõn räjja teâđam , jäänab jiõm tieʹđ .","Joo tõn räjja teâđam mon , jäänab jiõm tieʹđ .",[0] -> [1] -> [2]
"Na son njuiʹǩǩii pâʹjjel tõn tueʹllj , njuiʹǩǩii de kuåsti mutta õhtt peäʹlǧǧ kuõski de tõt šõõddi kämmǥa peäʹlǧǧ .","Na njuiʹǩǩii son pâʹjjel tõn tueʹllj , njuiʹǩǩii de kuåsti mutta õhtt peäʹlǧǧ kuõski de tõt šõõddi kämmǥa peäʹlǧǧ .",[0] -> [1] -> [2]
De son vuõʹlji . ”,De vuõʹlji son . ”,[0] -> [1] -> [2]
No son ceälkk : ” Håʹt muʹvddem heävaš ǩiʹcstež di väʹldded õõk tõn . ”,No ceälkk son : ” Håʹt muʹvddem heävaš ǩiʹcstež di väʹldded õõk tõn . ”,[0] -> [1] -> [2]
De âʹpet âʹtte ... mõõn sij vâl leʹjje hoʹhssjam .,De âʹpet âʹtte ... mõõn vâl leʹjje hoʹhssjam sij .,[0] -> [1] -> [2]
"No kuuʹǩǩ ääiʹj mij jieʹlim ... ” , jeäʹnnes ceälkk , ” jiõm leäkku kooǯǯtam .","No kuuʹǩǩ ääiʹj jieʹlim mij ... ” , jeäʹnnes ceälkk , ” jiõm leäkku kooǯǯtam .",[0] -> [1] -> [2]
"No son âʹtte vaaʹldi , teä koll’je , puõʹtte teâđast kaarbivuiʹm käʹrbbe , šeʹlle , puõʹtte .","No âʹtte vaaʹldi son , teä koll’je , puõʹtte teâđast kaarbivuiʹm käʹrbbe , šeʹlle , puõʹtte .",[0] -> [1] -> [2]
"Leäi , leäi di âʹpet ooumaž lij tõn niõđ teâđstam di son tõn niõđ vuõddmâstõlškuõʹđi ja sitten son mâŋŋa vaaʹldi kaavân .","Leäi , leäi di âʹpet ooumaž lij tõn niõđ teâđstam di son tõn niõđ vuõddmâstõlškuõʹđi ja sitten mâŋŋa vaaʹldi son kaavân .",[0] -> [1] -> [2]
"Räʹjje , räʹjje muõrid de son ceälkk što « ååʹn tij mõõnnâd kuätta ja mon vuâlǥam » , ceälkk « vâl viǯǯled vuâlǥam muõrid » .","Räʹjje , räʹjje muõrid de son ceälkk što « ååʹn mõõnnâd tij kuätta ja mon vuâlǥam » , ceälkk « vâl viǯǯled vuâlǥam muõrid » .",[0] -> [1] -> [2]
"Di son âʹtte mõõni måttam äitta di dõõt heävaš åårr pâjspõõđi , košklõõvvâm .","Di âʹtte mõõni son måttam äitta di dõõt heävaš åårr pâjspõõđi , košklõõvvâm .",[0] -> [1] -> [2]
"Kåʹddpäärnaž , kåʹddpäärnaž , ton veʹt vueʹljžiǩ-a , ton veʹt vueʹljžiǩ .","Kåʹddpäärnaž , kåʹddpäärnaž , veʹt vueʹljžiǩ-a ton , ton veʹt vueʹljžiǩ .",[0] -> [1] -> [2]
"Kâʹl son še vuâlgg , aštââll , kâʹl son še vuâlgg .","Kâʹl vuâlgg son še , aštââll , kâʹl son še vuâlgg .",[0] -> [1] -> [2]
"Näʹde son mååusat ǩieʹzzškuõʹđi , mååusat ǩieʹzzi , ǩieʹzzi , ǩieʹzzi , ǩieʹzzi da vuõssmõõzzâst puõʹđi vuäʹbbes .","Näʹde mååusat ǩieʹzzškuõʹđi son , mååusat ǩieʹzzi , ǩieʹzzi , ǩieʹzzi , ǩieʹzzi da vuõssmõõzzâst puõʹđi vuäʹbbes .",[0] -> [1] -> [2]
"Muu ko kooʹddže de aaudže de tueʹllj piijže dõõzz-e kuäʹttnjälmma de näʹde ton õõk njuiʹǩǩeed pâʹjjel tõn tueʹllj õõk njuiʹǩǩeed , di jos piâzzžiǩ pâʹjjel tueʹllj de teʹl jiâ kååʹdd tuu . ”","Muu ko kooʹddže de aaudže de tueʹllj piijže dõõzz-e kuäʹttnjälmma de näʹde õõk ton njuiʹǩǩeed pâʹjjel tõn tueʹllj õõk njuiʹǩǩeed , di jos piâzzžiǩ pâʹjjel tueʹllj de teʹl jiâ kååʹdd tuu . ”",[0] -> [1] -> [2]
"De eččad puõʹđi , eččad puõʹđi mieʹccest de ceälkk : ’ Jaa ton leäk kåʹddtueʹllj kooǯǯtam pärnna .","De eččad puõʹđi , eččad puõʹđi mieʹccest de ceälkk : ’ Jaa leäk kåʹddtueʹllj kooǯǯtam ton pärnna .",[0] -> [1] -> [2]
– ” No mâiʹd ton täättak ? ”,– ” No mâiʹd täättak ton ? ”,[0] -> [1] -> [2]
"Bieʹss a ko mâânn , son pâi looʹǩǩid käʹttli di tolljoʹǩǩe vueʹlǧǧii .","Bieʹss a ko mâânn , pâi looʹǩǩid käʹttli son di tolljoʹǩǩe vueʹlǧǧii .",[0] -> [1] -> [2]
"De suu teâđast ... son käggõõđi teä suu koʹdde , pačču di koʹdde .","De suu teâđast ... käggõõđi son teä suu koʹdde , pačču di koʹdde .",[0] -> [1] -> [2]
Näʹde son âʹtte piâzzad ij piâzz di tuk âʹtte teâđast liâ tääiʹben peäʹsse di ...,Näʹde âʹtte piâzzad son ij piâzz di tuk âʹtte teâđast liâ tääiʹben peäʹsse di ...,[0] -> [1] -> [2]
Nuʹbb ceälkk : ” Mon jiõm kuâddam čääʹʒʒ . ”,Nuʹbb ceälkk : ” jiõm kuâddam Mon čääʹʒʒ . ”,[0] -> [1] -> [2]
