sen_str,swapped_sen_str,leaf_rule
ହରିୟାଣା ମୁଖ୍ୟମନ୍ତ୍ରୀ ମନୋହର ଲାଲ ଖଟ୍ଟର ମଧ୍ୟ ଗଣତନ୍ତ୍ରର ମହାପର୍ବରେ ନିଜକୁ ସାମିଲ କରିଛନ୍ତି ।,ହରିୟାଣା ମୁଖ୍ୟମନ୍ତ୍ରୀ ମନୋହର ଲାଲ ଖଟ୍ଟର ମଧ୍ୟ ଗଣତନ୍ତ୍ରର ମହାପର୍ବରେ ସାମିଲ କରିଛନ୍ତି ନିଜକୁ ।,[0]
ସ୍ଥାନୀୟ କୋର୍ଟ ସେମାନଙ୍କ ଜାମିନ ନାମଞ୍ଜୁର କରିବାଫଳରେ ସେମାନଙ୍କୁ ଜେଲ ହାଜତକୁ ପଠାଇଦିଆଯାଇଛି ।,ସ୍ଥାନୀୟ କୋର୍ଟ ସେମାନଙ୍କ ଜାମିନ ନାମଞ୍ଜୁର କରିବାଫଳରେ ଜେଲ ହାଜତକୁ ପଠାଇଦିଆଯାଇଛି ସେମାନଙ୍କୁ ।,[0]
ଘଟଣାସ୍ଥଳରେ ସ୍ଥାନୀୟ ଲୋକ ଆହତଙ୍କୁ ଉଦ୍ଧାର କରିଥିଲେ ।,ଘଟଣାସ୍ଥଳରେ ସ୍ଥାନୀୟ ଲୋକ ଉଦ୍ଧାର କରିଥିଲେ ଆହତଙ୍କୁ ।,[0]
ସ୍ଥାନୀୟ କୋର୍ଟ ସେମାନଙ୍କ ଜାମିନ ନାମଞ୍ଜୁର କରିବାଫଳରେ ସେମାନଙ୍କୁ ଜେଲ ହାଜତକୁ ପଠାଇଦିଆଯାଇଛି ।,ସ୍ଥାନୀୟ କୋର୍ଟ ଜାମିନ ସେମାନଙ୍କ ନାମଞ୍ଜୁର କରିବାଫଳରେ ସେମାନଙ୍କୁ ଜେଲ ହାଜତକୁ ପଠାଇଦିଆଯାଇଛି ।,[0]
ପ୍ରଧାନମନ୍ତ୍ରୀ ମୋଦୀଙ୍କ ମା’ ଗୁଜୁରାଟର ଗାନ୍ଧୀନଗରରେ ନିଜର ଅନ୍ୟ ଏକ ପୁଅ ସହିତ ରୁହନ୍ତି ।,ପ୍ରଧାନମନ୍ତ୍ରୀ ମୋଦୀଙ୍କ ମା’ ଗୁଜୁରାଟର ଗାନ୍ଧୀନଗରରେ ସହିତ ରୁହନ୍ତି ନିଜର ଅନ୍ୟ ଏକ ପୁଅ ।,[0]
ସେମାନେ ଯୀଶୁଙ୍କ ଛଡା ଆଉ କାହାରିକୁ ଦେଖିଲେ ନାହିଁ ।,ସେମାନେ ଯୀଶୁଙ୍କ ଛଡା ଦେଖିଲେ ଆଉ କାହାରିକୁ ନାହିଁ ।,[0]
କଂଗ୍ରେସ ରାଜ୍ୟପାଳଙ୍କୁ ଭେଟି ରାଜ୍ୟରେ ରାଷ୍ଟ୍ରପତି ଶାସନ ଜାରି କରିବା ନେଇ ସୁପାରିଶ କରିବାକୁ ଦାବି କରିଛି ।,କଂଗ୍ରେସ ଭେଟି ରାଜ୍ୟରେ ରାଷ୍ଟ୍ରପତି ଶାସନ ଜାରି କରିବା ନେଇ ସୁପାରିଶ କରିବାକୁ ଦାବି କରିଛି ରାଜ୍ୟପାଳଙ୍କୁ ।,[0]
ପୁଲିସ ଘଟଣାସ୍ଥଳରେ ପହଞ୍ଚି ଶବକୁ ଜବତ କରି ବ୍ୟବଚ୍ଛେଦ ପାଇଁ ପଠାଇ ଦେଇଛି ।,ପୁଲିସ ଘଟଣାସ୍ଥଳରେ ପହଞ୍ଚି ଜବତ କରି ବ୍ୟବଚ୍ଛେଦ ପାଇଁ ପଠାଇ ଶବକୁ ଦେଇଛି ।,[0]
ଏହି ପ୍ରସଙ୍ଗକୁ ନେଇ ଉଭୟ ଉଭୟଙ୍କୁ କଟାକ୍ଷ କରୁଛନ୍ତି ।,ଏହି ପ୍ରସଙ୍ଗକୁ ନେଇ ଉଭୟ କଟାକ୍ଷ କରୁଛନ୍ତି ଉଭୟଙ୍କୁ ।,[0]
ପ୍ରଶ୍ନ : ମୁଁ ଅନ୍ୟମାନଙ୍କ ସାଙ୍ଗରେ ମିଳାମିଶା କରିପାରିବି କି ?,ପ୍ରଶ୍ନ : ମୁଁ ମିଳାମିଶା ଅନ୍ୟମାନଙ୍କ ସାଙ୍ଗରେ କରିପାରିବି କି ?,[0]
