sen_str,swapped_sen_str,leaf_rule
"Agentlikdan aytishlaricha , Abe asosiy vazirlarni saqlab qoladi va radikal oʻzgarishlardan voz kechishi mumkin .","Agentlikdan aytishlaricha , Abe asosiy vazirlarni saqlab qoladi va voz radikal oʻzgarishlardan kechishi mumkin .",[0]
Ertalab Deniz Oyxonga kitobni berdimi ?,Ertalab Deniz Oyxonga berdimi kitobni ?,[0]
"Hordiq chiqarishning eng yaxshi usullaridan biri — bu sevimli musiqani yoqib , goʻzal manzaralardan bahramand boʻlib yugurish .","Hordiq chiqarishning eng yaxshi usullaridan biri — bu yoqib sevimli musiqani , goʻzal manzaralardan bahramand boʻlib yugurish .",[0]
Deniz kitobni uyiga olib ketdi .,Deniz uyiga olib ketdi kitobni .,[0]
U eriga mashinani yuvdirdi .,U eriga yuvdirdi mashinani .,[0]
Qish sovuqlarida odamlar ogʻzidan hovur chiqa - chiqa toʻy - tomosha qilishadi .,Qish sovuqlarida odamlar ogʻzidan hovur chiqa - chiqa qilishadi toʻy - tomosha .,[0]
Perulik sudya Mario Gerra Bonifasio mamlakat sobiq prezidenti Alexandro Toledo va uning turmush oʻrtogʻi Eliane Karpni hibsga olishga order berdi .,Perulik sudya Mario Gerra Bonifasio berdi mamlakat sobiq prezidenti Alexandro Toledo va uning turmush oʻrtogʻi Eliane Karpni hibsga olishga order .,[0]
"Ha , shamol kimsasiz maskanlardagi oq qorlarning toʻzonini supurib oʻynaydi .","Ha , shamol supurib kimsasiz maskanlardagi oq qorlarning toʻzonini oʻynaydi .",[0]
Elektr energiyasi uzilishi birgina Argentinaning oʻzida 48 million kishiga taʼsir koʻrsatgan .,Elektr energiyasi uzilishi birgina Argentinaning oʻzida taʼsir koʻrsatgan 48 million kishiga .,[0]
Postga bildirilgan izohlarda ham turli fikrlarni oʻqish mumkin .,Postga bildirilgan izohlarda ham oʻqish turli fikrlarni mumkin .,[0]
KXDR raisi Kim Chen In mamlakatda velosipedchilar uchun maxsus yoʻllar tarmogʻini barpo etishga koʻrsatma bergan .,KXDR raisi Kim Chen In mamlakatda velosipedchilar uchun barpo etishga maxsus yoʻllar tarmogʻini koʻrsatma bergan .,[0]
"Xayol hozir qadrdon ota uyimni , nimalargadir urinib yurgan onaizorimni yaqqol gavdalantiradi .","Xayol hozir yaqqol gavdalantiradi qadrdon ota uyimni , nimalargadir urinib yurgan onaizorimni .",[0]
Deniz kitob oʻqiyapti .,Deniz oʻqiyapti kitob .,[0]
Dastlab noqonuniy qurollangan jangarilar guruhi aniqlangan hudud havodan razvedka qilindi .,Dastlab aniqlangan noqonuniy qurollangan jangarilar guruhi hudud havodan razvedka qilindi .,[0]
"Birlashmaga bosh direktorning 5 nafar oʻrinbosari , shu jumladan , bir nafar birinchi oʻrinbosari boʻlishiga ruxsat berilsin .","Birlashmaga , shu jumladan boʻlishiga bosh direktorning 5 nafar oʻrinbosari , bir nafar birinchi oʻrinbosari ruxsat berilsin .",[0]
"Aslida insof halollik , toʻgʻrilik , adolatlilik kabi xislatlarning asosini tashkil etadi .","Aslida insof tashkil etadi halollik , toʻgʻrilik , adolatlilik kabi xislatlarning asosini .",[0]
Halitdan oʻzingizni chet eldaman deb his qilmang !,Halitdan chet eldaman deb his qilmang oʻzingizni !,[0]
Deniz birodarini yomon koʻradi .,Deniz yomon koʻradi birodarini .,[0]
