sen_str,swapped_sen_str,leaf_rule
Bandara ini mengalami proses perluasan dan pengembangan yang dimulai tahun 2004 dan direncanakan selesai pada tahun 2009 .,Bandara ini mengalami proses perluasan dan pengembangan yang tahun 2004 dimulai dan direncanakan selesai pada tahun 2009 .,[0] -> [1]
Ratih putus asa dan memutuskan untuk mengakhiri hidup nya dengan melompat ke dalam sumur di dalam Lawang Sewu . Diska yang telah mengetahui kebenaran tersebut mulai mencari cara dengan menutup sumur yang menjadi tempat Ratih membunuh diri agar arwah Ratih tidak bergentayangan lagi mengganggu mereka . Sementara menutup sumur itu arwah Ratih sedang mencoba untuk membunuh Yugo dan akhirnya gagal kerana Diska telah menutup habis sumur itu . Lalu Diska dan Yugo pulang ke rumah mereka masing-masing .,Ratih putus asa dan memutuskan untuk hidup nya mengakhiri dengan melompat ke dalam sumur di dalam Lawang Sewu . Diska yang telah mengetahui kebenaran tersebut mulai mencari cara dengan menutup sumur yang menjadi tempat Ratih membunuh diri agar arwah Ratih tidak bergentayangan lagi mengganggu mereka . Sementara menutup sumur itu arwah Ratih sedang mencoba untuk membunuh Yugo dan akhirnya gagal kerana Diska telah menutup habis sumur itu . Lalu Diska dan Yugo pulang ke rumah mereka masing-masing .,[0] -> [1]
Bagaimana bisa kita tidak mengungkapkan kesedihan yang mendalam akan semua hal ini ?,Bagaimana bisa kita tidak kesedihan yang mendalam akan semua hal ini mengungkapkan ?,[0] -> [1]
Lee Byung - chull menggunakan warisan nya untuk membuka penggilingan padi untuk usaha yang pertama .,Lee Byung - chull warisan nya menggunakan untuk membuka penggilingan padi untuk usaha yang pertama .,[0] -> [1]
Spanyol telah mengusir populasi Sephardic pada tahun 1492 ; banyak dari kaum Yahudi Spanyol ini yang meninggalkan Spanyol menuju Portugal namun pada akhir nya di sana pun mereka menjadi sasaran .,Spanyol telah mengusir populasi Sephardic pada tahun 1492 ; banyak dari kaum Yahudi Spanyol ini yang Spanyol meninggalkan menuju Portugal namun pada akhir nya di sana pun mereka menjadi sasaran .,[0] -> [1]
"Selain itu , pemerintah juga telah menerbitkan obligasi negara dalam rupiah dengan bunga tidak tetap hingga Rp 175,443 triliun .","Selain itu , pemerintah juga telah obligasi negara dalam rupiah dengan bunga tidak tetap menerbitkan hingga Rp 175,443 triliun .",[0] -> [1]
"Alasan umum yang dapat diterima adalah Hayam Wuruk memang berniat memperistri Dyah Pitaloka dengan didorong alasan politik , yaitu untuk mengikat persekutuan dengan Negeri Sunda .","Alasan umum yang dapat diterima adalah Hayam Wuruk memang berniat Dyah Pitaloka memperistri dengan didorong alasan politik , yaitu untuk mengikat persekutuan dengan Negeri Sunda .",[0] -> [1]
Valentino mencoba menjauhkan karakter itu dari potret stereotipe pria Arab .,Valentino mencoba karakter itu menjauhkan dari potret stereotipe pria Arab .,[0] -> [1]
"Mereka diperkenalkan untuk pertama kali nya dalam seri Cerutu Sang Firaun , di mana dalam pertemuan awal dengan tokoh utama nya , Tintin , mereka mendapatkan tugas untuk menangkap nya untuk suatu tuduhan yang tidak benar .","Mereka diperkenalkan untuk pertama kali nya dalam seri Cerutu Sang Firaun , di mana dalam pertemuan awal dengan tokoh utama nya , Tintin , mereka mendapatkan tugas untuk nya menangkap untuk suatu tuduhan yang tidak benar .",[0] -> [1]
Dan apa kah akhirnya kehidupan bermurah hati pada mereka yang terus berusaha menggapai mimpi ?,Dan apa kah akhirnya kehidupan hati bermurah pada mereka yang terus berusaha menggapai mimpi ?,[0] -> [1]
