sen_str,swapped_sen_str,leaf_rule
"Også FNs barnefond , UNICEF , har HIV / AIDS-katastrofen høyt på dagsordenen .","Også FNs barnefond , UNICEF , HIV / AIDS-katastrofen har høyt på dagsordenen .",[0] -> [1] -> [2] -> [3]
"For dere som ikke har mac , eller ikke klarte å få maskinen til å overarbeide , så ber jeg dere lukke øynene selv og se for dere hvor urkomisk det var for meg da jeg satt i photoshop for å fikse bildet - og dette skjedde uten av jeg tenkte over det selv .","For dere som ikke har mac , eller ikke klarte å få maskinen til å overarbeide , så ber jeg dere lukke øynene selv og se for dere hvor urkomisk det var for meg da jeg satt i photoshop for å bildet fikse - og dette skjedde uten av jeg tenkte over det selv .",[0] -> [1] -> [2] -> [3]
Han bekrefter også TV2s avsløringer denne helga om at listekandidater fra fem politiske partier er tilknyttet deres organisasjon .,Han TV2s avsløringer om at listekandidater fra fem politiske partier er tilknyttet deres organisasjon bekrefter også denne helga .,[0] -> [1] -> [2] -> [3]
"I de neste åtte ukene av rettssaken vil volumet variere noe , men en skal hele tiden huske på den store interessen som er rundt saken , sier programdirektør i NRK , Per Arne Kalbakk .","I de neste åtte ukene av rettssaken vil volumet noe variere , men en skal hele tiden huske på den store interessen som er rundt saken , sier programdirektør i NRK , Per Arne Kalbakk .",[0] -> [1] -> [2] -> [3]
Gunnar Sunde holder seg i form ved å oppsøke Nordmarka som ligger like utenfor stuedøren på Slemdal .,Gunnar Sunde holder seg i form ved å Nordmarka som ligger like utenfor stuedøren på Slemdal oppsøke .,[0] -> [1] -> [2] -> [3]
"Men en gang sier han til Rune og Ståle at han skal ut , og ber dem hente jakken hans ...","Men en gang sier han til Rune og Ståle at han skal ut , og ber dem jakken hans hente ...",[0] -> [1] -> [2] -> [3]
"Det må tas nødvendige hensyn til ivaretakelse av religionsfriheten , uten at det dermed forutsettes at utvalget utreder religionspolitiske spørsmål generelt .","Det må nødvendige hensyn til ivaretakelse av religionsfriheten tas , uten at det dermed forutsettes at utvalget utreder religionspolitiske spørsmål generelt .",[0] -> [1] -> [2] -> [3]
Morten Traavik spiller rollen som konferansier .,Morten Traavik rollen som konferansier spiller .,[0] -> [1] -> [2] -> [3]
Han har intervjuet sine venner med homofil orientering på en distansert måte .,Han har sine venner med homofil orientering intervjuet på en distansert måte .,[0] -> [1] -> [2] -> [3]
"Og burde få lov til det , uten å konstant bli fortalt at de ikke er "" hele "" , at de mangler noe .","Og burde lov til det få , uten å konstant bli fortalt at de ikke er "" hele "" , at de mangler noe .",[0] -> [1] -> [2] -> [3]
"- Leah Isadora har bra klang , og jeg tror folk vil like det .","- Leah Isadora bra klang har , og jeg tror folk vil like det .",[0] -> [1] -> [2] -> [3]
"Etter at han gradvis droppet kontakten med meg , tror jeg ikke at han hadde mange virkelige venner .","Etter at han gradvis kontakten med meg droppet , tror jeg ikke at han hadde mange virkelige venner .",[0] -> [1] -> [2] -> [3]
Underlaget i Tromsø får hard medfart verbalt fra uventet hold .,Underlaget i Tromsø hard medfart får verbalt fra uventet hold .,[0] -> [1] -> [2] -> [3]
"- Hun sa hun ville komme , hun hadde allerede bestilt billett og ordnet seg fri fra jobben .","- Hun sa hun ville komme , hun hadde allerede bestilt billett og fri fra jobben ordnet seg .",[0] -> [1] -> [2] -> [3]
Hold brød utenfor !,brød Hold utenfor !,[0] -> [1] -> [2] -> [3]
Heldigvis visste vi ikke da at det skulle ta enda et døgn før vi fikk møte henne .,Heldigvis visste vi ikke da at det skulle ta enda et døgn før vi fikk henne møte .,[0] -> [1] -> [2] -> [3]
Microsoft prøver seg med « Lips » på Xbox 360 .,Microsoft seg prøver med « Lips » på Xbox 360 .,[0] -> [1] -> [2] -> [3]
Rus gir ro i sinnet og bedøver sjelen .,Rus gir ro i sinnet og sjelen bedøver .,[0] -> [1] -> [2] -> [3]
"Men Høyre og andre som måtte ha planer om å overrumple regjeringsmedlemmer med uforberedte møter i medienes søkelys , bør vurdere konsekvensene nøye .","Men Høyre og andre som måtte ha planer om å regjeringsmedlemmer overrumple med uforberedte møter i medienes søkelys , bør vurdere konsekvensene nøye .",[0] -> [1] -> [2] -> [3]
Det går rykter om at han har mottatt bestikkelser .,Det går rykter om at han har bestikkelser mottatt .,[0] -> [1] -> [2] -> [3]
"Apenes er liberal i ordets beste mening , velartikulert så det holder , knapt noen som hører ham eller leser ham kan unngå å være enig i de fleste av hans synspunkter .","Apenes er liberal i ordets beste mening , velartikulert så det holder , knapt noen som ham hører eller leser ham kan unngå å være enig i de fleste av hans synspunkter .",[0] -> [1] -> [2] -> [3]
"Rektor påsto at Bønna hadde trykket på brannalarmen med vilje , men Bønna sier at han bare skulle hjelpe en god venn og dermed kom han helt tilfeldig borti alarmen .","Rektor påsto at Bønna hadde trykket på brannalarmen med vilje , men Bønna sier at han bare skulle en god venn hjelpe og dermed kom han helt tilfeldig borti alarmen .",[0] -> [1] -> [2] -> [3]
"Du skulle ha snakket med mange i teamene rundt meg her , de skjønner det ikke .","Du skulle ha snakket med mange i teamene rundt meg her , de det skjønner ikke .",[0] -> [1] -> [2] -> [3]
Trøster meg med at jeg ikke kjører så mye bil .,Trøster meg med at jeg ikke bil kjører så mye .,[0] -> [1] -> [2] -> [3]
Dessuten skal man aldri undervurdere franskmennenes komiske timing når det kommer til å tømme en vits for ethvert snev av humor .,Dessuten skal man aldri undervurdere franskmennenes komiske timing når det kommer til å en vits tømme for ethvert snev av humor .,[0] -> [1] -> [2] -> [3]
På vegne av bestemora og barnets foreldre har han brakt saken inn for rettsapparatet med begjæring om at vedtaket fra fylkesnemnda i Møre og Romsdal blir omgjort .,På vegne av bestemora og barnets foreldre har han saken brakt inn for rettsapparatet med begjæring om at vedtaket fra fylkesnemnda i Møre og Romsdal blir omgjort .,[0] -> [1] -> [2] -> [3]
"Det er tidligere prosjekter om onkelen med glassøyet , sønnen som leker krig med en kamerat og dattera som krangler om å få lese Donald .","Det er tidligere prosjekter om onkelen med glassøyet , sønnen som leker krig med en kamerat og dattera som krangler om å få Donald lese .",[0] -> [1] -> [2] -> [3]
"Fem år etter at han sendte den første mailen til moren dro han med filmteamet tilbake til Kina , til den lille landsbyen Zhang Jia Jie der han trolig mistet hukommelsen .","Fem år etter at han sendte den første mailen til moren dro han med filmteamet tilbake til Kina , til den lille landsbyen Zhang Jia Jie der han trolig hukommelsen mistet .",[0] -> [1] -> [2] -> [3]
Hun klarte seg i kaoset tross alt .,Hun seg klarte i kaoset tross alt .,[0] -> [1] -> [2] -> [3]
"Han var to minutter bak Koivuranta , men gikk et sterkt langrenn og endte til slutt som nummer seks .","Han var to minutter bak Koivuranta , men et sterkt langrenn gikk og endte til slutt som nummer seks .",[0] -> [1] -> [2] -> [3]
Samarbeidsregjeringen vil aktivt følge opp den inngåtte avtale med partene i arbeidslivet om tiltak for å redusere sykefraværet .,Samarbeidsregjeringen vil aktivt den inngåtte avtale med partene i arbeidslivet om tiltak for å redusere sykefraværet følge opp .,[0] -> [1] -> [2] -> [3]
"Hadde jeg visst det hadde jeg tatt en prat med andre familiemedlemmer , for å komme til gode avtaler .","Hadde jeg det visst hadde jeg tatt en prat med andre familiemedlemmer , for å komme til gode avtaler .",[0] -> [1] -> [2] -> [3]
"Koreanere tar seg gjerne en drink og er nesten inne på topp-ti listen over årlig alkoholkonsum i verden , hvor Norge er nr. 74 , og du kan banne på at Gangnam fremdeles holder det gående når munkene begynner å spille trommer , for det er også "" Gangnam Style "" .","Koreanere en drink tar seg gjerne og er nesten inne på topp-ti listen over årlig alkoholkonsum i verden , hvor Norge er nr. 74 , og du kan banne på at Gangnam fremdeles holder det gående når munkene begynner å spille trommer , for det er også "" Gangnam Style "" .",[0] -> [1] -> [2] -> [3]
"Andre stemmer som er kritiske mot UDs satsing på kulturfeltet , spør seg om vellykket kunst , som ofte er tvetydig og utfordrende i sitt uttrykk , egner seg til å gi inntrykk av et fredselskende og progressivt folkeferd .","Andre stemmer som er kritiske mot UDs satsing på kulturfeltet , spør seg om vellykket kunst , som ofte er tvetydig og utfordrende i sitt uttrykk , egner seg til å inntrykk av et fredselskende og progressivt folkeferd gi .",[0] -> [1] -> [2] -> [3]
"I tider da Høyre maktet å overføre honnørordene valgfrihet , mangfold og ansvarlighet til en praktisk politikk som folk flest opplevde som forbedringer i egen hverdag , var partiet samfunnsledende .","I tider da Høyre maktet å honnørordene valgfrihet , mangfold og ansvarlighet overføre til en praktisk politikk som folk flest opplevde som forbedringer i egen hverdag , var partiet samfunnsledende .",[0] -> [1] -> [2] -> [3]
En stor andel av dem som er blitt tatt med GHB i Os er folk som ikke tilhører de vanlige rusbelastede miljøene .,En stor andel av dem som er blitt tatt med GHB i Os er folk som ikke de vanlige rusbelastede miljøene tilhører .,[0] -> [1] -> [2] -> [3]
Regjeringen vil videreføre arbeidet med å åpne for at Norge i framtiden kan dekke noe av sitt kraftbehov ved å produsere strøm av norsk gass .,Regjeringen vil videreføre arbeidet med å åpne for at Norge i framtiden kan dekke noe av sitt kraftbehov ved å strøm produsere av norsk gass .,[0] -> [1] -> [2] -> [3]
Tomheten og meningsløsheten fikk ham til å prøve å begå selvmord .,Tomheten og meningsløsheten ham fikk til å prøve å begå selvmord .,[0] -> [1] -> [2] -> [3]
Ap. får også lederverv i forsvarskomitéen og næringskomitéen .,Ap. lederverv i forsvarskomitéen og næringskomitéen får også .,[0] -> [1] -> [2] -> [3]
Det har også en enorm moralsk betydning hva kirken mener .,Det en enorm moralsk betydning har også hva kirken mener .,[0] -> [1] -> [2] -> [3]
Bedrifter og befolkning i alle deler av landet må få tilgang til bredbånd og de nye kommunikasjonskanalene .,Bedrifter og befolkning i alle deler av landet må tilgang til bredbånd og de nye kommunikasjonskanalene få .,[0] -> [1] -> [2] -> [3]
Eide gikk langt i å kritisere valget .,Eide gikk langt i å valget kritisere .,[0] -> [1] -> [2] -> [3]
- Faren er å skape noe likegyldig .,- Faren er å noe likegyldig skape .,[0] -> [1] -> [2] -> [3]
"Det virker relativt lite trolig at noe kan være en ekte kopi , at man kan tjene en liten formue eller at det kan ha en avkjølende effekt , for strupen , å drikke ildvann .","Det virker relativt lite trolig at noe kan være en ekte kopi , at man kan en liten formue tjene eller at det kan ha en avkjølende effekt , for strupen , å drikke ildvann .",[0] -> [1] -> [2] -> [3]
"I Gaza , som i Sri Lanka , ønsker folkevalgte regjeringer å knuse motstandsbevegelser som har brukt avskyelig terror , men som også har folkelig støtte .","I Gaza , som i Sri Lanka , ønsker folkevalgte regjeringer å motstandsbevegelser som har brukt avskyelig terror , men som også har folkelig støtte knuse .",[0] -> [1] -> [2] -> [3]
