sen_str,swapped_sen_str,leaf_rule
- Как решението за падането на визовите ограничения ще се отрази на интеграцията ни към Северноатлантическия съюз ?,- Как решението за падането на визовите ограничения ще се на интеграцията ни към Северноатлантическия съюз отрази ?,[0] -> [1] -> [2] -> [3] -> [4]
"В момента "" Наполи "" , който по времето на Марадона стана шампион на Италия , сега е на дъното в серия "" А "" .","В момента "" Наполи "" , който по времето на Марадона стана шампион на Италия , сега на дъното в серия "" А "" е .",[0] -> [1] -> [2] -> [3] -> [4]
МС е дал жилището на гл. прокурор,МС е на гл. прокурор дал жилището,[0] -> [1] -> [2] -> [3] -> [4]
"Малеева и Бачева отказаха участие , тъй като олимпиада не влиза в плановете им","Малеева и Бачева отказаха участие , тъй като олимпиада не в плановете им влиза",[0] -> [1] -> [2] -> [3] -> [4]
"Всяка популистка политика , която отговори на въжделенията на редовите избиратели или на губещите фирми , които естествено искат всевъзможни преференции и митнически защити , ще бъде за сметка на "" локомотива "" на днешното ни стопанство - печелившите фирми .","Всяка популистка политика , която отговори на въжделенията на редовите избиратели или на губещите фирми , които естествено искат всевъзможни преференции и митнически защити , ще за сметка на "" локомотива "" на днешното ни стопанство - печелившите фирми бъде .",[0] -> [1] -> [2] -> [3] -> [4]
"По всяка вероятност това ще бъде новият арсенал за борба със столичните мутри , които напоследък все по-често изпълзяват от своите сумрачни офиси .","По всяка вероятност това ще бъде новият арсенал за борба със столичните мутри , които напоследък все по-често от своите сумрачни офиси изпълзяват .",[0] -> [1] -> [2] -> [3] -> [4]
"Салонът пращеше от изселници , а сред тях имаше и артисти . . .","Салонът от изселници пращеше , а сред тях имаше и артисти . . .",[0] -> [1] -> [2] -> [3] -> [4]
Той даде една тояга на един критик .,Той на един критик даде една тояга .,[0] -> [1] -> [2] -> [3] -> [4]
"И СДС , и БСП ще извадят от колодата монархическата карта","И СДС , и БСП ще от колодата извадят монархическата карта",[0] -> [1] -> [2] -> [3] -> [4]
"Учителите са последните , които останаха с толкова ниски заплати .","Учителите са последните , които с толкова ниски заплати останаха .",[0] -> [1] -> [2] -> [3] -> [4]
Слънцето вече бе заминало към София .,Слънцето вече бе към София заминало .,[0] -> [1] -> [2] -> [3] -> [4]
Компанията се интересувала от комбинираното производство на топлина и ток .,Компанията се от комбинираното производство на топлина и ток интересувала .,[0] -> [1] -> [2] -> [3] -> [4]
В погледа на ЕНП това придава на нашето СДС важно регионално измерение .,В погледа на ЕНП това на нашето СДС придава важно регионално измерение .,[0] -> [1] -> [2] -> [3] -> [4]
"Парите идвали от "" украински бизнесмени "" .","Парите от "" украински бизнесмени "" идвали .",[0] -> [1] -> [2] -> [3] -> [4]
""" Спортинг "" продължава за купата",""" Спортинг "" за купата продължава",[0] -> [1] -> [2] -> [3] -> [4]
"Изследванията върху тези пет личностни стила са довели до представените по-долу заключения ( Costa , & McCrae , 1990 , 1992 ; Marshall , Wortman , Vickers , Kusulas , & Hervig , 1994 ; McCrae , 1991 ; McCrae , & Costa , 1991 ; Trull , 1992 ) .","Изследванията върху тези пет личностни стила са до представените по-долу заключения довели ( Costa , & McCrae , 1990 , 1992 ; Marshall , Wortman , Vickers , Kusulas , & Hervig , 1994 ; McCrae , 1991 ; McCrae , & Costa , 1991 ; Trull , 1992 ) .",[0] -> [1] -> [2] -> [3] -> [4]
"Бялото го смущаваше , но макар че го смущаваше , бе привлекателно и той гледаше все в него , докато жената мина от другата страна .","Бялото го смущаваше , но макар че го смущаваше , бе привлекателно и той гледаше все в него , докато жената от другата страна мина .",[0] -> [1] -> [2] -> [3] -> [4]
Биатлонистките падат в класирането за Световната купа,Биатлонистките в класирането за Световната купа падат,[0] -> [1] -> [2] -> [3] -> [4]
"Въпреки поредния случай на левкемия министърът на отбраната на Дания Ян Тройборг отказа незабавно да бъдат подложени на радиологично изследване всички датски военнослужещи , които са били на Балканите .","Въпреки поредния случай на левкемия министърът на отбраната на Дания Ян Тройборг отказа незабавно да бъдат подложени на радиологично изследване всички датски военнослужещи , които са на Балканите били .",[0] -> [1] -> [2] -> [3] -> [4]
"Нашето виждане е , че е необходимо да се създаде качествено нов кодекс , който да отговаря на новите реалности .","Нашето виждане е , че е необходимо да се създаде качествено нов кодекс , който да на новите реалности отговаря .",[0] -> [1] -> [2] -> [3] -> [4]
Виното бе потопило цялата й памет в треперлива слънчева мараня .,Виното бе в треперлива слънчева мараня потопило цялата й памет .,[0] -> [1] -> [2] -> [3] -> [4]
Павилион за сандвичи в Хюстън ( Тексас ) предлага безплатно похапване на плешивите си клиенти .,Павилион за сандвичи в Хюстън ( Тексас ) на плешивите си клиенти предлага безплатно похапване .,[0] -> [1] -> [2] -> [3] -> [4]
"Марк Жене прави тестове за "" Уилямс "" , а слуховете пращат аржентинеца Гастон Мацакан в "" Прост "" .","Марк Жене прави тестове за "" Уилямс "" , а слуховете в "" Прост "" пращат аржентинеца Гастон Мацакан .",[0] -> [1] -> [2] -> [3] -> [4]
Берлин освобождава от казарма женените мъже .,Берлин от казарма освобождава женените мъже .,[0] -> [1] -> [2] -> [3] -> [4]
До влизането на присъдата в сила двамата остават на свобода срещу гаранция от по 2000 лв.,До влизането на присъдата в сила двамата на свобода остават срещу гаранция от по 2000 лв.,[0] -> [1] -> [2] -> [3] -> [4]
"Това , че България беше поканена да започне фактически преговори за членство в ЕС поставя страната ни в нова ситуация .","Това , че България беше поканена да започне фактически преговори за членство в ЕС в нова ситуация поставя страната ни .",[0] -> [1] -> [2] -> [3] -> [4]
"С най-големи шансове да заиграе в Италия е нападателят Палермо , който вкара двата гола на "" Реал "" ( М ) във финала за Междуконтиненталната купа .","С най-големи шансове да заиграе в Италия е нападателят Палермо , който на "" Реал "" ( М ) вкара двата гола във финала за Междуконтиненталната купа .",[0] -> [1] -> [2] -> [3] -> [4]
"Организацията и дейността на Народното събрание се осъществяват въз основа на Конституцията и на правилник , приет от него .","Организацията и дейността на Народното събрание се въз основа на Конституцията и на правилник , приет от него осъществяват .",[0] -> [1] -> [2] -> [3] -> [4]
"Бившите социалистически държави , които се отърсват от централизираните си режими , се оказват особено уязвими за корупцията .","Бившите социалистически държави , които се от централизираните си режими отърсват , се оказват особено уязвими за корупцията .",[0] -> [1] -> [2] -> [3] -> [4]
Дейвид Франзони вече работи върху проект за крал Артур .,Дейвид Франзони вече върху проект за крал Артур работи .,[0] -> [1] -> [2] -> [3] -> [4]
"Децата , останали без грижата на близките си , се намират под особената закрила на държавата и обществото .","Децата , останали без грижата на близките си , се под особената закрила на държавата и обществото намират .",[0] -> [1] -> [2] -> [3] -> [4]
"Ние ще преустановим контактите със социалистите на общинско ниво , ако те създадат областен координиращ съвет с участието на Камовите хора , закани се местният лидер на БЕЛ Георги Костов .","Ние ще със социалистите преустановим контактите на общинско ниво , ако те създадат областен координиращ съвет с участието на Камовите хора , закани се местният лидер на БЕЛ Георги Костов .",[0] -> [1] -> [2] -> [3] -> [4]
Реално решението ще влезе в сила през май 2001 г.,Реално решението ще в сила влезе през май 2001 г.,[0] -> [1] -> [2] -> [3] -> [4]
"- Жената винаги иска бащата да присъства на раждането , защото това е вид подкрепа .","- Жената винаги иска бащата да на раждането присъства , защото това е вид подкрепа .",[0] -> [1] -> [2] -> [3] -> [4]
Мелани Грифит прекалявала с хапчета за отслабване,Мелани Грифит с хапчета за отслабване прекалявала,[0] -> [1] -> [2] -> [3] -> [4]
Евролевите в общините готвят бойкот на БСП,Евролевите в общините на БСП готвят бойкот,[0] -> [1] -> [2] -> [3] -> [4]
"Това стана на извънредно четиричасово заседание на НИС на СДС , което започна в 10 ч на "" Раковски "" 134 вчера .","Това на извънредно четиричасово заседание на НИС на СДС , което започна в 10 ч на "" Раковски "" 134 вчера стана .",[0] -> [1] -> [2] -> [3] -> [4]
"ЕНП е европейската политическа сила , която умее да бъда щедра на обещания , но и която действително помага на своите подопечни партии .","ЕНП е европейската политическа сила , която умее да бъда щедра на обещания , но и която действително на своите подопечни партии помага .",[0] -> [1] -> [2] -> [3] -> [4]
"Вместо да бъдат раздадени на жертвите от войната в Югославия през 1993-1994 г. , парите отишли за попълване на личните сметки на еврочиновниците .","Вместо да бъдат раздадени на жертвите от войната в Югославия през 1993-1994 г. , парите за попълване на личните сметки на еврочиновниците отишли .",[0] -> [1] -> [2] -> [3] -> [4]
Те действат срещу цялата правна система на България,Те срещу цялата правна система на България действат,[0] -> [1] -> [2] -> [3] -> [4]
- Вие разполагате и с един много добър учебен команден пункт .,- Вие и с един много добър учебен команден пункт разполагате .,[0] -> [1] -> [2] -> [3] -> [4]
"Изводът е , че ние ще режем здрава тъкан от нашата икономика .","Изводът е , че ние ще от нашата икономика режем здрава тъкан .",[0] -> [1] -> [2] -> [3] -> [4]
"Съпругата на Антонио Бандерас , която злоупотребявала и с таблетки за отслабване , щяла да опита терапията "" Талула Банкхед "" , твърди в. "" Сън "" .","Съпругата на Антонио Бандерас , която и с таблетки за отслабване злоупотребявала , щяла да опита терапията "" Талула Банкхед "" , твърди в. "" Сън "" .",[0] -> [1] -> [2] -> [3] -> [4]
При числено превъзходство домакините се нуждаеха от 15 секунди за крайния успех .,При числено превъзходство домакините се от 15 секунди нуждаеха за крайния успех .,[0] -> [1] -> [2] -> [3] -> [4]
Но грешката води до оправдаване на престъплението и му дава алиби .,Но грешката до оправдаване на престъплението води и му дава алиби .,[0] -> [1] -> [2] -> [3] -> [4]
"Неотдавна правителството отпусна 20 млн. субсидия на БДЖ за покриване на загубите от пътнически превози до края на годината , припомниха от Министерството на транспорта .","Неотдавна правителството на БДЖ отпусна 20 млн. субсидия за покриване на загубите от пътнически превози до края на годината , припомниха от Министерството на транспорта .",[0] -> [1] -> [2] -> [3] -> [4]
Тя счита за възможно създаването на единна информационна система за регистрация на заемополучателите с просрочени задължения по кредитите .,Тя за възможно счита създаването на единна информационна система за регистрация на заемополучателите с просрочени задължения по кредитите .,[0] -> [1] -> [2] -> [3] -> [4]
През 1998 г. отецът обяви свещена война на правителството .,През 1998 г. отецът на правителството обяви свещена война .,[0] -> [1] -> [2] -> [3] -> [4]
"Организаторите се опасяват от проблеми , които могат да им създадат терористични групи , които по традиция създават проблеми .","Организаторите се от проблеми , които могат да им създадат терористични групи , които по традиция създават проблеми опасяват .",[0] -> [1] -> [2] -> [3] -> [4]
"През миналия сезон юношата на "" Пирин "" играеше в юношеския отбор на германския шампион "" Байерн "" , но сега се върна .","През миналия сезон юношата на "" Пирин "" в юношеския отбор на германския шампион "" Байерн "" играеше , но сега се върна .",[0] -> [1] -> [2] -> [3] -> [4]
Държавният глава трябва да се избира от народа .,Държавният глава трябва да се от народа избира .,[0] -> [1] -> [2] -> [3] -> [4]
Първата жена космонавт Валентина Терешкова пристига в София на 7 декември .,Първата жена космонавт Валентина Терешкова в София пристига на 7 декември .,[0] -> [1] -> [2] -> [3] -> [4]
"Тъй като сегашният момент е следобед в края на юли , той е облечен в избеляла от пране риза с отрязани ръкави и къси панталони , долните му гащи висят изпод крачолите на панталоните .","Тъй като сегашният момент е следобед в края на юли , той е облечен в избеляла от пране риза с отрязани ръкави и къси панталони , долните му гащи изпод крачолите на панталоните висят .",[0] -> [1] -> [2] -> [3] -> [4]
Народното събрание избира от своя състав постоянни и временни комисии .,Народното събрание от своя състав избира постоянни и временни комисии .,[0] -> [1] -> [2] -> [3] -> [4]
"По време на престоя си в Малта Любо Пенев ще разговаря и за нападателя на "" Биркиркара "" Чъкс Нвоко , цената на който е $ 240 000 .","По време на престоя си в Малта Любо Пенев ще и за нападателя на "" Биркиркара "" Чъкс Нвоко , цената на който е $ 240 000 разговаря .",[0] -> [1] -> [2] -> [3] -> [4]
"Групата ще нарастне до 98 , ако двойката ни по бийчволей - сестри Янчулови , влезе в схемата за игрите .","Групата ще нарастне до 98 , ако двойката ни по бийчволей - сестри Янчулови , в схемата за игрите влезе .",[0] -> [1] -> [2] -> [3] -> [4]
Американският учен е тръгнал от идеите на съветската школа на културно-историческите психолози .,Американският учен е от идеите на съветската школа на културно-историческите психолози тръгнал .,[0] -> [1] -> [2] -> [3] -> [4]
"Хората , изумени , стояха на двора .","Хората , изумени , на двора стояха .",[0] -> [1] -> [2] -> [3] -> [4]
""" Газстроймонтаж "" ще участва в търговете за газоснабдяване на градовете и в България .",""" Газстроймонтаж "" ще в търговете за газоснабдяване на градовете и в България участва .",[0] -> [1] -> [2] -> [3] -> [4]
След срещата пред журналисти двамата председатели определиха проведените разговори като успешни и ползотворни .,След срещата пред журналисти двамата председатели като успешни и ползотворни определиха проведените разговори .,[0] -> [1] -> [2] -> [3] -> [4]
