sen_str,swapped_sen_str,leaf_rule
"Ni tomb yi nekk ci kaw manq gi di soreentee la ñu ko di gën di wal , ni la yëf yi nekk ci jawwu ji di soreentee lu àdduna bi gën di tàllaliku .","Ni tomb yi nekk ci kaw manq gi di soreentee la ñu ko di gën di wal , ni la yëf nekk yi ci jawwu ji di soreentee lu àdduna bi gën di tàllaliku .",[0] -> [2]
"Kon leegi li jaadu kay mu a di ñu màbb ko , te wuutal fa geneen kër gu yees .","Kon leegi li jaadu kay mu a di màbb ñu ko , te wuutal fa geneen kër gu yees .",[0] -> [2]
Ma gënati a am mbetteel ba ma gisee xar-kanamu sama àttekat si di leer mu ne : Waaw kañ ...,Ma gënati a am mbetteel ba ma gisee di leer xar-kanamu sama àttekat si mu ne : Waaw kañ ...,[0] -> [2]
"Tollu na ci taxawaay 50 m , genn góor jàpp jenn jiggéen , fab ci loxo càmmoñ benn xale bu talal loxom di joxoñ xarfu .","Tollu na ci taxawaay 50 m , jàpp genn góor jenn jiggéen , fab ci loxo càmmoñ benn xale bu talal loxom di joxoñ xarfu .",[0] -> [2]
"Nit ku ne sañ na dem yoon , ci kanam àttekaay yi ko yelloo ci réew mi , ngir tawat fa jëf yi di bëtt sañ-sañ yi ko Ndeyu Àtte bi walla ab àtte fàggul .","Nit ku ne sañ na dem yoon , ci kanam àttekaay yi ko yelloo ci réew mi , ngir tawat fa jëf di bëtt yi sañ-sañ yi ko Ndeyu Àtte bi walla ab àtte fàggul .",[0] -> [2]
"Leegi nag Bavar bokksi na ci ak Saksoni ci atum 1934 g , ca saa sa tam , nga tàmbali a gis lu la di won ne Solofrayn moom tàmbli na a naat ak a am ag yokkute .","Leegi nag Bavar bokksi na ci ak Saksoni ci atum 1934 g , ca saa sa tam , tàmbali nga a gis lu la di won ne Solofrayn moom tàmbli na a naat ak a am ag yokkute .",[0] -> [2]
"Nit ku ne am na sañ-sañ ci ñu feg njariñ li mu jële ci bépp liggéey bu mu def ci wàllu xam-xam , ladab ak xarala , mu a xam njariñ li daraja la , walla koom la .","Nit ku ne am na sañ-sañ ci ñu feg njariñ li mu jële ci bépp liggéey bu mu def ci wàllu xam-xam , ladab ak xarala , mu a xam daraja njariñ li la , walla koom la .",[0] -> [2]
"Rax-ci-dolli , ay àtte yi ñu tudde àttey xam-xamu jëmm daldi feeñ , ay àtte yu niroo ci àdduna bi bépp , yu dul soppiku .","Rax-ci-dolli , ay àtte yi ñu tudde àttey xam-xamu jëmm daldi feeñ , ay àtte yu niroo ci àdduna bi bépp , dul soppiku yu .",[0] -> [2]
"Liggéey bu soof la gaa , wante yomb na . ""","Liggéey soof bu la gaa , wante yomb na . """,[0] -> [2]
"Lu nga xam ne su nga ko seetloo , da mu mel ni da mu am jàllarbi ci ni "" politiciens "" di jëfandikoo làkki réew mi !","Lu nga xam ne su ko seetloo nga , da mu mel ni da mu am jàllarbi ci ni "" politiciens "" di jëfandikoo làkki réew mi !",[0] -> [2]
"Rax-ci-dolli , àtte yii ñu ngi tegu ci ay xayma yu àgg ci leer ba bu ñu ci soppee la gën a néew ci li mu doon , mu yàq bindub àdduna bépp ak aw meloom .","Rax-ci-dolli , àtte yii ñu ngi tegu ci ay xayma àgg yu ci leer ba bu ñu ci soppee la gën a néew ci li mu doon , mu yàq bindub àdduna bépp ak aw meloom .",[0] -> [2]
