sen_str,swapped_sen_str,leaf_rule
Kaoshikii can be danced for as many rounds as you like .,Kaoshikii can be danced for as many rounds as like you .,[0] -> [1] -> [2] -> [3]
"In the next week or so , we 'll be sending around a discussion paper which we hope crystallizes the issues , and we will try to talk to as many of you as possible before the meeting to go through it .","In the next week or so , 'll be sending we around a discussion paper which we hope crystallizes the issues , and we will try to talk to as many of you as possible before the meeting to go through it .",[0] -> [1] -> [2] -> [3]
i was looking for a car but did not really know what i wanted and they were very helpful and took the time to first figure out what my needs were and showing me various options to meet those needs .,i was looking for a car but did not really know what wanted i and they were very helpful and took the time to first figure out what my needs were and showing me various options to meet those needs .,[0] -> [1] -> [2] -> [3]
"Even for those who later abstain , "" visual - spatial abilities , abstraction , problem solving , and short - term memory , are the slowest to recover . ""","Even for those later abstain who , "" visual - spatial abilities , abstraction , problem solving , and short - term memory , are the slowest to recover . """,[0] -> [1] -> [2] -> [3]
Moving back to Calgary in about a month which is a little sooner than I thought I would be going back but when opportunity knocks you got ta go .,Moving back to Calgary in about a month which is a little sooner than thought I I would be going back but when opportunity knocks you got ta go .,[0] -> [1] -> [2] -> [3]
Did I say that ?,Did say I that ?,[0] -> [1] -> [2] -> [3]
"It acts queerly on my nerves ( through the feet , as it were ) , because I feel that a good part of this dust must be ground out of human bone .","It acts queerly on my nerves ( through the feet , as were it ) , because I feel that a good part of this dust must be ground out of human bone .",[0] -> [1] -> [2] -> [3]
"Then we can switch colors c2 and c4 in the component of H2,4 that is connected to y2 .","Then can switch we colors c2 and c4 in the component of H2,4 that is connected to y2 .",[0] -> [1] -> [2] -> [3]
To buy into Putin 's sham federalism is to accept the lies that the Kremlin has been spewing about Ukraine 's current interim government and the brave men and women who ousted Yanukovych .,To buy into Putin 's sham federalism is to accept the lies that the Kremlin has been spewing about Ukraine 's current interim government and the brave men and women ousted who Yanukovych .,[0] -> [1] -> [2] -> [3]
They were very friendly and were able to explain me exactly what was wrong with it .,They were very friendly and were able to explain me was wrong exactly what with it .,[0] -> [1] -> [2] -> [3]
