sen_str,swapped_sen_str,leaf_rule
Ny jean brockey dty vee .,Ny jean dty vee brockey .,[0] -> [1] -> [2] -> [3] -> [4]
Ren eh lhoobey y feddan .,Ren eh y feddan lhoobey .,[0] -> [1] -> [2] -> [3] -> [4]
Heeyn eh magh eh hene er y laare .,eh hene Heeyn eh magh er y laare .,[0] -> [1] -> [2] -> [3] -> [4]
Ver shen couyr da eh .,couyr Ver shen da eh .,[0] -> [1] -> [2] -> [3] -> [4]
Vel oo er n akin eh ?,Vel oo er n eh akin ?,[0] -> [1] -> [2] -> [3] -> [4]
Dooyrt eh er ard eh .,eh Dooyrt eh er ard .,[0] -> [1] -> [2] -> [3] -> [4]
Jeshee ny blaaghyn .,ny blaaghyn Jeshee .,[0] -> [1] -> [2] -> [3] -> [4]
Hoilshee eh toiggalys .,toiggalys Hoilshee eh .,[0] -> [1] -> [2] -> [3] -> [4]
Ren eh jummal fortan .,Ren eh fortan jummal .,[0] -> [1] -> [2] -> [3] -> [4]
Ren eh beggan jeh eh .,beggan Ren eh jeh eh .,[0] -> [1] -> [2] -> [3] -> [4]
Yeeree eh gunney er shin .,gunney Yeeree eh er shin .,[0] -> [1] -> [2] -> [3] -> [4]
Strooys dy row aggle er ad nagh jinnagh sleih elley toiggal eh . ’,Strooys dy row aggle er ad nagh jinnagh sleih elley eh toiggal . ’,[0] -> [1] -> [2] -> [3] -> [4]
Hooar eh ny va toillit ec eh .,ny va toillit ec eh Hooar eh .,[0] -> [1] -> [2] -> [3] -> [4]
Hug eh arrey er red ennagh elley .,arrey Hug eh er red ennagh elley .,[0] -> [1] -> [2] -> [3] -> [4]
Hayrn eh e skynn .,e skynn Hayrn eh .,[0] -> [1] -> [2] -> [3] -> [4]
T' eh geeastagh y logh .,T' eh y logh geeastagh .,[0] -> [1] -> [2] -> [3] -> [4]
"“ S' treih lesh mee dy mooar dy row uss boirit , ” dooyrt Ealish , va goaill toshiaght dy hoiggal y bun jeh yn chooish .","“ S' treih lesh mee dy mooar dy row uss boirit , ” dooyrt Ealish , va goaill toshiaght dy y bun jeh yn chooish hoiggal .",[0] -> [1] -> [2] -> [3] -> [4]
Cass eh yn abane ec eh .,yn abane ec eh Cass eh .,[0] -> [1] -> [2] -> [3] -> [4]
Brish y banglane jeh eh .,y banglane Brish jeh eh .,[0] -> [1] -> [2] -> [3] -> [4]
Hug eh famman cuttagh da yn chabbyl .,famman cuttagh Hug eh da yn chabbyl .,[0] -> [1] -> [2] -> [3] -> [4]
Cha dug mee rieau sooill er eh .,Cha sooill dug mee rieau er eh .,[0] -> [1] -> [2] -> [3] -> [4]
"Ayns ny pabyryn naight ta shiu lhaih ram boghtynid mychione "" apartheid "" as y lhied as yn drogh-ghellal ta ny deiney doo geddyn voish ny deiney baney ayns yn Africkey .","Ayns ny pabyryn naight ta shiu ram boghtynid mychione "" apartheid "" as y lhied as yn drogh-ghellal ta ny deiney doo geddyn voish ny deiney baney ayns yn Africkey lhaih .",[0] -> [1] -> [2] -> [3] -> [4]
Dennee eh ayns yn chree ec eh eh .,eh Dennee eh ayns yn chree ec eh .,[0] -> [1] -> [2] -> [3] -> [4]
Doshil y Lugh Vagheragh e sooillyn dy moal .,e sooillyn Doshil y Lugh Vagheragh dy moal .,[0] -> [1] -> [2] -> [3] -> [4]
Cheau eh y chooid elley jeh yn vea ec eh ayns Mannin .,y chooid elley jeh yn vea ec eh Cheau eh ayns Mannin .,[0] -> [1] -> [2] -> [3] -> [4]
Hirr eh pardoon er ad .,pardoon Hirr eh er ad .,[0] -> [1] -> [2] -> [3] -> [4]
Hooar eh leagh yn argid ec eh .,leagh yn argid ec eh Hooar eh .,[0] -> [1] -> [2] -> [3] -> [4]
"Cur aigh vie er mee , chaarjyn Ghaeil !","aigh vie Cur er mee , chaarjyn Ghaeil !",[0] -> [1] -> [2] -> [3] -> [4]
