sen_str,swapped_sen_str,leaf_rule
இத்தகவலை உக்ரைன் உள்துறை அமைச்சர் யெவ்ஹெனி கிரேவட்ஸ் செய்தியாளர்களிடம் தெரிவித்தார் .,இத்தகவலை உக்ரைன் உள்துறை அமைச்சர் யெவ்ஹெனி கிரேவட்ஸ் தெரிவித்தார் செய்தியாளர்களிடம் .,[0]
இந்த மாறுபாடுகளை இந்தியா உடனடியாக சரி செய்ய வேண்டும் என்று இந்திய-அமெரிக்க உறவு மேம்பாடு குறித்த அறிக்கையில் குறிப்பிடப் பட்ட் உள்ளது .,இந்த மாறுபாடுகளை இந்தியா உடனடியாக செய்ய சரி வேண்டும் என்று இந்திய-அமெரிக்க உறவு மேம்பாடு குறித்த அறிக்கையில் குறிப்பிடப் பட்ட் உள்ளது .,[0]
குமார் ஒவ்வொருவருக்கும் ஒரு டிக்கெட்டு எடுத்தான் .,குமார் ஒரு டிக்கெட்டு எடுத்தான் ஒவ்வொருவருக்கும் .,[0]
மந்திரி குழந்தைக்கு பரிசு கொடுத்தார் .,மந்திரி பரிசு கொடுத்தார் குழந்தைக்கு .,[0]
"முன்னதாக , எம்பிக்களுக்க் ஆன ஊதியத்தை ரூ 16 ஆயிரத்த் இலிருந்து ரூ 80 ஆயிரம் ஆக உயர்த்தி வழங்க வேண்டும் என நாடாளுமன்ற கூட்டுக் குழு பரிந்துரை செய்த் இருந்தது .","முன்னதாக , எம்பிக்களுக்க் ஆன ஊதியத்தை ரூ 16 ஆயிரத்த் இலிருந்து ரூ 80 ஆயிரம் ஆக உயர்த்தி வழங்க வேண்டும் என நாடாளுமன்ற கூட்டுக் குழு செய்த் பரிந்துரை இருந்தது .",[0]
குமார் அப்பாவுக்கு ஒரு கடிதம் கொடுத்தான் .,குமார் ஒரு கடிதம் கொடுத்தான் அப்பாவுக்கு .,[0]
தகுதிநீக்கம் செய்யப்பட்ட 16 எமெலேக்களின் மனு மீது உயர்நீதிமன்றம் தீர்ப்பளிக்கும் வரை பேரவைக் கூட்டத்தை ஒத்திவைக்க வேண்டும் என எதிர்க்கட்சித் தலைவர் சித்தராமையா கோரிக்கை விடுத்தார் .,தகுதிநீக்கம் செய்யப்பட்ட 16 எமெலேக்களின் மனு மீது உயர்நீதிமன்றம் தீர்ப்பளிக்கும் வரை பேரவைக் கூட்டத்தை ஒத்திவைக்க வேண்டும் என எதிர்க்கட்சித் தலைவர் சித்தராமையா விடுத்தார் கோரிக்கை .,[0]
குமார் ராஜாவுக்கு பணம் கொடுத்து சந்தோஷப்பட்டான் .,குமார் பணம் கொடுத்து சந்தோஷப்பட்டான் ராஜாவுக்கு .,[0]
குமார் அப்பாவிடம் ஒரு கடிதம் கொடுத்தான் .,குமார் ஒரு கடிதம் கொடுத்தான் அப்பாவிடம் .,[0]
ஒபாமா முஸ்லீம் என 18 சதவீத மக்கள் நம்புவத் ஆக பியு ஆராய்ச்சி மையம் இம்மாதத் தொடக்கத்தில் கருத்துக் கணிப்பு வெளியிட்ட் இருந்தது .,ஒபாமா முஸ்லீம் என 18 சதவீத மக்கள் நம்புவத் ஆக பியு ஆராய்ச்சி மையம் இம்மாதத் தொடக்கத்தில் வெளியிட்ட் கருத்துக் கணிப்பு இருந்தது .,[0]
"எனவே , தமிழக அரசின் இத்தகைய நடவடிக்கைகளைக் கண்டித்து சென்னையில் அக்டோபர் 21-ம் தேதி இரு கம்யூனிஸ்ட் கட்சிகள் சார்பில் ஆர்ப்பாட்டம் நடைபெறும் .","எனவே , இத்தகைய நடவடிக்கைகளைக் கண்டித்து தமிழக அரசின் சென்னையில் அக்டோபர் 21-ம் தேதி இரு கம்யூனிஸ்ட் கட்சிகள் சார்பில் ஆர்ப்பாட்டம் நடைபெறும் .",[0]
இலங்கையில் போரினால் பாதிக்கப் பட்டு அகதி முகாம்களில் தங்கிய் உள்ள தமிழர்களுக்கு இந்தியா அனைத்து உதவிகளைய் உம் செய்யும் என்று இந்திய வெளியுறவுத் துறைச் செயலர் நிருபமா ராவ் உறுதி கூறினார் .,இலங்கையில் போரினால் பாதிக்கப் பட்டு அகதி முகாம்களில் தங்கிய் உள்ள தமிழர்களுக்கு இந்தியா அனைத்து உதவிகளைய் உம் செய்யும் என்று இந்திய வெளியுறவுத் துறைச் செயலர் நிருபமா ராவ் கூறினார் உறுதி .,[0]
நான் அப்பாவிடம் சொன்னேனோ அவர் கோபப்படுவார் .,நான் சொன்னேனோ அப்பாவிடம் அவர் கோபப்படுவார் .,[0]
ராஜா குமாருக்கு இதைப் புரிய வைத்தான் .,ராஜா இதைப் புரிய குமாருக்கு வைத்தான் .,[0]
மந்திரி குழந்தைக்கு கொடுத்தார் பரிசு .,மந்திரி கொடுத்தார் குழந்தைக்கு பரிசு .,[0]
"இந்தியாவில் மத்திய அரசினுடைய பணத்தை அவர்கள் நாடாளுமன்ற தொகுதிகளுக்க் ஆக ஒதுக்குகின்ற பணம் ஏற்கெனவே ஆங்காங்கே நாடாளுமன்ற தொகுதிகளுக்க் ஆகச் செலவழிக்கப் படுகிற நிலைய் இருந்தால் உம் கூட , சட்டப் பேரவைத் தொகுதிகளுக்கு ஒதுக்கப் படுகிற பணத்தை - அந்தத் தொகுதி மேம்பாட்டுக்காகச் செலவழிக்க வேண்டும் என்று முதல் குரல் கொடுத்தது தமிழகத்தில் தான் .","இந்தியாவில் மத்திய அரசினுடைய பணத்தை அவர்கள் ஏற்கெனவே ஆங்காங்கே நாடாளுமன்ற தொகுதிகளுக்க் ஆகச் செலவழிக்கப் நாடாளுமன்ற தொகுதிகளுக்க் ஆக ஒதுக்குகின்ற பணம் படுகிற நிலைய் இருந்தால் உம் கூட , சட்டப் பேரவைத் தொகுதிகளுக்கு ஒதுக்கப் படுகிற பணத்தை - அந்தத் தொகுதி மேம்பாட்டுக்காகச் செலவழிக்க வேண்டும் என்று முதல் குரல் கொடுத்தது தமிழகத்தில் தான் .",[0]
குமார் ராஜாவுக்கு தன்னை பற்றி ஒரு கட்டுரையை கொடுத்தார் .,குமார் தன்னை பற்றி ஒரு கட்டுரையை கொடுத்தார் ராஜாவுக்கு .,[0]
நான் குமாரிடம் கடன் கேட்டேன் .,நான் கடன் கேட்டேன் குமாரிடம் .,[0]
"சென்னையில் கஸ்தூரிபா காந்தி தாய் சேய் நல மருத்துவமனையின் 125-ம் ஆண்டு விழா - சேப்பாக்கம் சட்டப் பேரவை உறுப்பினர் தொகுதி மேம்பாட்டு நிதிய் இலிருந்து கட்டப்பட்ட கட்டடங்களின் திறப்பு விழா - இதய நோய் மற்றும் மகளிர் கருப்பை வாய் , மார்பகப் புற்றுநோய்த் தடுப்புத் திட்டங்களை வியாழக்கிழமை தொடங்கி வைத்து முதல்வர் கருணாநிதி பேசியத் ஆவது : .","சென்னையில் - சேப்பாக்கம் சட்டப் பேரவை உறுப்பினர் தொகுதி மேம்பாட்டு நிதிய் இலிருந்து கட்டப்பட்ட கட்டடங்களின் திறப்பு விழா - இதய நோய் மற்றும் மகளிர் கருப்பை வாய் , மார்பகப் புற்றுநோய்த் தடுப்புத் திட்டங்களை வியாழக்கிழமை தொடங்கி கஸ்தூரிபா காந்தி தாய் சேய் நல மருத்துவமனையின் 125-ம் ஆண்டு விழா வைத்து முதல்வர் கருணாநிதி பேசியத் ஆவது : .",[0]
நேற்று மந்திரி குழந்தைக்கு பரிசு கொடுத்தார் .,நேற்று மந்திரி பரிசு கொடுத்தார் குழந்தைக்கு .,[0]
