sen_str,swapped_sen_str,leaf_rule
- Какво е значението на това решение за хората на културата ?,- значението на това решение Какво е за хората на културата ?,[0] -> [1] -> [25]
- Каква е логиката на това изискване ?,- логиката на това изискване Каква е ?,[0] -> [1] -> [25]
Най-тежък за бореца е часът на победата .,часът на победата Най-тежък за бореца е .,[0] -> [1] -> [25]
Столица на Република България е град София .,град София Столица на Република България е .,[0] -> [1] -> [25]
"Другото събитие за Смолян бе каскада "" Горна Арда "" .","Другото каскада "" Горна Арда "" събитие за Смолян бе .",[0] -> [1] -> [25]
"Крадецът , който сте Вие , е избягал .","Крадецът , Вие който сте , е избягал .",[0] -> [1] -> [25]
Тогава ще бъде и връчването на наградите .,и връчването на наградите Тогава ще бъде .,[0] -> [1] -> [25]
"Какви са случаите , когато военнослужещи са допуснали пътнотранспортни произшествия с личните си автомобили ?","случаите , когато военнослужещи са допуснали пътнотранспортни произшествия с личните си автомобили Какви са ?",[0] -> [1] -> [25]
"Субект на организираната престъпност са престъпните групи и организации , образувани и действащи за продължителен или неопределен период от време .","престъпните групи и организации , образувани и действащи за продължителен или неопределен период от време Субект на организираната престъпност са .",[0] -> [1] -> [25]
- Какво ще е отражението на решението за падането на визите върху военната област ?,- отражението на решението за падането на визите върху военната област Какво ще е ?,[0] -> [1] -> [25]
Европейските социалдемократически партии не се вълнуват особено от изборите у нас и от това какви са шансовете на БСП .,Европейските социалдемократически партии не се вълнуват особено от изборите у нас и от това шансовете на БСП какви са .,[0] -> [1] -> [25]
"Но по-страшен е фактът , че вече трета година в касите на държавното осигуряване няма нито лев резерв , с който да се посрещне ангажиментът към сега работещите за бъдещите им пенсии .","Но фактът , че вече трета година в касите на държавното осигуряване няма нито лев резерв , с който да се посрещне ангажиментът към сега работещите за бъдещите им пенсии по-страшен е .",[0] -> [1] -> [25]
"Тогава дочух , че се вика от другия край на ливадата дето беше реката , врабците подхвръкват , вдига се ужасна врява .","Тогава дочух , че се вика от другия край на ливадата реката дето беше , врабците подхвръкват , вдига се ужасна врява .",[0] -> [1] -> [25]
Сред последните пет звездни имена са Дженифър Лопес на 13-то място и Тара Палмър-Томкинсън .,Сред последните пет звездни Дженифър Лопес на 13-то място и Тара Палмър-Томкинсън имена са .,[0] -> [1] -> [25]
"Грешно е това , което се прави , и след време ще страдаме .","това , което се прави , Грешно е и след време ще страдаме .",[0] -> [1] -> [25]
"А най-главните проблеми са стабилността , мирът и сътрудничеството на Балканите .","А най-главните стабилността , мирът и сътрудничеството на Балканите проблеми са .",[0] -> [1] -> [25]
Командир на учебната база е най-старшият по звание и длъжност кадрови военнослужещ в базата .,най-старшият по звание и длъжност кадрови военнослужещ в базата Командир на учебната база е .,[0] -> [1] -> [25]
Надолу е градът .,градът Надолу е .,[0] -> [1] -> [25]
Какво е вътрешното разпределение на бюджета по дейности ?,вътрешното разпределение на бюджета по дейности Какво е ?,[0] -> [1] -> [25]
Най-добра била ситуацията в Добричка област и в Централна Северна България .,ситуацията в Добричка област и в Централна Северна България Най-добра била .,[0] -> [1] -> [25]
Инструмент на гражданския контрол върху Въоръжените сили ли е Бялата книга ?,Бялата книга Инструмент на гражданския контрол върху Въоръжените сили ли е ?,[0] -> [1] -> [25]
Какво е мястото на агенцията в осъществяването на тази политика ?,мястото на агенцията в осъществяването на тази политика Какво е ?,[0] -> [1] -> [25]
