sen_str,swapped_sen_str,leaf_rule
vive l haraga vive tiaretia hadik marahich blad mabghinach n3icho fi bladkom blad le m3aref blad l hogra hnaya la wraki la walo besah rana bien makanch hogra,l haraga vive vive tiaretia hadik marahich blad mabghinach n3icho fi bladkom blad le m3aref blad l hogra hnaya la wraki la walo besah rana bien makanch hogra,[0] -> [14]
vive toi mbolhi vraiment for bazef l confiance rah ytardag 3andek nchalah tfarhon m3a maricane,toi mbolhi vraiment for bazef vive l confiance rah ytardag 3andek nchalah tfarhon m3a maricane,[0] -> [14]
ana ma3a ta3lik 1 vive mouloudiaaaa,ana ma3a ta3lik 1 mouloudiaaaa vive,[0] -> [14]
vive beladi walah yahfede wlade beladi o rbi m3akom o nchalah masorin,beladi vive walah yahfede wlade beladi o rbi m3akom o nchalah masorin,[0] -> [14]
we li 3andou arde ou ma3andouche permis de construire !!!!!!? vive algerie inchallah algerie rabha zambia be 4 / 0 wakha iala3bou htta fe trab farahtona allah m3akoum,we li 3andou arde ou ma3andouche permis de construire !!!!!!? algerie vive inchallah algerie rabha zambia be 4 / 0 wakha iala3bou htta fe trab farahtona allah m3akoum,[0] -> [14]
vive CRB nchalah hada l 3ame coupe w championi,CRB vive nchalah hada l 3ame coupe w championi,[0] -> [14]
ya madjer rouh el3ab m3a likedek raouraoua la mafiaaaaaaaaaa vive raouraoua,ya madjer rouh el3ab m3a likedek raouraoua la mafiaaaaaaaaaa raouraoua vive,[0] -> [14]
vive boutaflika lokane jawe wakefine el rejale m3ahe lokane dezayere rahi 3endeha cheda fi el 3alame,boutaflika vive lokane jawe wakefine el rejale m3ahe lokane dezayere rahi 3endeha cheda fi el 3alame,[0] -> [14]
bonne chance pour le rck vive les koubiéens inchallah tel3a é bonne chance pr alilou,bonne chance pour le rck les koubiéens vive inchallah tel3a é bonne chance pr alilou,[0] -> [14]
123 vive chabiba rana m3akom farhouna rana za3fanine,123 chabiba vive rana m3akom farhouna rana za3fanine,[0] -> [14]
one two three viva l' algerie et viva saadane et m3ake el koudame,one two three viva l' algerie et saadane viva et m3ake el koudame,[0] -> [14]
rabi m3akom w hna tani farhouna 123 viva l' algérie,rabi m3akom w hna tani farhouna 123 l' algérie viva,[0] -> [14]
desole ilham mes vive el gawriyat ki natzawdjo bikoum tkarhoma fi yamana ou khiyatna ou familatna hadi hakika adiro el plon w a nhass w el 3akar ntoma asamhi li wa lakin wa3rin bazef HACHA ALI MATASTAHELCH 10 POUR100 YASALHO W EL BAKI CHOKH BLA MOKH,desole ilham mes el gawriyat vive ki natzawdjo bikoum tkarhoma fi yamana ou khiyatna ou familatna hadi hakika adiro el plon w a nhass w el 3akar ntoma asamhi li wa lakin wa3rin bazef HACHA ALI MATASTAHELCH 10 POUR100 YASALHO W EL BAKI CHOKH BLA MOKH,[0] -> [14]
vive el khala w rabi m3akom w yfarahkom kima farahto ga3 el djazayer,el khala vive w rabi m3akom w yfarahkom kima farahto ga3 el djazayer,[0] -> [14]
vive babia hado el jsk rahoum walo ki homa ki sitif m3a babia lala mamat hakda,babia vive hado el jsk rahoum walo ki homa ki sitif m3a babia lala mamat hakda,[0] -> [14]
wallah el missamih kebir bas lazim chwiyat wa2t 3achen ninssa wa tidawa el jirah viva algerie,wallah el missamih kebir bas lazim chwiyat wa2t 3achen ninssa wa tidawa el jirah algerie viva,[0] -> [14]
vive el marchi nouir ana kont nkhdem fi alger f el marchi lokan eyzido eynahiw e sizi e zawali ey3awen roho chwiya alah galeb makach charikat khlo a zwali yakol el kobz saha ftorkom,el marchi nouir vive ana kont nkhdem fi alger f el marchi lokan eyzido eynahiw e sizi e zawali ey3awen roho chwiya alah galeb makach charikat khlo a zwali yakol el kobz saha ftorkom,[0] -> [14]
ya alah insor falastin wa koun m3a i5wanina ana walah loukan ya5aliwni nroh walah mana83od wa vive l algirie,ya alah insor falastin wa koun m3a i5wanina ana walah loukan ya5aliwni nroh walah mana83od wa l algirie vive,[0] -> [14]
ViVeeeeeeeeeeeeeeee mouloudia pour toujour inchallah had 3am lina mouwafekkkk,mouloudia ViVeeeeeeeeeeeeeeee pour toujour inchallah had 3am lina mouwafekkkk,[0] -> [14]
vive csc dima inchalah tal3a lina vive csc,vive csc dima inchalah tal3a lina csc vive,[0] -> [14]
braka ellah fikou rebi yeoufe9ue m3akom vive les algerienne,braka ellah fikou rebi yeoufe9ue m3akom les algerienne vive,[0] -> [14]
vive mca hada l 3ame 3amna vive touil champione mca,vive mca hada l 3ame 3amna touil vive champione mca,[0] -> [14]
ana wellah mafhamt hadi l kharja ta3ek a blhout hssebnak rajel ou hna li rfednak ki kasstek setif hak l khir akhouya deber rassek normalement rak cheft f l futur ta3ek ou rak kbir alah yssahel bessah aso chlef entraineur li yakhdem m3aha najeh ki ta ki 3amrani ki li ssebkoukom ki li jayyn ou vive aso,ana wellah mafhamt hadi l kharja ta3ek a blhout hssebnak rajel ou hna li rfednak ki kasstek setif hak l khir akhouya deber rassek normalement rak cheft f l futur ta3ek ou rak kbir alah yssahel bessah aso chlef entraineur li yakhdem m3aha najeh ki ta ki 3amrani ki li ssebkoukom ki li jayyn ou aso vive,[0] -> [14]
saha vive mouloudia 3lach mdjibounach jeur mlih w nathanaw ya 3amros jibana daham mrsi,saha mouloudia vive 3lach mdjibounach jeur mlih w nathanaw ya 3amros jibana daham mrsi,[0] -> [14]
vive algeri ou mabrok tal3a o medea merci,algeri vive ou mabrok tal3a o medea merci,[0] -> [14]
wayyyyyy rabhat ess vive ess tahat bikom ya jsk kontou l 3am lli fat l awline w dork thawssou tkounou l awline hahaha,wayyyyyy rabhat ess ess vive tahat bikom ya jsk kontou l 3am lli fat l awline w dork thawssou tkounou l awline hahaha,[0] -> [14]
123 rana m3ak ya ss3dan vive l' algerie,123 rana m3ak ya ss3dan l' algerie vive,[0] -> [14]
inchallah ya rabi 3 but amin ya rabi al 3alamin one two tree viva l algerie tahya bladi m3ak y al khadra ndiro hala,inchallah ya rabi 3 but amin ya rabi al 3alamin one two tree l algerie viva tahya bladi m3ak y al khadra ndiro hala,[0] -> [14]
allah yahafdak w ykhalika lina ya Mr le président w tahia bouteflika w rana m3ak,allah yahafdak w ykhalika lina ya Mr le président w bouteflika tahia w rana m3ak,[0] -> [14]
vive les cip national et vive ziani belhaje; antare yahya w ma nansawche gazal li frahna w mazal yfarahna ktare m3a egthept nchalah,vive les cip national et ziani belhaje; antare yahya vive w ma nansawche gazal li frahna w mazal yfarahna ktare m3a egthept nchalah,[0] -> [14]
1 2 3 viva l' algerie roh ya 3ammou sa3dane rak rabeh,1 2 3 l' algerie viva roh ya 3ammou sa3dane rak rabeh,[0] -> [14]
nchalah ya rabi natal3o D1 w l 3adyan w l khayan yba3dou lhamri vive MCO a la vie a la mort,nchalah ya rabi natal3o D1 w l 3adyan w l khayan yba3dou lhamri MCO a la vie a la mort vive,[0] -> [14]
vive el mouloudia nchaleh ya rabi matahbatch le doyen ne meur jamai ya l 3adyen,el mouloudia vive nchaleh ya rabi matahbatch le doyen ne meur jamai ya l 3adyen,[0] -> [14]
vive cabba anchallah trbah el borj babia + bba = contra 3al stayfya wa nfarho fi eleulma,cabba vive anchallah trbah el borj babia + bba = contra 3al stayfya wa nfarho fi eleulma,[0] -> [14]
bon courage les champions vous etes toujours les meuilleurs vive l' entante de setif el 3ali,bon courage les champions vous etes toujours les meuilleurs l' entante de setif el 3ali vive,[0] -> [14]
c vrais haj issa 3andou blastou 123 vive algerie,c vrais haj issa 3andou blastou 123 algerie vive,[0] -> [14]
hada 3am championi vive aso,hada 3am championi aso vive,[0] -> [14]
lazam a sha3b inodh daoula islamya la la la li hizb firanssa tahya al jazair tahya al marroc tahya tousnes a saghira al 3adhima,lazam a sha3b inodh daoula islamya la la la li hizb firanssa tahya al jazair al marroc tahya tahya tousnes a saghira al 3adhima,[0] -> [14]
al 3alem al 3alem lina au 123 viva L' algerie,al 3alem al 3alem lina au 123 L' algerie viva,[0] -> [14]
bnj lamouchia sa place est dans real madrid pas zamalek et m3ak ya khadra et vive ASO w mazel MCO,bnj lamouchia sa place est dans real madrid pas zamalek et m3ak ya khadra et ASO w mazel MCO vive,[0] -> [14]
inchallah en beynulhum beli keyen el balo 3adna 1 2 3 viva algerien,inchallah en beynulhum beli keyen el balo 3adna 1 2 3 algerien viva,[0] -> [14]
ya l masrawi el3abe ba3ide b indjazatakom vive l algeriaaaa,ya l masrawi el3abe ba3ide b indjazatakom l algeriaaaa vive,[0] -> [14]
allez les verts charfouna kima el 3ada w khaliw el fer3awn yahbal lah ibarek et allah ay3awankoum lah ibarek et allah ay3awankoum hamdoulllah moi je sui harrag a barsa vive el harga et vive l 'orope) win t3alamte takra,allez les verts charfouna kima el 3ada w khaliw el fer3awn yahbal lah ibarek et allah ay3awankoum lah ibarek et allah ay3awankoum hamdoulllah moi je sui harrag a barsa vive el harga et l 'orope) win t3alamte takra vive,[0] -> [14]
rana m3akoum ya wlad el khadra 123 vive algerie far7ouna lah y fara7koum,rana m3akoum ya wlad el khadra 123 algerie vive far7ouna lah y fara7koum,[0] -> [14]
vive l haraga vive tiaretia hadik marahich blad mabghinach n3icho fi bladkom blad le m3aref blad l hogra hnaya la wraki la walo besah rana bien makanch hogra,vive l haraga tiaretia vive hadik marahich blad mabghinach n3icho fi bladkom blad le m3aref blad l hogra hnaya la wraki la walo besah rana bien makanch hogra,[0] -> [14]
nchalah berbeh 3alik khouya chaouchi et vive mouloudia,nchalah berbeh 3alik khouya chaouchi et mouloudia vive,[0] -> [14]
1 2 3 vive algerian ;3ak ya rezki bey,1 2 3 algerian vive ;3ak ya rezki bey,[0] -> [14]
vive la algeres zkarra f al 3adian,la algeres vive zkarra f al 3adian,[0] -> [14]
