sen_str,swapped_sen_str,leaf_rule
"Совет үедэ олонхи дасангууд һандаргагдажа , манайшье дасан хохидоһон .","Совет үедэ һандаргагдажа олонхи дасангууд , манайшье дасан хохидоһон .",[0] -> [1]
"Ганса хубсаһан бэшэ , мүн дуу хүгжэм , хатарха маяг баһал зарим ушартаа адлихан байһыень проект бэлдэгшэд харагшадтаа ойлгуулжа шадаа .","Ганса хубсаһан бэшэ , баһал зарим ушартаа адлихан байһыень мүн дуу хүгжэм , хатарха маяг проект бэлдэгшэд харагшадтаа ойлгуулжа шадаа .",[0] -> [1]
Академик Окладников хэлэһэн байна : « Энэ хабсагайн шулуун зурагууд эртэ урда сагай хүнэй уран һайханай бүтээлэй Хойто Азиин ори гансахан музей .,Академик Окладников хэлэһэн байна : « эртэ урда сагай хүнэй уран һайханай бүтээлэй Хойто Азиин ори гансахан музей Энэ хабсагайн шулуун зурагууд .,[0] -> [1]
Зүлхэ мүрэнэй эрьеэр 3 км ута хабсагай шулуунууд дээгүүр 15 мянган зуун жэлэй саада тээ бии болоһон гайхамшагта зурагууд харагдаа .,Зүлхэ мүрэнэй эрьеэр харагдаа 3 км ута хабсагай шулуунууд дээгүүр 15 мянган зуун жэлэй саада тээ бии болоһон гайхамшагта зурагууд .,[0] -> [1]
"Минии һанахада , бороо орожо байна .","Минии һанахада , орожо бороо байна .",[0] -> [1]
- Нёдондо алтанхан намарай намжаа үдэрнүүдтэ Усть-Ордын үндэһэтэ арадай уран һайханай түбэй мэргэжэлтэд Хаашаг дайда руу этнографическа экспедицеэр ошоһон байна .,- Нёдондо алтанхан намарай намжаа үдэрнүүдтэ Хаашаг дайда руу этнографическа экспедицеэр ошоһон Усть-Ордын үндэһэтэ арадай уран һайханай түбэй мэргэжэлтэд байна .,[0] -> [1]
- Манай нютагайхид ехэ һайхан ордон мэтэ һургуулитай болонхойбди .,- ехэ һайхан ордон мэтэ һургуулитай болонхойбди Манай нютагайхид .,[0] -> [1]
Сонхоной хойно хүхэ юумэн харагдажа байгаа .,Сонхоной хойно харагдажа хүхэ юумэн байгаа .,[0] -> [1]
Угаараа бэлиг дамжуулагдаа,Угаараа дамжуулагдаа бэлиг,[0] -> [1]
"Сагай хүлгөөндэ хүн зон һанаагаараа , байдалаараашье ондоо боложо , ехэ хубилалтада орожо байгаа бэзэ .","Сагай хүлгөөндэ һанаагаараа , байдалаараашье ондоо хүн зон боложо , ехэ хубилалтада орожо байгаа бэзэ .",[0] -> [1]
"Мэргэдэй хэрэм гэжэ байна , Табан хурган , Балтын хажууда сонгоол болон хори буряадуудай түрүүшынхиеэ уулзаһан газар бии .","Мэргэдэй хэрэм гэжэ байна , Табан хурган , Балтын хажууда бии сонгоол болон хори буряадуудай түрүүшынхиеэ уулзаһан газар .",[0] -> [1]
Гэһэн хэдышье энэ бүхэн тэрэнэй хүсэн зориһоные хангаһангүй .,Гэһэн тэрэнэй хүсэн зориһоные хангаһангүй хэдышье энэ бүхэн .,[0] -> [1]
"Жэшээнь , би гэртэхинэйнгээ буусада хамһабариин ажахы нээжэ , мал тэжээхэ хүсэлтэйб .","Жэшээнь , гэртэхинэйнгээ буусада хамһабариин ажахы нээжэ би , мал тэжээхэ хүсэлтэйб .",[0] -> [1]
Түсэб соо зарим хубилалтанууд хэгдэжэ болохо .,Түсэб соо хэгдэжэ зарим хубилалтанууд болохо .,[0] -> [1]
"Эдэ үдэрнүүдтэ Буряадаймнай урдаа хараха дуу , хатарай « Байгал » театр ялас гэмэ концерт наадаар харагшадаа үшөө дахин бая-суулба .","Эдэ үдэрнүүдтэ Буряадаймнай урдаа хараха ялас гэмэ концерт наадаар харагшадаа үшөө дахин бая-суулба дуу , хатарай « Байгал » театр .",[0] -> [1]
һалхинай үгыдэ ногоон хүдэлхэгүй .,һалхинай үгыдэ хүдэлхэгүй ногоон .,[0] -> [1]
"Боом нютагта гоё һайхан нуур бии , тэндэ байгаали хамгаалгын дэбисхэр эмхидхэхээр .","Боом нютагта бии гоё һайхан нуур , тэндэ байгаали хамгаалгын дэбисхэр эмхидхэхээр .",[0] -> [1]
1999 ондо Солбон Лыгденов Зүүн Сибириин соёлой ба искусствын академидэ театральна режиссёрой отделенидэ ороһон болоно .,1999 ондо Зүүн Сибириин соёлой ба искусствын академидэ театральна режиссёрой отделенидэ ороһон Солбон Лыгденов болоно .,[0] -> [1]
Ород гурэнэй 2010 оной тоогоор Буряад яһатан 461389 хун зон болоно .,Ород гурэнэй 2010 оной тоогоор 461389 хун зон Буряад яһатан болоно .,[0] -> [1]
« Би гэртэй гансал үдэшэндөө ерэхэб » - гэжэ эрэ хүн хэлээ .,« гэртэй гансал үдэшэндөө ерэхэб Би » - гэжэ эрэ хүн хэлээ .,[0] -> [1]
Тулалдаанай дүүрэтэр 30 секундын үлөөд бай үедэ залуу хүбүүн 1 баллаар шүүжэ ябаба .,Тулалдаанай дүүрэтэр үлөөд 30 секундын бай үедэ залуу хүбүүн 1 баллаар шүүжэ ябаба .,[0] -> [1]
"Өөһэдын гоё һайхан ордонтой болобол , бэлиг шадабаритай театр үшөө һайхан бүтээлнүүдээрээ ганса Буряад Республикын , Россиин зониие бэшэ , мүн бүхэдэлхэйн арадуудые баясуулха аргатай ха юм !","Өөһэдын гоё һайхан ордонтой болобол , үшөө һайхан бүтээлнүүдээрээ ганса Буряад Республикын , Россиин зониие бэшэ , мүн бүхэдэлхэйн арадуудые баясуулха бэлиг шадабаритай театр аргатай ха юм !",[0] -> [1]
"Концертын нэгэдэхи хубидань театрай артистнар дуу , хатараа бэлэглээ .","Концертын нэгэдэхи хубидань дуу , хатараа бэлэглээ театрай артистнар .",[0] -> [1]
Бодото дээрээ бэрхэ фермернүүд хотодо ажаһуудаг олзын хэрэг эрхилэгшэдһээшье баян байдаг .,Бодото дээрээ хотодо ажаһуудаг олзын хэрэг эрхилэгшэдһээшье баян бэрхэ фермернүүд байдаг .,[0] -> [1]
Теэд 2010 оной тоогоор Монголой буряадууд 100000 тоо болотор байхын багсаагдана .,Теэд 2010 оной тоогоор 100000 тоо болотор байхын багсаагдана Монголой буряадууд .,[0] -> [1]
"һайн мориндо эзэн олон , һайн хүндэ нүхэр олон .","һайн мориндо эзэн олон , һайн хүндэ олон нүхэр .",[0] -> [1]
Тэрээн соо ехэ олон хэрэгтэй туһаламжанууд оронхой .,Тэрээн соо оронхой ехэ олон хэрэгтэй туһаламжанууд .,[0] -> [1]
"Теэд яахабши , хүнэй хэдышье hанаатай байхада , бурхан өөрынхеэрээл гэжэ арад зон хэлсэдэг гээбы даа .","Теэд яахабши , хүнэй хэдышье hанаатай байхада , бурхан өөрынхеэрээл гэжэ хэлсэдэг арад зон гээбы даа .",[0] -> [1]
"Хойто Энэдхэгтэ Лангхау гэһэн хото Агууехэ Моголнуудай соёлой , искусствын түб болоно .","Хойто Энэдхэгтэ Агууехэ Моголнуудай соёлой , искусствын түб Лангхау гэһэн хото болоно .",[0] -> [1]
"- Ямар уг гарбалтай , хаанахи хүнүүд тэрэ холын ой хадаар түбхинөө гээшэб ?","- Ямар уг гарбалтай , хаанахи тэрэ холын ой хадаар түбхинөө хүнүүд гээшэб ?",[0] -> [1]
- Эндэ тэндэ ольтирогуудаар оршоһон буряад нютагууд бии .,- Эндэ тэндэ ольтирогуудаар бии оршоһон буряад нютагууд .,[0] -> [1]
"- Эрхүү хотоһоо хойшоо Яхадай трактаар 257 модо саашаа ябахада , Зүлхэ ( Ленэ ) мүрэнэй эрьедэ энэ нютаг оршодог .","- Эрхүү хотоһоо хойшоо Яхадай трактаар 257 модо саашаа ябахада , Зүлхэ ( Ленэ ) мүрэнэй эрьедэ оршодог энэ нютаг .",[0] -> [1]
Энэ үедэ Будда 35 наһан хүрэһэн байба .,Энэ үедэ 35 наһан хүрэһэн Будда байба .,[0] -> [1]
"Илангаяа мүнөө жаахан басагамни эжы абатайм намайе ехэ хүлеэжэ байна , - гээд энеэбхилэн , хөөрөөгөө Булад дүүргэбэ .","Илангаяа мүнөө жаахан басагамни эжы абатайм намайе ехэ хүлеэжэ байна , - гээд энеэбхилэн , хөөрөөгөө дүүргэбэ Булад .",[0] -> [1]
"Энэдхэг гүрэнэй олондо мэдээсэл тараадаг хэблэлнүүдтэ Хойто Энэдхэгэй соёлдо монголшуудай үлөөһэн мүр сараа тухай элидхэлнүүд соо энэ мүнөө табигдаһан проект тухай , моголнуудай аша туһаар тэндэхи арадуудай соёл һонин , үндэр хэмжээнэй болоо гэжэ бэшэгдэһэн байна .","Энэдхэг гүрэнэй олондо мэдээсэл тараадаг хэблэлнүүдтэ Хойто Энэдхэгэй соёлдо монголшуудай үлөөһэн мүр сараа тухай элидхэлнүүд соо энэ мүнөө табигдаһан проект тухай , моголнуудай аша туһаар һонин тэндэхи арадуудай соёл , үндэр хэмжээнэй болоо гэжэ бэшэгдэһэн байна .",[0] -> [1]
Эдэ һүрөөтэй урданай хабсагайн зурагуудай дэргэдэ « Зүлхэйн ноёдто » ; ехэ тайлган жэл бүри үнгэрдэг юм .,Эдэ һүрөөтэй урданай хабсагайн зурагуудай дэргэдэ жэл бүри үнгэрдэг « Зүлхэйн ноёдто » ; ехэ тайлган юм .,[0] -> [1]
Тэрэ хүндэ һайн эдеэлхэ томорхуу,Тэрэ хүндэ томорхуу һайн эдеэлхэ,[0] -> [1]
"Дандар Бадлуевай һанаһан проектые ойлгожо , бэелүүлэлсэһэн Хойто Энэдхэг ороной артистнар дуушан Правин Мишра , хатаршад Анужд Мишра , Нэха Сингх гэгшэдэй гүйсэдхэһэн дуу , хатар харагшадта ехэтэ һайхашаагдаа .","Дандар Бадлуевай һанаһан проектые ойлгожо , харагшадта ехэтэ һайхашаагдаа бэелүүлэлсэһэн Хойто Энэдхэг ороной артистнар дуушан Правин Мишра , хатаршад Анужд Мишра , Нэха Сингх гэгшэдэй гүйсэдхэһэн дуу , хатар .",[0] -> [1]
Мүнөө абгамни Улаан-Үдэдэ ажаһуудаг .,Мүнөө Улаан-Үдэдэ ажаһуудаг абгамни .,[0] -> [1]
"Байгал шадараар , нютаг нугануудаар буряадууд үни сагһаа ажаһууһан юм .","Байгал шадараар , нютаг нугануудаар үни сагһаа ажаһууһан буряадууд юм .",[0] -> [1]
Үнгэрэгшэ амаралтын үдэрнүүдтэ Улаан-Үдэ хотодо буряад хэлэ ба литератураар олимпиада республикын хэмжээндэ үнгэргэгдөө .,Үнгэрэгшэ амаралтын үдэрнүүдтэ Улаан-Үдэ хотодо республикын хэмжээндэ үнгэргэгдөө буряад хэлэ ба литератураар олимпиада .,[0] -> [1]
"һайн мориндо эзэн олон , һайн хүндэ нүхэр олон .","һайн мориндо олон эзэн , һайн хүндэ нүхэр олон .",[0] -> [1]
Августын 22-25-най үдэрнүүдтэ Якутск хотодо 1-дэхи Уласхоорондын кинофестиваль үнгэрһэн .,Августын 22-25-най үдэрнүүдтэ Якутск хотодо үнгэрһэн 1-дэхи Уласхоорондын кинофестиваль .,[0] -> [1]
Мүнөө үедэ бэлигтэй режиссёр 2012 ондо эхилһэн « Дарима » гэһэн кинофильмын проект дээрэ зохёохы бүлэгтэеэ саашань эршэтэйгээр хүдэлмэрилжэ байна .,Мүнөө үедэ 2012 ондо эхилһэн « Дарима » гэһэн кинофильмын проект дээрэ зохёохы бүлэгтэеэ саашань эршэтэйгээр хүдэлмэрилжэ бэлигтэй режиссёр байна .,[0] -> [1]
"- Сэхынь хэлэхэдэ , би олон жэлээр Усть-Ордада ажаһуугаад , Хаашагай аймагаар буряадууд олоор ажаһуудаг юм гэжэ мэдэдэггүй байгааб .","- Сэхынь хэлэхэдэ , би олон жэлээр Усть-Ордада ажаһуугаад , Хаашагай аймагаар олоор ажаһуудаг буряадууд юм гэжэ мэдэдэггүй байгааб .",[0] -> [1]
Хужар гэжэ нютагта үндын дээшээ хүн болоо .,Хужар гэжэ нютагта болоо үндын дээшээ хүн .,[0] -> [1]
Хүдөөгэй ажалда хамсыгаа шуугаа бэлэй .,Хүдөөгэй ажалда шуугаа хамсыгаа бэлэй .,[0] -> [1]
Үнгэрэгшэ зуун жэлэй 80-яад – 90-ээд онуудта Эрхүүгэй гүрэнэй университедэй оюутад тэрэ хизаар руу хэлэ бэшэгэй болон аман зохёолой практикада олоор ошодог һэн .,Үнгэрэгшэ зуун жэлэй 80-яад – 90-ээд онуудта тэрэ хизаар руу хэлэ бэшэгэй болон аман зохёолой практикада олоор ошодог Эрхүүгэй гүрэнэй университедэй оюутад һэн .,[0] -> [1]
- Мүнөө сагта олонхи хүдөө нютагууд « үншэршэнхэй » гээшэ ааб даа .,- Мүнөө сагта « үншэршэнхэй олонхи хүдөө нютагууд » гээшэ ааб даа .,[0] -> [1]
Аймаг соогоо үндэһэн һургуули гэжэ тоологдодог .,Аймаг соогоо гэжэ тоологдодог үндэһэн һургуули .,[0] -> [1]
"Ушар юуб гэхэдэ , Цыпелмагай балшар бага наһандань нютагтань Буряад драмын театр болон « Байгал » ансамбль гээд гастрольдо ерэдэг һэн .","Ушар юуб гэхэдэ , Цыпелмагай балшар бага наһандань нютагтань гээд гастрольдо ерэдэг Буряад драмын театр болон « Байгал » ансамбль һэн .",[0] -> [1]
Ямар онтохон шэнги газар байдаг юм !,Ямар онтохон шэнги байдаг газар юм !,[0] -> [1]
Тэрэ шүлэгүүдээр хүнэй сэдьхэлдэ алтан дугы татаатай байна .,Тэрэ шүлэгүүдээр хүнэй сэдьхэлдэ татаатай алтан дугы байна .,[0] -> [1]
"Бэе бэеэ ололсожо , бэлиг талаангаа хамтадхаһан урагшаа һанаатай Лыгденовтэнэй бүлэ 2 урин хөөрхэн Алина ба Соёлма басагадые , угаа дамжуулха хүбүүе хүмүүжүүлнэ .","Бэе бэеэ ололсожо , 2 урин хөөрхэн Алина ба Соёлма басагадые , угаа дамжуулха хүбүүе хүмүүжүүлнэ бэлиг талаангаа хамтадхаһан урагшаа һанаатай Лыгденовтэнэй бүлэ .",[0] -> [1]
Тэрэ үедэ аханарынь дээдэ һургуули дүүргэнхэй байгаа юм .,Тэрэ үедэ дээдэ һургуули дүүргэнхэй аханарынь байгаа юм .,[0] -> [1]
"Тиихэдэнь би эхэ эсэгэеэ хэлсүүлхэгүйн тула дансануудаа һөөргэнь абаад , гэртэхиндээшье хэлэнгүй , Эрхүү гарашооб .","Тиихэдэнь эхэ эсэгэеэ хэлсүүлхэгүйн тула дансануудаа һөөргэнь абаад , гэртэхиндээшье хэлэнгүй , Эрхүү гарашооб би .",[0] -> [1]
Эндэ һаяхан тэдэнэр Гусиноозерск хотодо эмхидхэгдэһэн харалганда эдэбхитэй хабаадаа .,Эндэ һаяхан Гусиноозерск хотодо эмхидхэгдэһэн харалганда эдэбхитэй хабаадаа тэдэнэр .,[0] -> [1]
