sen_str,swapped_sen_str,leaf_rule
"Kyllä , kanšallisuš vaikuttau ihmiseh luontoh .","Kyllä , vaikuttau kanšallisuš ihmiseh luontoh .",[0] -> [1] -> [2] -> [4]
"Irina Rinkevičin šanojen mukah , peli aina loppuu eri tavalla ta aina on mukava tiijuštua uuvven juonen .","Irina Rinkevičin šanojen mukah , aina loppuu peli eri tavalla ta aina on mukava tiijuštua uuvven juonen .",[0] -> [1] -> [2] -> [4]
"Myö aina staraičemma , jotta lapšet yhyttäis näih pitoloih , jotta hyö tiijettäis oman šeuvun istorijua ta meilä olis kellä šiirtyä ” meijän šuvun lauluja ” .","Myö aina staraičemma , jotta yhyttäis lapšet näih pitoloih , jotta hyö tiijettäis oman šeuvun istorijua ta meilä olis kellä šiirtyä ” meijän šuvun lauluja ” .",[0] -> [1] -> [2] -> [4]
"Kyllikki mäni miehol’ah , a Pohjolan neito joutu Manalah .","Kyllikki mäni miehol’ah , joutu a Pohjolan neito Manalah .",[0] -> [1] -> [2] -> [4]
"Miun mieleštä , lava aina erottau kaččojie artistoista .","Miun mieleštä , aina erottau lava kaččojie artistoista .",[0] -> [1] -> [2] -> [4]
"Iltasin myö istuma kiukualla ta miun tuatto Kirilä kerto meilä , omilla lapšillah , mitä hiän ruato pienenä olleššah .","Iltasin myö istuma kiukualla kerto ta miun tuatto Kirilä meilä , omilla lapšillah , mitä hiän ruato pienenä olleššah .",[0] -> [1] -> [2] -> [4]
"Aktijon aikana äšen muajilman kuulusimmissa nähtävykšissä šammutetah kaikki valot , esimerkiksi , Colosseus Roomašša , Empire State Building Yhyšvalloissa , Eiffelin torni Pariisissa , Ateenan Akropolis , Sidnein oopperatalo ta monet muut nähtävykšet šeisotah valotta .","Aktijon aikana äšen muajilman kuulusimmissa nähtävykšissä šammutetah kaikki valot , esimerkiksi , Colosseus Roomašša , Empire State Building Yhyšvalloissa , Eiffelin torni Pariisissa , Ateenan Akropolis , Sidnein oopperatalo šeisotah ta monet muut nähtävykšet valotta .",[0] -> [1] -> [2] -> [4]
"Tätä Kalevala-šeikkailupelie pelattih jo kymmenenteh kertah ta oli hyvin simvolista , jotta peli oli järješšetty juuri Kalevalan päivän kunnivokši ( 28. tuiskukuuta ) .","Tätä Kalevala-šeikkailupelie pelattih jo kymmenenteh kertah ta oli hyvin simvolista , jotta oli järješšetty peli juuri Kalevalan päivän kunnivokši ( 28. tuiskukuuta ) .",[0] -> [1] -> [2] -> [4]
"Yhet luajitah piätökšie heti , toiset mietitäh pitän aikua .","Yhet luajitah piätökšie heti , mietitäh toiset pitän aikua .",[0] -> [1] -> [2] -> [4]
Yhteisruavošša myö šuamma paremmat tulokšet .,Yhteisruavošša šuamma myö paremmat tulokšet .,[0] -> [6] -> [7]
Šiitä hyö kačahettih toisihis ta hyrähettih nakruh .,Šiitä kačahettih hyö toisihis ta hyrähettih nakruh .,[0] -> [6] -> [7]
"Iltasin myö istuma kiukualla ta miun tuatto Kirilä kerto meilä , omilla lapšillah , mitä hiän ruato pienenä olleššah .","Iltasin istuma myö kiukualla ta miun tuatto Kirilä kerto meilä , omilla lapšillah , mitä hiän ruato pienenä olleššah .",[0] -> [6] -> [7]
Arkielämäššä myö vietämmä vähän aikua omien lapšien kera .,Arkielämäššä vietämmä myö vähän aikua omien lapšien kera .,[0] -> [6] -> [7]
"Tämän pelin jälkeh lapšilla ilmeštyy halu lukie ” Kalevalan ” ta tiijuštua enemmäh hahmošta , kenen roolissa hyö pelattih tätä šeikkailupelie .","Tämän pelin jälkeh lapšilla ilmeštyy halu lukie ” Kalevalan ” ta tiijuštua enemmäh hahmošta , kenen roolissa pelattih hyö tätä šeikkailupelie .",[0] -> [6] -> [7]
"– Myö emmä mäne kalalla , kun hilloh šuolla .","– emmä mäne Myö kalalla , kun hilloh šuolla .",[0] -> [6] -> [7]
