sen_str,swapped_sen_str,leaf_rule
මේ කතිකාව පිළිබඳ කිසිඳු හැඟීමක් අපට නැත .,මේ කතිකාව පිළිබඳ කිසිඳු හැඟීමක් නැත අපට .,[0]
මෙවර අයවැය ඉදිරිපත් වන්නේ ඉහත කී ආර්ථික දුෂ්කරතා මධ්‍යයේ ය .,මෙවර ඉදිරිපත් අයවැය වන්නේ ඉහත කී ආර්ථික දුෂ්කරතා මධ්‍යයේ ය .,[0]
අද නිදහසේ හුස්ම පොදක් ගැනීමේ අවස්ථාව ජනතාවට තිබේ .,අද නිදහසේ හුස්ම පොදක් ගැනීමේ අවස්ථාව තිබේ ජනතාවට .,[0]
එදා ජනතාව සිය යුතුකම ඉටු කළේ ය .,එදා සිය යුතුකම ඉටු ජනතාව කළේ ය .,[0]
වනාන්තරය පුරා සෝදිසි මෙහෙයුම් ද සිදු කෙරේ .,වනාන්තරය පුරා ද සිදු සෝදිසි මෙහෙයුම් කෙරේ .,[0]
මේ ගිවිසුමට විපක්ෂනායක රනිල් වික්‍රමසිංහ මහතා ද අස්සන් කර තිබේ .,මේ ගිවිසුමට ද අස්සන් විපක්ෂනායක රනිල් වික්‍රමසිංහ මහතා කර තිබේ .,[0]
තෙවනුව ඔවුන් වන්නියේ මෙහෙයුම්වලට අත පොවනු ඇත .,තෙවනුව වන්නියේ මෙහෙයුම්වලට අත ඔවුන් පොවනු ඇත .,[0]
මැතිවරණ පොරොන්දු පිළිබඳ ඉතා හොඳ වැටහීමක් මෙරට ජනතාවට තිබේ .,මැතිවරණ පොරොන්දු පිළිබඳ ඉතා හොඳ වැටහීමක් තිබේ මෙරට ජනතාවට .,[0]
එය හුදු දේශපාලන කයිවාරුවක් යැයි තවත් අය දැඩි විවේචන කළහ .,එය හුදු දේශපාලන කයිවාරුවක් යැයි දැඩි විවේචන තවත් අය කළහ .,[0]
විවෘත ආර්ථික ක්‍රමය තුළ මහා පරිමාණ වෙළෙඳ මධ්‍යස්ථාන නගරයේ ඉදිවිණි .,විවෘත ආර්ථික ක්‍රමය තුළ නගරයේ ඉදිවිණි මහා පරිමාණ වෙළෙඳ මධ්‍යස්ථාන .,[0]
එය ලෝකයේ සියලුම ප්‍රබල ජනමාධ්‍ය ආයතන මගින් ප්‍රචාරය කර තිබේ .,එය ප්‍රචාරය ලෝකයේ සියලුම ප්‍රබල ජනමාධ්‍ය ආයතන මගින් කර තිබේ .,[0]
ඉතා සුළු කාලයකින් ම එම ව්‍යාපෘති අහෝසි විය .,ඉතා සුළු කාලයකින් ම අහෝසි එම ව්‍යාපෘති විය .,[0]
අය වැය විවාදය අතර දේශපාලන පිල් මාරු සිදු වෙමින් පවතී .,අය වැය විවාදය අතර සිදු දේශපාලන පිල් මාරු වෙමින් පවතී .,[0]
එය බුද්ධිමත් ජනතාව ම තීන්දු කළ යුතු ය .,එය තීන්දු බුද්ධිමත් ජනතාව ම කළ යුතු ය .,[0]
මෙහි දී අයථා ක්‍රියා ගණනාවක් සිදු වී ඇත .,මෙහි දී සිදු අයථා ක්‍රියා ගණනාවක් වී ඇත .,[0]
