sen_str,swapped_sen_str,leaf_rule
"A bértáblát az idei évben befagyasztották , így az ígért emelés is a tavaly decemberi értékekre vonatkozik csupán — tette hozzá a szakszervezet titkára .","A bértáblát az idei évben befagyasztották , így az ígért emelés is a tavaly decemberi értékekre vonatkozik csupán — a szakszervezet titkára tette hozzá .",[0] -> [10]
Három magas rangú olasz katonatiszt a hidegháború idején fontos államtitkokat adott át a volt szovjet hírszerzésnek — vélik tudni a szerdai olasz újságok .,Három magas rangú olasz katonatiszt a hidegháború idején fontos államtitkokat adott át a volt szovjet hírszerzésnek — a szerdai olasz újságok vélik tudni .,[0] -> [10]
"Csiki Károly , az MLSZ szervezési osztályának vezetője kijelentette , nem tudott erről a lehetőségről : — Csak szeptemberben jöttem vissza az MLSZ-be , s az elnökségtől azt az információt kaptam , hogy május 31-ig be kell fejezni a bajnokságot — mondta Csiki .","Csiki Károly , az MLSZ szervezési osztályának vezetője kijelentette , nem tudott erről a lehetőségről : — Csak szeptemberben jöttem vissza az MLSZ-be , s az elnökségtől azt az információt kaptam , hogy május 31-ig be kell fejezni a bajnokságot — Csiki mondta .",[0] -> [10]
""" Ki ez ? "" — kérdezte a magyar kommunisták első embere .",""" Ki ez ? "" — a magyar kommunisták első embere kérdezte .",[0] -> [10]
"Ismerem mindkét gyereket , szimpatikus fiúk , tehetséges labdarúgók , s olyan neves ellenféllel szemben , mint a Barcelona , jól helytálltak — mondta elismerő bólogatások közepette Puskás , aki tegnap hazautazott , hogy ma Orbán Viktor miniszterelnöknél vizitáljon .","Ismerem mindkét gyereket , szimpatikus fiúk , tehetséges labdarúgók , s olyan neves ellenféllel szemben , mint a Barcelona , jól helytálltak — Puskás , aki tegnap hazautazott , hogy ma Orbán Viktor miniszterelnöknél vizitáljon mondta elismerő bólogatások közepette .",[0] -> [10]
"A területi ellátási kötelezettséggel működő háziorvosi , házi gyermekorvosi és fogorvosi ellátás kerüljön ki az önkormányzatok hatásköréből , és az ellátási felelősséget adják át az orvosoknak — kezdeményezik az önálló orvosi tevékenységről szóló kormányjavaslathoz benyújtandó módosító csomagjukban a három koalíciós frakció képviselői .","A területi ellátási kötelezettséggel működő háziorvosi , házi gyermekorvosi és fogorvosi ellátás kerüljön ki az önkormányzatok hatásköréből , és az ellátási felelősséget adják át az orvosoknak — a három koalíciós frakció képviselői kezdeményezik az önálló orvosi tevékenységről szóló kormányjavaslathoz benyújtandó módosító csomagjukban .",[0] -> [10]
"A cégek minden élelmiszer-ipari ágazatban más-más célt szeretnének elérni erőik egyesítésével — jelentette ki a Mark Voorbergen vezető elemző a Rabobank Hungária Rt. által szervezett , az élemiszeriparban zajló hazai és nemzetközi folyamatokkal foglalkozó konferencián .","A cégek minden élelmiszer-ipari ágazatban más-más célt szeretnének elérni erőik egyesítésével — a Mark Voorbergen vezető elemző jelentette ki a Rabobank Hungária Rt. által szervezett , az élemiszeriparban zajló hazai és nemzetközi folyamatokkal foglalkozó konferencián .",[0] -> [10]
"Idén eddig 2,6 millió áldozatot szedett a gyógyíthatatlan immunbetegség , az AIDS — adta hírül a France 2 televízió az Egészségügyi Világszervezet jelentésére hivatkozva .","Idén eddig 2,6 millió áldozatot szedett a gyógyíthatatlan immunbetegség , az AIDS — a France 2 televízió adta hírül az Egészségügyi Világszervezet jelentésére hivatkozva .",[0] -> [10]
""" A két ország ezzel lezárta a múltat , egyszersmind a óriási mértékű együttműködés előtt nyitott teret "" — jelentette ki Zeman cseh kormányfő .",""" A két ország ezzel lezárta a múltat , egyszersmind a óriási mértékű együttműködés előtt nyitott teret "" — Zeman cseh kormányfő jelentette ki .",[0] -> [10]
"A tűzoltók szokásos készültségben lesznek , ők nem várnak jelentősen több bejelentést — mondta Dobson Tibor szóvivő .","A tűzoltók szokásos készültségben lesznek , ők nem várnak jelentősen több bejelentést — Dobson Tibor szóvivő mondta .",[0] -> [10]
"A közelmúltban benyújtott költségvetési törvényjavaslat nem garantál valós béremelést a közoktatásban dolgozóknak — jelentette ki Varga László , a Pedagógus Szakszervezet titkára .","A közelmúltban benyújtott költségvetési törvényjavaslat nem garantál valós béremelést a közoktatásban dolgozóknak — Varga László , a Pedagógus Szakszervezet titkára jelentette ki .",[0] -> [10]
"A bérek hét-nyolc év alatt bekövetkezett 36-37 százalékos reálértékvesztését , valamint a versenyszféra és az oktatási ágazat indokolatlan és jelentős bérszínvonal-különbségét azonban nem lehet évenkénti néhány százalékos reálkereset-növekedéssel kiegyenlíteni — vélte a PSZ titkára .","A bérek hét-nyolc év alatt bekövetkezett 36-37 százalékos reálértékvesztését , valamint a versenyszféra és az oktatási ágazat indokolatlan és jelentős bérszínvonal-különbségét azonban nem lehet évenkénti néhány százalékos reálkereset-növekedéssel kiegyenlíteni — a PSZ titkára vélte .",[0] -> [10]
"Zavart okozna , hogy tavasszal milyen összeállítású csapat játssza le az elhalasztott találkozóját — mondta az elnök .","Zavart okozna , hogy tavasszal milyen összeállítású csapat játssza le az elhalasztott találkozóját — az elnök mondta .",[0] -> [10]
A tanárok keresete jelentősen a nemzetgazdasági átlag alatt van — jelentette ki Varga László .,A tanárok keresete jelentősen a nemzetgazdasági átlag alatt van — Varga László jelentette ki .,[0] -> [10]
