sen_str,swapped_sen_str,leaf_rule
"Тэндэ һуража бай үедөө наһанайнгаа нүхэртэй танилсаад , гэр бүлэ болообди .","Тэндэ һуража бай үедөө наһанайнгаа нүхэртэй танилсаад , болообди гэр бүлэ .",[0]
"Илангаяа , « Бэлиг » хэблэлдэ баярые хүргэхэ хэрэгтэй .","Илангаяа , баярые хүргэхэ « Бэлиг » хэблэлдэ хэрэгтэй .",[0]
"Эдэ үдэрнүүдтэ Буряадаймнай урдаа хараха дуу , хатарай « Байгал » театр ялас гэмэ концерт наадаар харагшадаа үшөө дахин бая-суулба .","Эдэ үдэрнүүдтэ Буряадаймнай урдаа хараха дуу , хатарай « Байгал » театр харагшадаа үшөө дахин бая-суулба ялас гэмэ концерт наадаар .",[0]
"Нээрээшье , шүлэг зохёогшо доторойнгоо уянгые уншагшадтаа дэлгэн харуулна .","Нээрээшье , шүлэг зохёогшо доторойнгоо уянгые дэлгэн харуулна уншагшадтаа .",[0]
"Минии һанахада , гурбахан үхэртэй хүнүүдтэ баһал туһаламжа үзүүлэгдэхэ ёһотой .","Минии һанахада , баһал туһаламжа үзүүлэгдэхэ гурбахан үхэртэй хүнүүдтэ ёһотой .",[0]
"Түрэлхид гаралхидни , түрэл нютагни , Байгал далаймни намда хүсэ зориг үгэдэг .","Түрэлхид гаралхидни , түрэл нютагни , Байгал далаймни хүсэ зориг үгэдэг намда .",[0]
"Ветеринар мэргэжэлтэй Мария Андреевна мүнөөшье нютагайнгаа адууһа малай үбшые аргалжа , арадтаа туһаяа үзүүлжэ байдаг .","Ветеринар мэргэжэлтэй Мария Андреевна мүнөөшье нютагайнгаа адууһа малай үбшые аргалжа , туһаяа үзүүлжэ арадтаа байдаг .",[0]
"Тиихэдэнь 6-дахи класста һурадаг би эгэшэ хүн гээшэб гэжэ , гэртэхинэйнгээ сүлөө таһалхагүйн тула Суулга соогуур ябажа , машина , трактортай зонтой хөөрэлдэжэ , гэртээ буулгуулдаг байгааб .","Тиихэдэнь 6-дахи класста һурадаг би эгэшэ хүн гээшэб гэжэ , сүлөө таһалхагүйн гэртэхинэйнгээ тула Суулга соогуур ябажа , машина , трактортай зонтой хөөрэлдэжэ , гэртээ буулгуулдаг байгааб .",[0]
"Зүгөөр мүнөө хэн нэгэндэ тиимэш-иимэш гэжэ хэлэхэеэ яарадаггүйб , ходо бэеэ барихаш , хүниие шоо үзэдэггүйб .","Зүгөөр мүнөө хэн нэгэндэ тиимэш-иимэш гэжэ хэлэхэеэ яарадаггүйб , ходо бэеэ барихаш , шоо үзэдэггүйб хүниие .",[0]
Хүбүүдэй нэгэ нэгэниинь намда туһалсажа шадаха байгаа .,Хүбүүдэй нэгэ нэгэниинь туһалсажа намда шадаха байгаа .,[0]
