sen_str,swapped_sen_str,leaf_rule
u kon ni djal me bicikell qi j a ka mar ati dardhat .,u kon ni djal me bicikell j a ka mar qi ati dardhat .,[0] -> [1] -> [11]
ky film përshkruan historin e një fshatari i cili po mbledh dardha në një pem .,ky film përshkruan historin e një fshatari po mbledh i cili dardha në një pem .,[0] -> [1] -> [11]
dhe e shef ni qik qe kapercen .,dhe e shef ni qik kapercen qe .,[0] -> [1] -> [11]
ëh dhe shef kta fëmit në momenti qe i prak .,ëh dhe shef kta fëmit në momenti i prak qe .,[0] -> [1] -> [11]
ëhm në film shihet një plak i cilli me shkall ëhm ka hyp me vledh dardha .,ëhm në film shihet një plak me shkall ëhm ka hyp i cilli me vledh dardha .,[0] -> [1] -> [11]
e ndërko do me thon ajo dardha ishte afër rrugës dhe aty kalonin njerëzit si një/ njeri përpara që kaloj ishte një njeri me një me një dhi që kaloj dhe nuk bëri asxhë .,e ndërko do me thon ajo dardha ishte afër rrugës dhe aty kalonin njerëzit si një/ njeri përpara që kaloj ishte një njeri me një me një dhi kaloj që dhe nuk bëri asxhë .,[0] -> [1] -> [11]
edhe gjat kohës që o tu mledh dardha kalon edhe ni burr me ni dhi masanej vjen edhe ni djal .,edhe gjat kohës o tu mledh që dardha kalon edhe ni burr me ni dhi masanej vjen edhe ni djal .,[0] -> [1] -> [11]
e ndërko do me thon ajo dardha ishte afër rrugës dhe aty kalonin njerëzit si një/ njeri përpara që kaloj ishte një njeri me një me një dhi që kaloj dhe nuk bëri asxhë .,e ndërko do me thon ajo dardha ishte afër rrugës dhe aty kalonin njerëzit si një/ njeri përpara kaloj që ishte një njeri me një me një dhi që kaloj dhe nuk bëri asxhë .,[0] -> [1] -> [11]
ata shkun tana shku tu hec ëhm shkun te qaj burri qi i nuki dardhat .,ata shkun tana shku tu hec ëhm shkun te qaj burri i nuki qi dardhat .,[0] -> [1] -> [11]
aty ishin tre quna tjer të cilët e ndihmuan fëmijën që të zgjohet pasi që ishte rrëzuar .,aty ishin tre quna tjer e ndihmuan të cilët fëmijën që të zgjohet pasi që ishte rrëzuar .,[0] -> [1] -> [11]
ëhëm oke aty osth ni bujk i cili osht tu i mledh dardhat ëhm n tri korba .,ëhëm oke aty osth ni bujk osht i cili tu i mledh dardhat ëhm n tri korba .,[0] -> [1] -> [11]
edhe i she nata edhe e shen burrin qe osht ne pem nalt .,edhe i she nata edhe e shen burrin osht ne pem nalt qe .,[0] -> [1] -> [11]
kto tre thmi qe i ndimojn ati kalojn me dardhat n dor tu hanger te aj burri qe i ka vjedh aj tjetri .,kto tre thmi i ndimojn qe ati kalojn me dardhat n dor tu hanger te aj burri qe i ka vjedh aj tjetri .,[0] -> [1] -> [11]
dhe i mbushte shportat t cillat i kishte bër gati .,dhe i mbushte shportat i kishte bër t cillat gati .,[0] -> [1] -> [11]
edhe e fshin at dardhën qi ka ra n tok me shamin që e ka t lidhën ëhm për qafe .,edhe e fshin at dardhën ka ra qi n tok me shamin që e ka t lidhën ëhm për qafe .,[0] -> [1] -> [11]
ëhm rrugës me biciklet e aty ërrzohët qat kohës kur rrxohet jon edhe disa tjer thmi që kan ec n drejtim t kundërt .,ëhm rrugës me biciklet e aty ërrzohët qat kohës kur rrxohet jon edhe disa tjer thmi kan ec që n drejtim t kundërt .,[0] -> [1] -> [11]
tani e kan pa at burrin qe i ka ë mledh dardhat .,tani e kan pa at burrin i ka ë mledh qe dardhat .,[0] -> [1] -> [11]
i gran bicikles e merr korpen me veti me dardha qe osht e musht .,i gran bicikles e merr korpen me veti me dardha osht e musht qe .,[0] -> [1] -> [11]
edhe kejt n koh aj plaki që ke /tu vejl dardha i sheh kta fmijën me dardha n dor edhe quditët se edhe quditët se qysh ka i erdhën atyne dardhat edhe qikaq u kry falemnderit .,edhe kejt n koh aj plaki ke që /tu vejl dardha i sheh kta fmijën me dardha n dor edhe quditët se edhe quditët se qysh ka i erdhën atyne dardhat edhe qikaq u kry falemnderit .,[0] -> [1] -> [11]
ëhm mirpo gjat vjeljes së dardhave aty pran koshave të tij i cili i kishte mbushur plot me dardha kalon ëhm nji djalosh me biciklet .,ëhm mirpo gjat vjeljes së dardhave aty pran koshave të tij i kishte mbushur i cili plot me dardha kalon ëhm nji djalosh me biciklet .,[0] -> [1] -> [11]
pastaj ni fëmi që u ha n mënd mori ni dardh m u ha n mënd .,pastaj ni fëmi u ha n mënd mori që ni dardh m u ha n mënd .,[0] -> [1] -> [11]
nuk u pa nga askush ndërsa ata që ndihmuan ata tek ata u bu dyshimi se mund t jen ata të cilit mund t kën bër ëh vjedhjën ësht ëdhe për të qeshur po momentin tjetër ëdhe për t qar .,nuk u pa nga askush ndërsa ata që ndihmuan ata tek ata u bu dyshimi se mund t jen ata mund të cilit t kën bër ëh vjedhjën ësht ëdhe për të qeshur po momentin tjetër ëdhe për t qar .,[0] -> [1] -> [11]
edhe aj j a merr njanen nga tri shportat qe i kishte mbush .,edhe aj j a merr njanen nga tri shportat i kishte mbush qe .,[0] -> [1] -> [11]
tani ky i falenderon ata j a jep ka ni dardh secilit edhe ëhm masanej ata tre fmit që i kan nimu kti djalit kalojn ka ajo dardha ku aj burri që u kon tu i mledh e sheh që p i mungon ni shport .,tani ky i falenderon ata j a jep ka ni dardh secilit edhe ëhm masanej ata tre fmit që i kan nimu kti djalit kalojn ka ajo dardha ku aj burri u kon që tu i mledh e sheh që p i mungon ni shport .,[0] -> [1] -> [11]
kto tre thmi qe i ndimojn ati kalojn me dardhat n dor tu hanger te aj burri qe i ka vjedh aj tjetri .,kto tre thmi qe i ndimojn ati kalojn me dardhat n dor tu hanger te aj burri i ka vjedh qe aj tjetri .,[0] -> [1] -> [11]
pastaj ato gajbet qe i mbushte me dardha .,pastaj ato gajbet i mbushte qe me dardha .,[0] -> [1] -> [11]
edhe ë i derdh krejt kto dardhat qe i ka mledh ne pelenen e vet .,edhe ë i derdh krejt kto dardhat i ka mledh qe ne pelenen e vet .,[0] -> [1] -> [11]
edhe pa e pa edhe pa e ndegju aj burri aty lart qe osht mbi shkall e merr ata .,edhe pa e pa edhe pa e ndegju aj burri aty lart osht mbi shkall qe e merr ata .,[0] -> [1] -> [11]
edhe hiq s osht s e ka pa at djalin qe osht ëhëm tu prit aty .,edhe hiq s osht s e ka pa at djalin osht qe ëhëm tu prit aty .,[0] -> [1] -> [11]
vjen ni djal me biciklet i cili j a merr at ëhm një një kof me dardha .,vjen ni djal me biciklet j a merr i cili at ëhm një një kof me dardha .,[0] -> [1] -> [11]
nderkoh erdhën tre djem të cillt menjiher i ndimun edhe prap j a vendosën shportën n biciklet .,nderkoh erdhën tre djem menjiher i ndimun të cillt edhe prap j a vendosën shportën n biciklet .,[0] -> [1] -> [11]
ëhm n fillim t filmit e she ni njeri qe osht tu nuk dardha .,ëhm n fillim t filmit e she ni njeri osht qe tu nuk dardha .,[0] -> [1] -> [11]
edhe tana hecen ato tre djemt edhe e pan edhe kapelen qe i ka ra .,edhe tana hecen ato tre djemt edhe e pan edhe kapelen i ka ra qe .,[0] -> [1] -> [11]
edhe kta djemt kan vazhdu edhe kan kapercy ka ky njeri qe i ka mledh dardhat .,edhe kta djemt kan vazhdu edhe kan kapercy ka ky njeri i ka mledh qe dardhat .,[0] -> [1] -> [11]
aj fmiju ëhm që i ra kapela n tok e e murrë e e kthej kryt .,aj fmiju ëhm i ra që kapela n tok e e murrë e e kthej kryt .,[0] -> [1] -> [11]
ëhm tregon per një premtar ose ni bujk i cili po vjel dardha .,ëhm tregon per një premtar ose ni bujk po vjel i cili dardha .,[0] -> [1] -> [11]
