sen_str,swapped_sen_str,leaf_rule
"Ons was gedurende die afgelope jaar in staat om verdere onderhandelinge met die Europese Unie te voer oor ons strategiese vennootskap ; en ons hoop dat die goeie gees waarin die gebeure plaasgevind het , sal voortduur soos ons die multilaterale onderhandelinge oor die ekonomiese vennootskapooreenkomste met lande in ons streek finaliseer .","Ons was gedurende die afgelope jaar in staat om verdere onderhandelinge met die Europese Unie te voer oor ons strategiese vennootskap ; en ons hoop dat die goeie gees waarin die gebeure plaasgevind het , sal voortduur ons die multilaterale onderhandelinge oor die ekonomiese vennootskapooreenkomste met lande in ons streek finaliseer . soos",[0] -> [18]
"In September verlede jaar het 27% van alle munisipaliteite byvoorbeeld nie munisipale bestuurders gehad nie , was meer as 50% van die senior bestuursposte in die Noordwes vakant en het slegs 1% van alle senior bestuurders in Mpumalanga sleutelprestasieooreenkomste gesluit .","In September verlede jaar het 27% van alle munisipaliteite byvoorbeeld nie munisipale bestuurders gehad nie , was meer as 50% van die senior bestuursposte in die Noordwes vakant en het slegs alle senior bestuurders 1% van in Mpumalanga sleutelprestasieooreenkomste gesluit .",[0] -> [18]
"Ek is seker dat die Suid-Afrikaanse Sokkervereniging , ons afrigters onder leiding van Carlos Alberto Parreira , en die spelers self bewus is van die geweldige verantwoordelikheid wat op hul skouers rus om 'n nasionale span voor te berei waarop ons en Afrika trots kan wees .","Ek is seker dat die Suid-Afrikaanse Sokkervereniging , ons afrigters onder leiding van Carlos Alberto Parreira , en die spelers self bewus is van die geweldige verantwoordelikheid wat op hul skouers rus om 'n nasionale span voor te berei ons en Afrika trots kan wees . waarop",[0] -> [18]
Ons sal stappe doen om breëbandspoed te verhoog en 'n hoë standaard van internet-dienste te verseker wat in ooreenstemming met internasionale norme is .,Ons sal stappe doen om breëbandspoed te verhoog en 'n hoë standaard van internet-dienste te verseker in ooreenstemming met internasionale norme is . wat,[0] -> [18]
"Die akte van oprigting en statute van 'n maatskappy moet spesiaal opgestel en aangepas word om by die maatskappy met aandelekapitaal te pas en dit moet deur 'n notaris , wat 'n professionele regspraktisyn is , gesertifiseer word .","Die akte van oprigting en statute van 'n maatskappy moet spesiaal opgestel en aangepas word om by die maatskappy met aandelekapitaal te pas en dit moet deur 'n notaris , 'n professionele regspraktisyn is , wat gesertifiseer word .",[0] -> [18]
"Indien 'n leerder by 'n skool inskryf waar die taal van onderrig en leer 'n addisionele taal vir die leerder is , behoort onderwysers en die skool voorsiening te maak vir spesiale ondersteuning en addisionele leer in die addisionele taal , totdat dit vir die leerder moontlik is om doeltreffend in die onderrigtaal te leer .","Indien 'n leerder by 'n skool inskryf die taal van onderrig en leer 'n addisionele taal vir die leerder is , waar behoort onderwysers en die skool voorsiening te maak vir spesiale ondersteuning en addisionele leer in die addisionele taal , totdat dit vir die leerder moontlik is om doeltreffend in die onderrigtaal te leer .",[0] -> [18]
"Indien 'n beswaar ontvang word , sal die Registrateur van Handelsmerke 'n beregtigingsverhoor reël waarby die aansoeker en die beswaarmaker(s) teenwoordig moet wees .","Indien 'n beswaar ontvang word , sal die Registrateur van Handelsmerke 'n beregtigingsverhoor reël die aansoeker en die beswaarmaker(s) teenwoordig moet wees . waarby",[0] -> [18]
Twee van hierdie aangeleenthede verdien om vlugtig bespreek te word .,hierdie aangeleenthede Twee van verdien om vlugtig bespreek te word .,[0] -> [18]
"Kom ons streef opnuut na die ideaal waarvoor Madiba sy hele lewe lank geveg het - die ideaal van 'n demokratiese en vrye samelewing , waarin alle mense in harmonie en met gelyke geleenthede saamleef .","Kom ons streef opnuut die ideaal waarvoor Madiba sy hele lewe lank geveg het - die ideaal van 'n demokratiese en vrye samelewing , waarin alle mense in harmonie en met gelyke geleenthede saamleef . na",[0] -> [18]
"Dit sluit die taxi-herkapitaliseringsprogram en provinsiale inisiatiewe soos die Moloto-spoorkorridor in Mpumalanga , waaraan haalbaarheidswerk reeds begin het , die Klipfontein-korridor in Kaapstad en die Gautrein-projek met sy skakels met die res van die openbare vervoerstelsel in .","Dit sluit die taxi-herkapitaliseringsprogram en provinsiale inisiatiewe soos die Moloto-spoorkorridor in Mpumalanga , waaraan haalbaarheidswerk reeds begin het , die Klipfontein-korridor in Kaapstad en die Gautrein-projek met sy skakels met die die openbare vervoerstelsel res van in .",[0] -> [18]
