sen_str,swapped_sen_str,leaf_rule
"Mr Chairman , dwar it- talba tiegħek jiena qed nissuġġerixxi li fis- seduta li jmiss , jew jien jew rappreżentant ta' Identity Malta jiġi u jagħti spjega ta' għalfejn ġiet mgħottija kull parti li ġiet mgħottija , imbagħad nistgħu naqblu u nistgħu ma naqblux u jekk ma naqblux jiddeċiedi Mr Speaker u lkoll kemm aħna nbaxxu rasna għad- deċiżjoni ta' Mr Speaker .","Mr Chairman , dwar it- talba tiegħek jiena qed nissuġġerixxi li fis- seduta li jmiss , jew jien jew rappreżentant ta' Identity Malta jiġi u jagħti spjega ta' għalfejn ġiet mgħottija kull parti li ġiet mgħottija , imbagħad nistgħu naqblu u nistgħu ma naqblux u jekk ma naqblux jiddeċiedi Mr Speaker u lkoll kemm aħna rasna nbaxxu għad- deċiżjoni ta' Mr Speaker .",[0] -> [1] -> [5]
"Fil- 21 ta' Awwissu 2006 , in- NASA ħarġet stqarrija għall- istampa li skontha it- teleskopju Chandra sab xhieda diretta tal- eżistenza tal- materja skura fejn jiltagħu żewġ ġemgħat ta' galassji .","Fil- 21 ta' Awwissu 2006 , in- NASA stqarrija li skontha it- teleskopju Chandra sab xhieda diretta tal- eżistenza tal- materja skura fejn jiltagħu żewġ ġemgħat ta' galassji ħarġet għall- istampa .",[0] -> [1] -> [5]
"Ix- xhud semma wkoll persuna oħra li għaddejja proċeduri fil- Qorti tal- Maġistrati b' rabta ma' dan il- każ , Raymond Ferris .","Ix- xhud wkoll persuna oħra li għaddejja proċeduri fil- Qorti tal- Maġistrati b' rabta ma' dan il- każ , Raymond Ferris semma .",[0] -> [1] -> [5]
"Jistmaw li l- materja skura tagħmel il- parti l- kbira , kważi d- 90 % , tal- massa li hemm fl- univers .","Jistmaw li l- materja skura il- parti l- kbira , kważi d- 90 % , tal- massa li hemm fl- univers tagħmel .",[0] -> [1] -> [5]
In- narrattiva klassika għandha ħabta tiġbor it- trufijiet kollha u tmexxi l- qarrej lejn xi sura ta' konklużjoni ; Żahra mhux dejjem jagħtina dan is- sodisfazzjon .,In- narrattiva klassika ħabta tiġbor it- trufijiet kollha u tmexxi l- qarrej lejn xi sura ta' konklużjoni għandha ; Żahra mhux dejjem jagħtina dan is- sodisfazzjon .,[0] -> [1] -> [5]
"Fit- tieni parti tal- intervista li Newsbook . com . mt se jwasslilkom għada , Sean se jispjega d- differenza bejn Weightlifting u Powerlifting .","Fit- tieni parti tal- intervista li Newsbook . com . mt se jwasslilkom għada , Sean se d- differenza bejn Weightlifting u Powerlifting jispjega .",[0] -> [1] -> [5]
"Dwar l- ammont ta' ħlas li saru fit- tixħim li sar , ix- xhud semma li bejniethom Frank Sammut u Tancred Tabone ħadu $ 500,000 waqt li Alfred Mallia u Tarcisio Mifsud ħadu bejniethom Lm 40,000 .","Dwar l- ammont ta' ħlas li saru fit- tixħim li sar , ix- xhud semma li bejniethom Frank Sammut u Tancred Tabone ħadu $ 500,000 waqt li Alfred Mallia u Tarcisio Mifsud Lm 40,000 ħadu bejniethom .",[0] -> [1] -> [5]
"Din se tkun l- ewwel darba li l- festival se jkollu serata għal semifinali li matulha l- ġurija - li għal darb' oħra se tkun kollha barranija - se jkollha 50 fil- mija tal- vot , filwaqt li l- pubbliku se jkollu 50 fil- mija oħra tal- kelma permezz tat- televoting .","Din se tkun l- ewwel darba li l- festival se jkollu serata għal semifinali li matulha l- ġurija - li għal darb' oħra se tkun kollha barranija - se jkollha 50 fil- mija tal- vot , filwaqt li l- pubbliku se 50 fil- mija oħra tal- kelma jkollu permezz tat- televoting .",[0] -> [1] -> [5]
"Sfortunatament , din ma tinkludix il- lingwa Maltija u hawn jinħolqu l- problemi . . .","Sfortunatament , din ma il- lingwa Maltija tinkludix u hawn jinħolqu l- problemi . . .",[0] -> [1] -> [5]
"Kien jaf x' ser jagħmlulhom , dawn in- nies ma kellhom stonku joqtlu lil ħadd .","Kien jaf x' ser jagħmlulhom , dawn in- nies ma stonku kellhom joqtlu lil ħadd .",[0] -> [1] -> [5]
