sen_str,swapped_sen_str,leaf_rule
Жалал-Абад шаарында Мамлекеттик тил күнүнө арналган иш-чара өттү .,Жалал-Абад шаарында Мамлекеттик тил күнүнө өттү арналган иш-чара .,[0] -> [1]
"Чын эле , бала кеткен башка кайык биринчи эле жумада үч жакшы балык алып келди .","Чын эле , бала кеткен башка кайык биринчи эле жумада алып келди үч жакшы балык .",[0] -> [1]
ӨКМ сел жүрүшү мүмкүн экенин эскертти .,ӨКМ экенин эскертти сел жүрүшү мүмкүн .,[0] -> [1]
"Эгер тамакты таттуу суусундуктар менен жесе , маселен артынан газдалган суусундук ичсе , анда организмде кумшекердин көлөмү көбөйүп кетет .","Эгер таттуу суусундуктар менен жесе тамакты , маселен артынан газдалган суусундук ичсе , анда организмде кумшекердин көлөмү көбөйүп кетет .",[0] -> [1]
"Сутка ичинде өлкө аймагында 13 өрт кырсыгы катталып , аларды өчүрүүгө 14 өрт өчүрүү бөлүмдөрү тартылган .","Сутка ичинде өлкө аймагында 13 өрт кырсыгы катталып , өчүрүүгө 14 өрт өчүрүү бөлүмдөрү тартылган аларды .",[0] -> [1]
Улуттук банк мыйзамсыз акча алмаштырган 4 жаранга айып салды .,Улуттук банк мыйзамсыз акча алмаштырган 4 жаранга салды айып .,[0] -> [1]
Талантбек Иманов ИТАнын президенти менен инвестиция тартуу маселесин талкуулады .,Талантбек Иманов талкуулады ИТАнын президенти менен инвестиция тартуу маселесин .,[0] -> [1]
"Сени менен балык кармашпасам да , сага кичине кол кабыш кылгым келет .","Сени менен кармашпасам балык да , сага кичине кол кабыш кылгым келет .",[0] -> [1]
Псаки : Россия акчасын толук сарптап же дефолт жарыялашы керек .,Псаки : Россия толук сарптап же дефолт жарыялашы акчасын керек .,[0] -> [1]
Ал тамеки чегүүнү жана арак ичүүнү токтотууга аракет кылды .,Ал тамеки чегүүнү жана ичүүнү арак токтотууга аракет кылды .,[0] -> [1]
Күндөрдүн биринде буудай дандарды чогултуп :,Күндөрдүн биринде чогултуп буудай дандарды :,[0] -> [1]
Эртең Бишкектеги мугалимдер үчүн август конференциясы өтөт .,Эртең август конференциясы өтөт Бишкектеги мугалимдер үчүн .,[0] -> [1]
Кыргызстан менен Катар соода-экономикалык кызматташтыкты бекемдейт .,Кыргызстан менен Катар бекемдейт соода-экономикалык кызматташтыкты .,[0] -> [1]
Кыргызстанда телефон шылуундары жарандарга дээрлик 49 млн сомдук зыян келтирген .,Кыргызстанда телефон шылуундары жарандарга келтирген дээрлик 49 млн сомдук зыян .,[0] -> [1]
Айыл чарба министрлиги өлкөдөн буудайды экспорттоого тыюу салууну пландоодо .,Айыл чарба министрлиги өлкөдөн экспорттоого буудайды тыюу салууну пландоодо .,[0] -> [1]
Бишкек менен Чүйдү газдаштырууга 10 млн сомго жакын жеңилдетилген насыя берилди .,Бишкек менен Чүйдү газдаштырууга 10 млн сомго жакын берилди жеңилдетилген насыя .,[0] -> [1]
МСК кыйыр салыктар боюнча отчет берүүнүн өзгөчөлүктөрү тууралуу айтып берди .,МСК отчет берүүнүн өзгөчөлүктөрү тууралуу айтып берди кыйыр салыктар боюнча .,[0] -> [1]
Мектептеги ысык тамактан үнөмдөлгөн 180 миллион сомду дезинфекциялоо иштерине бөлүү сунушталууда .,Мектептеги ысык тамактан үнөмдөлгөн 180 миллион сомду дезинфекциялоо бөлүү сунушталууда иштерине .,[0] -> [1]
Эртең салмагы миң кадак болгон балык кармап алып жүрбөйүн ?,Эртең кармап алып жүрбөйүн салмагы миң кадак болгон балык ?,[0] -> [1]
"Сэм , терезени ач !","Сэм , ач терезени !",[0] -> [1]
"Чал парус оролгон мачтаны кепенин дубалына жөлөдү , бала анын жанына шаймандарды коюп койду .","Чал парус оролгон мачтаны кепенин дубалына жөлөдү , бала анын жанына коюп койду шаймандарды .",[0] -> [1]
Дениз апасын көрбөй калды .,Дениз көрбөй апасын калды .,[0] -> [1]
