sen_str,swapped_sen_str,leaf_rule
عملت الحجز في طوكيو قبل شهر .,الحجز عملت في طوكيو قبل شهر .,[0] -> [1]
بتحتاج حد ياخد ك من المطار ؟,بتحتاج حد ك ياخد من المطار ؟,[0] -> [1]
أنا بدي أعرف كم لازم أترك بغشيش .,أنا بدي أعرف كم لازم بغشيش أترك .,[0] -> [1]
بس أنا عند ي موعد عشان أشوف ها الساعة تنتين .,بس أنا ي عند موعد عشان أشوف ها الساعة تنتين .,[0] -> [1]
حابب أبعت ه عن طريق البريد البري او البحري .,حابب ه أبعت عن طريق البريد البري او البحري .,[0] -> [1]
راح أضل أستنى ل عند ما يفضى الترس .,راح أضل أستنى ل عند ما الترس يفضى .,[0] -> [1]
إحكي ها مرة تانية لو سمحت .,ها إحكي مرة تانية لو سمحت .,[0] -> [1]
قبل ما نحسب ه يوم ، ممكن تعطي ني كم دقيقة ؟,قبل ما نحسب ه يوم ، ممكن ني تعطي كم دقيقة ؟,[0] -> [1]
بدي استأجر سيارة من هاد النوع ل مدة أربعة و عشرين ساعة .,بدي سيارة استأجر من هاد النوع ل مدة أربعة و عشرين ساعة .,[0] -> [1]
بتحتاج حد ياخد ك من المطار ؟,حد بتحتاج ياخد ك من المطار ؟,[0] -> [1]
ممكن تخبر ني قبل ما نروح على دورهام ؟,ممكن ني تخبر قبل ما نروح على دورهام ؟,[0] -> [1]
بتعرف كاثي ؟ هاي حفلة عيد ميلاد ها .,كاثي بتعرف ؟ هاي حفلة عيد ميلاد ها .,[0] -> [1]
بقدر أوظف دليل بحكي - ياباني ؟,بقدر أوظف دليل ياباني بحكي - ؟,[0] -> [1]
ممكن ، بس لازم نوزن هم كل واحد ل حال ه .,ممكن ، بس لازم هم نوزن كل واحد ل حال ه .,[0] -> [1]
أظن ان ك عملت غلط . الغرفة كانت أجرت ها مدفوعة . عند ي فاتورة .,أظن ان ك غلط عملت . الغرفة كانت أجرت ها مدفوعة . عند ي فاتورة .,[0] -> [1]
إشتريت ه هلأ .,ه إشتريت هلأ .,[0] -> [1]
بس أنا عند ي موعد عشان أشوف ها الساعة تنتين .,بس أنا عند ي موعد عشان ها أشوف الساعة تنتين .,[0] -> [1]
لازم ألحق طيارة الساعة عشرة الصبح .,لازم طيارة ألحق الساعة عشرة الصبح .,[0] -> [1]
بقدر ألمس ه ؟,بقدر ه ألمس ؟,[0] -> [1]
شوي ، كتاب ماليزي كوميدي . راح أشتري واحد عشان آخد ه على البيت متل كتاب محادثة .,شوي ، كتاب ماليزي كوميدي . راح أشتري واحد عشان ه آخد على البيت متل كتاب محادثة .,[0] -> [1]
لو سمحت ابعت ل ي حدا فوف عشان شنط ي الساعة ستة و نص .,لو سمحت حدا ابعت ل ي فوف عشان شنط ي الساعة ستة و نص .,[0] -> [1]
عفواً . في حولي نا هون مكتبة بتبيع كتب ؟,عفواً . في حولي نا هون مكتبة كتب بتبيع ؟,[0] -> [1]
معدت ي بتوجع ني بعد الأكل .,معدت ي ني بتوجع بعد الأكل .,[0] -> [1]
شو بتسموا هاد ب الإنجليزي ؟,شو هاد بتسموا ب الإنجليزي ؟,[0] -> [1]
جمع هم عند البوابة .,هم جمع عند البوابة .,[0] -> [1]
لو سمحت ساعد ني ألاقي دليل بحكي ياباني .,لو سمحت ني ساعد ألاقي دليل بحكي ياباني .,[0] -> [1]
هاي البيتزا زاكية . مين عمل ها ؟,هاي البيتزا زاكية . مين ها عمل ؟,[0] -> [1]
هاي الغرفة رقم اتنين صفر واحد . بدي أطلب فطور بكرا .,هاي الغرفة رقم اتنين صفر واحد . بدي فطور أطلب بكرا .,[0] -> [1]
لو سمحت حط ه ب شنتة غسيل و إترك ه هناك .,لو سمحت ه حط ب شنتة غسيل و إترك ه هناك .,[0] -> [1]
شوي ، كتاب ماليزي كوميدي . راح أشتري واحد عشان آخد ه على البيت متل كتاب محادثة .,شوي ، كتاب ماليزي كوميدي . راح واحد أشتري عشان آخد ه على البيت متل كتاب محادثة .,[0] -> [1]
طيب ، يلا نروح . أنا بقدر أساعد ك ب حل واجب ك بعد ما ناكل شوية بيتزا .,طيب ، يلا نروح . أنا بقدر ك أساعد ب حل واجب ك بعد ما ناكل شوية بيتزا .,[0] -> [1]
راح آخد صورة ل جاك دانييلز .,راح صورة آخد ل جاك دانييلز .,[0] -> [1]
