sen_str,swapped_sen_str,leaf_rule
njoni prej tynve shkon te aj djali j a jep kapelen që cilin e kishte harru aj .,njoni prej tynve shkon te aj djali a jep j kapelen që cilin e kishte harru aj .,[0] -> [1] -> [3]
ëhm menjiher j a fillo do me thon ather i ra shporta n tok .,ëhm menjiher a fillo j do me thon ather i ra shporta n tok .,[0] -> [1] -> [3]
aj u ndal j a dhan sheshirin kur j a dhan sheshirin ky j u dha nga ni dardh .,aj u ndal a dhan j sheshirin kur j a dhan sheshirin ky j u dha nga ni dardh .,[0] -> [1] -> [3]
po njoni qik me bicikel e ka vjedh me ni kofe me dardha edhe iki tani ka ardh me ni tjeter me bicikul j a ka mshu s u rrujt ka ra krejt dardhat jan ra edhe tre djemt kan ardh j a kan ndimu krejt ë vetëm kapuqi n tok ka met .,po njoni qik me bicikel e ka vjedh me ni kofe me dardha edhe iki tani ka ardh me ni tjeter me bicikul j a ka mshu s u rrujt ka ra krejt dardhat jan ra edhe tre djemt kan ardh a kan ndimu j krejt ë vetëm kapuqi n tok ka met .,[0] -> [1] -> [3]
edhe aj u falemderu edhe j a j a dha tri dardha sicili per sicilli ka nja e mur .,edhe aj u falemderu edhe a j a dha j tri dardha sicili per sicilli ka nja e mur .,[0] -> [1] -> [3]
ëhm ni fmi tjetër kaloj aty pari edhe pasi u përballën aj fmija tjetër j a preku kapelën edhe i ra kapela n tok .,ëhm ni fmi tjetër kaloj aty pari edhe pasi u përballën aj fmija tjetër a preku j kapelën edhe i ra kapela n tok .,[0] -> [1] -> [3]
ëdhe aj nj/ djali ëdhe tani j a ka marr diqysh kapuqin .,ëdhe aj nj/ djali ëdhe tani a ka marr j diqysh kapuqin .,[0] -> [1] -> [3]
j a vjedh apo j a merr ndoshta edhe e ka vjedh po edhe e vazhdon rrugën dikun ma posht .,j a vjedh apo a merr j ndoshta edhe e ka vjedh po edhe e vazhdon rrugën dikun ma posht .,[0] -> [1] -> [3]
edhe um doket qe ëhëm j u doket pak atraktive kshtu si aj kshyr mas asajna qikes edhe rrzohet prej bicikles .,edhe um doket qe ëhëm u doket j pak atraktive kshtu si aj kshyr mas asajna qikes edhe rrzohet prej bicikles .,[0] -> [1] -> [3]
ata nisin rrugës vet edhe e shohin si i ka ra kapuqi e thirrin ata apet edhe j a jepin kapuqin .,ata nisin rrugës vet edhe e shohin si i ka ra kapuqi e thirrin ata apet edhe a jepin j kapuqin .,[0] -> [1] -> [3]
ma pa njani shkoj me j a qu edhe j a mur dy molla .,ma pa njani shkoj me j a qu edhe a mur j dy molla .,[0] -> [1] -> [3]
tani aj ëhm ëhm j a qoj j a ka qu kapuqin .,tani aj ëhm ëhm j a qoj a ka qu j kapuqin .,[0] -> [1] -> [3]
i mshoj me ni biciklet tjeter me ni femen dhe j u derdhen dardhat .,i mshoj me ni biciklet tjeter me ni femen dhe u derdhen j dardhat .,[0] -> [1] -> [3]
ni far mnyre edhe ky kthehet me marr kapuqin edhe j a jep tri dardha mi hanger kta djemt .,ni far mnyre edhe ky kthehet me marr kapuqin edhe a jep j tri dardha mi hanger kta djemt .,[0] -> [1] -> [3]
dhe aj j a jep tri dardha të cillat pastaj ata i ndajn nërme veti tre vet .,dhe aj a jep j tri dardha të cillat pastaj ata i ndajn nërme veti tre vet .,[0] -> [1] -> [3]
athere e murrën sheshirin edhe vrapun i fishkllun me j a dhan m u ndal .,athere e murrën sheshirin edhe vrapun i fishkllun me a dhan j m u ndal .,[0] -> [1] -> [3]
aj ëhm si j a kthej apo j a dha tri dardha per secillin ka njo .,aj ëhm si a kthej j apo j a dha tri dardha per secillin ka njo .,[0] -> [1] -> [3]
ene j u derdhen dardhat kejt .,ene u derdhen j dardhat kejt .,[0] -> [1] -> [3]
e i ka pa tri djem ëh ata tre djemt ëhm e kan nimu djalin e j a kan qit dardhat apet n korp .,e i ka pa tri djem ëh ata tre djemt ëhm e kan nimu djalin e a kan qit j dardhat apet n korp .,[0] -> [1] -> [3]
edhe aj qe i ka mjedh dardhat j a pa se dishka osht tu mungue amo m doket tana u kry ma shum s di .,edhe aj qe i ka mjedh dardhat a pa j se dishka osht tu mungue amo m doket tana u kry ma shum s di .,[0] -> [1] -> [3]
edhe vin edhe tre shok tjer nuk e di a jon shok nuk jan shok bavaki ama jan tre persona tjer thmi qe i nimojn j a mushin dardhat me korp .,edhe vin edhe tre shok tjer nuk e di a jon shok nuk jan shok bavaki ama jan tre persona tjer thmi qe i nimojn a mushin j dardhat me korp .,[0] -> [1] -> [3]
tana j a dha tri dardha të mrapa .,tana a dha j tri dardha të mrapa .,[0] -> [1] -> [3]
ëhm edhe ky j a ka dhon dy dardha si shpërblim nëse muj me thon .,ëhm edhe ky a ka dhon j dy dardha si shpërblim nëse muj me thon .,[0] -> [1] -> [3]
i ndimojn me mledh ato dardha j a qesin n korp e masanena hec aj .,i ndimojn me mledh ato dardha a qesin j n korp e masanena hec aj .,[0] -> [1] -> [3]
e kaloj ni djal me bicikell j a vodhi ni korp plot dardha .,e kaloj ni djal me bicikell a vodhi j ni korp plot dardha .,[0] -> [1] -> [3]
ky fmia asnjë asnjë dardh nuk j a ufroj që thojsh një shejn falëmnderimi .,ky fmia asnjë asnjë dardh nuk a ufroj j që thojsh një shejn falëmnderimi .,[0] -> [1] -> [3]
edhe ajo me bicikell j a prek kryt j a hek kapuqin e ngutz pak .,edhe ajo me bicikell j a prek kryt a hek j kapuqin e ngutz pak .,[0] -> [1] -> [3]
dhe kthehen ëdhe niher të ky djaloshi j a japin kapelen .,dhe kthehen ëdhe niher të ky djaloshi a japin j kapelen .,[0] -> [1] -> [3]
tani aj ëhm ëhm j a qoj j a ka qu kapuqin .,tani aj ëhm ëhm a qoj j j a ka qu kapuqin .,[0] -> [1] -> [3]
veq edhe j a ka kallxu kapuqin e jon shku .,veq edhe a ka kallxu j kapuqin e jon shku .,[0] -> [1] -> [3]
aj u ndal j a dhan sheshirin kur j a dhan sheshirin ky j u dha nga ni dardh .,aj u ndal j a dhan sheshirin kur j a dhan sheshirin ky u dha j nga ni dardh .,[0] -> [1] -> [3]
aj me dardha eh j a vjedh do molla e aj fillon e niset me biqiklet edhe ze n thu dikun edhe ëhm bjen rrxohet i shprendahen dardhat .,aj me dardha eh a vjedh j do molla e aj fillon e niset me biqiklet edhe ze n thu dikun edhe ëhm bjen rrxohet i shprendahen dardhat .,[0] -> [1] -> [3]
ajo vajza ëhm e hutoj këtë djal duke j a marr ëhm kapuqin .,ajo vajza ëhm e hutoj këtë djal duke a marr j ëhm kapuqin .,[0] -> [1] -> [3]
e tani j a kan dhan edhe i kan mar do dardha .,e tani a kan dhan j edhe i kan mar do dardha .,[0] -> [1] -> [3]
masanej ëhm j a dhan edhe kapuqin e i shpërblejti me ka ni dardh tu tret edhe ato kalun prap përskejt aty ku i mar aj mar aj dardhët edhe aty m kalon .,masanej ëhm a dhan j edhe kapuqin e i shpërblejti me ka ni dardh tu tret edhe ato kalun prap përskejt aty ku i mar aj mar aj dardhët edhe aty m kalon .,[0] -> [1] -> [3]
tani tu i gra bicikllës dikush i ka gra a e din ëdhe ëdhe j a morri kapelën .,tani tu i gra bicikllës dikush i ka gra a e din ëdhe ëdhe a morri j kapelën .,[0] -> [1] -> [3]
vetem kur ata j a j a gjeten kapelen qe i ra do me than nga koka atina j a dhan ëh tana ë j a i than ëh i fishlloj .,vetem kur ata j a a gjeten j kapelen qe i ra do me than nga koka atina j a dhan ëh tana ë j a i than ëh i fishlloj .,[0] -> [1] -> [3]
