sen_str,swapped_sen_str,leaf_rule
"در 27 سال گذشته ، دولت غرب و جمهوری اسلامی بر سر مسائل زیادی با زندگی مردم "" قمار "" کرده‌اند .","در 27 سال گذشته ، بر سر مسائل زیادی با زندگی مردم "" قمار "" کرده‌اند دولت غرب و جمهوری اسلامی .",[0]
همه ساله در هفده دی به مناسبت سالگرد کشف حجاب ، در مطبوعات آن زمان غوغایی برپا می‌شد و من فراموش نمی‌کنم که در زمان ریاست مرحوم آیت‌الله بروجردی بر حوزهٔ علمیهٔ قم ( قبل از سال 40 ) در سالگرد هفده دی ، نظام تبلیغات گسترده و وقیحانه‌ای راجع به کشف حجاب راه انداخت و طلاب حوزه هم متقابلاً طی یک راهپیمایی که به سمت فرمانداری انجام دادند ، از این قضیه اعلام انزجار کردند که عده‌ای در این روز کشته و مجروح شدند .,همه ساله در هفده دی به مناسبت سالگرد کشف حجاب ، در مطبوعات آن زمان غوغایی برپا می‌شد و من فراموش نمی‌کنم که در زمان ریاست مرحوم آیت‌الله بروجردی بر حوزهٔ علمیهٔ قم ( قبل از سال 40 ) در سالگرد هفده دی ، نظام تبلیغات گسترده و وقیحانه‌ای راجع به کشف حجاب راه انداخت و طلاب حوزه هم متقابلاً طی یک راهپیمایی که به سمت فرمانداری انجام دادند ، از این قضیه اعلام انزجار کردند که در این روز کشته و مجروح شدند عده‌ای .,[0]
اساسا ترجمه شعر به زبانی دیگر کار دشواری است و ترجمه شعر کلاسیک فارسی ، بخصوص در قالب‌های غیر داستانی و غیر روائی آن دشوارتر .,اساسا ترجمه شعر به زبانی دیگر کار دشواری است و بخصوص در قالب‌های غیر داستانی و غیر روائی آن دشوارتر ترجمه شعر کلاسیک فارسی ، .,[0]
مجموعه‌های نوروز 89 با حذف شبکهٔ دو اختصاص پیدا کردند به شبکه‌های یک ، سه و تهران البته با ذکر این نکته که شبکهٔ چهار معمولاً در هیچ مناسبتی مجموعه تولید نمی‌کند .,مجموعه‌های نوروز 89 با حذف شبکهٔ دو اختصاص پیدا کردند به شبکه‌های یک ، سه و تهران البته با ذکر این نکته که معمولاً در هیچ مناسبتی مجموعه تولید نمی‌کند شبکهٔ چهار .,[0]
از آرد تولیدی یک کارخانه آردسازی ، چهار نانوا چهار نوع نان با کیفیت‌های متفاوت پخت کرده‌اند .,از آرد تولیدی یک کارخانه آردسازی ، چهار نوع نان با کیفیت‌های متفاوت پخت کرده‌اند چهار نانوا .,[0]
پس خداوند پس از 170 سال در فرج آنان تعجیل کرد .,پس پس از 170 سال در فرج آنان تعجیل کرد خداوند .,[0]
اگر بنا باشد بگوییم در سال شرکت مخابرات بیاید این قدر ریال مدرسه‌سازی بکند خوب این بحثی است که ما در قانون بودجهٔ دیگر داریم .,اگر بنا باشد بگوییم در سال شرکت مخابرات بیاید این قدر ریال مدرسه‌سازی بکند خوب این بحثی است که در قانون بودجهٔ دیگر داریم ما .,[0]
بر حسب ضرورت این قروض یا باید از محل فروش املاک یا از عایدات آنها به طور استهلاک تأدیه شود .,بر حسب ضرورت یا باید از محل فروش املاک یا از عایدات آنها به طور استهلاک تأدیه شود این قروض .,[0]
احتمال اینکه توله سگ در حین آموزش در خانه دستشویی کند خیلی زیاد است .,احتمال اینکه در حین آموزش در خانه دستشویی کند توله سگ خیلی زیاد است .,[0]
در رابطهٔ داد و ستد ، محله و ساختمان هر دو به طور موزونی در هم ترکیب شده و یکدیگر را تکمیل کرده‌اند .,در رابطهٔ داد و ستد ، به طور موزونی در هم ترکیب شده محله و ساختمان هر دو و یکدیگر را تکمیل کرده‌اند .,[0]
اگر افرادی در مسیری غلط قرار گیرند ما حتماً به آنها هشدار خواهیم داد .,اگر در مسیری غلط قرار گیرند افرادی ما حتماً به آنها هشدار خواهیم داد .,[0]
همچنین در حالی که این خودرو در ردهٔ وسایل حمل و نقل عمومی است ولی نیروی انتظامی برای پلاک کردن آن 10 میلیون ریال دریافت کرده که مغایر با مفاد تبصرهٔ 31 است و کسانی که خودروی خود را طی ماه‌های دی تا اسفند 68 پلاک کرده‌اند ، موفق به بازپس‌گیری مبلغ فوق نشده‌اند .,همچنین در حالی که این خودرو در ردهٔ وسایل حمل و نقل عمومی است ولی نیروی انتظامی برای پلاک کردن آن 10 میلیون ریال دریافت کرده که مغایر با مفاد تبصرهٔ 31 است و موفق به بازپس‌گیری مبلغ فوق نشده‌اند کسانی که خودروی خود را طی ماه‌های دی تا اسفند 68 پلاک کرده‌اند ، .,[0]
خطوط موازی که هر کدام بیانگر یک ارتفاع عمودی معلوم هستند با ارتفاع خطوط میزان مورد نظر مطابقت داده شده و علامت گذاشته می‌شود .,خطوط موازی که بیانگر یک ارتفاع عمودی معلوم هستند هر کدام با ارتفاع خطوط میزان مورد نظر مطابقت داده شده و علامت گذاشته می‌شود .,[0]
یا در پوست شیر می‌روی و فرشتهٔ نجات خلق می‌شوی یا اصولاً سنگ مردم را به سینه نمی‌زنی و فقط گهگاهی دست چرب ت را به سر شان می‌کشی .,یا در پوست شیر می‌روی و می‌شوی فرشتهٔ نجات خلق یا اصولاً سنگ مردم را به سینه نمی‌زنی و فقط گهگاهی دست چرب ت را به سر شان می‌کشی .,[0]
ولی پس از پیگیری چند قسمت این سریال و آشنایی بیشتر با این شخصیتها بهتر دیدم که به گفته حافظ که می‌گوید « عیب جمله چو گفتی ، هنر ش نیز بگوی » به ویژگیهای مثبت سریال هم اشاره‌ای بکنم .,ولی پس از پیگیری چند قسمت این سریال و آشنایی بیشتر با این شخصیتها بهتر دیدم که به گفته حافظ که می‌گوید « چو گفتی عیب جمله ، هنر ش نیز بگوی » به ویژگیهای مثبت سریال هم اشاره‌ای بکنم .,[0]
حتی اگر اسکندر و اعراب و مغولان به ما تاخته باشند باز ایرانی هستیم .,حتی اگر به ما تاخته اسکندر و اعراب و مغولان باشند باز ایرانی هستیم .,[0]
خدای ا تو به من دستور دادی که در راه تو قربانی شوم .,خدای ا به من دستور دادی تو که در راه تو قربانی شوم .,[0]
مانند قله‌ای بود که صعود به آن اگر چه مشکل می‌نمود ، اما رهرو را به فتح فرامی‌خواند .,مانند قله‌ای بود که اگر چه مشکل می‌نمود صعود به آن ، اما رهرو را به فتح فرامی‌خواند .,[0]
آب گرم روستایی است که بیشتر گردشگران به سوی آن هجوم می‌آورند .,آب گرم روستایی است که به سوی آن هجوم می‌آورند بیشتر گردشگران .,[0]
کاری که موجب رفع ابهامات می‌شود و راه نو برای همگان شناخته‌تر می‌شود .,کاری که موجب رفع ابهامات می‌شود و برای همگان شناخته‌تر راه نو می‌شود .,[0]
این فیلم را قرار است کریستوفر نولان کارگردانی کند .,این فیلم را قرار است کارگردانی کند کریستوفر نولان .,[0]
با نتایج به دست آمده غبار میان‌ستاره‌ای از کوزارها نیز به بیرون فوران می‌کند و این ذرات غبارگونه می‌توانند به مولکول‌های پیچیده‌تر و حتی حیاتی تغییر فرم بدهند .,با نتایج به دست آمده غبار میان‌ستاره‌ای از کوزارها نیز به بیرون فوران می‌کند و می‌توانند این ذرات غبارگونه به مولکول‌های پیچیده‌تر و حتی حیاتی تغییر فرم بدهند .,[0]
بگذار سگان ولگرد بر درگاه عمارت ارباب شان زوزه کنند .,بگذار بر درگاه عمارت ارباب شان زوزه کنند سگان ولگرد .,[0]
سؤالی که تا کنون بدون پاسخ مانده است این که : آقای مصباح با چه پشتوانه‌ای به خود اجازه می‌دهد که این گونه به یک نظام و کشور جسارت کند .,سؤالی که تا کنون بدون پاسخ مانده است این که : با چه پشتوانه‌ای به خود اجازه می‌دهد آقای مصباح که این گونه به یک نظام و کشور جسارت کند .,[0]
