sen_str,swapped_sen_str,leaf_rule
Sameng ata n ivagh ta ?,Sameng ivagh ata n ta ?,[0] -> [1]
Meghnu ghngaagh meng yug et igleght aq u t yaav uma lu teng ivenruute k naavuma ya yek .,Meghnu ghngaagh meng igleght yug et aq u t yaav uma lu teng ivenruute k naavuma ya yek .,[0] -> [1]
Apa ma ata nga kiyaght aqnga n Ungazi mi yug et nenglu lgu ft u t mangtegha ngu na teng .,Apa ma ata nga kiyaght aqnga n Ungazi mi nenglu lgu yug et ft u t mangtegha ngu na teng .,[0] -> [1]
Aghna m avaquta minun sangighqw iisq uma ka ngi sagnegh et .,Aghna m sangighqw avaquta minun iisq uma ka ngi sagnegh et .,[0] -> [1]
Navek naa gpek lli i ki neqekrag et ?,Navek lli naa gpek i ki neqekrag et ?,[0] -> [1]
Pikegken qayuusiq ifkagh tu q naav lu ni llu .,Pikegken ifkagh qayuusiq tu q naav lu ni llu .,[0] -> [1]
Ighnegh ma qughsatku mun qazigya t negh uma ni it .,Ighnegh ma qazigya t negh qughsatku mun uma ni it .,[0] -> [1]
Qavngaq naayvaq sik waa ?,Qavngaq sik naayvaq waa ?,[0] -> [1]
Sangama apeghtughiste m esghagh yug ta nga ?,Sangama esghagh yug apeghtughiste m ta nga ?,[0] -> [1]
Siivanllegh em mekelghiigh mun paagh test i i alquuta t .,Siivanllegh em paagh mekelghiigh mun test i i alquuta t .,[0] -> [1]
Naa ma ungipaat a anga ata nga esghaan ni lu ku kaynge meng kiyaght aqnga mi imani .,Naa ma ungipaat a anga esghaan ata nga ni lu ku kaynge meng kiyaght aqnga mi imani .,[0] -> [1]
Aa rragkiigh lu ku atku ni taghnughha squghhaq aan u q esghagh na lu ki aqelqa t kaa llghii t tengegkayug teggun .,Aa rragkiigh lu ku atku ni aan taghnughha squghhaq u q esghagh na lu ki aqelqa t kaa llghii t tengegkayug teggun .,[0] -> [1]
Sangami taghnughhaq tagi iq a qiya ma lu ni t aagken ?,Sangami tagi taghnughhaq iq a qiya ma lu ni t aagken ?,[0] -> [1]
Mekelghiigh em qikmi mun aghnaghaq qilug test a a .,Mekelghiigh em aghnaghaq qilug qikmi mun test a a .,[0] -> [1]
Nani yughaghte m payegh ta gu nuzi n ?,Nani payegh yughaghte m ta gu nuzi n ?,[0] -> [1]
Ungipaat a anga yug et kiyaghh neghin ni lu ki guygu ni taghnughha u gaqnga mi .,Ungipaat a anga kiyaghh yug et neghin ni lu ki guygu ni taghnughha u gaqnga mi .,[0] -> [1]
Taaghta m aghna mun qayu nghite sq a a kufi .,Taaghta m qayu aghna mun nghite sq a a kufi .,[0] -> [1]
