sen_str,swapped_sen_str,leaf_rule
Ure tugo to jura boa oiado .,Ure tugo to jura oiado boa .,[0] -> [1]
Ere ipo to etaoraji pa pa pa !,Ere to ipo etaoraji pa pa pa !,[0] -> [1]
Akore iordure ia karo utui toro duji .,Akore iordure utui ia karo toro duji .,[0] -> [1]
Pawo Kaiwo tawuje .,Pawo tawuje Kaiwo .,[0] -> [1]
Ure kabi ta !,Ure ta kabi !,[0] -> [1]
Ere aroe kuru mak inai .,Ere kuru aroe mak inai .,[0] -> [1]
Ire o kogudo ia ipo paru tabo tuku .,Ire kogudo o ia ipo paru tabo tuku .,[0] -> [1]
Du kodi icare ure bakuru butudo bogai .,Du kodi icare ure butudo bakuru bogai .,[0] -> [1]
4Arão ure Aminadabe towuje .,4Arão ure towuje Aminadabe .,[0] -> [1]
Oinore ere aroe amireudo boe joki .,Oinore ere amireudo aroe boe joki .,[0] -> [1]
"Paore Saul uwai pijiwu boe eku butudo awugeje , are barigu tumuga piji kodi , du kodire ure boe eimejerage ekedure jiboe maku akonaregedu Absalão iera kai .","Paore Saul uwai pijiwu boe eku butudo awugeje , are barigu tumuga piji kodi , du kodire ure ekedure boe eimejerage jiboe maku akonaregedu Absalão iera kai .",[0] -> [1]
"Icare Moisés pagudugodure , ukare tuioku awogado .","Icare Moisés pagudugodure , ukare awogado tuioku .",[0] -> [1]
Ire ikana awogado dutabo .,Ire awogado ikana dutabo .,[0] -> [1]
"Icare ure boe etuwiredo , nowu ime pemegarewuge eiamedu uwiredo .","Icare ure etuwiredo boe , nowu ime pemegarewuge eiamedu uwiredo .",[0] -> [1]
Iwo tapira mokuro kuru ta .,Iwo mokuro tapira kuru ta .,[0] -> [1]
Meriri Barure nowu kidogure bu tuie kajeje tai !,Meriri Barure bu nowu kidogure tuie kajeje tai !,[0] -> [1]
Du kejere ere nowu paru kowuje du reno .,Du kejere ere kowuje nowu paru du reno .,[0] -> [1]
"1 Emode tumaragodae paru tawuje du odai , boe enoebatodumode ei ma , boe eerduwo ro pemegareugeie ure emage rugadu duji .","1 Emode tumaragodae paru tawuje du odai , boe enoebatodumode ei ma , boe eerduwo ro pemegareugeie ure rugadu emage duji .",[0] -> [1]
Unure barigu boeto .,Unure boeto barigu .,[0] -> [1]
Icare ere nowu enoroe kiwuje epiji .,Icare ere kiwuje nowu enoroe epiji .,[0] -> [1]
"Icare nowu Akaruio Bokodori ure togwa tugu nowu borobarito , ure nowu powari akopdo ererererere ...","Icare nowu Akaruio Bokodori ure togwa tugu nowu borobarito , ure ererererere nowu powari akopdo ...",[0] -> [1]
Ire awu arii itura bi barigu joruto .,Ire barigu awu arii itura bi joruto .,[0] -> [1]
Akore Ema paje Mairodo utugodo jetuiageje .,Akore Ema Mairodo paje utugodo jetuiageje .,[0] -> [1]
Ire barigu aoto .,Ire aoto barigu .,[0] -> [1]
Ere pariko tugu eiamedu aoto .,Ere tugu pariko eiamedu aoto .,[0] -> [1]
"Emare ure boe eiamedu jedo , ure ake arego boe eiamedu ja piji , ure boe jamedu boe maku boe etai .","Emare ure boe eiamedu jedo , ure ake arego boe eiamedu ja piji , ure jamedu boe boe maku boe etai .",[0] -> [1]
3Icare Jesus akore ei Tamagokare Davi ro padui bapera atugo keje duji ?,3Icare Jesus akore ei Tamagokare ro Davi padui bapera atugo keje duji ?,[0] -> [1]
Ure aremedo tuginoi ime epiji .,Ure tuginoi aremedo ime epiji .,[0] -> [1]
"Icare ere kado , ere nowu kadodurewu tugu kodoto .","Icare ere kado , ere tugu nowu kadodurewu kodoto .",[0] -> [1]
Bure kia birigodu rekoduiagu .,Bure rekoduiagu kia birigodu .,[0] -> [1]
Awogaire iro oino awo tarago to itaragoce .,Awogaire iro oino awo itaragoce tarago to .,[0] -> [1]
Ure tugera amagadudo itogi .,Ure amagadudo tugera itogi .,[0] -> [1]
"2 Lot kodiwu kejedu kodiboe reore jamedu ime eegarere pudui , ere akirodo boeji , ere akirodo boe tabo , ere boe a tugu , ere baidoge emugudo jamedu .","2 Lot kodiwu kejedu kodiboe reore jamedu ime eegarere pudui , ere akirodo boeji , ere akirodo boe tabo , ere tugu boe a , ere baidoge emugudo jamedu .",[0] -> [1]
Icare cere cedaredo to ceegare tabo .,Icare cere to cedaredo ceegare tabo .,[0] -> [1]
"Icare ere eporaido , ere okwa akirido ; ere ekera ra paru codo , ere okwa akirido ; ere ewure ra paru codo , ere okwa akirido .","Icare ere eporaido , ere okwa akirido ; ere ekera ra paru codo , ere akirido okwa ; ere ewure ra paru codo , ere okwa akirido .",[0] -> [1]
"8Mare ica , Aroe Pemegarewu umode turawuje tawugeje , umode tabewudo , dukoiare tamagomode iiboeji Jerusalém tada , Samaria o moto jamedu keje , jii moto okwa kae toro .","8Mare ica , Aroe Pemegarewu umode tawugeje turawuje , umode tabewudo , dukoiare tamagomode iiboeji Jerusalém tada , Samaria o moto jamedu keje , jii moto okwa kae toro .",[0] -> [1]
Ure boe a tuguwu imedu .,Ure imedu boe a tuguwu .,[0] -> [1]
Imode jiwo aidugirido ; imode itodudo du makaguragado .,Imode aidugirido jiwo ; imode itodudo du makaguragado .,[0] -> [1]
Ure tuie maedo tu ...,Ure maedo tuie tu ...,[0] -> [1]
Ure tagiri rogu maku tu ai ...,Ure rogu tagiri maku tu ai ...,[0] -> [1]
"2 Ere Jesus kudae rugadu tawuje taci , ere aroia kujagurewu tugu ji .","2 Ere kudae Jesus rugadu tawuje taci , ere aroia kujagurewu tugu ji .",[0] -> [1]
Ure togwa tugu nowu ikato : ka .,Ure tugu togwa nowu ikato : ka .,[0] -> [1]
"Ere turagojedo taci , ere ciemagu cuku cuku cuku , nowu aroe bure kae pugeje .","Ere turagojedo taci , ere cuku ciemagu cuku cuku , nowu aroe bure kae pugeje .",[0] -> [1]
Icare ire nowu karameru rogu udo pobe tu pobe tu etai .,Icare ire nowu karameru rogu udo tu pobe tu pobe etai .,[0] -> [1]
"4 Jesus unoragodure ei awu inoduji pugeje tui jebato dutabo pugeje : - Kodiba aerdure ia boe gigudureuji awie joku tada , aerdukai bai kugajejewu i padui aeku tada duji ?","4 Jesus unoragodure ei awu inoduji pugeje tui jebato dutabo pugeje : - Kodiba aerdure ia boe gigudureuji awie joku tada , aerdukai kugajejewu bai i padui aeku tada duji ?",[0] -> [1]
"Icare aomage ere ake okwa , ake rie , ake kurubeguru , ake makao .","Icare aomage ere okwa ake , ake rie , ake kurubeguru , ake makao .",[0] -> [1]
Itugare braedu aku kagariga bokwa ra !,Itugare braedu aku ra kagariga bokwa !,[0] -> [1]
Ure eerduwa makaguragado .,Ure makaguragado eerduwa .,[0] -> [1]
Nonore icare ere kiogoaro mugudo tuwugeje .,Nonore icare ere mugudo kiogoaro tuwugeje .,[0] -> [1]
Imode ikera pemegado ii .,Imode pemegado ikera ii .,[0] -> [1]
"2 Nowu padure kejewu i ao keje ere bapera atugo bu , akore judeudoge Eimejera Kurirewu 2 Ere ia ro pegareuge ewu i keje apodu ere pobe : ia okwacere kana pemegarewu jaogwai , ia okwacere kana koborewu jaogwai .","2 Nowu padure kejewu i ao keje ere bapera atugo bu , akore judeudoge Eimejera Kurirewu 2 Ere ro ia pegareuge ewu i keje apodu ere pobe : ia okwacere kana pemegarewu jaogwai , ia okwacere kana koborewu jaogwai .",[0] -> [1]
Aiwore ji ure tumedage ereore .,Aiwore ji ure ereore tumedage .,[0] -> [1]
"Icare ere ia kado , icare ere bowuje , bowuje pa pa ...","Icare ere kado ia , icare ere bowuje , bowuje pa pa ...",[0] -> [1]
"Icare ure nowu peguru upodo nowu jorugudu tabo , ure ia bai ki bu aogeje pugeje .","Icare ure nowu peguru upodo nowu jorugudu tabo , ure bu ia bai ki aogeje pugeje .",[0] -> [1]
"Icare ure Boe etoragududo , ure boe ekiarigo .","Icare ure Boe etoragududo , ure ekiarigo boe .",[0] -> [1]
Ire buke bu pugeje .,Ire bu buke pugeje .,[0] -> [1]
