sen_str,swapped_sen_str,leaf_rule
"Як грамадзяні Рэспублікі Беларусь Сьвятлана Ціханоўская разам з Марыяй Калесьнікавай і Веранікай Цапкалай плянуюць у 19 . 00 наведаць сьвята „ Дзень адкрытых дзьвярэй установаў дадатковай адукацыі “ , якое гарадзкія ўлады арганізуюць сёньня ў Кіеўскім сквэры .","Як грамадзяні Рэспублікі Беларусь Сьвятлана Ціханоўская разам з Марыяй Калесьнікавай і Веранікай Цапкалай плянуюць у 19 . 00 наведаць сьвята „ Дзень адкрытых дзьвярэй установаў дадатковай адукацыі “ , гарадзкія ўлады арганізуюць якое сёньня ў Кіеўскім сквэры .",[0] -> [1] -> [7]
"✅ <a_href=""https://t.me/kris_medicine""> @kris_medicine </a> - Канал пра медыцыну , які вядзе медык і развейвае фэйкі пра медыцыну , расказвае пра медыцыну даступна .","✅ <a_href=""https://t.me/kris_medicine""> @kris_medicine </a> - Канал пра медыцыну , вядзе які медык і развейвае фэйкі пра медыцыну , расказвае пра медыцыну даступна .",[0] -> [1] -> [7]
"Га , а цяперака што гаварыці ?..","Га , а цяперака гаварыці што ?..",[0] -> [1] -> [7]
"Жонка Джона Сільвэра , якога ў Менску судзяць за экстрэмізм , распавяла Свабодзе пра тое , як Эдуард Пальчыс пачувае сябе ў камэры і на які прысуд спадзяецца .","Жонка Джона Сільвэра , ў Менску судзяць якога за экстрэмізм , распавяла Свабодзе пра тое , як Эдуард Пальчыс пачувае сябе ў камэры і на які прысуд спадзяецца .",[0] -> [1] -> [7]
"У той час горадам кіраваў Сяргей Габрусёў , якога многія магілёўцы лічылі « мэрам надзеі » .","У той час горадам кіраваў Сяргей Габрусёў , многія магілёўцы лічылі якога « мэрам надзеі » .",[0] -> [1] -> [7]
"У 1959 г. паступіла на аддзяленне журналістыкі філалагічнага факультэта БДУ , якое скончыла ў 1964 годзе .","У 1959 г. паступіла на аддзяленне журналістыкі філалагічнага факультэта БДУ , скончыла якое ў 1964 годзе .",[0] -> [1] -> [7]
"Але паглядзіце , што казаў Лукашэнка пра яго паўгода таму .","Але паглядзіце , казаў што Лукашэнка пра яго паўгода таму .",[0] -> [1] -> [7]
"Наша блогерка Наста Захарэвіч піша пра ціск , які дзяржава чыніць на « палітычна нявыгадных » мацярэй , адбіраючы альбо абмяжоўваючы ў іх правы апекі над дзецьмі , бо яны , паводле сацыяльных інсэктараў , ня ў змозе гарантаваць нармальную апеку ( <a_href=""https://goo.gl/ZOlumJ""> https://goo.gl/ZOlumJ </a> ) .","Наша блогерка Наста Захарэвіч піша пра ціск , дзяржава чыніць які на « палітычна нявыгадных » мацярэй , адбіраючы альбо абмяжоўваючы ў іх правы апекі над дзецьмі , бо яны , паводле сацыяльных інсэктараў , ня ў змозе гарантаваць нармальную апеку ( <a_href=""https://goo.gl/ZOlumJ""> https://goo.gl/ZOlumJ </a> ) .",[0] -> [1] -> [7]
"Вяргілій — чацьвёрты фігурант у "" справе Ціханоўскага "" , якога выпусьцілі зь СІЗА","Вяргілій — чацьвёрты фігурант у "" справе Ціханоўскага "" , выпусьцілі якога зь СІЗА",[0] -> [1] -> [7]
"Зьміцер Бартосік паехаў на радзіму мытніка Алеся Юркойця , якога цяпер судзяць у справе за хабары на мытні , каб дазнацца , што пра Юркойця думаюць землякі ( <a_href=""https://goo.gl/jsDxr6""> https://goo.gl/jsDxr6 </a> ) .","Зьміцер Бартосік паехаў на радзіму мытніка Алеся Юркойця , цяпер судзяць якога у справе за хабары на мытні , каб дазнацца , што пра Юркойця думаюць землякі ( <a_href=""https://goo.gl/jsDxr6""> https://goo.gl/jsDxr6 </a> ) .",[0] -> [1] -> [7]
"Вандалы могуць знішчыць лаўку , але не тое , што яна сабой ўвасабляе .","Вандалы могуць знішчыць лаўку , але не тое , яна сабой ўвасабляе што .",[0] -> [1] -> [7]
"У Бібліі ёсьць цікавая прыпавесьць , якую Ісус прамаўляе сваім сучасьнікам .","У Бібліі ёсьць цікавая прыпавесьць , Ісус прамаўляе якую сваім сучасьнікам .",[0] -> [1] -> [7]
"<strong> Падкаст « А што скажа мама ? » выпуск 2 </strong> — гэта шчырая размова паміж мамай і дачкой на жыццёвыя тэмы і сітуацыі , з якімі сутыкаюцца маладыя людзі .","<strong> Падкаст « А скажа што мама ? » выпуск 2 </strong> — гэта шчырая размова паміж мамай і дачкой на жыццёвыя тэмы і сітуацыі , з якімі сутыкаюцца маладыя людзі .",[0] -> [1] -> [7]
"Тое , што не ў стане рабіць Пракуратура .","Тое , не ў стане рабіць што Пракуратура .",[0] -> [1] -> [7]
"Бо трэба ж крыклівасьць і фрыкавасьць , карцінка , якую нехта назаве гераізмам .","Бо трэба ж крыклівасьць і фрыкавасьць , карцінка , нехта назаве якую гераізмам .",[0] -> [1] -> [7]
"Калі вам ёсьць што распавесьці пра каранавірус у вашым рэгіёне - пішыце нам на <a_href=""https://t.me/SvabodaBelarus""> @SvabodaBelarus </a>","Калі вам ёсьць распавесьці што пра каранавірус у вашым рэгіёне - пішыце нам на <a_href=""https://t.me/SvabodaBelarus""> @SvabodaBelarus </a>",[0] -> [1] -> [7]
"У Віцебску памёр салдат Віктар Калачынскі , якога напярэдадні траўмавалі ў вайсковай частцы машынай","У Віцебску памёр салдат Віктар Калачынскі , напярэдадні траўмавалі якога ў вайсковай частцы машынай",[0] -> [1] -> [7]
"Пешая вандроўка , падчас якой мы пашукаем доказы таго , што Менск – горад , якi трэба і варта любiць .","Пешая вандроўка , падчас якой мы пашукаем доказы таго , што Менск – горад , трэба і варта любiць якi .",[0] -> [1] -> [7]
Вы дапамаглі нам шмат што зрабіць !,Вы дапамаглі нам зрабіць шмат што !,[0] -> [1] -> [7]
"« Другая хваля » фемінізму працягвае сваё існаванне і цяпер і суіснуе з тым , што называюць « трэцяй хваляй » фемінізму .","« Другая хваля » фемінізму працягвае сваё існаванне і цяпер і суіснуе з тым , называюць што « трэцяй хваляй » фемінізму .",[0] -> [1] -> [7]
"А вы ведалі , што ў Менску прадаецца кватэра , якую можна набыць за біткоіны ?","А вы ведалі , што ў Менску прадаецца кватэра , можна якую набыць за біткоіны ?",[0] -> [1] -> [7]
"Палітычныя экспэрты , якіх мы папрасілі спрагназаваць вынік амэрыканскіх выбараў , схіляюцца да перамогі Клінтан ( <a_href=""https://goo.gl/yg5Z0G""> https://goo.gl/yg5Z0G </a> ) .","Палітычныя экспэрты , мы папрасілі якіх спрагназаваць вынік амэрыканскіх выбараў , схіляюцца да перамогі Клінтан ( <a_href=""https://goo.gl/yg5Z0G""> https://goo.gl/yg5Z0G </a> ) .",[0] -> [1] -> [7]
"Кіраўнік інфармацыйнага цэнтру ў Горадні Сяргей Каляда лічыць гэтую падзею гістарычнай і прапанаваў маршалку Ляшчынскаму павесіць у рамачку дакумэнт № 1 , які ён атрымаў на права ўезду пры бязьвізавым рэжыме .","Кіраўнік інфармацыйнага цэнтру ў Горадні Сяргей Каляда лічыць гэтую падзею гістарычнай і прапанаваў маршалку Ляшчынскаму павесіць у рамачку дакумэнт № 1 , ён атрымаў які на права ўезду пры бязьвізавым рэжыме .",[0] -> [1] -> [7]
"👌 І гэта толькі верхавіна таго багацця , што хавае жывая беларуская мова .","👌 І гэта толькі верхавіна таго багацця , хавае што жывая беларуская мова .",[0] -> [1] -> [7]
"Ліст , які мне даў Васіль Быкаў роўна 28 год таму — якім павінен быць Гімн .","Ліст , мне даў які Васіль Быкаў роўна 28 год таму — якім павінен быць Гімн .",[0] -> [1] -> [7]
А што б вы спыталі ва ўладаў ?,А б вы спыталі што ва ўладаў ?,[0] -> [1] -> [7]
"Вяскоўцы адстаялі свайго кіраўніка , якога хацелі звольніць улады ...","Вяскоўцы адстаялі свайго кіраўніка , хацелі звольніць якога улады ...",[0] -> [1] -> [7]
"Хочаце даведацца , што думае гатэль пра сваіх гасцей , –– зазірніце туды .","Хочаце даведацца , думае што гатэль пра сваіх гасцей , –– зазірніце туды .",[0] -> [1] -> [7]
"На высыпаныя на зямлю адкіды ён паклаў партрэт кіраўніка дзяржавы з надпісам « За 5-гадовую плённую працу » , які працяў віламі .","На высыпаныя на зямлю адкіды ён паклаў партрэт кіраўніка дзяржавы з надпісам « За 5-гадовую плённую працу » , працяў які віламі .",[0] -> [1] -> [7]
"Але вось у той самы час , даўным-даўно , жыў адзін такі Слон , або , лепш сказаць , Слонік , які быў страшэнна дапытлівы , і каго , бывала , ні ўбачыць , да ўсіх прыстае з роспытамі .","Але вось у той самы час , даўным-даўно , жыў адзін такі Слон , або , лепш сказаць , Слонік , які быў страшэнна дапытлівы , і , бывала , ні ўбачыць каго , да ўсіх прыстае з роспытамі .",[0] -> [1] -> [7]
"Як было ўведаць , што выношваюць маўчуны ?","Як было ўведаць , выношваюць што маўчуны ?",[0] -> [1] -> [7]
"Трусаў кажа , што цытатаў , якія « прачыталі » падчас перадачы , у яго кнізе няма .","Трусаў кажа , што цытатаў , « прачыталі якія » падчас перадачы , у яго кнізе няма .",[0] -> [1] -> [7]
"Спэцыялісты будуць на месцы абмяркоўваць праблемы , якія ўзьнялі студэнты ВНУ .","Спэцыялісты будуць на месцы абмяркоўваць праблемы , ўзьнялі якія студэнты ВНУ .",[0] -> [1] -> [7]
"Новы тыдзень нашай рубрыкі #БудуДома прысвечаны спорту , а менавіта лёгкай фізічнай трэніроўцы , якую ты можаш рабіць самастойна ў сябе дома !","Новы тыдзень нашай рубрыкі #БудуДома прысвечаны спорту , а менавіта лёгкай фізічнай трэніроўцы , ты можаш якую рабіць самастойна ў сябе дома !",[0] -> [1] -> [7]
"Паводле заявы Кондруся Радыё Свабода , у Навінках ён адмовіўся ад размоваў зь лекарамі : « Што ім было трэба , тое і напісалі » .","Паводле заявы Кондруся Радыё Свабода , у Навінках ён адмовіўся ад размоваў зь лекарамі : « ім было трэба Што , тое і напісалі » .",[0] -> [1] -> [7]
"Нафтавыя кампаніі спадзяюцца , што рынак усё ж ажыве , цана пойдзе ўверх і тады яны , прыплаціўшы зараз за ачыстку сховішчаў , з’эканомяць грошы на перазапуск здабычы , якую не давядзецца спыняць .","Нафтавыя кампаніі спадзяюцца , што рынак усё ж ажыве , цана пойдзе ўверх і тады яны , прыплаціўшы зараз за ачыстку сховішчаў , з’эканомяць грошы на перазапуск здабычы , не давядзецца якую спыняць .",[0] -> [1] -> [7]
"У Трахіма быў горды выгляд , такі , якога яна раней не бачыла .","У Трахіма быў горды выгляд , такі , яна раней не бачыла якога .",[0] -> [1] -> [7]
Вам ёсьць што пра гэта распавесьці ?,Вам ёсьць пра гэта распавесьці што ?,[0] -> [1] -> [7]
"Калі я маю выбіраць паміж кампаніяй , якой валодае швед з кампетэнтнымі мэнэджэрамі і дзе я зараблю больш , і фірмай , якой кіруе некампетэнтны кіраўнік , але свой , які падпарадкоўваецца свайму дыктатару , і дзе я зараблю менш , то што я абяру ?","Калі я маю выбіраць паміж кампаніяй , якой валодае швед з кампетэнтнымі мэнэджэрамі і дзе я зараблю больш , і фірмай , кіруе якой некампетэнтны кіраўнік , але свой , які падпарадкоўваецца свайму дыктатару , і дзе я зараблю менш , то што я абяру ?",[0] -> [1] -> [7]
"У 2018 годзе розгалас атрымаў скандал , які былы галоўны ідэолаг краіны ўчыніў у менскай краме , дзе некалькі кас абслугоўваюць пакупнікоў на беларускай мове .","У 2018 годзе розгалас атрымаў скандал , былы галоўны ідэолаг краіны ўчыніў які у менскай краме , дзе некалькі кас абслугоўваюць пакупнікоў на беларускай мове .",[0] -> [1] -> [7]
"Трэба разьмяжоўваць тое , што чалавек гаворыць да выбараў , і тое , што ён пасьля робіць » – адзначае бізнэсовец Юры Зісэр ( <a_href=""https://goo.gl/YEoEuc""> https://goo.gl/YEoEuc </a> ) .","Трэба разьмяжоўваць тое , што чалавек гаворыць да выбараў , і тое , ён пасьля робіць што » – адзначае бізнэсовец Юры Зісэр ( <a_href=""https://goo.gl/YEoEuc""> https://goo.gl/YEoEuc </a> ) .",[0] -> [1] -> [7]
"Вось што пішуць , калі паспрабаваць на яе зайсьці","Вось пішуць што , калі паспрабаваць на яе зайсьці",[0] -> [1] -> [7]
"Спадзяемся , што ў вас усё добра , а мы хочам з вамі падзяліцца спісам таго , што мы цяпер робім анлайн !","Спадзяемся , што ў вас усё добра , а мы хочам з вамі падзяліцца спісам таго , мы цяпер робім што анлайн !",[0] -> [1] -> [7]
"« Ён асабіста ня зможа падаць , але на падставе даверанасьці , якую заверыць начальнік сьледчага ізалятара , ён зможа падаць заяву .","« Ён асабіста ня зможа падаць , але на падставе даверанасьці , заверыць якую начальнік сьледчага ізалятара , ён зможа падаць заяву .",[0] -> [1] -> [7]
"Рыхтуецца канстытуцыйны пераварот , які могуць падаць у выглядзе так званага "" рэферэндуму "" .","Рыхтуецца канстытуцыйны пераварот , могуць падаць які у выглядзе так званага "" рэферэндуму "" .",[0] -> [1] -> [7]
"Гэтыя фірмы пасьля неаднаразовых папярэджаньняў працягваюць вазіць свае вырабы ў "" Бульбашхол "" на вясельлі , карпаратывы ды іншыя п’янкі , а значыць ведаюць , што робяць .","Гэтыя фірмы пасьля неаднаразовых папярэджаньняў працягваюць вазіць свае вырабы ў "" Бульбашхол "" на вясельлі , карпаратывы ды іншыя п’янкі , а значыць ведаюць , робяць што .",[0] -> [1] -> [7]
"Ім ёсць , што паказаць і пра што расказаць менавіта табе !","Ім ёсць , паказаць што і пра што расказаць менавіта табе !",[0] -> [1] -> [7]
"Некалькі дзён прабылі на паўвостраве і расказваем , што там убачылі .","Некалькі дзён прабылі на паўвостраве і расказваем , там убачылі што .",[0] -> [1] -> [7]
"✉️ Вы можаце <a_href=""http://drive.google.com/drive/folders/1l7azfhoh5hP7tktfWH4pn1J-6Xe5BpwV?usp=sharing""> спампаваць </a> іх і надрукаваць у выглядзе паштоўкі , якую дашлеце наўпрост медыкам , а можаце зрабіць допіс у сваіх сацыяльных сетках з добрымі словамі на адрас дактароў і з гэтымі ілюстрацыямі .","✉️ Вы можаце <a_href=""http://drive.google.com/drive/folders/1l7azfhoh5hP7tktfWH4pn1J-6Xe5BpwV?usp=sharing""> спампаваць </a> іх і надрукаваць у выглядзе паштоўкі , дашлеце якую наўпрост медыкам , а можаце зрабіць допіс у сваіх сацыяльных сетках з добрымі словамі на адрас дактароў і з гэтымі ілюстрацыямі .",[0] -> [1] -> [7]
"Чыстая , папулярная і ў рознакаляровых графіці яна ну ніяк не асацыюецца са смуродным , неасфальтаваным рабочым ускрайкам горада , які можна параўнаць з цяперашнімі Шабанамі .","Чыстая , папулярная і ў рознакаляровых графіці яна ну ніяк не асацыюецца са смуродным , неасфальтаваным рабочым ускрайкам горада , можна параўнаць які з цяперашнімі Шабанамі .",[0] -> [1] -> [7]
"Ведаеш крыніцу , стары парк ці валун на Міншчыне , якія варта ўзяць пад ахову ?","Ведаеш крыніцу , стары парк ці валун на Міншчыне , варта ўзяць якія пад ахову ?",[0] -> [1] -> [7]
"11 фактаў пра Касьцюшку , якія вы наўрад ці ведаеце","11 фактаў пра Касьцюшку , вы наўрад ці ведаеце якія",[0] -> [1] -> [7]
"👉🏻 Дарэчы , пачытайце , што мы зрабілі за тры месяцы : <a_href=""https://vk.com/@siadziba-10-dzvzhuh-art-syadzby-za-pershyya-3-mesyacy-201""> https://vk.com/@siadziba-10-dzvzhuh-art-syadzby-za-pershyya-3-mesyacy-201 </a>","👉🏻 Дарэчы , пачытайце , мы зрабілі што за тры месяцы : <a_href=""https://vk.com/@siadziba-10-dzvzhuh-art-syadzby-za-pershyya-3-mesyacy-201""> https://vk.com/@siadziba-10-dzvzhuh-art-syadzby-za-pershyya-3-mesyacy-201 </a>",[0] -> [1] -> [7]
"« Выконваю , што сказаў прэзыдэнт » .","« Выконваю , сказаў што прэзыдэнт » .",[0] -> [1] -> [7]
"<strong> Падрыхтавалі для вас чэк-ліст таго , што трэба паспець зрабіць да лета 2020 </strong>","<strong> Падрыхтавалі для вас чэк-ліст таго , трэба паспець зрабіць што да лета 2020 </strong>",[0] -> [1] -> [7]
"Такая эпоха : мы любім гучнасьць і відовішчнасьць , што называем гераізмам .","Такая эпоха : мы любім гучнасьць і відовішчнасьць , называем што гераізмам .",[0] -> [1] -> [7]
"Мы не знайшлі на працы Анастасію Кулічкову , якую назіральнік злавіў на спробе ўкіду стосу бюлетэняў у скрыню .","Мы не знайшлі на працы Анастасію Кулічкову , назіральнік злавіў якую на спробе ўкіду стосу бюлетэняў у скрыню .",[0] -> [1] -> [7]
"Напярэдадні закрытага судовага працэсу па крымінальнай справе Эдуарда Пальчыса , які пачынаецца 14 кастрычніка ў Менскім гарадзкім судзе , Свабода пагаварыла зь Вікторыяй Пальчыс , жонкай палітвязьня , якога абвінавачваюць у экстрэмізьме і распаўсюдзе парнаграфіі .","Напярэдадні закрытага судовага працэсу па крымінальнай справе Эдуарда Пальчыса , які пачынаецца 14 кастрычніка ў Менскім гарадзкім судзе , Свабода пагаварыла зь Вікторыяй Пальчыс , жонкай палітвязьня , абвінавачваюць якога у экстрэмізьме і распаўсюдзе парнаграфіі .",[0] -> [1] -> [7]
"Як Лукашэнка разносіць міліцыю , якую сам прызначае","Як Лукашэнка разносіць міліцыю , сам прызначае якую",[0] -> [1] -> [7]
"Расказвае , што недзе а 5-й раніцы спэцназ штурмаваў корпус , дзе жылі тыя людзі , якіх сёньня па БТ назвалі « баевікамі - вагнэраўцамі » .","Расказвае , што недзе а 5-й раніцы спэцназ штурмаваў корпус , дзе жылі тыя людзі , сёньня па БТ назвалі якіх « баевікамі - вагнэраўцамі » .",[0] -> [1] -> [7]
"Гомельская блогерка Алена Германовіч пра праездку эскалятарам у кіеўскім мэтро ( <a_href=""https://goo.gl/0c3M02""> https://goo.gl/0c3M02 </a> ) : « Я як стала на той эскалятар , дык і здранцьвела — ня ведала , як на ім ехаць , ніхто нічога не гаворыць !","Гомельская блогерка Алена Германовіч пра праездку эскалятарам у кіеўскім мэтро ( <a_href=""https://goo.gl/0c3M02""> https://goo.gl/0c3M02 </a> ) : « Я як стала на той эскалятар , дык і здранцьвела — ня ведала , як на ім ехаць , ніхто не гаворыць нічога !",[0] -> [1] -> [7]
"Ды не глядзеў я , — расказвае галоўны бухгалтар ТАА « Пруднікі - Агра » Дзіма , якога знаходзім у « канторы » .","Ды не глядзеў я , — расказвае галоўны бухгалтар ТАА « Пруднікі - Агра » Дзіма , знаходзім якога у « канторы » .",[0] -> [1] -> [7]
"А на гэтым фота заходнебеларускія пісьменьнікі , жаўнеры Войска Польскага , якіх узялі ў палон немцы : Юліян Сергіевіч , Янка Брыль і Міхась Васілёк .","А на гэтым фота заходнебеларускія пісьменьнікі , жаўнеры Войска Польскага , узялі якіх ў палон немцы : Юліян Сергіевіч , Янка Брыль і Міхась Васілёк .",[0] -> [1] -> [7]
"У мяне ёсьць пэўны патэнцыял , у тым ліку палітычны » – гэтак Аляксандар Мілінкевіч пракамэнтаваў сваё рашэньне здаць кіраўніцтва « Руху за свабоду » , якім ён кіраваў ад часу яго заснаваньня ў 2006 годзе , у іншыя рукі ( <a_href=""https://goo.gl/pfFXxO""> https://goo.gl/pfFXxO </a> ) .","У мяне ёсьць пэўны патэнцыял , у тым ліку палітычны » – гэтак Аляксандар Мілінкевіч пракамэнтаваў сваё рашэньне здаць кіраўніцтва « Руху за свабоду » , ён кіраваў якім ад часу яго заснаваньня ў 2006 годзе , у іншыя рукі ( <a_href=""https://goo.gl/pfFXxO""> https://goo.gl/pfFXxO </a> ) .",[0] -> [1] -> [7]
"Спытаўся ў экс-прэзыдэнта Эстоніі пра ўсё , што вы хацелі .","Спытаўся ў экс-прэзыдэнта Эстоніі пра ўсё , вы хацелі што .",[0] -> [1] -> [7]
"« Людзям трэба піць , трэба шмат вады , а зь ёй праблема , у лягер нікога не пускаем , проста разварочваем людзей з прадуктамі і вадой .","« Людзям трэба піць , трэба шмат вады , а зь ёй праблема , у лягер не пускаем нікога , проста разварочваем людзей з прадуктамі і вадой .",[0] -> [1] -> [7]
"У эксклюзіўным інтэрвію Джон Болтан распавёў пра тое , што ён пасьпеў абмеркаваць з Лукашэнкам , а таксама , што ён думае пра стаўленьне да « апошняй дыктатуры ў Эўропе » і інтэграцыі Беларусі зь Расеяй .","У эксклюзіўным інтэрвію Джон Болтан распавёў пра тое , ён пасьпеў абмеркаваць што з Лукашэнкам , а таксама , што ён думае пра стаўленьне да « апошняй дыктатуры ў Эўропе » і інтэграцыі Беларусі зь Расеяй .",[0] -> [1] -> [7]
"— Сёння пра перамогу не думаю , я ўжо дасягнула ўсяго , чаго хацела .","— Сёння пра перамогу не думаю , я ўжо дасягнула ўсяго , хацела чаго .",[0] -> [1] -> [7]
"Наша калега Іна Студзінская высьвятляла , колькі цяпер каштуе пахаваньне ў Беларусі і ці можна ўкласьціся ў дапамогу , якую дзяржава выдзяляе ў выпадку сьмерці родзіча ( <a_href=""https://goo.gl/NRh5BU""> https://goo.gl/NRh5BU </a> ) .","Наша калега Іна Студзінская высьвятляла , колькі цяпер каштуе пахаваньне ў Беларусі і ці можна ўкласьціся ў дапамогу , дзяржава выдзяляе якую ў выпадку сьмерці родзіча ( <a_href=""https://goo.gl/NRh5BU""> https://goo.gl/NRh5BU </a> ) .",[0] -> [1] -> [7]
"Гэта голас , які ты пазнаеш з тысячы .","Гэта голас , ты пазнаеш які з тысячы .",[0] -> [1] -> [7]
"Вось , што кажуць людзі","Вось , кажуць што людзі",[0] -> [1] -> [7]
"Выпусьцілі маладзёна , якога затрымалі ў Горадні разам зь Ціханоўскім !","Выпусьцілі маладзёна , затрымалі якога ў Горадні разам зь Ціханоўскім !",[0] -> [1] -> [7]
"— У нас ёсць 2 квіткі , якія мы хочам разыграць .","— У нас ёсць 2 квіткі , мы хочам якія разыграць .",[0] -> [1] -> [7]
Калі вам вечарам няма што рабіць - пагуляйцеся ў нам беларусізатар імёнаў .,Калі вам вечарам няма рабіць што - пагуляйцеся ў нам беларусізатар імёнаў .,[0] -> [1] -> [7]
"Пачытайце , які нечаканы падарунак яна атрымала на дзень народзінаў , за што ваюе з мясцовымі ўладамі , якія сэрыялы раіць паглядзець і што зразумела пра жыцьцё за гэты час .","Пачытайце , які нечаканы падарунак яна атрымала на дзень народзінаў , за што ваюе з мясцовымі ўладамі , якія сэрыялы раіць паглядзець і зразумела што пра жыцьцё за гэты час .",[0] -> [1] -> [7]
"🍮 Будзем піць гарбатку , каву , размаўляць пра тое , як жывецца беларусу ў ЗША , ці не падаецца часам , што знаходзішся ў дэкарацыях фільмаў , якія бачыў у дзяцінстве , ці талератныя амерыканцы , і ці набыў Яўген сабе новы айфон ...","🍮 Будзем піць гарбатку , каву , размаўляць пра тое , як жывецца беларусу ў ЗША , ці не падаецца часам , што знаходзішся ў дэкарацыях фільмаў , бачыў якія у дзяцінстве , ці талератныя амерыканцы , і ці набыў Яўген сабе новы айфон ...",[0] -> [1] -> [7]
"Блогера з Магілёву Аляксандра Ірхо судзяць за апытаньне « Колькі грошай Вы давалі супрацоўнікам ДАІ ? » , якое ён паспрабаваў правесьці ў сацыяльных сетках .","Блогера з Магілёву Аляксандра Ірхо судзяць за апытаньне « Колькі грошай Вы давалі супрацоўнікам ДАІ ? » , ён паспрабаваў якое правесьці ў сацыяльных сетках .",[0] -> [1] -> [7]
"Усё , што мясцовыя ўлады лічылі « немілагучным » , было перайменавана ў Грушаўкі , Вішнёўкі , Першамайскі і Кастрычнікі …","Усё , мясцовыя ўлады лічылі што « немілагучным » , было перайменавана ў Грушаўкі , Вішнёўкі , Першамайскі і Кастрычнікі …",[0] -> [1] -> [7]
"У адным паданні Серада і Пятніца спрачаюцца , каго з іх больш любяць людзі .","У адным паданні Серада і Пятніца спрачаюцца , больш любяць каго з іх людзі .",[0] -> [1] -> [7]
