sen_str,swapped_sen_str,leaf_rule
"At the age of one , Harry had somehow survived a curse from the greatest dark sorcerer of all time , Lord Voldemort , whose name most witches and wizards still feared to speak .","At the age of one , Harry had somehow a curse from the greatest dark sorcerer of all time , Lord Voldemort , whose name most witches and wizards still feared to speak survived .",[0] -> [1] -> [2] -> [3]
"On one order , we needed it rushed and shipped to a different state .","On one order , we it needed rushed and shipped to a different state .",[0] -> [1] -> [2] -> [3]
"Not many people know that , she said .","Not many people that know , she said .",[0] -> [1] -> [2] -> [3]
"He gave no service to anyone , risked nothing , and did not even slack off efficiently .","He gave no service to anyone , nothing risked , and did not even slack off efficiently .",[0] -> [1] -> [2] -> [3]
"Gaining recognition as an expert in the field , she took those skills back to the Radium Institute along with a small disc of polonium .","Gaining recognition as an expert in the field , she those skills took back to the Radium Institute along with a small disc of polonium .",[0] -> [1] -> [2] -> [3]
"When you delete a custom group that is not the last custom group in the field , the deleted group 's members automatically move to the Other group .","When you a custom group that is not the last custom group in the field delete , the deleted group 's members automatically move to the Other group .",[0] -> [1] -> [2] -> [3]
Everyone will therefore understand why I am rejecting them .,Everyone will therefore understand why I am them rejecting .,[0] -> [1] -> [2] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [2] -> [3]
_ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _,[0] -> [1] -> [2] -> [3]
"Would n't you expect some of the religious leaders to do it themselves , or to talk their sons into doing it , if this is truly a supreme act of religious fervor ?","Would n't you expect some of the religious leaders to do it themselves , or to talk their sons into it doing , if this is truly a supreme act of religious fervor ?",[0] -> [1] -> [2] -> [3]
"Anticipating a difficulty , I ask the stewardess to serve me a kosher lunch .","Anticipating a difficulty , I ask the stewardess to a kosher lunch serve me .",[0] -> [1] -> [2] -> [3]
"In the meantime , could you please provide a contact on your side with whom we could discuss technical issues ?","In the meantime , could you please provide a contact on your side with whom we could technical issues discuss ?",[0] -> [1] -> [2] -> [3]
Cities such as Falluja received special treatment from Saddam and enjoyed a disproportionate share of the country 's wealth and power .,Cities such as Falluja special treatment received from Saddam and enjoyed a disproportionate share of the country 's wealth and power .,[0] -> [1] -> [2] -> [3]
"He had done his job well so far , keeping at a discreet distance from the old man , blending into the traffic of the street , neither calling attention to himself nor taking drastic measures to keep himself hidden .","He had done his job well so far , keeping at a discreet distance from the old man , blending into the traffic of the street , neither calling attention to himself nor taking drastic measures to himself keep hidden .",[0] -> [1] -> [2] -> [3]
About handling Null values in calculations,About Null values in calculations handling,[0] -> [1] -> [2] -> [3]
"I was smoking my pipe quietly by my dismantled steamer , and saw them all cutting capers in the light , with their arms lifted high , when the stout man with mustaches came tearing down to the river , a tin pail in his hand , assured me that everybody was ' behaving splendidly , splendidly , ' dipped about a quart of water and tore back again .","I was smoking my pipe quietly by my dismantled steamer , and saw them all cutting capers in the light , with their arms lifted high , when the stout man with mustaches came tearing down to the river , a tin pail in his hand , me assured that everybody was ' behaving splendidly , splendidly , ' dipped about a quart of water and tore back again .",[0] -> [1] -> [2] -> [3]
they fixed my garage doors in literally less than an hour .,they my garage doors fixed in literally less than an hour .,[0] -> [1] -> [2] -> [3]
Richard - please let me know what we need to do next to file suit .,Richard - please me let know what we need to do next to file suit .,[0] -> [1] -> [2] -> [3]
The Australian experts drew new conclusions from the investigation of a landing flap from Boeing that had washed up in Tanzania in East Africa .,The Australian experts new conclusions drew from the investigation of a landing flap from Boeing that had washed up in Tanzania in East Africa .,[0] -> [1] -> [2] -> [3]
Robert Guthrie with the tax department has worked with us to develop this language .,Robert Guthrie with the tax department has worked with us to this language develop .,[0] -> [1] -> [2] -> [3]
Can you provide me with more details ?,Can you me provide with more details ?,[0] -> [1] -> [2] -> [3]
"International law does not know how to handle someone who sends children to throw stones , stands behind them and shoots with immunity and can not be arrested because he is sheltered by a Government .","International law does not know how to handle someone who children sends to throw stones , stands behind them and shoots with immunity and can not be arrested because he is sheltered by a Government .",[0] -> [1] -> [2] -> [3]
show me flights from boston to pittsburgh after 1700 hours on wednesday,flights from boston to pittsburgh after 1700 hours on wednesday show me,[0] -> [1] -> [2] -> [3]
"Balzac borrowed money from his family and friends , and tried to build a printing business , then a typefounder enterprise .","Balzac money borrowed from his family and friends , and tried to build a printing business , then a typefounder enterprise .",[0] -> [1] -> [2] -> [3]
"As a result , my grandmother was paid a sizeable pension and was able to have her wild strong son privately educated .","As a result , my grandmother was paid a sizeable pension and was able to her wild strong son have privately educated .",[0] -> [1] -> [2] -> [3]
"Read the entire article ; there 's a punchline , too .","the entire article Read ; there 's a punchline , too .",[0] -> [1] -> [2] -> [3]
"Now suppose , instead of Styrofoam peanuts , we take these lovely little chocolates that we get and we had those instead .","Now suppose , instead of Styrofoam peanuts , we take these lovely little chocolates that we get and we those had instead .",[0] -> [1] -> [2] -> [3]
"When you move a field to the row area , the unique items of data within the field are displayed down the rows of the PivotTable view .","When you a field move to the row area , the unique items of data within the field are displayed down the rows of the PivotTable view .",[0] -> [1] -> [2] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [2] -> [3]
"After brushing the Florida Keys islands on Tuesday , Rita packed winds of about 240 kilometers an hour as it headed across the Gulf of Mexico .","After brushing the Florida Keys islands on Tuesday , Rita winds of about 240 kilometers an hour packed as it headed across the Gulf of Mexico .",[0] -> [1] -> [2] -> [3]
