sen_str,swapped_sen_str,leaf_rule
"Kljub temu je njihov menedzer na vprasanje , ali obstaja moznost , da bi ceden Slovenec lahko postal Chippendale , odgovoril , da moznosti vedno obstajajo . . .","Kljub temu je na vprasanje , ali obstaja moznost , da bi ceden Slovenec lahko postal Chippendale , odgovoril njihov menedzer , da moznosti vedno obstajajo . . .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
"6. januarja pa je Miro Hanzelj , ki je bil do avgusta lani direktor Tergusa , ob novem letu pa je prevzel menadzerske posle v podjetju , delavcem povedal , da se ne strinja z dogovorom , ki so ga sprejeli z Moharjem , ces da ni izvedljiv in da je bila to le Moharjeva prazna obljuba .","6. januarja pa je delavcem povedal Miro Hanzelj , ki je bil do avgusta lani direktor Tergusa , ob novem letu pa je prevzel menadzerske posle v podjetju , , da se ne strinja z dogovorom , ki so ga sprejeli z Moharjem , ces da ni izvedljiv in da je bila to le Moharjeva prazna obljuba .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
"Vendar je don Bosko dejal nekemu prijatelju , da "" je v prvih letih le pocasi pripisoval tistim sanjam pomen , ki so ga zasluzile "" .","Vendar je dejal don Bosko nekemu prijatelju , da "" je v prvih letih le pocasi pripisoval tistim sanjam pomen , ki so ga zasluzile "" .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
"Opozarjamo , da je izracun le priblizen , saj dolgoletna opazovanja kazejo , da se visina ljudi spreminja po procesu "" hibridizacije "" .","Opozarjamo , da je izracun le priblizen , saj kazejo dolgoletna opazovanja , da se visina ljudi spreminja po procesu "" hibridizacije "" .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
"Ob tem pa je se Euronext napovedal , da se bo vkljucil v omenjeni poskus prevzema .","Ob tem pa je napovedal se Euronext , da se bo vkljucil v omenjeni poskus prevzema .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
"Od svojega nastanka je letalo A330 Airbusu omogocilo , da poveca svoj trzni delez na podrocju sirokotrupnih letal .","Od svojega nastanka je Airbusu omogocilo letalo A330 , da poveca svoj trzni delez na podrocju sirokotrupnih letal .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
"Tako sta , ko je bil govor o projektu "" Vse na enem mestu "" ter o pospesevalni mrezi , Petrinova in Meslova poudarili , da drzava ne zeli vzpostavljati "" se ene mreze "" in tudi ne predpisovati , kje bodo "" vstopne tocke "" vanjo .","Tako sta , ko je bil govor o projektu "" Vse na enem mestu "" ter o pospesevalni mrezi , poudarili Petrinova in Meslova , da drzava ne zeli vzpostavljati "" se ene mreze "" in tudi ne predpisovati , kje bodo "" vstopne tocke "" vanjo .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
"1676 Danski astronom Ole Romer ( 16441710 ) odkrije , da svetloba potuje s stalno hitrostjo .","1676 odkrije Danski astronom Ole Romer ( 16441710 ) , da svetloba potuje s stalno hitrostjo .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
"Izbruhnil je velik skandal , disciplinska komisija zdruzenja ameriskega nogometa pa je sporocila , da proti osumljenim igralcem ne bo ukrepala , dokler svojega ne bo povedalo sodisce .","Izbruhnil je velik skandal , pa je sporocila disciplinska komisija zdruzenja ameriskega nogometa , da proti osumljenim igralcem ne bo ukrepala , dokler svojega ne bo povedalo sodisce .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
"Kmalu nam zajeten kup konzerv na snegu ob nasih leziscih govori , da se nam danes godi prav dobro .","Kmalu nam govori zajeten kup konzerv na snegu ob nasih leziscih , da se nam danes godi prav dobro .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
"Potrebno bi bilo obnoviti tudi fasado palace ( ki sicer ni zajeta v pogodbi ) , za kar si mestna obcina Koper prizadeva , da bi del denarja prispevalo Ministrstvo za kulturo .","Potrebno bi bilo obnoviti tudi fasado palace ( ki sicer ni zajeta v pogodbi ) , za kar si prizadeva mestna obcina Koper , da bi del denarja prispevalo Ministrstvo za kulturo .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
"Italijanski mediji porocajo , da je Bossijeva soproga Manuela pozvala druge voditelje gibanja , naj nadaljujejo nacrtovane dejavnosti .","Italijanski mediji porocajo , da je pozvala Bossijeva soproga Manuela druge voditelje gibanja , naj nadaljujejo nacrtovane dejavnosti .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
"Ce so tisti , ki so preziveli Soah v petdesetih letih se mnozicno trdili , da je pozabljanje konstitutivno za prezivetje , pa spominjanje in pripovedovanje v devetdesetih strukturirata in omogocata prezivetje .","Ce so se mnozicno trdili tisti , ki so preziveli Soah v petdesetih letih , da je pozabljanje konstitutivno za prezivetje , pa spominjanje in pripovedovanje v devetdesetih strukturirata in omogocata prezivetje .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
"Zato strokovnjaki Oceanografskega instituta iz Dubrovnika domnevajo , da te jadranske morske zelve pravzaprav gnezdijo v Grciji , od koder del populacije redno migrira v hrvaske vode , kjer se tudi naseli in se do grskih obal vraca le v casu gnezdenja .","Zato domnevajo strokovnjaki Oceanografskega instituta iz Dubrovnika , da te jadranske morske zelve pravzaprav gnezdijo v Grciji , od koder del populacije redno migrira v hrvaske vode , kjer se tudi naseli in se do grskih obal vraca le v casu gnezdenja .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
"Pred njim je ze britanski obrambni minister Geoff Hoon priznal , da se bodo napadi na koalicijske sile v Iraku nadaljevali .","Pred njim je priznal ze britanski obrambni minister Geoff Hoon , da se bodo napadi na koalicijske sile v Iraku nadaljevali .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
"Tu in tam pa so se v vnemi spustili na tanek led , saj je tozilka Jozica Boljte Brus njihove pripombe o slabem in nekorektnem delu tozilstva oznacila za zalitve , zagovornik Miha Kozinc pa je poudaril , da gre le za mnenje o tozilskem delu v tem postopku .","Tu in tam pa so se v vnemi spustili na tanek led , saj je tozilka Jozica Boljte Brus njihove pripombe o slabem in nekorektnem delu tozilstva oznacila za zalitve , pa je poudaril zagovornik Miha Kozinc , da gre le za mnenje o tozilskem delu v tem postopku .",[0] -> [14] -> [15] -> [16] -> [17] -> [23]
