sen_str,swapped_sen_str,leaf_rule
"Det gør aktierne til et naturligt tiltrækningsobjekt lige så snart , investorerne ser mere lyst på Europas økonomi i 1993 , siger erhvervsanalytikerne .","Det gør aktierne til et naturligt tiltrækningsobjekt lige så snart , investorerne ser mere lyst på Europas økonomi i 1993 , erhvervsanalytikerne siger .",[0] -> [1] -> [27]
- Gør vi det ? spurgte hun .,- Gør vi det ? hun spurgte .,[0] -> [1] -> [27]
"En sådan alliance vil også kunne bruges ved overenskomstforhandlingerne i 1993 , hvor nye tryghedsaftaler ventes at blive et af hovedemnerne , mener Dalmark .","En sådan alliance vil også kunne bruges ved overenskomstforhandlingerne i 1993 , hvor nye tryghedsaftaler ventes at blive et af hovedemnerne , Dalmark mener .",[0] -> [1] -> [27]
"Da han bliver spurgt hvorfor , tøver han ikke med svaret : "" Der bor for mange indvandrere . ""","Da han bliver spurgt hvorfor , han tøver ikke med svaret : "" Der bor for mange indvandrere . """,[0] -> [1] -> [27]
"Så lad os tage hjem til dig , sagde hun .","Så lad os tage hjem til dig , hun sagde .",[0] -> [1] -> [27]
"Også forklaringerne fra tidligere kolleger i Justitsministeriet har undret ham , fremgik det af afhøringen onsdag .","Også forklaringerne fra tidligere kolleger i Justitsministeriet har undret ham , det fremgik af afhøringen onsdag .",[0] -> [1] -> [27]
"Det skyldes en særlig kombination af vejrforhold , hvor sommeren var tør og varm efterfulgt af en våd periode , som har passet svampene fint , fortæller Henning Knudsen .","Det skyldes en særlig kombination af vejrforhold , hvor sommeren var tør og varm efterfulgt af en våd periode , som har passet svampene fint , Henning Knudsen fortæller .",[0] -> [1] -> [27]
""" Der flyttes fra Lyngby Stadion for at give spillerne , pressen og tilskuerne optimale forhold "" oplyser Claus Nielsen .",""" Der flyttes fra Lyngby Stadion for at give spillerne , pressen og tilskuerne optimale forhold "" Claus Nielsen oplyser .",[0] -> [1] -> [27]
""" Jeg forsøgte at tale til en soldat og sagde : Lad os afgøre dette på en fredelig måde , "" sagde en kvæstet litauer , Atansa Stokus .",""" Jeg forsøgte at tale til en soldat og sagde : Lad os afgøre dette på en fredelig måde , "" en kvæstet litauer , Atansa Stokus sagde .",[0] -> [1] -> [27]
"Den gang kunne man købe en lejemorder for 75 kr. , "" fortæller bilsælgeren .","Den gang kunne man købe en lejemorder for 75 kr. , "" bilsælgeren fortæller .",[0] -> [1] -> [27]
