sen_str,swapped_sen_str,leaf_rule
ఈ పుస్తకం నాకు నెల రోజులపాటు ఇస్తారా ?,ఈ పుస్తకం నెల రోజులపాటు ఇస్తారా నాకు ?,[0]
ఆమె నాతో ఆ సంగతి చెప్పనే లేదు .,ఆమె ఆ సంగతి చెప్పనే లేదు నాతో .,[0]
రామా నిన్న కమలకు పుస్తకం ఇచ్చింది ?,రామా నిన్న పుస్తకం ఇచ్చింది కమలకు ?,[0]
రాము నిన్న కమలకు పుస్తకం ఇచ్చేడు .,రాము నిన్న పుస్తకం ఇచ్చేడు కమలకు .,[0]
వాణ్ణి డబ్బు అడిగేను .,వాణ్ణి అడిగేను డబ్బు .,[0]
వాడికి డబ్బు ఇవ్వకండి .,వాడికి ఇవ్వకండి డబ్బు .,[0]
నువ్వు ఆయనకు మాట చెప్ప లేదు .,నువ్వు మాట చెప్ప లేదు ఆయనకు .,[0]
ఆమె నాతో ఆ సంగతి చెప్ప లేదు .,ఆమె ఆ సంగతి చెప్ప లేదు నాతో .,[0]
నీకు పాట వచ్చు అన్న సంగతి అందరికీ చెప్పేసేను .,నీకు పాట వచ్చు అన్న సంగతి చెప్పేసేను అందరికీ .,[0]
మనం తెలుగు వాళ్ళం అయి మన భాషకు ఏం చేసేం ?,మనం తెలుగు వాళ్ళం అయి ఏం చేసేం మన భాషకు ?,[0]
"నిన్ను కాపాడుతున్నాను గదా , నాకు తిండి పెట్టు !","నిన్ను కాపాడుతున్నాను గదా , తిండి పెట్టు నాకు !",[0]
రేపు ఆయన నాకు డబ్బు ఇస్తారని నమ్ముతున్నాను .,రేపు ఆయన డబ్బు ఇస్తారని నాకు నమ్ముతున్నాను .,[0]
నేను అతన్ని ఆ ప్రశ్నకి జవాబు ఇయ్యవద్దన్నాను .,నేను ఆ ప్రశ్నకి జవాబు ఇయ్యవద్దన్నాను అతన్ని .,[0]
అమ్మ మాకు కథ చెప్పింది .,అమ్మ మాకు చెప్పింది కథ .,[0]
ఆయన నన్ను నీళ్ళు తాగవద్దు అన్నారు .,ఆయన నీళ్ళు తాగవద్దు అన్నారు నన్ను .,[0]
ఆమెను తిరిగి క్షేమంగా తల్లిదండ్రులకు అప్పగించే పూచీ నాదే గా ?,ఆమెను తిరిగి క్షేమంగా అప్పగించే తల్లిదండ్రులకు పూచీ నాదే గా ?,[0]
రాము నిన్న కమలకుటగదా పుస్తకం ఇచ్చింది ?,రాము నిన్న పుస్తకం ఇచ్చింది కమలకుటగదా ?,[0]
ఆమె నాతో ఆ సంగతి చెప్పనే చెప్ప లేదు .,ఆమె ఆ సంగతి చెప్పనే చెప్ప లేదు నాతో .,[0]
"వారు వచ్చేరో , లేదో అతను నాకు చెప్ప లేదు .","వారు వచ్చేరో , లేదో అతను చెప్ప లేదు నాకు .",[0]
నెల నెలా జీతం డబ్బులోనుంచి భార్యకు కాసులు కొనేవాడు .,నెల నెలా జీతం డబ్బులోనుంచి కాసులు కొనేవాడు భార్యకు .,[0]
రాము కమలకు పుస్తకం ఇచ్చేడు .,రాము పుస్తకం ఇచ్చేడు కమలకు .,[0]
వాళ్ళు వాళ్ళ పిల్లకి పదహారో ఏటనే పెండ్లి చేసేరు .,వాళ్ళు పదహారో ఏటనే పెండ్లి చేసేరు వాళ్ళ పిల్లకి .,[0]
రాము కమలకు పుస్తకం ఇచ్చింది నిన్న .,రాము పుస్తకం ఇచ్చింది కమలకు నిన్న .,[0]
రాము నిన్న కమలకు ఇచ్చింది పుస్తకం .,రాము నిన్న ఇచ్చింది కమలకు పుస్తకం .,[0]
వాడు నన్ను డబ్బు అడగడు .,వాడు నన్ను అడగడు డబ్బు .,[0]
మీ పేరు ఏమిటో నాకు చెప్పండి .,మీ పేరు ఏమిటో చెప్పండి నాకు .,[0]
ఆమె నాతోనే ఆ సంగతి చెప్ప లేదు .,ఆమె ఆ సంగతి చెప్ప లేదు నాతోనే .,[0]
రాము నాకు తమ్ముడు కాడు .,రాము తమ్ముడు కాడు నాకు .,[0]
నేను అతన్ని ఆ ప్రశ్నకి జవాబు ఇయ్యవద్దన్నాను .,నేను అతన్ని జవాబు ఇయ్యవద్దన్నాను ఆ ప్రశ్నకి .,[0]
