sen_str,swapped_sen_str,leaf_rule
"Tā ir vienīgā iespēja nākamajiem profesionālā dienesta karavīriem iemācīties darboties komandā , saprast , ko nozīmē pavēles , komandiera pienākumi un atbildība .","Tā ir vienīgā iespēja nākamajiem profesionālā dienesta karavīriem iemācīties darboties komandā , saprast , nozīmē ko pavēles , komandiera pienākumi un atbildība .",[0] -> [1] -> [7]
"Piemēram , būtu svētīgi aprēķināt , cik miljonu šajos 25 gados aizgājis melnajā caurumā , ko sauc par reformām .","Piemēram , būtu svētīgi aprēķināt , cik miljonu šajos 25 gados aizgājis melnajā caurumā , sauc ko par reformām .",[0] -> [1] -> [7]
"Līdzīgi ir turpinājuši kāpt apkures tarifi , kurus regulējošās pašvaldības ir ieinteresētas naudas masas pieaugumā gluži tāpat kā valdība .","Līdzīgi ir turpinājuši kāpt apkures tarifi , regulējošās kurus pašvaldības ir ieinteresētas naudas masas pieaugumā gluži tāpat kā valdība .",[0] -> [1] -> [7]
"Viņš solīja ceļā nestāties , bet lielījās , ka zināšanas kļūšot tik sarežģītas , ka cilvēki paši nesapratīšot , ko iemācījušies .","Viņš solīja ceļā nestāties , bet lielījās , ka zināšanas kļūšot tik sarežģītas , ka cilvēki paši nesapratīšot , iemācījušies ko .",[0] -> [1] -> [7]
"Bet viņi neguva mācību un min tos pašus argumentus , kurus T. Hercls dzirdēja no saviem pretiniekiem , kurus Minhenes ebreji minēja , vēršoties pret Cionistu kongresa sasaukšanu .","Bet viņi neguva mācību un min tos pašus argumentus , T. Hercls dzirdēja kurus no saviem pretiniekiem , kurus Minhenes ebreji minēja , vēršoties pret Cionistu kongresa sasaukšanu .",[0] -> [1] -> [7]
"Viņš paziņoja , ka valsts sektora darbinieki daļēji atgūs arī Ziemassvētku prēmijas , kuras viņš iepriekš "" apgrieza "" , īstenojot taupības pasākumus , lai iegūtu valstij 150 miljardus eiro .","Viņš paziņoja , ka valsts sektora darbinieki daļēji atgūs arī Ziemassvētku prēmijas , viņš iepriekš "" apgrieza kuras "" , īstenojot taupības pasākumus , lai iegūtu valstij 150 miljardus eiro .",[0] -> [1] -> [7]
"Tāpat Kuks vērš uzmanību uz rakstniekiem , kurus ir samaitājušas Apgaismības idejas , kuri cionismam piešķir Apgaismības neprāta daļu , izraujot Toru no ebreju apziņas .","Tāpat Kuks vērš uzmanību uz rakstniekiem , ir samaitājušas kurus Apgaismības idejas , kuri cionismam piešķir Apgaismības neprāta daļu , izraujot Toru no ebreju apziņas .",[0] -> [1] -> [7]
"Tās ir vienīgās lamatas , kuras lietot atļauj medību noteikumi .","Tās ir vienīgās lamatas , lietot kuras atļauj medību noteikumi .",[0] -> [1] -> [7]
"Preambulas uzdevums ir skaidri formulēt , ko mēs saprotam ar tiem diviem svētajiem vārdiem , kas ir iekalti Brīvības piemineklī : „ Tēvzemei un Brīvībai ” , lai neviens ārējs vai iekšējs ienaidnieks turpmāk nevarētu sagrozīt šo jēdzienu patieso nozīmi , tādējādi sagraujot Latvijas valsts pastāvēšanas pamatus .","Preambulas uzdevums ir skaidri formulēt , mēs saprotam ko ar tiem diviem svētajiem vārdiem , kas ir iekalti Brīvības piemineklī : „ Tēvzemei un Brīvībai ” , lai neviens ārējs vai iekšējs ienaidnieks turpmāk nevarētu sagrozīt šo jēdzienu patieso nozīmi , tādējādi sagraujot Latvijas valsts pastāvēšanas pamatus .",[0] -> [1] -> [7]
"„ Ahikāra mācības ” sentences , spriežot pēc tiešajiem brīdinājumiem , kuri ir adresēti „ dēliem ” , visdrīzāk varētu nākt no ģimenes vides , jo šie brīdinājumi runā par negatīvajām sekām , ko dēlu uzvedība varētu atstāt uz ģimenes reputāciju un sociālo stāvokli .","„ Ahikāra mācības ” sentences , spriežot pēc tiešajiem brīdinājumiem , kuri ir adresēti „ dēliem ” , visdrīzāk varētu nākt no ģimenes vides , jo šie brīdinājumi runā par negatīvajām sekām , dēlu uzvedība varētu atstāt ko uz ģimenes reputāciju un sociālo stāvokli .",[0] -> [1] -> [7]
"Bez tam visas izvēlētās valstis ir ES sastāvā , līdz ar to ievērojot tos pašus nosacījumus , ko nepieciešams garantēt Latvijā .","Bez tam visas izvēlētās valstis ir ES sastāvā , līdz ar to ievērojot tos pašus nosacījumus , nepieciešams garantēt ko Latvijā .",[0] -> [1] -> [7]
"Šādi staigājot , ir ļoti liela slodze pēdas priekšējai daļai , tāpēc arī sāpes , ko arī rada greizais īkšķis , pastiprinās .","Šādi staigājot , ir ļoti liela slodze pēdas priekšējai daļai , tāpēc arī sāpes , arī rada ko greizais īkšķis , pastiprinās .",[0] -> [1] -> [7]
"Pēc tam līdzīgas darbības ar pēršanu vīrietis izdarīja 2003. gadā , un tiesa 2004. gadā viņam piesprieda piecu gadu un četru mēnešu cietumsodu , ko viņš visu arī izcieta .","Pēc tam līdzīgas darbības ar pēršanu vīrietis izdarīja 2003. gadā , un tiesa 2004. gadā viņam piesprieda piecu gadu un četru mēnešu cietumsodu , viņš visu arī izcieta ko .",[0] -> [1] -> [7]
"Tad nu viņš iedevis Rudolfsonam Jāzepu un viņa brāļus , teikdams , ka tā ir laba luga , kuru vajadzētu uzvest Zviedrijā .","Tad nu viņš iedevis Rudolfsonam Jāzepu un viņa brāļus , teikdams , ka tā ir laba luga , vajadzētu uzvest kuru Zviedrijā .",[0] -> [1] -> [7]
"Kā uzskata "" TeliaSonera "" pārstāvis , bažas , ka apvienošanās varētu izveidot nelīdzsvarotu situāciju telekomunikāciju tirgū , nav pamatotas , ko pierādot citu valstu piemēri , kur dažādu telekomunikācijas uzņēmumu apvienošana pierādījusi , ka tas kopumā pazemina cenas .","Kā uzskata "" TeliaSonera "" pārstāvis , bažas , ka apvienošanās varētu izveidot nelīdzsvarotu situāciju telekomunikāciju tirgū , nav pamatotas , pierādot ko citu valstu piemēri , kur dažādu telekomunikācijas uzņēmumu apvienošana pierādījusi , ka tas kopumā pazemina cenas .",[0] -> [1] -> [7]
"Pēc privatizācijas procesa pabeigšanas ieviest zemes maiņu kā vienu no kompensācijas veidiem ir problemātiski , jo valsts rīcībā nav pietiekamu zemes platību , kuras varētu piedāvāt apmaiņai pret zemi īpaši aizsargājamās dabas teritorijās .","Pēc privatizācijas procesa pabeigšanas ieviest zemes maiņu kā vienu no kompensācijas veidiem ir problemātiski , jo valsts rīcībā nav pietiekamu zemes platību , varētu piedāvāt kuras apmaiņai pret zemi īpaši aizsargājamās dabas teritorijās .",[0] -> [1] -> [7]
