sen_str,swapped_sen_str,leaf_rule
गौरतलब है कि वित्त मंत्रालय ने २००० - ०१ के दौरान कारों पर १६ फीसदी उत्पाद शुल्क घटाया था ।,कि वित्त मंत्रालय ने २००० - ०१ के दौरान कारों पर १६ फीसदी उत्पाद शुल्क घटाया था गौरतलब है ।,[0] -> [1]
लेकिन देर शाम मंत्रालय को पता चला कि ब्रिटिश सरकार ने सिर्फ हादसा प्रभावित राज्यों में न जाने की ही सलाह दी है .,लेकिन देर शाम मंत्रालय को पता कि ब्रिटिश सरकार ने सिर्फ हादसा प्रभावित राज्यों में न जाने की ही सलाह दी है चला .,[0] -> [1]
गौरतलब है कि वामदलों ने भेल में सरकार की १० फीसदी हिस्सेदारी की विनिवेश योजना के प्रति जबरदस्त विरोध दर्ज कराया है ।,कि वामदलों ने भेल में सरकार की १० फीसदी हिस्सेदारी की विनिवेश योजना के प्रति जबरदस्त विरोध दर्ज कराया है गौरतलब है ।,[0] -> [1]
गौरतलब है कि अंबानी परिवार के शुभचिंतक व आईसीआईसीआई बैंक के अध्यक्ष के. वी. कामथ ने रिलायंस समूह का मूल्यांकन कर विवाद सुलझाने के कुछ फार्मूले सुझाए हैं ।,कि अंबानी परिवार के शुभचिंतक व आईसीआईसीआई बैंक के अध्यक्ष के. वी. कामथ ने रिलायंस समूह का मूल्यांकन कर विवाद सुलझाने के कुछ फार्मूले सुझाए हैं गौरतलब है ।,[0] -> [1]
मालूम हो कि करिश्मा ने २००३ में दिल्ली के उद्योगपति संजय कपूर से शादी की थी लेकिन इसके डेढ़ साल बाद ही दोनों के रिश्ते बिगड़ गए और मामला तलाक तक जा पहुंचा ।,मालूम कि करिश्मा ने २००३ में दिल्ली के उद्योगपति संजय कपूर से शादी की थी लेकिन इसके डेढ़ साल बाद ही दोनों के रिश्ते बिगड़ गए और मामला तलाक तक जा पहुंचा हो ।,[0] -> [1]
मालूम हो कि प्रवीण ने पिछले साल २२ अप्रैल को प्रमोद महाजन को गोली मार दी थी और बारह दिन बाद अस्पताल में उनकी मौत हो गई ।,मालूम कि प्रवीण ने पिछले साल २२ अप्रैल को प्रमोद महाजन को गोली मार दी थी और बारह दिन बाद अस्पताल में उनकी मौत हो गई हो ।,[0] -> [1]
गौरतलब है कि वर्ष २००२ - ०३ के दौरान शिक्षा पर केंद्र और राज्य सरकार द्वारा कुल मिलाकर जीडीपी का मात्र ३ फीसदी ही व्यय किया गया ।,कि वर्ष २००२ - ०३ के दौरान शिक्षा पर केंद्र और राज्य सरकार द्वारा कुल मिलाकर जीडीपी का मात्र ३ फीसदी ही व्यय किया गया गौरतलब है ।,[0] -> [1]
मालूम हो कि यह ट्रेन पलवल से चलने के बाद कोसी में ही रुकती है .,मालूम कि यह ट्रेन पलवल से चलने के बाद कोसी में ही रुकती है हो .,[0] -> [1]
रिपोर्ट में कहा गया है कि '1 २६ जनवरी को सुबह ७ से ८ बजे के बीच दक्षिणी राज्यों के कई हिस्सों से फ़ोन से सूचना मिली कि उनके क्षेत्र में भूकंप के झटके महसूस किए गए हैं .,रिपोर्ट में कहा गया है कि '1 २६ जनवरी को सुबह ७ से ८ बजे के बीच दक्षिणी राज्यों के कई हिस्सों से फ़ोन से सूचना कि उनके क्षेत्र में भूकंप के झटके महसूस किए गए हैं मिली .,[0] -> [1]
मुझे उम्मीद है कि एक दिन इन दोनों की जिंदगी में चमत्कार होगा और दोनों शारीरिक रूप से एक - दूसरे से जुदा हो जाएंगी ।,मुझे उम्मीद कि एक दिन इन दोनों की जिंदगी में चमत्कार होगा और दोनों शारीरिक रूप से एक - दूसरे से जुदा हो जाएंगी है ।,[0] -> [1]
मालूम हो कि कश्मीर के सभी प्रतिनिधियों ने कश्मीर बस सेवा की शुरुआत का स्वागत किया है ।,मालूम कि कश्मीर के सभी प्रतिनिधियों ने कश्मीर बस सेवा की शुरुआत का स्वागत किया है हो ।,[0] -> [1]
"गौरतलब है कि पिछले साल सरकार ने पेट्रोल व डीजल के दामों में बढ़ोतरी के साथ ही ऑयल कंपनियों के लिए 11,500 करोड़ रुपये के बौंड भी जारी किए थे ।","कि पिछले साल सरकार ने पेट्रोल व डीजल के दामों में बढ़ोतरी के साथ ही ऑयल कंपनियों के लिए 11,500 करोड़ रुपये के बौंड भी जारी किए थे गौरतलब है ।",[0] -> [1]
उल्लेखनीय है कि पिछले साल एक फ़र्जी भारतीय नागरिक द्वारा संसदीय चुनाव लड़ने का मामला प्रकाश में आया था .,कि पिछले साल एक फ़र्जी भारतीय नागरिक द्वारा संसदीय चुनाव लड़ने का मामला प्रकाश में आया था उल्लेखनीय है .,[0] -> [1]
गौरतलब है कि बृहस्पतिवार को लंदन में आतंकी हमला हुआ था ।,कि बृहस्पतिवार को लंदन में आतंकी हमला हुआ था गौरतलब है ।,[0] -> [1]
गौरतलब है कि वर्ष १९९० में सिडनी में पोलो खेलने के दौरान पैकर को दिल का दौरा पड़ा था ।,कि वर्ष १९९० में सिडनी में पोलो खेलने के दौरान पैकर को दिल का दौरा पड़ा था गौरतलब है ।,[0] -> [1]
उल्लेखनीय है कि भारत सरकार के आग्रह पर म्यांमारी सैनिकों ने पिछले वर्ष दिसंबर में भारत - विरोधी तत्वों के खिलाफ सैन्य कार्रवाई प्रारंभ की थी ।,कि भारत सरकार के आग्रह पर म्यांमारी सैनिकों ने पिछले वर्ष दिसंबर में भारत - विरोधी तत्वों के खिलाफ सैन्य कार्रवाई प्रारंभ की थी उल्लेखनीय है ।,[0] -> [1]
गौरतलब है कि वर्ष १९९८ में तत्कालीन राष्ट्रपति के आर नारायणन ने सरकार गठन पर परामर्श के लिए सोनिया गांधी को बुलाया था और राष्ट्रपति द्वारा दिए गए उस आमंत्रण के खिलाफ राष्ट्रीय मुक्ति मोरचा ने वर्ष १९९९ में एक जनहित याचिका दायर की थी ।,कि वर्ष १९९८ में तत्कालीन राष्ट्रपति के आर नारायणन ने सरकार गठन पर परामर्श के लिए सोनिया गांधी को बुलाया था और राष्ट्रपति द्वारा दिए गए उस आमंत्रण के खिलाफ राष्ट्रीय मुक्ति मोरचा ने वर्ष १९९९ में एक जनहित याचिका दायर की थी गौरतलब है ।,[0] -> [1]
बृहस्पतिवार को शाम पार्टी नेता मुरली मनोहर जोशी के जिन्ना मुद्दे पर आडवाणी के खिलाफ खुलकर सामने आने से विहिप नेताओं को आशा हुई थी कि शायद संघ के दबाव के चलते किसी नए चेहरे को भाजपा अध्यक्ष का पद सौंप दिया जाये ।,बृहस्पतिवार को शाम पार्टी नेता मुरली मनोहर जोशी के जिन्ना मुद्दे पर आडवाणी के खिलाफ खुलकर सामने आने से विहिप नेताओं को आशा कि शायद संघ के दबाव के चलते किसी नए चेहरे को भाजपा अध्यक्ष का पद सौंप दिया जाये हुई थी ।,[0] -> [1]
गौरतलब है कि इब्राहिम ने पार्टी से निलंबित होने के बाद अखिल भारतीय जनता दल का गठन कर लिया था और उसी के बैनर तले कर्नाटक में ग्राम पंचायत चुनाव भी लड़ा ।,कि इब्राहिम ने पार्टी से निलंबित होने के बाद अखिल भारतीय जनता दल का गठन कर लिया था और उसी के बैनर तले कर्नाटक में ग्राम पंचायत चुनाव भी लड़ा गौरतलब है ।,[0] -> [1]
लेकिन जब एमडीएमए सभी अभियुक्तों की भूमिका की जांच कर रहा था तो पता चला कि दोनों की राजीव गांधी हत्याकांड में खास भूमिका रही है ।,लेकिन जब एमडीएमए सभी अभियुक्तों की भूमिका की जांच कर रहा था तो पता कि दोनों की राजीव गांधी हत्याकांड में खास भूमिका रही है चला ।,[0] -> [1]
"गौरतलब है कि मुंशी ने दिल्ली पुलिस के लुक आउट नोटिस को दिल्ली हाईकोर्ट में चुनौती दी थी , जिसे कोर्ट ने खारिज कर दिया ।","कि मुंशी ने दिल्ली पुलिस के लुक आउट नोटिस को दिल्ली हाईकोर्ट में चुनौती दी थी , जिसे कोर्ट ने खारिज कर दिया गौरतलब है ।",[0] -> [1]
"गौरतलब है कि मनमोहन सिंह ने इस आपदा को राष्ट्रीय आपदा बताया है , लेकिन उन्होंने इसकी औपचारिक घोषणा नहीं की है ।","कि मनमोहन सिंह ने इस आपदा को राष्ट्रीय आपदा बताया है , लेकिन उन्होंने इसकी औपचारिक घोषणा नहीं की है गौरतलब है ।",[0] -> [1]
उल्लेखनीय है कि वित्तीय प्रबंधन नियंत्रण अधिनियम के तहत वर्ष २००८ तक सरकार को वित्तीय घाटा कम करके शून्य के स्तर पर ले जाना है ।,कि वित्तीय प्रबंधन नियंत्रण अधिनियम के तहत वर्ष २००८ तक सरकार को वित्तीय घाटा कम करके शून्य के स्तर पर ले जाना है उल्लेखनीय है ।,[0] -> [1]
"गौरतलब है कि पहले एआईसीसी का दो दिनों का सत्र तिरुपति में आयोजित करने का फैसला किया गया था , पर अब इसे दिल्ली में ही आयोजित किया जाएगा ।","कि पहले एआईसीसी का दो दिनों का सत्र तिरुपति में आयोजित करने का फैसला किया गया था , पर अब इसे दिल्ली में ही आयोजित किया जाएगा गौरतलब है ।",[0] -> [1]
गौरतलब है कि संयुक्त राष्ट्र महासभा में जी - ४ के प्रस्ताव को दो - तिहाई बहुमत हासिल करने के लिए १२८ देशों के समर्थन की जरूरत पड़ेगी ।,कि संयुक्त राष्ट्र महासभा में जी - ४ के प्रस्ताव को दो - तिहाई बहुमत हासिल करने के लिए १२८ देशों के समर्थन की जरूरत पड़ेगी गौरतलब है ।,[0] -> [1]
