sen_str,swapped_sen_str,leaf_rule
"Um das zu beziffern , benötigt jedoch niemand Umschreibungen mit mißverständlichem Tremolo .","Um das zu beziffern , Umschreibungen benötigt jedoch niemand mit mißverständlichem Tremolo .",[0] -> [1] -> [2] -> [3] -> [4] -> [10] -> [11] -> [12] -> [16]
"Als nach nur zwei Jahren mit ihrer Ausweisung gedroht wurde , fasste er den Entschluss , eine neue Schwesterngemeinschaft zu gründen .","Als nach nur zwei Jahren mit ihrer Ausweisung gedroht wurde , den Entschluss , eine neue Schwesterngemeinschaft zu gründen fasste er .",[0] -> [1] -> [2] -> [3] -> [4] -> [10] -> [11] -> [12] -> [16]
"Als der König von 1270 bis 1271 den siebten Kreuzzug nach Tunis führte , übte Simon zusammen mit Matthäus von Vendôme mit dem Titel "" Lieutenant "" ( Stellvertreter ) die Regentschaft in Frankreich aus .","Als der König von 1270 bis 1271 den siebten Kreuzzug nach Tunis führte , die Regentschaft in Frankreich übte Simon zusammen mit Matthäus von Vendôme mit dem Titel "" Lieutenant "" ( Stellvertreter ) aus .",[0] -> [1] -> [2] -> [3] -> [4] -> [10] -> [11] -> [12] -> [16]
"Erst als er sich ihr offenbart und seine Künstlichkeit zutage tritt , verlässt sie ihn .","Erst als er sich ihr offenbart und seine Künstlichkeit zutage tritt , ihn verlässt sie .",[0] -> [1] -> [2] -> [3] -> [4] -> [10] -> [11] -> [12] -> [16]
"Wenn meine Frau mal nicht zu Hause ist , hole ich mir immer Abends einen der lecker gefüllten Pfannenkuchen .","Wenn meine Frau mal nicht zu Hause ist , einen der lecker gefüllten Pfannenkuchen hole ich mir immer Abends .",[0] -> [1] -> [2] -> [3] -> [4] -> [10] -> [11] -> [12] -> [16]
"Ebenso wie er in seinem persönlichen Karrieredrang Rücksichten auf andere nicht kannte , setzte er auch die ideologisch begründeten Rassehygienemaßnahmen des NS - Staates mit einer beispiellosen Radikalität in seinem Wirkungsbereich durch .","Ebenso wie er in seinem persönlichen Karrieredrang Rücksichten auf andere nicht kannte , auch die ideologisch begründeten Rassehygienemaßnahmen des NS - Staates setzte er mit einer beispiellosen Radikalität in seinem Wirkungsbereich durch .",[0] -> [1] -> [2] -> [3] -> [4] -> [10] -> [11] -> [12] -> [16]
"Obwohl Car eine austroasiatische Sprache ist , hat es typologische Gemeinsamkeiten mit den geographisch nahe gelegenen austronesischen Sprachen Nias und Achinesisch , mit denen es ein kleines linguistisches Areal bildet ( Braine 1970 ) .","Obwohl Car eine austroasiatische Sprache ist , typologische Gemeinsamkeiten mit den geographisch nahe gelegenen austronesischen Sprachen Nias und Achinesisch , mit denen es ein kleines linguistisches Areal bildet ( Braine 1970 ) hat es .",[0] -> [1] -> [2] -> [3] -> [4] -> [10] -> [11] -> [12] -> [16]
"Um den digitalen Standard für hochqualitatives Digitalfernsehen gerecht zu werden , unterstützt OpenTV mit seinem Core 2.0 auch die neuesten Standards .","Um den digitalen Standard für hochqualitatives Digitalfernsehen gerecht zu werden , auch die neuesten Standards unterstützt OpenTV mit seinem Core 2.0 .",[0] -> [1] -> [2] -> [3] -> [4] -> [10] -> [11] -> [12] -> [16]
"Wie bekanntgegeben wurde , hat die ECB die Entscheidungshoheit , und es wäre unangemessen , wenn die Bank für sich selbst sprechen würde , indem sie die Berücksichtigung anderer Alternativen ausschlösse .","Wie bekanntgegeben wurde , die Entscheidungshoheit hat die ECB , und es wäre unangemessen , wenn die Bank für sich selbst sprechen würde , indem sie die Berücksichtigung anderer Alternativen ausschlösse .",[0] -> [1] -> [2] -> [3] -> [4] -> [10] -> [11] -> [12] -> [16]
"Um die Hauptabnehmer , die Bergwerke des Ruhrgebiets , besser beliefern zu können , übernahm das Unternehmen 1874 die Fabrik Schlebusch in Manfort ( seit 1930 ein Stadtteil von Leverkusen ) , an deren Bau sich Nobel bereits 1872 beteiligt und dort auch zeitweilig die Produktion geleitet hatte .","Um die Hauptabnehmer , die Bergwerke des Ruhrgebiets , besser beliefern zu können , die Fabrik Schlebusch in Manfort ( seit 1930 ein Stadtteil von Leverkusen ) , an deren Bau sich Nobel bereits 1872 beteiligt und dort auch zeitweilig die Produktion geleitet hatte übernahm das Unternehmen 1874 .",[0] -> [1] -> [2] -> [3] -> [4] -> [10] -> [11] -> [12] -> [16]
