sen_str,swapped_sen_str,leaf_rule
"Entretanto , Freitas de_ o Amaral agrava os ataques a_ o PSD","Entretanto , Freitas de_ o Amaral os ataques a_ o PSD agrava",[0] -> [1] -> [2] -> [3]
"Fidel Castro encantou muitos , mas cansou todos .","Fidel Castro muitos encantou , mas cansou todos .",[0] -> [1] -> [2] -> [3]
O Pedro copiou o teste por_ o Manuel .,O Pedro o teste copiou por_ o Manuel .,[0] -> [1] -> [2] -> [3]
O seu comportamento é similar a a curva B e τ L é representado graficamente por o ponto que intercepta a coordenada y .,O seu comportamento é similar a a curva B e τ L é representado graficamente por o ponto que a coordenada y intercepta .,[0] -> [1] -> [2] -> [3]
"Manuel Barota , esse , já fez 17 .","Manuel Barota , esse , já 17 fez .",[0] -> [1] -> [2] -> [3]
Previsível . VALE5 sendo penalizada por dados de a China . BOVESPA acelerando queda .,Previsível . VALE5 sendo penalizada por dados de a China . BOVESPA queda acelerando .,[0] -> [1] -> [2] -> [3]
"A oposição venezuelana , que vem criticando a maneira como o governo trata a questão de saúde de Chávez , pediu a os presidentes de a América Latina que não aceitem a intenção de o governo de adiar a posse de o presidente .","A oposição venezuelana , que vem criticando a maneira como o governo a questão de saúde de Chávez trata , pediu a os presidentes de a América Latina que não aceitem a intenção de o governo de adiar a posse de o presidente .",[0] -> [1] -> [2] -> [3]
"Em resposta , varejistas e a própria fabricante passaram a tratar com discrição o nome Friboi , que a JBS até então exibia ostensivamente em as propagandas de TV com celebridades de cachês milionários como Tony Ramos .","Em resposta , varejistas e a própria fabricante passaram a o nome Friboi , que a JBS até então exibia ostensivamente em as propagandas de TV com celebridades de cachês milionários como Tony Ramos tratar com discrição .",[0] -> [1] -> [2] -> [3]
"Se Lula Pereira está em o páreo para ser o substituto , o América já descartou alguns nomes , como o de Mazola Júnior , que conquistou o acesso em a Série B de o ano passado por o Sport .","Se Lula Pereira está em o páreo para ser o substituto , o América já alguns nomes , como o de Mazola Júnior , que conquistou o acesso em a Série B de o ano passado por o Sport descartou .",[0] -> [1] -> [2] -> [3]
"Enquanto a América Latina recorda a morte de Guevara , a região passa por um processo maior de cobrança de o que foi feito por os mesmos movimentos de esquerda que buscaram inspiração em sua figura .","Enquanto a América Latina recorda a morte de Guevara , a região passa por um processo maior de cobrança de o que foi feito por os mesmos movimentos de esquerda que inspiração buscaram em sua figura .",[0] -> [1] -> [2] -> [3]
"A indústria de Previdência teve um começo de ano mais difícil de o que anos anteriores , mas vem se recuperando em o último trimestre .","A indústria de Previdência um começo de ano mais difícil de o que anos anteriores teve , mas vem se recuperando em o último trimestre .",[0] -> [1] -> [2] -> [3]
"O êxito comercial de o álbum liquidou a crise de Thaíde , realimentando sua fé artística , e garantiu em os anos 1997 e 98 um grande circuito de shows por o país .","O êxito comercial de o álbum liquidou a crise de Thaíde , sua fé artística realimentando , e garantiu em os anos 1997 e 98 um grande circuito de shows por o país .",[0] -> [1] -> [2] -> [3]
"Muitos de os cassinos têm grandes grupos por trás , que usam incentivos a os índios como fachada .","Muitos de os cassinos grandes grupos por trás , que usam incentivos a os índios como fachada têm .",[0] -> [1] -> [2] -> [3]
O PS apresentou ontem as linhas programáticas de governo em_ a Madeira .,O PS as linhas programáticas de governo em_ a Madeira apresentou ontem .,[0] -> [1] -> [2] -> [3]
"Ou seja , ' em_ este período ' em que o Presidente Bill Clinton tem uma reduzida margem de manobra , porque precisa de_ os votos de_ os judeus americanos em_ as eleições de Novembro , a França vai tentar reconquistar a influência perdida em_ uma zona de_ o mundo onde , juntamente com a Inglaterra , foi durante anos potência mandatária .","Ou seja , ' em_ este período ' em que o Presidente Bill Clinton uma reduzida margem de manobra tem , porque precisa de_ os votos de_ os judeus americanos em_ as eleições de Novembro , a França vai tentar reconquistar a influência perdida em_ uma zona de_ o mundo onde , juntamente com a Inglaterra , foi durante anos potência mandatária .",[0] -> [1] -> [2] -> [3]
"Procurada , a JBS diz que "" o marketing de ponto de venda é utilizado por a Friboi de modo recorrente há anos , não havendo nenhuma iniciativa extraordinária ou inédita em andamento "" .","Procurada , a JBS diz que "" o marketing de ponto de venda é utilizado por a Friboi de modo recorrente há anos , não nenhuma iniciativa extraordinária ou inédita em andamento havendo "" .",[0] -> [1] -> [2] -> [3]
"Segundo o analista britânico , a praça londrina desempenha actualmente o papel de bolsa europeia .","Segundo o analista britânico , a praça londrina o papel de bolsa europeia desempenha actualmente .",[0] -> [1] -> [2] -> [3]
Havia uma máquina que ' dançava ' a_ o som de uma instalação sonora .,uma máquina que ' dançava ' a_ o som de uma instalação sonora Havia .,[0] -> [1] -> [2] -> [3]
"E a possibilidade de as ruas de Aveiro se transformarem em um estaleiro permanente , com um operador a abrir valas onde o seu concorrente as tinha fechado uns dias antes , não seria de todo inadmissível , até porque a legislação permite a livre concorrência entre os concessionários de a TV por cabo .","E a possibilidade de as ruas de Aveiro se transformarem em um estaleiro permanente , com um operador a abrir valas onde o seu concorrente as tinha fechado uns dias antes , não seria de todo inadmissível , até porque a legislação a livre concorrência entre os concessionários de a TV por cabo permite .",[0] -> [1] -> [2] -> [3]
"Em o rota de colisão , postulantes têm aproveitado as inserções durante a programação em as emissoras de televisão para cutucar adversários .","Em o rota de colisão , postulantes têm as inserções durante a programação em as emissoras de televisão aproveitado para cutucar adversários .",[0] -> [1] -> [2] -> [3]
"Se fossem publicados podiam , por um lado , prejudicar o seu país mas , por outro lado , derrubar o Governo , que é impopular .","Se fossem publicados podiam , por um lado , o seu país prejudicar mas , por outro lado , derrubar o Governo , que é impopular .",[0] -> [1] -> [2] -> [3]
"Em razão de isso , as chances de que ele assuma o negócio são menores .","Em razão de isso , as chances de que ele o negócio assuma são menores .",[0] -> [1] -> [2] -> [3]
"Há mais diferenças entre Sulla e Trump , Roma e U.S , de o que há similaridades , mas isso não descredita as semelhanças .","mais diferenças entre Sulla e Trump , Roma e U.S , de o que há similaridades Há , mas isso não descredita as semelhanças .",[0] -> [1] -> [2] -> [3]
"Enquanto as colombianas se apoiam em um grupo de taxistas que garante clientela em troca de uma parte de o que ganham , as venezuelanas criaram suas próprias redes .","Enquanto as colombianas se apoiam em um grupo de taxistas que clientela garante em troca de uma parte de o que ganham , as venezuelanas criaram suas próprias redes .",[0] -> [1] -> [2] -> [3]
"Além de_ as facções armadas , há o Conselho Supremo de Coordenação , de cujo colégio presidencial , aliás , o senhor faz parte .","Além de_ as facções armadas , há o Conselho Supremo de Coordenação , de cujo colégio presidencial , aliás , o senhor parte faz .",[0] -> [1] -> [2] -> [3]
"Ela abrange um complexo cinturão de dobramentos e empurrões gerado entre 450 e 700 Ma ( Machado et al. 1996 ) , em a borda sul/sudeste de o Cráton de o São Francisco ( Barbosa 1966 , Almeida 1969 , 1977 ) , representando a raiz de o orógeno colisional neoproterozóico bastamente erodido .","Ela um complexo cinturão de dobramentos e empurrões gerado entre 450 e 700 Ma abrange ( Machado et al. 1996 ) , em a borda sul/sudeste de o Cráton de o São Francisco ( Barbosa 1966 , Almeida 1969 , 1977 ) , representando a raiz de o orógeno colisional neoproterozóico bastamente erodido .",[0] -> [1] -> [2] -> [3]
Até agora não vimos um depósito que estivesse cheio de_ elas ' .,Até agora não um depósito que estivesse cheio de_ elas vimos ' .,[0] -> [1] -> [2] -> [3]
Um porta-voz de o ministério francês precisou ainda que o Governo está em vias de congelar todos os bens públicos haitianos .,Um porta-voz de o ministério francês precisou ainda que o Governo está em vias de todos os bens públicos haitianos congelar .,[0] -> [1] -> [2] -> [3]
Victor e Gabriel formam uma dupla praticamente perfeita .,Victor e Gabriel uma dupla praticamente perfeita formam .,[0] -> [1] -> [2] -> [3]
"Não pegou em_ o papel , mas ficou a conhecer o estado lamentável de_ o planeta .","Não pegou em_ o papel , mas ficou a o estado lamentável de_ o planeta conhecer .",[0] -> [1] -> [2] -> [3]
"Fumando um charuto em o bar de um hotel de luxo em a capital paulista , o ex - deputado disse estar sereno com o processo e pediu que os ministros de o STF "" não se contaminem por o sentimento político "" criado por a aproximação de o término de o processo em a justiça .","um charuto Fumando em o bar de um hotel de luxo em a capital paulista , o ex - deputado disse estar sereno com o processo e pediu que os ministros de o STF "" não se contaminem por o sentimento político "" criado por a aproximação de o término de o processo em a justiça .",[0] -> [1] -> [2] -> [3]
@andremassaro vc acha que comprar petr4 pra LP ( 20-30 anos ) é bater palma pra louco dançar ou dá pra ter esperança em a nossa PDVESA ...,@andremassaro vc acha que comprar petr4 pra LP ( 20-30 anos ) é bater palma pra louco dançar ou dá pra esperança ter em a nossa PDVESA ...,[0] -> [1] -> [2] -> [3]
"Reconhecendo que « ninguém melhor que os próprios sabem o que deve ser feito » , Nery pensa que deve haver uma separação clara entre subsídios a equipamentos , subsídios a a produção e a os custos permanentes de manutenção de uma companhia .","Reconhecendo que « ninguém melhor que os próprios sabem o que deve ser feito » , Nery pensa que deve uma separação clara entre subsídios a equipamentos , subsídios a a produção e a os custos permanentes de manutenção de uma companhia haver .",[0] -> [1] -> [2] -> [3]
"Em resposta , Rui Adriano afirma que ' a organização , o rigor e a competência pareciam incomodar muita gente ' .","Em resposta , Rui Adriano afirma que ' a organização , o rigor e a competência pareciam muita gente incomodar ' .",[0] -> [1] -> [2] -> [3]
"As mudanças passariam também por a conscientização de os usuários , e principalmente de as empresas , que têm , muitas vezes , sistemas que funcionam ininterruptamente , mas não têm a proteção necessária para perceber atividades estranhas em os sistemas .","As mudanças passariam também por a conscientização de os usuários , e principalmente de as empresas , que sistemas que funcionam ininterruptamente têm , muitas vezes , , mas não têm a proteção necessária para perceber atividades estranhas em os sistemas .",[0] -> [1] -> [2] -> [3]
"A aqueles que criticam sua doutrinação , partem para o xingamento rasteiro de pedófilos e degenerados - adjetivo usado por os censores nazistas .","A aqueles que sua doutrinação criticam , partem para o xingamento rasteiro de pedófilos e degenerados - adjetivo usado por os censores nazistas .",[0] -> [1] -> [2] -> [3]
Nada de_ isto faz sentido se pensarmos que Ferreira já tinha escrito a Monteiro dizendo que não se ia recandidatar ?,Nada de_ isto sentido faz se pensarmos que Ferreira já tinha escrito a Monteiro dizendo que não se ia recandidatar ?,[0] -> [1] -> [2] -> [3]
Oferecer pacotes de diferentes tamanhos - e preços - também é uma tática para expandir a base de clientes e manter os antigos mesmo durante a crise econômica .,pacotes de diferentes tamanhos - e preços - Oferecer também é uma tática para expandir a base de clientes e manter os antigos mesmo durante a crise econômica .,[0] -> [1] -> [2] -> [3]
"' Há sempre peças que não resultam e outras que entram imediatamente em_ o nosso reportório ' , diz Anders Holdar .","' e outras que entram imediatamente em_ o nosso reportório Há sempre peças que não resultam ' , diz Anders Holdar .",[0] -> [1] -> [2] -> [3]
"Após o surgimento de a Internet e de novidades tecnológicas em crescente expansão em o mercado , ter inteligência em a identificação de ameaças virtuais se torna uma de as necessidades básicas de empresas que atuam em diferentes segmentos .","Após o surgimento de a Internet e de novidades tecnológicas em crescente expansão em o mercado , inteligência em a identificação de ameaças virtuais ter se torna uma de as necessidades básicas de empresas que atuam em diferentes segmentos .",[0] -> [1] -> [2] -> [3]
"Em razão dessa diretriz de gestão , o nosso propósito é trazer também a coordenação de o Programa Pro Paz em a próxima reunião , aqui em Jacareacanga , para discutir políticas públicas e a inclusão de jovens e crianças em os programas sociais de o governo "" , destacou o titular de a Segup .","Em razão dessa diretriz de gestão , o nosso propósito é a coordenação de o Programa Pro Paz trazer também em a próxima reunião , aqui em Jacareacanga , para discutir políticas públicas e a inclusão de jovens e crianças em os programas sociais de o governo "" , destacou o titular de a Segup .",[0] -> [1] -> [2] -> [3]
"Há , porém , um aspecto que não foi abordado em a sua extensão :","um aspecto que não foi abordado em a sua extensão Há , porém , :",[0] -> [1] -> [2] -> [3]
"O acidente aconteceu quando o garagista Marcelo Rodrigues , 32 anos , conduzia seu veículo Peugeot modelo 306 , de cor preta , com placas EGO - 0206 , de Uberaba .","O acidente aconteceu quando o garagista Marcelo Rodrigues , 32 anos , seu veículo Peugeot modelo 306 , de cor preta , com placas EGO - 0206 , de Uberaba conduzia .",[0] -> [1] -> [2] -> [3]
Os estrategas deviam considerar o impacto de_ as incertezas orçamentais em_ o início de_ o processo de planeamento .,Os estrategas deviam o impacto de_ as incertezas orçamentais em_ o início de_ o processo de planeamento considerar .,[0] -> [1] -> [2] -> [3]
"Formada por técnicos de a Fazenda e de as Minas e Energia , a comissão tem prazo de 60 dias para conluir o trabalho .","Formada por técnicos de a Fazenda e de as Minas e Energia , a comissão tem prazo de 60 dias para o trabalho conluir .",[0] -> [1] -> [2] -> [3]
"Em o duelo envolvendo esses dois clubes em o primeiro turno , o resultado foi de 1 a 1 , com Junai marcando o gol de a agremiação de o Grande ABC , enquanto Serginho anotou o tento de a equipe de o interior .","Em o duelo envolvendo esses dois clubes em o primeiro turno , o resultado foi de 1 a 1 , com Junai marcando o gol de a agremiação de o Grande ABC , enquanto Serginho o tento de a equipe de o interior anotou .",[0] -> [1] -> [2] -> [3]
