sen_str,swapped_sen_str,leaf_rule
"Зандин тоонтоёо ошоходоо , Түгнынгөө талаһаа хүсэ абадагби .","Зандин тоонтоёо ошоходоо , Түгнынгөө талаһаа абадагби хүсэ .",[0] -> [1] -> [2]
- 31 жэлэй туршада һургуулида буряад хэлэ заанаб .,- 31 жэлэй туршада һургуулида заанаб буряад хэлэ .,[0] -> [1] -> [2]
- Манай нютагта ажаһуугшад буряад хэлээр дуугардаг .,- Манай нютагта ажаһуугшад дуугардаг буряад хэлээр .,[0] -> [1] -> [2]
Ямар аргаар байдалыень һайжаруулхаар гээшэб ?,Ямар аргаар һайжаруулхаар байдалыень гээшэб ?,[0] -> [1] -> [2]
Урдын урда сагта Хоридой гэжэ нэрэтэй мэргэн 11 хүбүүдтэй байһан байгаа юм .,Урдын урда сагта Хоридой гэжэ нэрэтэй мэргэн байһан 11 хүбүүдтэй байгаа юм .,[0] -> [1] -> [2]
"Жэшээнь , аалиншье һаам , намайе 9-дэхи класста комсоргоор һунгаа .","Жэшээнь , 9-дэхи класста комсоргоор һунгаа аалиншье һаам , намайе .",[0] -> [1] -> [2]
Тиихэдэнь тэрэниие Суулгада дахин бодхоогоо .,Тиихэдэнь Суулгада дахин бодхоогоо тэрэниие .,[0] -> [1] -> [2]
Нажарынь тайлга хэнэбди .,Нажарынь хэнэбди тайлга .,[0] -> [1] -> [2]
"Жаргалтай басаган олон зоной хорхой хүдэлгэн , гоё һайхан концерт наада хаража , зүрхэ сэдьхэлээ хүдэлгэһэнөө мүнөөшье хүрэтэр мартадаггүй .","Жаргалтай басаган олон зоной хүдэлгэн хорхой , гоё һайхан концерт наада хаража , зүрхэ сэдьхэлээ хүдэлгэһэнөө мүнөөшье хүрэтэр мартадаггүй .",[0] -> [1] -> [2]
"Жэшээнь , би гэртэхинэйнгээ буусада хамһабариин ажахы нээжэ , мал тэжээхэ хүсэлтэйб .","Жэшээнь , би гэртэхинэйнгээ буусада нээжэ хамһабариин ажахы , мал тэжээхэ хүсэлтэйб .",[0] -> [1] -> [2]
Бурхад һүни болотор Донна Тартай ажал найрлаа .,Бурхад һүни болотор найрлаа Донна Тартай ажал .,[0] -> [1] -> [2]
Тэрэ дүүгээ барилдаанай секцидэ асарба .,Тэрэ барилдаанай секцидэ асарба дүүгээ .,[0] -> [1] -> [2]
"Би мүн лэ тиимэ ном уншааб , Пеккин уншаһан номдо адли .","Би мүн лэ уншааб тиимэ ном , Пеккин уншаһан номдо адли .",[0] -> [1] -> [2]
"Хотын хүүгэд хайшан гээд анхан сагта арһа элдэдэг , мал харадаг , тоһо зөөхэй буйлуулдаг байгааб гэжэ ехэ һонирхохо һэн .","Хотын хүүгэд хайшан гээд анхан сагта элдэдэг арһа , мал харадаг , тоһо зөөхэй буйлуулдаг байгааб гэжэ ехэ һонирхохо һэн .",[0] -> [1] -> [2]
45 минутын туршада зааһан юумыешни долоон хоног соо хуу мартаад лэ ерэнэ ха юм .,45 минутын туршада зааһан долоон хоног соо хуу мартаад лэ ерэнэ юумыешни ха юм .,[0] -> [1] -> [2]
"Татьяна Валерьевна Бузинаевагай хүтэлбэри доро юһэн хүнүүд арадайнгаа дуунуудые дуулажа , ёохор хатарнабди .","Татьяна Валерьевна Бузинаевагай хүтэлбэри доро юһэн хүнүүд дуулажа арадайнгаа дуунуудые , ёохор хатарнабди .",[0] -> [1] -> [2]
"Эгээл энэ үедэ Иванов шиидхэхы арга хэжэ , диилээ бэлэй .","Эгээл энэ үедэ Иванов хэжэ шиидхэхы арга , диилээ бэлэй .",[0] -> [1] -> [2]
"Жэшээнь , Хүсөөтэдэ хүүгэдэй сэсэрлиг нээхэ хэрэгтэй .","Жэшээнь , Хүсөөтэдэ нээхэ хүүгэдэй сэсэрлиг хэрэгтэй .",[0] -> [1] -> [2]
"Абаахайн шүлһэ һубиһандал , аглаг дэлхэйе алтаар шэмэглэжэрхёо .","Абаахайн шүлһэ һубиһандал , алтаар шэмэглэжэрхёо аглаг дэлхэйе .",[0] -> [1] -> [2]
"Эршэмтэй һорилго , тренерэйнь үүсхэл эдэбхи хибэс дээрэ шабинартань түрүүшын амжалта түхөөбэ .","Эршэмтэй һорилго , тренерэйнь үүсхэл эдэбхи хибэс дээрэ шабинартань түхөөбэ түрүүшын амжалта .",[0] -> [1] -> [2]
"Эгээл түрүүн энэ ажалыень июниин 25-да СМИ-гэй түлөөлэгшэд , ниитын хэмжээ ябуулагшад зохёохы бүлэгынь өөһэдөө хараһан байна .","Эгээл түрүүн июниин 25-да СМИ-гэй түлөөлэгшэд , ниитын хэмжээ ябуулагшад зохёохы бүлэгынь өөһэдөө хараһан энэ ажалыень байна .",[0] -> [1] -> [2]
