sen_str,swapped_sen_str,leaf_rule
"-- Мне это Даррелл официально разрешил , -- объяснил Шеп .","-- это Даррелл официально разрешил Мне , -- объяснил Шеп .",[0] -> [1] -> [2] -> [14]
-- Мне не веришь ?,-- не веришь Мне ?,[0] -> [1] -> [2] -> [14]
"« Мне двенадцать , мне двенадцать , мне двенадцать » , -- повторял я про себя , -- когда же они это поймут ?! »","« двенадцать Мне , мне двенадцать , мне двенадцать » , -- повторял я про себя , -- когда же они это поймут ?! »",[0] -> [1] -> [2] -> [14]
"-- Мне в булочную надо , -- тихо сказал Толик .","-- в булочную надо Мне , -- тихо сказал Толик .",[0] -> [1] -> [2] -> [14]
-- Мне это хозяйство отдать надо .,-- это хозяйство отдать надо Мне .,[0] -> [1] -> [2] -> [14]
"Я не ем , не пью в домах да ведь крестьянскиих , Мне не надобно любимоей скотинушки , Мне со стойлы - то не надо коня доброго , Мне не надо златой казны бессчетноей , Не за тым я у владыки - света послана .","Я не ем , не пью в домах да ведь крестьянскиих , Мне не надобно любимоей скотинушки , со стойлы - то не надо Мне коня доброго , Мне не надо златой казны бессчетноей , Не за тым я у владыки - света послана .",[0] -> [1] -> [2] -> [14]
-- Мне что-то показалось .,-- что-то показалось Мне .,[0] -> [1] -> [2] -> [14]
"- Мне сейчас выходить , - объяснил премьер .","- сейчас выходить Мне , - объяснил премьер .",[0] -> [1] -> [2] -> [14]
"- Мне кажется , что я за то время , что возглавляю муниципалитет в Красносельском районе , достаточно убедительно доказал , что могу быть эффективным чиновником .","- кажется Мне , что я за то время , что возглавляю муниципалитет в Красносельском районе , достаточно убедительно доказал , что могу быть эффективным чиновником .",[0] -> [1] -> [2] -> [14]
-- Мне Зот обещала из дому всякой всячины привезти .,-- Зот обещала Мне из дому всякой всячины привезти .,[0] -> [1] -> [2] -> [14]
"- Мне думается , в наше время отношение к культуре других наций является одним из основных показателей нравственной зрелости общества .","- думается Мне , в наше время отношение к культуре других наций является одним из основных показателей нравственной зрелости общества .",[0] -> [1] -> [2] -> [14]
"Заведующая корректорской , низенькая , полная Розалия Яковлевна , с черными усиками и мягкими добрыми глазами , сказала : - Мне Людмила Петровна говорила о вас … пожалуйста , всегда для вас найдется работа , так что имейте это в виду .","Заведующая корректорской , низенькая , полная Розалия Яковлевна , с черными усиками и мягкими добрыми глазами , сказала : - Людмила Петровна говорила Мне о вас … пожалуйста , всегда для вас найдется работа , так что имейте это в виду .",[0] -> [1] -> [2] -> [14]
"Я не ем , не пью в домах да ведь крестьянскиих , Мне не надобно любимоей скотинушки , Мне со стойлы - то не надо коня доброго , Мне не надо златой казны бессчетноей , Не за тым я у владыки - света послана .","Я не ем , не пью в домах да ведь крестьянскиих , не надобно Мне любимоей скотинушки , Мне со стойлы - то не надо коня доброго , Мне не надо златой казны бессчетноей , Не за тым я у владыки - света послана .",[0] -> [1] -> [2] -> [14]
"-- Мне очень хочется знать , кто это там сидит с гребёнкой .","-- очень хочется Мне знать , кто это там сидит с гребёнкой .",[0] -> [1] -> [2] -> [14]
"Я не ем , не пью в домах да ведь крестьянскиих , Мне не надобно любимоей скотинушки , Мне со стойлы - то не надо коня доброго , Мне не надо златой казны бессчетноей , Не за тым я у владыки - света послана .","Я не ем , не пью в домах да ведь крестьянскиих , Мне не надобно любимоей скотинушки , Мне со стойлы - то не надо коня доброго , не надо Мне златой казны бессчетноей , Не за тым я у владыки - света послана .",[0] -> [1] -> [2] -> [14]
( В « Доходном месте » тот же Досужев говорит Жадову : « Мне ваша физиономия понравилась » .,( В « Доходном месте » тот же Досужев говорит Жадову : « ваша физиономия понравилась Мне » .,[0] -> [1] -> [2] -> [14]
"Царевень Мне девиц смотреть , Красавиц выбирать .","Царевень девиц смотреть Мне , Красавиц выбирать .",[0] -> [1] -> [2] -> [14]
"-- Мне твоего прощения не нужно , -- сказал Мишка .","-- твоего прощения не нужно Мне , -- сказал Мишка .",[0] -> [1] -> [2] -> [14]
-- Мне бы не поверили .,-- бы не поверили Мне .,[0] -> [1] -> [2] -> [14]
"« ... Мне казалось , сир , что я окажу немалую услугу всем честным людям в Вашем королевстве , если напишу комедию , которая осмеяла бы лицемеров и выставила бы как следует напоказ все заученные ужимки этих донельзя добродетельных людей , все тайные плутни этих фальшивомонетчиков благочестия , старающихся обмануть других притворным рвением и поддельной благостью » .","« ... казалось Мне , сир , что я окажу немалую услугу всем честным людям в Вашем королевстве , если напишу комедию , которая осмеяла бы лицемеров и выставила бы как следует напоказ все заученные ужимки этих донельзя добродетельных людей , все тайные плутни этих фальшивомонетчиков благочестия , старающихся обмануть других притворным рвением и поддельной благостью » .",[0] -> [1] -> [2] -> [14]
"-- Мне без тебя скучновато будет , -- сказал он Вовке и шепнул .","-- без тебя скучновато Мне будет , -- сказал он Вовке и шепнул .",[0] -> [1] -> [2] -> [14]
