sen_str,swapped_sen_str,leaf_rule
Ede m gen plis lafwa toujou !,Ede m plis lafwa gen toujou !,[0] -> [2] -> [3] -> [4] -> [5]
Kounyea yon kontwole yon gwo pòsyon kapital la ak pwovens yo .,Kounyea yon yon gwo pòsyon kapital la ak pwovens yo kontwole .,[0] -> [2] -> [3] -> [4] -> [5]
N ap montre n pridan lè n pran tan pou n reflechi pou n wè si sa k pase a enpòtan ase pou n di yon bagay .,N ap n montre pridan lè n pran tan pou n reflechi pou n wè si sa k pase a enpòtan ase pou n di yon bagay .,[0] -> [2] -> [3] -> [4] -> [5]
Se pou nou kontinye gen lanmou pou frè yo .,Se pou nou kontinye lanmou pou frè yo gen .,[0] -> [2] -> [3] -> [4] -> [5]
Gen lòt moun oswa konpayi ki mande moun pou yo achte yon seri pwodui ki koute chè anpil pou yo ka fè anpil lajan .,lòt moun oswa konpayi ki mande moun pou yo achte yon seri pwodui ki koute chè anpil pou yo ka fè anpil lajan Gen .,[0] -> [2] -> [3] -> [4] -> [5]
Li te montre yo li renmen yo tou lè l te toujou dispoze pase tan ak yo .,Li te yo montre li renmen yo tou lè l te toujou dispoze pase tan ak yo .,[0] -> [2] -> [3] -> [4] -> [5]
"Sayil , ansanm ak 3000 sòlda ki te avè l yo , pap chèche David nan dezè Jida a pou yo touye l .","Sayil , ansanm ak 3000 sòlda ki te avè l yo , pap David chèche nan dezè Jida a pou yo touye l .",[0] -> [2] -> [3] -> [4] -> [5]
"Pòl te konsantre l sou ' bagay ki pi enpòtan yo ' , li te travay tankou yon esklav nan sèvis li pou Bondye , li te fè ale vini nan Siri , Azi Minè , Masedwan ak Jide .","Pòl te l konsantre sou ' bagay ki pi enpòtan yo ' , li te travay tankou yon esklav nan sèvis li pou Bondye , li te fè ale vini nan Siri , Azi Minè , Masedwan ak Jide .",[0] -> [2] -> [3] -> [4] -> [5]
"Bib la fè n konnen nan monn nouvo a , nou pral resevwa woulo k ap gen nouvo enstriksyon ladan yo .","Bib la fè n konnen nan monn nouvo a , nou pral resevwa woulo k ap nouvo enstriksyon ladan yo gen .",[0] -> [2] -> [3] -> [4] -> [5]
Dekwa pou pouvwa peche genyen pou l twonpe moun pa fè okenn nan nou ap fè tèt di .,Dekwa pou pouvwa peche genyen pou l twonpe moun pa okenn nan nou fè ap fè tèt di .,[0] -> [2] -> [3] -> [4] -> [5]
"Lè Pòl te ekri lèt li a , kongregasyon Efèz la te gentan gen plizyè ane depi l egziste .","Lè Pòl te lèt li a ekri , kongregasyon Efèz la te gentan gen plizyè ane depi l egziste .",[0] -> [2] -> [3] -> [4] -> [5]
Lespri sen l ka ede n obeyi nenpòt konsey ansyen yo ban nou .,Lespri sen l ka ede n nenpòt konsey ansyen yo obeyi ban nou .,[0] -> [2] -> [3] -> [4] -> [5]
Reflechi sou jan de moun nou dwe ye : Nou dwe gen yon konduit ki sen e nou dwe montre nan aksyon nou nou gen atachman pou Bondye .,Reflechi sou jan de moun nou dwe ye : Nou dwe gen yon konduit ki sen e nou dwe nou gen atachman pou Bondye montre nan aksyon nou .,[0] -> [2] -> [3] -> [4] -> [5]
Karyè legal li gen ladan travay li te fè kòm yon pwosekitè federal ak avoka dwa sivik ki te reprezante manman Eric Garner .,Karyè legal li ladan travay li te fè kòm yon pwosekitè federal ak avoka dwa sivik ki te reprezante manman Eric Garner gen .,[0] -> [2] -> [3] -> [4] -> [5]
"Li enteresan pou n konnen lè ekriven ki te patisipe nan redaksyon liv ki te ekri an grèk yo te konn site pasaj ki sot nan liv ki ekri ann ebre yo , an jeneral , yo te konn pran pasaj sa yo nan Septant lan .","Li enteresan pou n konnen lè ekriven ki te patisipe redaksyon liv ki te ekri an grèk yo nan te konn site pasaj ki sot nan liv ki ekri ann ebre yo , an jeneral , yo te konn pran pasaj sa yo nan Septant lan .",[0] -> [2] -> [3] -> [4] -> [5]
"Se te pi gwo atak konsa ki fèt sou Ikrèn depi 3 semèn , kote fòs Ikrèn yo di yo desann 34 sou 81 misil ke LaRisi tire , kidonk yon pousantaj pi piti lontan pase sa li konn bare , epi li di li desann 4 drone ke Iran fabrike .","Se te pi gwo atak konsa ki fèt sou Ikrèn depi 3 semèn , kote fòs Ikrèn yo di yo desann 34 sou 81 misil ke LaRisi tire , kidonk yon pousantaj pi piti lontan pase sa li konn bare , epi li di li 4 drone ke Iran fabrike desann .",[0] -> [2] -> [3] -> [4] -> [5]
Nou pa ka bliye sajès ki genyen nan dispozisyon yo te pran pou pèmèt nou gen yon sware adorasyon an fanmi oswa plis tan pou n fè etid pèsonèl .,Nou pa ka bliye sajès ki genyen nan dispozisyon yo te pran pou pèmèt nou yon sware adorasyon an fanmi gen oswa plis tan pou n fè etid pèsonèl .,[0] -> [2] -> [3] -> [4] -> [5]
Mwen m toujou ret je fèmen epi tèt mwen bese sou biwo a .,Mwen m toujou je fèmen ret epi tèt mwen bese sou biwo a .,[0] -> [2] -> [3] -> [4] -> [5]
"Li te netwaye tanp lan , li te mande Bondye padon pou peche pèp la e l te detwi zidòl yo nan tout peyi a .","Li te netwaye tanp lan , li te mande Bondye padon pou peche pèp la e l te zidòl yo detwi nan tout peyi a .",[0] -> [2] -> [3] -> [4] -> [5]
Jewova gen dwa pou l atann moun sa a ap kenbe pwomès li fè a .,Jewova gen dwa pou l moun sa a atann ap kenbe pwomès li fè a .,[0] -> [2] -> [3] -> [4] -> [5]
Ki sa w ka fè si w ap lite ak tantasyon pou w fè fònikasyon ?,Ki sa w ka fè si w ap lite ak tantasyon pou w fònikasyon fè ?,[0] -> [2] -> [3] -> [4] -> [5]
"Pandan epòk Memoryal la , nou pral gen okazyon pou n sèvi kòm pyonye oksilyè e pou n pase 30 oswa 50 èdtan nan travay predikasyon an .","Pandan epòk Memoryal la , nou pral gen okazyon pou n sèvi kòm pyonye oksilyè e pou n 30 oswa 50 èdtan pase nan travay predikasyon an .",[0] -> [2] -> [3] -> [4] -> [5]
"Lè pèp Izrayèl la te koute Bondye , Bondye te konn beni pèp la .","Lè pèp Izrayèl la te Bondye koute , Bondye te konn beni pèp la .",[0] -> [2] -> [3] -> [4] -> [5]
Ansyen sa yo pa ezite bay fòmasyon akoz yo pè pou moun y ap fòme yo pa pran kèk privilèj yo te genyen nan kongregasyon an .,Ansyen sa yo pa ezite bay fòmasyon akoz yo pè pou moun y ap fòme yo pa kèk privilèj yo te genyen nan kongregasyon an pran .,[0] -> [2] -> [3] -> [4] -> [5]
Jewova bay efò n ap fè pou n fè l plezi yo anpil valè epi se pa pou granmesi n ap sèvi l .,Jewova bay efò n ap fè pou n fè l plezi yo anpil valè epi se pa pou granmesi n ap l sèvi .,[0] -> [2] -> [3] -> [4] -> [5]
Moun k ap konte moun yo pandan Memoryal la pa ka konnen kiyès toutbon ki gen esperans pou l al nan syèl .,Moun k ap moun yo konte pandan Memoryal la pa ka konnen kiyès toutbon ki gen esperans pou l al nan syèl .,[0] -> [2] -> [3] -> [4] -> [5]
Yo ka ede yon kretyen ki gen matirite fè fas ak sitiyasyon difisil san l pa vin an kòlè e yo ka ede l andire desepsyon san l pa pèdi espwa .,Yo ka ede yon kretyen ki gen matirite fè fas ak sitiyasyon difisil san l pa vin an kòlè e yo ka l ede andire desepsyon san l pa pèdi espwa .,[0] -> [2] -> [3] -> [4] -> [5]
"Lè w vwe lavi w bay Jewova e w batize , ou vin gen yon relasyon pèsonèl ak Jewova .","Lè w vwe lavi w Jewova bay e w batize , ou vin gen yon relasyon pèsonèl ak Jewova .",[0] -> [2] -> [3] -> [4] -> [5]
"Tank n ap fòme konsyans nou epi n ap koute l , se tank lanmou nou gen pou Jewova a ap grandi epi lafwa nou ap vin pi solid .","Tank n ap fòme konsyans nou epi n ap l koute , se tank lanmou nou gen pou Jewova a ap grandi epi lafwa nou ap vin pi solid .",[0] -> [2] -> [3] -> [4] -> [5]
Li te bezwen chèche ankourajman nan men Jewova .,Li te bezwen ankourajman chèche nan men Jewova .,[0] -> [2] -> [3] -> [4] -> [5]
"Se pa ti rekonesan nou ta dwe montre anvè Jezi dèske , grasa lanmò li , li peye pri ki te nesesè pou libere lèzòm nan e konsa l ouvri chemen pou lèzòm viv pou toutan nan monn nouvo Bondye pwomet la !","Se pa ti rekonesan nou ta dwe montre anvè Jezi dèske , grasa lanmò li , li pri ki te nesesè peye pou libere lèzòm nan e konsa l ouvri chemen pou lèzòm viv pou toutan nan monn nouvo Bondye pwomet la !",[0] -> [2] -> [3] -> [4] -> [5]
