sen_str,swapped_sen_str,leaf_rule
"ఎ. గారు ఈ మాట అన్న మరునాడే , అందరూ మరిచి పోయేరు .","ఎ. గారు ఈ మాట అన్న మరునాడే , మరిచి పోయేరు అందరూ .",[0] -> [1]
"రాము వెళ్ళేడు కాబట్టి , కమల ఒంటరిగా ఉంది .","రాము వెళ్ళేడు కాబట్టి , ఒంటరిగా ఉంది కమల .",[0] -> [1]
రాము నేను రేపు వెళ్తాను అని కమలతో చెప్పేడు .,రాము రేపు వెళ్తాను నేను అని కమలతో చెప్పేడు .,[0] -> [1]
"మానవుడు నా అనే వ్యక్తులకోసం బతుకుతాడు , తన కోసం కాదు .","మానవుడు వ్యక్తులకోసం నా అనే బతుకుతాడు , తన కోసం కాదు .",[0] -> [1]
దేవుడు చూస్తుండగా మనకేం భయం ?,దేవుడు చూస్తుండగా భయం మనకేం ?,[0] -> [1]
మీకు నేను వచ్చినట్టు ఎవరు చెప్పేరు ?,మీకు వచ్చినట్టు నేను ఎవరు చెప్పేరు ?,[0] -> [1]
నిన్న రాత్రి నేను ఇంట్లో ఉన్నాను .,నిన్న రాత్రి ఇంట్లో ఉన్నాను నేను .,[0] -> [1]
రేపు నేను రాకపోవచ్చు .,రేపు రాకపోవచ్చు నేను .,[0] -> [1]
"నువ్వు పోతే పోతే , నాకు తెలియదు .","నువ్వు పోతే పోతే , తెలియదు నాకు .",[0] -> [1]
ఆ ఇల్లు ఎవరు కట్టేరు ?,ఆ ఇల్లు కట్టేరు ఎవరు ?,[0] -> [1]
వాడు వాళ్ళు క్షేమంగా చేరినట్లు రాసేడు .,వాడు క్షేమంగా చేరినట్లు వాళ్ళు రాసేడు .,[0] -> [1]
వాడు బెదిరిస్తాడు అన్నా నాకు భయం లేదు .,వాడు బెదిరిస్తాడు అన్నా భయం లేదు నాకు .,[0] -> [1]
ఎవడు తప్పు చేస్తాడో వాడు జైలుకు పోతాడు .,ఎవడు తప్పు చేస్తాడో జైలుకు పోతాడు వాడు .,[0] -> [1]
"అవునండి , అది పుస్తకమే .","అవునండి , పుస్తకమే అది .",[0] -> [1]
డబ్బు అడిగితే ఆయన ఇచ్చేరు .,డబ్బు అడిగితే ఇచ్చేరు ఆయన .,[0] -> [1]
నా పని వాడే చేసి పెట్టేడు .,నా పని చేసి పెట్టేడు వాడే .,[0] -> [1]
నిన్న మేము ఊళ్ళో లేము .,నిన్న ఊళ్ళో లేము మేము .,[0] -> [1]
భోజనం చేయకుండా ఎవరు ఉంటారు ?,భోజనం చేయకుండా ఉంటారు ఎవరు ?,[0] -> [1]
ఇడ్లీలు సాంబారుతో రామయ్య తిన్నాడు .,ఇడ్లీలు సాంబారుతో తిన్నాడు రామయ్య .,[0] -> [1]
నన్ను ఎవరూ చూడలేదు .,నన్ను చూడలేదు ఎవరూ .,[0] -> [1]
నిన్న నువ్వు ఆఫీసులో లేను .,నిన్న ఆఫీసులో లేను నువ్వు .,[0] -> [1]
అతనికి తెలుగు అట్టే రాదు .,అతనికి అట్టే రాదు తెలుగు .,[0] -> [1]
"వాడి బావమరదులు ఇద్దరూ , నేను ముందు చదవాలి అంటే , నేను ముందు చదవాలి అని పోట్లాడుకు పత్రికను చింపినంత పని కూడా చేసేరు .","వాడి బావమరదులు ఇద్దరూ , నేను ముందు చదవాలి అంటే , ముందు చదవాలి నేను అని పోట్లాడుకు పత్రికను చింపినంత పని కూడా చేసేరు .",[0] -> [1]
ఆయన తరవాత ఎవరు వస్తారు ?,ఆయన తరవాత వస్తారు ఎవరు ?,[0] -> [1]
ఎందులోనూ నిన్ను మించిన స్త్రీని చూసి నువ్వు ఓర్చ లేవు .,ఎందులోనూ నిన్ను మించిన స్త్రీని చూసి ఓర్చ లేవు నువ్వు .,[0] -> [1]
"వాడి బావమరదులు ఇద్దరూ , నేను ముందు చదవాలి అంటే , నేను ముందు చదవాలి అని పోట్లాడుకు పత్రికను చింపినంత పని కూడా చేసేరు .","వాడి బావమరదులు ఇద్దరూ , ముందు చదవాలి నేను అంటే , నేను ముందు చదవాలి అని పోట్లాడుకు పత్రికను చింపినంత పని కూడా చేసేరు .",[0] -> [1]
ఎల్లుండి మేం డబ్బుఇస్తాం .,ఎల్లుండి డబ్బుఇస్తాం మేం .,[0] -> [1]
ఆమె ఎస్. ని భోజనానికి పిలిచినట్లు భర్తతో చెప్పింది .,ఆమె భోజనానికి పిలిచినట్లు ఎస్. ని భర్తతో చెప్పింది .,[0] -> [1]
మీloo ఎవడు పెద్దవాడు ?,మీloo పెద్దవాడు ఎవడు ?,[0] -> [1]
రాము తాను రేపు వెళ్తాను అని కమలతో చెప్పేడు .,రాము రేపు వెళ్తాను తాను అని కమలతో చెప్పేడు .,[0] -> [1]
నువ్వు నాతో నువ్వు రేపు రా అని అన్నావు .,నువ్వు నాతో రేపు రా నువ్వు అని అన్నావు .,[0] -> [1]
"ఆయన రాలేకపోవటం వల్ల , మేం ఇంటికి వెళ్ళేం .","ఆయన రాలేకపోవటం వల్ల , ఇంటికి వెళ్ళేం మేం .",[0] -> [1]
ప్రస్తుతం అతిథినన్న మాట . తరువాత అద్దె వాడుగా మారాలే ? ఘోరం !,ప్రస్తుతం అతిథినన్న మాట . తరువాత మారాలే అద్దె వాడుగా ? ఘోరం !,[0] -> [1]
"మానవుడు నా అనే వ్యక్తులకోసం బతుకుతాడు , తన కోసం కాదు .","మానవుడు నా అనే వ్యక్తులకోసం బతుకుతాడు , కాదు తన కోసం .",[0] -> [1]
అయ్యో ఆయన చనిపోయేరా ?,అయ్యో చనిపోయేరా ఆయన ?,[0] -> [1]
"డాక్టరుగారు మందు ఇస్తేనే గాని , అతను తాగడు .","డాక్టరుగారు మందు ఇస్తేనే గాని , తాగడు అతను .",[0] -> [1]
"తెలుసు , మీరు అలా అంటారని !","తెలుసు , అలా అంటారని మీరు !",[0] -> [1]
మొన్న నేను ఊళ్ళో లేను .,మొన్న ఊళ్ళో లేను నేను .,[0] -> [1]
కొట్లాడుతున్నప్పుడు ఇద్దరూ దెబ్బ తిన్నారు .,కొట్లాడుతున్నప్పుడు దెబ్బ తిన్నారు ఇద్దరూ .,[0] -> [1]
ఒంటికి మంచిది కాదు అని నేను సిగరెట్లు తాగటం మానేసేను .,ఒంటికి మంచిది కాదు అని సిగరెట్లు తాగటం మానేసేను నేను .,[0] -> [1]
"వారు వచ్చేరో , లేదో అతను నాకు చెప్ప లేదు .","వారు వచ్చేరో , లేదో నాకు చెప్ప లేదు అతను .",[0] -> [1]
ఏ ఫిబ్రవరిలోనో ఆయన తిరిగి రా వచ్చు .,ఏ ఫిబ్రవరిలోనో తిరిగి రా వచ్చు ఆయన .,[0] -> [1]
ఇక ఏమి చెయ్యాలి ?,ఇక చెయ్యాలి ఏమి ?,[0] -> [1]
"రాము వెళ్తాడా , కమల వెళ్తుందా ?","రాము వెళ్తాడా , వెళ్తుందా కమల ?",[0] -> [1]
"నేను చెప్పనే చెప్పను , అతను విననే వినడు .","నేను చెప్పనే చెప్పను , విననే వినడు అతను .",[0] -> [1]
లక్ష రూపాయలు సంపాదించటం ఎంత అసాధ్యమో ఇదీ అంత అసాధ్యమే .,లక్ష రూపాయలు సంపాదించటం ఎంత అసాధ్యమో అంత అసాధ్యమే ఇదీ .,[0] -> [1]
ఆయన్ని చూసిన వెంటనే అందరూ లేచి కేకలు వేసేరు .,ఆయన్ని చూసిన వెంటనే లేచి కేకలు వేసేరు అందరూ .,[0] -> [1]
అప్పుడు నువ్వు ఏమన్నావు ?,అప్పుడు ఏమన్నావు నువ్వు ?,[0] -> [1]
నువ్వు నాతో నేను రేపు వస్తాను అని చెప్పేవు .,నువ్వు నాతో రేపు వస్తాను నేను అని చెప్పేవు .,[0] -> [1]
వాడు రాక పోతే నేను వెళ్ళను .,వాడు రాక పోతే వెళ్ళను నేను .,[0] -> [1]
"మీరు ఉంటే గాని , నేను రాను .","మీరు ఉంటే గాని , రాను నేను .",[0] -> [1]
ఊరేగింపు వెళ్ళిపోయిన అర గంట దాక ఎస్. నిద్ర పోలేదు .,ఊరేగింపు వెళ్ళిపోయిన అర గంట దాక నిద్ర పోలేదు ఎస్. .,[0] -> [1]
అన్ని నగరాల్లోకి టోక్యో పెద్దది .,అన్ని నగరాల్లోకి పెద్దది టోక్యో .,[0] -> [1]
కమల నాకు ఇదివరకే తెలుసు .,కమల ఇదివరకే తెలుసు నాకు .,[0] -> [1]
"ఆయన రాకపోవటం వల్ల , మేం ఇంటికి వెళ్ళేరు .","ఆయన రాకపోవటం వల్ల , ఇంటికి వెళ్ళేరు మేం .",[0] -> [1]
మీరు పెద్దమనుషులు అని నాకు తెలుసు .,మీరు పెద్దమనుషులు అని తెలుసు నాకు .,[0] -> [1]
ఇవ్వేళ ఆమె ఇక్కడ లేదు .,ఇవ్వేళ ఇక్కడ లేదు ఆమె .,[0] -> [1]
"ఆయన చదివితేగాని , మేము వినం .","ఆయన చదివితేగాని , వినం మేము .",[0] -> [1]
నిన్న మీరు ఊళ్ళో లేరు .,నిన్న ఊళ్ళో లేరు మీరు .,[0] -> [1]
ఆ తర్వాత ఏం జరిగింది ?,ఆ తర్వాత జరిగింది ఏం ?,[0] -> [1]
"హృదయంలో ఏడుపు , కోపం నేను ముందు అంటే , నేను ముందు అంటున్నాయి .","హృదయంలో ఏడుపు , కోపం అంటే నేను ముందు , నేను ముందు అంటున్నాయి .",[0] -> [1]
నేను మీరు ఇలా మాట్లాడటం ఒప్పుకోను .,నేను ఇలా మాట్లాడటం మీరు ఒప్పుకోను .,[0] -> [1]
ఏవిధమైన కల్లోలం చెలరేగేదీ ఎవరూ చెప్పలేరు .,ఏవిధమైన కల్లోలం చెలరేగేదీ చెప్పలేరు ఎవరూ .,[0] -> [1]
"తిలక్ మహాశయుడి చావు గురించి జనం మరిచేరో లేదో , గాంధీ ముందుకు వచ్చేరు .","తిలక్ మహాశయుడి చావు గురించి జనం మరిచేరో లేదో , ముందుకు వచ్చేరు గాంధీ .",[0] -> [1]
ఆ విషయం నీకు ఎలా చెప్పటమా అని ఆలోచిస్తూ ఉన్నాను .,ఆ విషయం ఎలా చెప్పటమా నీకు అని ఆలోచిస్తూ ఉన్నాను .,[0] -> [1]
ఈ సంవత్సరంలో ఏవైతే పథకాలు ఉన్నాయో అవి తప్పకుండా పూర్తి చెయ్యాలి .,ఈ సంవత్సరంలో ఏవైతే పథకాలు ఉన్నాయో తప్పకుండా పూర్తి చెయ్యాలి అవి .,[0] -> [1]
నేను నీతో నేను రేపు వస్తాను అని చెప్పేను .,నేను నీతో రేపు వస్తాను నేను అని చెప్పేను .,[0] -> [1]
సాంబారుతో రామయ్య ఇడ్లీలు తిన్నాడు .,సాంబారుతో ఇడ్లీలు తిన్నాడు రామయ్య .,[0] -> [1]
ముందు నువ్వు సైకిలు నడపటం నేర్చుకో .,ముందు సైకిలు నడపటం నువ్వు నేర్చుకో .,[0] -> [1]
ఇద్దరూ ఒక్కపోలికనే ఉన్నారు గదా ; నువ్వు ఎలా ఆనవాళ్ళు తెలుసుకోగలవు ?,ఇద్దరూ ఒక్కపోలికనే ఉన్నారు గదా ; ఎలా ఆనవాళ్ళు తెలుసుకోగలవు నువ్వు ?,[0] -> [1]
అక్కడ ఎవరు నిలబడ్డారు ?,అక్కడ నిలబడ్డారు ఎవరు ?,[0] -> [1]
ఈ ఊళ్ళో మేం ఉంటాం .,ఈ ఊళ్ళో ఉంటాం మేం .,[0] -> [1]
ఆయన రాగానే మీరు నాతో చెప్పండి .,ఆయన రాగానే నాతో చెప్పండి మీరు .,[0] -> [1]
ఆయన ఎప్పుడు వస్తాడో నాకు తెలియదు .,ఆయన ఎప్పుడు వస్తాడో తెలియదు నాకు .,[0] -> [1]
"వాడు తిట్టేడు కాబట్టి , నేను కొట్టేను .","వాడు తిట్టేడు కాబట్టి , కొట్టేను నేను .",[0] -> [1]
నేను చెప్పేవరకు మీరు ఉండండి .,నేను చెప్పేవరకు ఉండండి మీరు .,[0] -> [1]
"మీరు వెళ్ళినా , నేను వెళ్ళను .","మీరు వెళ్ళినా , వెళ్ళను నేను .",[0] -> [1]
మీకు నేను వచ్చినట్టు ఎవరు చెప్పేరు ?,మీకు నేను వచ్చినట్టు చెప్పేరు ఎవరు ?,[0] -> [1]
"ఆయన రేపు రానిదే , నేను ఉండను .","ఆయన రేపు రానిదే , ఉండను నేను .",[0] -> [1]
వారు ఎవరో నాకు తెలుసు .,వారు ఎవరో తెలుసు నాకు .,[0] -> [1]
రేపు మీ ఇంటికి ఎవరు వస్తున్నారు ?,రేపు మీ ఇంటికి వస్తున్నారు ఎవరు ?,[0] -> [1]
