sen_str,swapped_sen_str,leaf_rule
- Hva ville dere gjort dersom legen hadde meldt fra ?,- Hva ville dere gjort dersom hadde meldt legen fra ?,[0] -> [1] -> [27] -> [28] -> [29]
"Når jeg har sagt dét , er naturligvis noe av grunnen til at enkelte kjøper falske vesker at disse veskene er blitt et symbol på suksess og stil .","Når har sagt jeg dét , er naturligvis noe av grunnen til at enkelte kjøper falske vesker at disse veskene er blitt et symbol på suksess og stil .",[0] -> [1] -> [27] -> [28] -> [29]
"Ofte er museumsbygningen interessant i seg selv , alltid finner jeg noe minneverdig , alltid har jeg glede av å komme ut igjen .","Ofte er interessant museumsbygningen i seg selv , alltid finner jeg noe minneverdig , alltid har jeg glede av å komme ut igjen .",[0] -> [1] -> [27] -> [28] -> [29]
Da kan vi se slutten på Kristin Halvorsens karrière som toppolitiker .,Da kan se vi slutten på Kristin Halvorsens karrière som toppolitiker .,[0] -> [1] -> [27] -> [28] -> [29]
I Bibelen var Leah Jakobs kone .,I Bibelen var Jakobs kone Leah .,[0] -> [1] -> [27] -> [28] -> [29]
"Hun mener blodet og fettvevet , som er pakket umerket i en svart søppelsekk , er farlig og pakket uforsvarlig .","Hun mener er farlig blodet og fettvevet , som er pakket umerket i en svart søppelsekk , og pakket uforsvarlig .",[0] -> [1] -> [27] -> [28] -> [29]
"Og hvis han ikke synes det , hva vil han gjøre for at vi snarest kan få en endring av dette ?","Og hvis han ikke synes det , hva vil han gjøre for at snarest kan få vi en endring av dette ?",[0] -> [1] -> [27] -> [28] -> [29]
"Vi voksne var dessuten skjønt enige om at helgereferat som inkluderer bursdagsselskap for venners barn , er godt plassert i kategorien "" voksen og etablert "" ( okei okei , så er man kanskje uansett voksen når man er 37 , men det er noe med å plutselig selv befinne seg i situasjoner som man forbinder med sine egne foreldre og andre hypervoksne mennesker ) .","Vi voksne var dessuten skjønt enige om at helgereferat som inkluderer bursdagsselskap for venners barn , er godt plassert i kategorien "" voksen og etablert "" ( okei okei , så er man kanskje uansett voksen når er 37 man , men det er noe med å plutselig selv befinne seg i situasjoner som man forbinder med sine egne foreldre og andre hypervoksne mennesker ) .",[0] -> [1] -> [27] -> [28] -> [29]
Det er i slike situasjoner du tenker over hvem du virkelig vil ha ved din side .,Det er i slike situasjoner du tenker over hvem virkelig vil ha du ved din side .,[0] -> [1] -> [27] -> [28] -> [29]
"Begge kan påvirke leveren , men Lipitor har Sverre brukt i mange år uten bivirkninger , og Ezetrol , som han har gått på i et halvt år , gir sjelden leverbivirkninger .","Begge kan påvirke leveren , men Lipitor har Sverre brukt i mange år uten bivirkninger , og Ezetrol , som har gått han på i et halvt år , gir sjelden leverbivirkninger .",[0] -> [1] -> [27] -> [28] -> [29]
"Problemet er at jeg ikke klarer å kjede meg skikkelig , fordi jeg blir sittende å glane på kjedelig tv .","Problemet er at ikke klarer jeg å kjede meg skikkelig , fordi jeg blir sittende å glane på kjedelig tv .",[0] -> [1] -> [27] -> [28] -> [29]
"Det er farlig å generalisere om forhold som varierer fra person til person , men svenskene er stort sett grundigere og mer systematiske enn oss nordmenn .","Det er farlig å generalisere om forhold som varierer fra person til person , men er stort sett grundigere svenskene og mer systematiske enn oss nordmenn .",[0] -> [1] -> [27] -> [28] -> [29]
"Da han falt død om , hadde mars vært tredje måned kun året før .","Da han falt død om , hadde vært tredje måned mars kun året før .",[0] -> [1] -> [27] -> [28] -> [29]
"Utover kjente , internasjonale og dyre moteforhandlere er Garosu-gil full av snertne , selvstendige designbutikker som selger retroklær , kopper og asjetter , kosmetikk , kontorutstyr for hipstere , og hatter .","Utover kjente , internasjonale og dyre moteforhandlere er full Garosu-gil av snertne , selvstendige designbutikker som selger retroklær , kopper og asjetter , kosmetikk , kontorutstyr for hipstere , og hatter .",[0] -> [1] -> [27] -> [28] -> [29]
Nå kan jeg da kode litt ?,Nå kan da kode jeg litt ?,[0] -> [1] -> [27] -> [28] -> [29]
"Samantha satte ord på det mange kvinner har tenkt om den verdensberømte Birkin-vesken til motehuset Hermès , som i forrige uke åpnet sin første filial i Oslo .","Samantha satte ord på det har tenkt mange kvinner om den verdensberømte Birkin-vesken til motehuset Hermès , som i forrige uke åpnet sin første filial i Oslo .",[0] -> [1] -> [27] -> [28] -> [29]
"Når det gjelder markedsreguleringsordningene , har det vært en bred tilslutning i Stortinget til at markedsregulering som sådan er et ansvar næringen selv må ta innover seg .","Når det gjelder markedsreguleringsordningene , har det vært en bred tilslutning i Stortinget til at er et ansvar markedsregulering som sådan næringen selv må ta innover seg .",[0] -> [1] -> [27] -> [28] -> [29]
"Hvis denne virkeligheten er et rekkehus i forstaden , vil noen sjangre langt ut på landet , til natur og ekthet .","Hvis er et rekkehus denne virkeligheten i forstaden , vil noen sjangre langt ut på landet , til natur og ekthet .",[0] -> [1] -> [27] -> [28] -> [29]
På denne bakgrunn vil utvalget i stedet foreslå at miljøreglene for Jan Mayen så langt som råd samles i en felles miljøforskrift og at Jan Mayen-loven får en uttrykkelig hjemmel for å gi en slik forskrift .,På denne bakgrunn vil i stedet foreslå utvalget at miljøreglene for Jan Mayen så langt som råd samles i en felles miljøforskrift og at Jan Mayen-loven får en uttrykkelig hjemmel for å gi en slik forskrift .,[0] -> [1] -> [27] -> [28] -> [29]
"Her får jeg samarbeide med Harald Rosenløw Eeg , som er den manusforfatteren jeg har aller mest lyst til å jobbe med .","Her får samarbeide jeg med Harald Rosenløw Eeg , som er den manusforfatteren jeg har aller mest lyst til å jobbe med .",[0] -> [1] -> [27] -> [28] -> [29]
Skal vi ha en markering når det er en unge som blir født med Downs syndrom også ?,Skal ha vi en markering når det er en unge som blir født med Downs syndrom også ?,[0] -> [1] -> [27] -> [28] -> [29]
"Martha Johnsen sier til BT at de som drev adopsjonsformidling på 50-tallet kan ha vært mer opptatt av at kvinnene skulle adoptere , enn at de skulle beholde barnet selv :","Martha Johnsen sier til BT at de som drev adopsjonsformidling på 50-tallet kan ha vært mer opptatt av at skulle adoptere kvinnene , enn at de skulle beholde barnet selv :",[0] -> [1] -> [27] -> [28] -> [29]
"Jeg påstår ikke at det som sies er usant , men Edna er i hvert fall et bevis på at en kvinne kan få mye makt og innflytelse også i et samfunn der somalierne er i stort flertall .","Jeg påstår ikke at det som sies er usant , men Edna er i hvert fall et bevis på at en kvinne kan få mye makt og innflytelse også i et samfunn der er i stort flertall somalierne .",[0] -> [1] -> [27] -> [28] -> [29]
"Han viser til at hyppigheten av skytedrap på skoler har økt markant fra nittitallet , samtidig med utbredelsen av dataspill .","Han viser til at har økt hyppigheten av skytedrap på skoler markant fra nittitallet , samtidig med utbredelsen av dataspill .",[0] -> [1] -> [27] -> [28] -> [29]
"- Vi som har drevet med dette i årevis , er ikke opptatt av millionene .","- er ikke opptatt Vi som har drevet med dette i årevis , av millionene .",[0] -> [1] -> [27] -> [28] -> [29]
"I dag er det mange som faktisk betaler mer på grunn av en 0,6 pst.-regel – man kan ikke sette ned formuesskatten mer enn til 0,6 pst.","I dag er det mange som faktisk betaler mer på grunn av en 0,6 pst.-regel – kan ikke sette man ned formuesskatten mer enn til 0,6 pst.",[0] -> [1] -> [27] -> [28] -> [29]
"TV-kanalen NBCs prognoser viser nå at Barack Obama ligger an til å vinne Wisconsin , etter at tre prosent av stemmene er talt opp .","TV-kanalen NBCs prognoser viser nå at Barack Obama ligger an til å vinne Wisconsin , etter at er talt tre prosent av stemmene opp .",[0] -> [1] -> [27] -> [28] -> [29]
Trist nok bestemte han seg for at døden var eneste utvei » .,Trist nok bestemte han seg for at var eneste utvei døden » .,[0] -> [1] -> [27] -> [28] -> [29]
"De kan derfor fastslå at det var løsammunisjon som ble brukt , men Bysting understreker at saken ikke er mindre alvorlig av den grunn .","De kan derfor fastslå at det var løsammunisjon som ble brukt , men Bysting understreker at ikke er mindre alvorlig saken av den grunn .",[0] -> [1] -> [27] -> [28] -> [29]
"Men fordi jeg synes denne dagen , og andre slike "" minne på "" -dager er kvalme , motsigende og en av de viktigste påminnerne vi har om at vår generasjon er avdankede egoister som trenger en ferdigskrevet kalender til å fortelle hva vi skal gjøre mot våre nærmeste - når vi skal gjøre det - og hva vi må kjøpe for å gjennomføre det .","Men fordi jeg synes denne dagen , og andre slike "" minne på "" -dager er kvalme , motsigende og en av de viktigste påminnerne vi har om at er avdankede egoister vår generasjon som trenger en ferdigskrevet kalender til å fortelle hva vi skal gjøre mot våre nærmeste - når vi skal gjøre det - og hva vi må kjøpe for å gjennomføre det .",[0] -> [1] -> [27] -> [28] -> [29]
"Norge møter Sveits og Sverige onsdag , og seier over en av dem er nok til å bli blant de to beste lagene .","Norge møter Sveits og Sverige onsdag , og er nok seier over en av dem til å bli blant de to beste lagene .",[0] -> [1] -> [27] -> [28] -> [29]
- Sånn er det og det er bra .,- Sånn er det og er bra det .,[0] -> [1] -> [27] -> [28] -> [29]
"Samtidig fikk vi ikke folk foran Stranda-målet fort nok , og de gangene de var der var innleggene for dårlige , forklarer Trond Fredriksen , banens dominerende spiller .","Samtidig fikk vi ikke folk foran Stranda-målet fort nok , og de gangene de var der var for dårlige innleggene , forklarer Trond Fredriksen , banens dominerende spiller .",[0] -> [1] -> [27] -> [28] -> [29]
"Barnepsykiatere skal ha konkludert med at overgrep har funnet sted , og på sykehuset i Vestfold skal legene ha konkludert med at den minste gutten har blitt utsatt for anale voldtekter .","Barnepsykiatere skal ha konkludert med at overgrep har funnet sted , og på sykehuset i Vestfold skal ha konkludert legene med at den minste gutten har blitt utsatt for anale voldtekter .",[0] -> [1] -> [27] -> [28] -> [29]
Det har Regjeringen så langt ikke gjort .,Det har så langt ikke gjort Regjeringen .,[0] -> [1] -> [27] -> [28] -> [29]
"Vi vil ikke at flere skal måtte dø , spesielt ikke sivile .","Vi vil ikke at skal måtte dø flere , spesielt ikke sivile .",[0] -> [1] -> [27] -> [28] -> [29]
"Spillet er verken komplekst eller enestående på noen som helst måte , men produksjonen er solid og mikrofonbruken er akkurat brukbar nok til å heve seg over gimmick-stempelet .","Spillet er verken komplekst eller enestående på noen som helst måte , men er solid produksjonen og mikrofonbruken er akkurat brukbar nok til å heve seg over gimmick-stempelet .",[0] -> [1] -> [27] -> [28] -> [29]
- Jeg fikk sjokk da jeg fikk vite hva som egentlig hadde foregått .,- Jeg fikk sjokk da jeg fikk vite som egentlig hadde foregått hva .,[0] -> [1] -> [27] -> [28] -> [29]
"- Det er ikke en fremmed tanke , men America's Army , som det amerikanske forsvaret bruker , er ikke et spill , det er først og fremst en simulasjon .","- Det er ikke en fremmed tanke , men er ikke et spill America's Army , som det amerikanske forsvaret bruker , , det er først og fremst en simulasjon .",[0] -> [1] -> [27] -> [28] -> [29]
"Kan finansministeren bekrefte at man skal følge opp det statsministeren sa , nemlig å bedre opsjonsordningen , og at det er graden av forbedring av opsjonsbeskatningen som nå diskuteres ?","Kan finansministeren bekrefte at skal følge man opp det statsministeren sa , nemlig å bedre opsjonsordningen , og at det er graden av forbedring av opsjonsbeskatningen som nå diskuteres ?",[0] -> [1] -> [27] -> [28] -> [29]
"Hvis hun hadde kommet med en bekymringsmelding uten å være anonym , ville Cathrines foreldre hatt krav på å vite hvem som hadde varslet oss .","Hvis hadde kommet hun med en bekymringsmelding uten å være anonym , ville Cathrines foreldre hatt krav på å vite hvem som hadde varslet oss .",[0] -> [1] -> [27] -> [28] -> [29]
Nå skal utenriksminister Jonas Gahr Støre vise norsk arkitektur fram for verden .,Nå skal vise utenriksminister Jonas Gahr Støre norsk arkitektur fram for verden .,[0] -> [1] -> [27] -> [28] -> [29]
Ifølge Øversveen er dette hendelsesforløpet :,Ifølge Øversveen er hendelsesforløpet dette :,[0] -> [1] -> [27] -> [28] -> [29]
"Vårt vennskap ble en påminnelse om at multikulturalismen er ingen utopi , slik de økende skrekkslagne monokulturalistene her hjemme klager over .","Vårt vennskap ble en påminnelse om at er ingen utopi multikulturalismen , slik de økende skrekkslagne monokulturalistene her hjemme klager over .",[0] -> [1] -> [27] -> [28] -> [29]
Det kan hverken Regjeringen eller Nav leve med over tid .,Det kan leve hverken Regjeringen eller Nav med over tid .,[0] -> [1] -> [27] -> [28] -> [29]
Han spør om vi vil høre .,Han spør om vil høre vi .,[0] -> [1] -> [27] -> [28] -> [29]
- Men dansekjoler ser ikke dyre ut hvis de ikke er pyntet .,- Men dansekjoler ser ikke dyre ut hvis ikke er pyntet de .,[0] -> [1] -> [27] -> [28] -> [29]
"Det er naturligvis viktig at dette utføres på en måte som det offentlige kan akseptere , og det har vi en overvåking på i enhver sammenheng når de opererer med sine markedsreguleringstiltak .","Det er naturligvis viktig at dette utføres på en måte som kan akseptere det offentlige , og det har vi en overvåking på i enhver sammenheng når de opererer med sine markedsreguleringstiltak .",[0] -> [1] -> [27] -> [28] -> [29]
"Det første man lærer i alpint er aldri å juble før du har sett på lystavla i mål , men for å si det på en annen måte hadde jeg blitt veldig overrasket om tiden min ikke hadde vært god .","Det første man lærer i alpint er aldri å juble før du har sett på lystavla i mål , men for å si det på en annen måte hadde blitt jeg veldig overrasket om tiden min ikke hadde vært god .",[0] -> [1] -> [27] -> [28] -> [29]
"Blir du overkjørt av trikken , kan helsepersonell med et tastetrykk finne ut hvilken blodtype du har , hvilke medisiner du går på og hvilken behandling du eventuelt måtte ha fått tidligere .","Blir du overkjørt av trikken , kan helsepersonell med et tastetrykk finne ut hvilken blodtype du har , hvilke medisiner du går på og hvilken behandling eventuelt måtte ha fått du tidligere .",[0] -> [1] -> [27] -> [28] -> [29]
"Jeg mener kommunen burde fått handlingsrom til å tilpasse denne støtten ut fra vår økonomiske situasjon , sier ordførerkandidaten .","Jeg mener burde fått kommunen handlingsrom til å tilpasse denne støtten ut fra vår økonomiske situasjon , sier ordførerkandidaten .",[0] -> [1] -> [27] -> [28] -> [29]
I praksis vil kirkens aktive få innflytelse over sin kirke .,I praksis vil få kirkens aktive innflytelse over sin kirke .,[0] -> [1] -> [27] -> [28] -> [29]
Nå er de lengre og friere med kapper og volanger .,Nå er lengre de og friere med kapper og volanger .,[0] -> [1] -> [27] -> [28] -> [29]
"- Det har ført til stor etterspørsel etter nye utstillinger , sier ministerråd Tove Kijewski ved ambassaden i Paris .","- har ført Det til stor etterspørsel etter nye utstillinger , sier ministerråd Tove Kijewski ved ambassaden i Paris .",[0] -> [1] -> [27] -> [28] -> [29]
Ta Phil Scolari Chelsea-manageren som har sagt han aldri ville hatt en homofil spiller på laget sitt .,Ta Phil Scolari Chelsea-manageren som har sagt aldri ville hatt han en homofil spiller på laget sitt .,[0] -> [1] -> [27] -> [28] -> [29]
"Det er enkelte usikre moment i forbindelse med skader , derfor kan jeg ikke gå ut med noen oppstilling ennå , sier Brakstad , som i alle fall vet at Bernt Hulsker ikke skal spille .","Det er enkelte usikre moment i forbindelse med skader , derfor kan ikke gå jeg ut med noen oppstilling ennå , sier Brakstad , som i alle fall vet at Bernt Hulsker ikke skal spille .",[0] -> [1] -> [27] -> [28] -> [29]
"Kanskje har en form for tretthet bredt seg , etter at all motstand tidligere har vist seg så fåfengt , først mot den nåværende skamfering av omgivelsene rundt Oslo S , senere mot et Bjørvika planlagt slik at brukerne kan kjede seg til døde .","Kanskje har en form for tretthet bredt seg , etter at all motstand tidligere har vist seg så fåfengt , først mot den nåværende skamfering av omgivelsene rundt Oslo S , senere mot et Bjørvika planlagt slik at kan kjede brukerne seg til døde .",[0] -> [1] -> [27] -> [28] -> [29]
"Det har altså blitt sånn at selv om man har satt av en hel helg til å jobbe med noe blir det ikke mer enn et par timer igjen til å gjøre det , fordi man "" bare "" skal gjøre ikkenoe først .","Det har altså blitt sånn at selv om man har satt av en hel helg til å jobbe med noe blir det ikke mer enn et par timer igjen til å gjøre det , fordi "" bare "" skal gjøre man ikkenoe først .",[0] -> [1] -> [27] -> [28] -> [29]
Faren ved hans standpunkt er jo nettopp at man skyver langt ut i fremtiden muligheten for å nyttiggjøre seg denne viktige ressursen for Norge .,Faren ved hans standpunkt er jo nettopp at skyver man langt ut i fremtiden muligheten for å nyttiggjøre seg denne viktige ressursen for Norge .,[0] -> [1] -> [27] -> [28] -> [29]
"Vi vil endre politikkens innhold , og vi vil endre politikkens form .","Vi vil endre politikkens innhold , og vil endre vi politikkens form .",[0] -> [1] -> [27] -> [28] -> [29]
"Vi har diskutert gasskraftverk i nesten ti år , og det statsråden signaliserer , er at vi skal fortsette å diskutere dette i ti år til .","Vi har diskutert gasskraftverk i nesten ti år , og det statsråden signaliserer , er at skal fortsette vi å diskutere dette i ti år til .",[0] -> [1] -> [27] -> [28] -> [29]
"Jeg er enig med representanten Hagen på ett punkt , og det er at saksbehandlingstiden fortsatt er utilfredsstillende lang i mange tilfeller , så vi er ikke ferdige med å bygge opp det apparatet og få de ordninger som skal til for å få ned saksbehandlingstiden .","Jeg er enig med representanten Hagen på ett punkt , og det er at fortsatt er utilfredsstillende lang saksbehandlingstiden i mange tilfeller , så vi er ikke ferdige med å bygge opp det apparatet og få de ordninger som skal til for å få ned saksbehandlingstiden .",[0] -> [1] -> [27] -> [28] -> [29]
