sen_str,swapped_sen_str,leaf_rule
"Trong ngôi nhà lớn của gia tộc họ Dương ở phố Hàng Mành , Dương Tuấn cho biết , nhà có truyền thống viết chữ đẹp , nên cũng ham mê luyện chữ đẹp .","Trong ngôi nhà lớn của gia tộc họ Dương ở phố Hàng Mành , Dương Tuấn cho biết , nhà có truyền thống chữ đẹp viết , nên cũng ham mê luyện chữ đẹp .",[0]
"Đáp lời , PGS Đinh Ngọc Vượng , Phó tổng thư ký Ban thư ký đề án biên soạn Bách khoa toàn thư cho biết , cách làm Bách khoa toàn thư của Việt Nam vẫn theo truyền thống nhưng khác với nhiều nước .","Đáp lời , PGS Đinh Ngọc Vượng , Phó tổng thư ký Ban thư ký đề án biên soạn Bách khoa toàn thư cho biết , cách Bách khoa toàn thư làm của Việt Nam vẫn theo truyền thống nhưng khác với nhiều nước .",[0]
"Chúng tôi chưa kịp làm được việc gì để động viên thì nó đã phẫn chí mà chết , bỏ lại vợ trẻ đã mang thai .","Chúng tôi chưa kịp việc gì làm được để động viên thì nó đã phẫn chí mà chết , bỏ lại vợ trẻ đã mang thai .",[0]
"Chuyến đi cùng thủy giới của tôi không thu hoạch được gì nhiều : một tút đạn cũ , một súc gỗ tròn và ba con cá chạch lẩn trốn trong những hốc đá dưới lòng sông .","Chuyến đi cùng thủy giới của tôi không gì thu hoạch được nhiều : một tút đạn cũ , một súc gỗ tròn và ba con cá chạch lẩn trốn trong những hốc đá dưới lòng sông .",[0]
"Ở Đà Nẵng có cặp vợ chồng trẻ mới qua tuổi 20 chưa lâu , sống theo kiểu "" bốn không "" .","Ở Đà Nẵng có cặp vợ chồng trẻ mới tuổi 20 qua chưa lâu , sống theo kiểu "" bốn không "" .",[0]
Từ đó bà dường như không còn ý định bỏ trốn nữa .,Từ đó bà dường như không ý định bỏ trốn còn nữa .,[0]
Anh em bắn lên mọi tín hiệu cấp cứu có được .,Anh em mọi tín hiệu cấp cứu có được bắn lên .,[0]
"Đây là địa bàn có hơn 100 quần thể di tích lịch sử - văn hóa của huyện "" di tích "" Vĩnh Lộc , nổi tiếng dày mật độ di tích nhất tỉnh Thanh .","Đây là địa bàn hơn 100 quần thể di tích lịch sử - văn hóa của huyện "" di tích "" Vĩnh Lộc có , nổi tiếng dày mật độ di tích nhất tỉnh Thanh .",[0]
Nam tắm thường mang điện thoại di động theo người .,Nam tắm thường mang điện thoại di động người theo .,[0]
"Sau khi dọn tài liệu , sách vở , ông sẽ đặt bì thư thật hớ hênh sao cho Kim nhìn vào bàn là nhận ra ngay .","Sau khi tài liệu , sách vở dọn , ông sẽ đặt bì thư thật hớ hênh sao cho Kim nhìn vào bàn là nhận ra ngay .",[0]
Các thám tử khẳng định 90 % là đúng đối tượng .,Các thám tử khẳng định 90 % là đối tượng đúng .,[0]
"Ở xã Gia Huynh , người dân dựa vào một bí thư chi bộ thôn LBKT người chiếm hàng chục hecta đất của viện Nghiên cứu cao su mà chúng tôi đã đề cập bài trước RBKT để ... xuống đường chiếm đất .","Ở xã Gia Huynh , người dân dựa vào một bí thư chi bộ thôn LBKT người chiếm hàng chục hecta đất của viện Nghiên cứu cao su mà chúng tôi đã đề cập bài trước RBKT để ... xuống đường đất chiếm .",[0]
"Không những vậy , để thúc đẩy thị trường máy tính phát triển , chị còn đứng ra tổ chức một hội chợ triển lãm máy vi tính năm 2003 và dự định trong năm 2005 sẽ tổ chức một hội chợ có qui mô lớn hơn .","Không những vậy , để thúc đẩy thị trường máy tính phát triển , chị còn đứng ra tổ chức một hội chợ triển lãm máy vi tính năm 2003 và dự định trong năm 2005 sẽ tổ chức một hội chợ qui mô lớn hơn có .",[0]
