sen_str,swapped_sen_str,leaf_rule
ëhm tana aj dashti apet me shku amo njoni e thirri edhe niher se j a pa kapuqin n tok .,ëhm tana aj dashti apet me shku amo njoni thirri e edhe niher se j a pa kapuqin n tok .,[0] -> [8] -> [9]
ma pa mas pak koe vejne ni djal me ni bicikelln e mer at korpen e ven n bicikell para .,ma pa mas pak koe vejne ni djal me ni bicikelln e mer at korpen ven e n bicikell para .,[0] -> [8] -> [9]
veç m duket çi ka fillua se dikush nji burr ke në ni far peme edhe ka mledh dardha .,veç duket m çi ka fillua se dikush nji burr ke në ni far peme edhe ka mledh dardha .,[0] -> [8] -> [9]
tana erdh ni djal i vogel edhe n gjat qasaj kohes qi qaj buri apet ke aty nalt tu nuk dardha aj djali vogel e murr ni korp me veti edhe j a vjedhi .,tana erdh ni djal i vogel edhe n gjat qasaj kohes qi qaj buri apet ke aty nalt tu nuk dardha aj djali vogel e murr ni korp me veti edhe j vjedhi a .,[0] -> [8] -> [9]
j a vjedh apo j a merr ndoshta edhe e ka vjedh po edhe e vazhdon rrugën dikun ma posht .,j vjedh a apo j a merr ndoshta edhe e ka vjedh po edhe e vazhdon rrugën dikun ma posht .,[0] -> [8] -> [9]
edhe e ka thirren at djalin tha e ki harru .,edhe e ka thirren at djalin tha ki harru e .,[0] -> [8] -> [9]
e ai njeri ëhm i ka pa qysh i kan pas dardhat n dor .,e ai njeri ëhm ka pa i qysh i kan pas dardhat n dor .,[0] -> [8] -> [9]
po njoni qik me bicikel e ka vjedh me ni kofe me dardha edhe iki tani ka ardh me ni tjeter me bicikul j a ka mshu s u rrujt ka ra krejt dardhat jan ra edhe tre djemt kan ardh j a kan ndimu krejt ë vetëm kapuqi n tok ka met .,po njoni qik me bicikel e ka vjedh me ni kofe me dardha edhe iki tani ka ardh me ni tjeter me bicikul j ka mshu a s u rrujt ka ra krejt dardhat jan ra edhe tre djemt kan ardh j a kan ndimu krejt ë vetëm kapuqi n tok ka met .,[0] -> [8] -> [9]
ëdhe ah/ njoni pi atynve djemve atyne tre djemve e ka mar për sicilin ka ni dardh si shpërblim për që i kan ndihmu për veti .,ëdhe ah/ njoni pi atynve djemve atyne tre djemve e ka mar për sicilin ka ni dardh si shpërblim për që kan ndihmu i për veti .,[0] -> [8] -> [9]
edhe vin edhe tre shok tjer nuk e di a jon shok nuk jan shok bavaki ama jan tre persona tjer thmi qe i nimojn j a mushin dardhat me korp .,edhe vin edhe tre shok tjer nuk di e a jon shok nuk jan shok bavaki ama jan tre persona tjer thmi qe i nimojn j a mushin dardhat me korp .,[0] -> [8] -> [9]
tani ajo qika i ka gra apet qshtu ka shku nashta shpi .,tani ajo qika ka gra i apet qshtu ka shku nashta shpi .,[0] -> [8] -> [9]
aj tani ëhëm kadal kadale vjen te posht edhe e she qe i korpa e tret nuk osht ma .,aj tani ëhëm kadal kadale vjen te posht edhe she e qe i korpa e tret nuk osht ma .,[0] -> [8] -> [9]
tani tu i gra bicikllës dikush i ka gra a e din ëdhe ëdhe j a morri kapelën .,tani tu i gra bicikllës dikush ka gra i a e din ëdhe ëdhe j a morri kapelën .,[0] -> [8] -> [9]
nderko aj bujku e ka pa ka zbrit prej shkallt e ka pa qe ni korp p i mungon edhe rrin atu i hutun .,nderko aj bujku ka pa e ka zbrit prej shkallt e ka pa qe ni korp p i mungon edhe rrin atu i hutun .,[0] -> [8] -> [9]
vetem kur ata j a j a gjeten kapelen qe i ra do me than nga koka atina j a dhan ëh tana ë j a i than ëh i fishlloj .,vetem kur ata j a j a gjeten kapelen qe i ra do me than nga koka atina j a dhan ëh tana ë j i than a ëh i fishlloj .,[0] -> [8] -> [9]
pastaj kur e pan ata kapelën e thirrën prap edhe j a dërguan kapelën tek aj .,pastaj kur e pan ata kapelën thirrën e prap edhe j a dërguan kapelën tek aj .,[0] -> [8] -> [9]
ëhm u kon njani qe ka nuk dardha m doket ken .,ëhm u kon njani qe ka nuk dardha doket m ken .,[0] -> [8] -> [9]
ather u kujtu që t j av jep atyre nga ni dardh se fillimisht kur i ndimuan nuk u a dha fare .,ather u kujtu që t j av jep atyre nga ni dardh se fillimisht kur i ndimuan nuk u dha a fare .,[0] -> [8] -> [9]
edhe pse en filim ish aj nuk i dike nuk i dike se a i ka pas tri korba apo dy se njona vetëm se kishte humbur edhe kshtu përfundon kjo storja .,edhe pse en filim ish aj nuk dike i nuk i dike se a i ka pas tri korba apo dy se njona vetëm se kishte humbur edhe kshtu përfundon kjo storja .,[0] -> [8] -> [9]
tash qka bon ky djali osht i kqyr dardhat niher edhe mandej kap krejt korbën e qet mbi biciklet edhe niset .,tash qka bon ky djali osht i kqyr dardhat niher edhe mandej kap krejt korbën qet e mbi biciklet edhe niset .,[0] -> [8] -> [9]
vetem kur ata j a j a gjeten kapelen qe i ra do me than nga koka atina j a dhan ëh tana ë j a i than ëh i fishlloj .,vetem kur ata j a j a gjeten kapelen qe ra i do me than nga koka atina j a dhan ëh tana ë j a i than ëh i fishlloj .,[0] -> [8] -> [9]
ndërkoh që ky zotria i dardhës kishte zbritur posht dhe e pa se ati i mungonte njëri kosh dhe nuk e dinte cili j a mori .,ndërkoh që ky zotria i dardhës kishte zbritur posht dhe e pa se ati i mungonte njëri kosh dhe nuk e dinte cili j mori a .,[0] -> [8] -> [9]
edhe aj kalon pastaj ky ëhm i i zbraz dardhat në at ku i ëhm ëhm at kofën apo qysh m i thon .,edhe aj kalon pastaj ky ëhm i i zbraz dardhat në at ku ëhm ëhm at kofën i apo qysh m i thon .,[0] -> [8] -> [9]
ëh dhe shef kta fëmit në momenti qe i prak .,ëh dhe shef kta fëmit në momenti qe prak i .,[0] -> [8] -> [9]
e kur e pa që ëh aj po vilte dardha dhë s po shiftë aj mur gjysa shportën ëdhe më biqiklet vazhdoj rrugën .,e kur pa e që ëh aj po vilte dardha dhë s po shiftë aj mur gjysa shportën ëdhe më biqiklet vazhdoj rrugën .,[0] -> [8] -> [9]
edhe i shtike napër korpa ato tri kopra i pat .,edhe shtike i napër korpa ato tri kopra i pat .,[0] -> [8] -> [9]
athere e murrën sheshirin edhe vrapun i fishkllun me j a dhan m u ndal .,athere e murrën sheshirin edhe vrapun i fishkllun me j dhan a m u ndal .,[0] -> [8] -> [9]
ata fmit e ndihmojn për m i marr dardhat m i mledh .,ata fmit e ndihmojn për m i marr dardhat m mledh i .,[0] -> [8] -> [9]
ëhm ata i nimojn /m u qu edhe me vazhdu rrugën .,ëhm ata nimojn i /m u qu edhe me vazhdu rrugën .,[0] -> [8] -> [9]
ëh ater ater s e ka hup po e ka hup edhe ni kapuq aj djali se e kan gjet ato tre djem .,ëh ater ater s ka hup e po e ka hup edhe ni kapuq aj djali se e kan gjet ato tre djem .,[0] -> [8] -> [9]
kalojn me tri dardha tu i hanger .,kalojn me tri dardha tu hanger i .,[0] -> [8] -> [9]
si u qu n kam i erdhen do djem do fmi tjer i ndimun atina .,si u qu n kam erdhen i do djem do fmi tjer i ndimun atina .,[0] -> [8] -> [9]
edhe njani pej tyne e thrret e i thet hej merre kapuqin .,edhe njani pej tyne e thrret e thet i hej merre kapuqin .,[0] -> [8] -> [9]
tane erdhën do njo tre fmi tjer i ndimun i mledhën aty e i ra edhe kapuqi ati djalit .,tane erdhën do njo tre fmi tjer ndimun i i mledhën aty e i ra edhe kapuqi ati djalit .,[0] -> [8] -> [9]
e ka pas si vesh si ni far kicelke pu m dokët i thojn e bardh .,e ka pas si vesh si ni far kicelke pu m dokët thojn i e bardh .,[0] -> [8] -> [9]
per a din per m i falenderus qeshtu j a ka dhan aj djali ë dardha atyna tre djemve .,per a din per m falenderus i qeshtu j a ka dhan aj djali ë dardha atyna tre djemve .,[0] -> [8] -> [9]
ateheres ni djal me ni toqak erdhi ene mori ni shport ene e vuni mrapa ke toqaku .,ateheres ni djal me ni toqak erdhi ene mori ni shport ene vuni e mrapa ke toqaku .,[0] -> [8] -> [9]
tani erdhen tre djem edhe e ndimun e ndimun .,tani erdhen tre djem edhe ndimun e e ndimun .,[0] -> [8] -> [9]
po njoni qik me bicikel e ka vjedh me ni kofe me dardha edhe iki tani ka ardh me ni tjeter me bicikul j a ka mshu s u rrujt ka ra krejt dardhat jan ra edhe tre djemt kan ardh j a kan ndimu krejt ë vetëm kapuqi n tok ka met .,po njoni qik me bicikel e ka vjedh me ni kofe me dardha edhe iki tani ka ardh me ni tjeter me bicikul j a ka mshu s u rrujt ka ra krejt dardhat jan ra edhe tre djemt kan ardh j kan ndimu a krejt ë vetëm kapuqi n tok ka met .,[0] -> [8] -> [9]
edhe viq j a merr ni korp plot me dardha edhe e qet n bicikul edhe niset .,edhe viq j a merr ni korp plot me dardha edhe qet e n bicikul edhe niset .,[0] -> [8] -> [9]
ky njeri i ka pa qe i kan dardha .,ky njeri ka pa i qe i kan dardha .,[0] -> [8] -> [9]
ndërkoh që ky zotria i dardhës kishte zbritur posht dhe e pa se ati i mungonte njëri kosh dhe nuk e dinte cili j a mori .,ndërkoh që ky zotria i dardhës kishte zbritur posht dhe e pa se ati i mungonte njëri kosh dhe nuk dinte e cili j a mori .,[0] -> [8] -> [9]
dardhat ëhm u shkapërterdhën napër tok dhe menjëher j a filloj m i mar dardhat dhe m i fut prap n shport .,dardhat ëhm u shkapërterdhën napër tok dhe menjëher j filloj a m i mar dardhat dhe m i fut prap n shport .,[0] -> [8] -> [9]
kjo pat e përfaqsoi se aj shkoj edhe e goditi me me biqiklet gurin edhe u urrxue me biqiklet dhe me dardha me të gjitha do me thon ra në rrug .,kjo pat përfaqsoi e se aj shkoj edhe e goditi me me biqiklet gurin edhe u urrxue me biqiklet dhe me dardha me të gjitha do me thon ra në rrug .,[0] -> [8] -> [9]
edhe pa e pa edhe pa e ndegju aj burri aty lart qe osht mbi shkall e merr ata .,edhe pa pa e edhe pa e ndegju aj burri aty lart qe osht mbi shkall e merr ata .,[0] -> [8] -> [9]
po m doket me nja .,po doket m me nja .,[0] -> [8] -> [9]
madje ëdhe kur i ra njëra e fshiu dhë tregonte shum kujdes dashurie për at pun që bonte .,madje ëdhe kur i ra njëra fshiu e dhë tregonte shum kujdes dashurie për at pun që bonte .,[0] -> [8] -> [9]
por ëhm poashtu edhe kta ëhm ky grupi me kta djemt ëhm ëhm rrugës që po ecnin kaluan nga dardha ku fshatari ishte duke i vjelur .,por ëhm poashtu edhe kta ëhm ky grupi me kta djemt ëhm ëhm rrugës që po ecnin kaluan nga dardha ku fshatari ishte duke vjelur i .,[0] -> [8] -> [9]
edhe kshtu mes veti ata tani apet ata tani afrohen te aj djali edhe i nimojn t i marrin dardhat i shtin apet n korb .,edhe kshtu mes veti ata tani apet ata tani afrohen te aj djali edhe nimojn i t i marrin dardhat i shtin apet n korb .,[0] -> [8] -> [9]
ëhm dardhat i mledh me tesha do me thon i shti n xhep t teshave .,ëhm dardhat i mledh me tesha do me thon shti i n xhep t teshave .,[0] -> [8] -> [9]
rrugës andej ai e kishte par që/ e kishte par ni vajz ku ai duke e shikuar at vajzën e jo duke e shikuar rrugën e vet pahiri j a kishte prekur do me thon ëhm kapelën asaj dhe ishte ishte goditur për ni guri ku ishte lëndu ky djali .,rrugës andej ai kishte par e që/ e kishte par ni vajz ku ai duke e shikuar at vajzën e jo duke e shikuar rrugën e vet pahiri j a kishte prekur do me thon ëhm kapelën asaj dhe ishte ishte goditur për ni guri ku ishte lëndu ky djali .,[0] -> [8] -> [9]
dardhat ëhm u shkapërterdhën napër tok dhe menjëher j a filloj m i mar dardhat dhe m i fut prap n shport .,dardhat ëhm u shkapërterdhën napër tok dhe menjëher j a filloj m i mar dardhat dhe m fut i prap n shport .,[0] -> [8] -> [9]
tash a une e kuptova qe aj e vjedhi at korpen j a mur ati plakut .,tash a une e kuptova qe aj e vjedhi at korpen j mur a ati plakut .,[0] -> [8] -> [9]
e ktu besoj zoti pak j a ka kthy .,e ktu besoj zoti pak j ka kthy a .,[0] -> [8] -> [9]
edhe i mledhin dardhat edhe i vendosin n korp e tani ata e morrin ka ni dardh thmit tjer pastaj hecin .,edhe i mledhin dardhat edhe vendosin i n korp e tani ata e morrin ka ni dardh thmit tjer pastaj hecin .,[0] -> [8] -> [9]
e kush e di ku e kan quar koshin .,e kush di e ku e kan quar koshin .,[0] -> [8] -> [9]
edhe po m doket i ka vjell dardhat edhe i ka mar .,edhe po m doket i ka vjell dardhat edhe ka mar i .,[0] -> [8] -> [9]
pastaj ato gajbet qe i mbushte me dardha .,pastaj ato gajbet qe mbushte i me dardha .,[0] -> [8] -> [9]
tani aj djali ka dasht me kqyr kush e j a ka marr ëdhe tu i kthy kryt u rrxu ëdhe prej ni guri .,tani aj djali ka dasht me kqyr kush e j ka marr a ëdhe tu i kthy kryt u rrxu ëdhe prej ni guri .,[0] -> [8] -> [9]
edhe ata i pa tu hangër dardh mirpo shporta i mungojke edhe ashtu i habitur met pa fjal ke mir .,edhe ata i pa tu hangër dardh mirpo shporta mungojke i edhe ashtu i habitur met pa fjal ke mir .,[0] -> [8] -> [9]
përseri i vëndos në shport dhë nisëtë ëdhë djemtëh vazhdojn në rrugën e tyre .,përseri vëndos i në shport dhë nisëtë ëdhë djemtëh vazhdojn në rrugën e tyre .,[0] -> [8] -> [9]
hipke nalt me do si far shkall i mirke ato dardhët i shtike me ni si far thesi .,hipke nalt me do si far shkall i mirke ato dardhët shtike i me ni si far thesi .,[0] -> [8] -> [9]
tani aj burri e ka pa qe ni korp me dardha nuk u kan mo aty e tani i ka pa ata djemt me dardh edhe veq i ka kshyr .,tani aj burri e ka pa qe ni korp me dardha nuk u kan mo aty e tani i ka pa ata djemt me dardh edhe veq ka kshyr i .,[0] -> [8] -> [9]
a aj tjetri s e ka pa hiq .,a aj tjetri s ka pa e hiq .,[0] -> [8] -> [9]
tani ky i falenderon ata j a jep ka ni dardh secilit edhe ëhm masanej ata tre fmit që i kan nimu kti djalit kalojn ka ajo dardha ku aj burri që u kon tu i mledh e sheh që p i mungon ni shport .,tani ky i falenderon ata j a jep ka ni dardh secilit edhe ëhm masanej ata tre fmit që i kan nimu kti djalit kalojn ka ajo dardha ku aj burri që u kon tu mledh i e sheh që p i mungon ni shport .,[0] -> [8] -> [9]
vetem kur ata j a j a gjeten kapelen qe i ra do me than nga koka atina j a dhan ëh tana ë j a i than ëh i fishlloj .,vetem kur ata j a j a gjeten kapelen qe i ra do me than nga koka atina j a dhan ëh tana ë j a i than ëh fishlloj i .,[0] -> [8] -> [9]
tri djem tjer e pan edhe i nimun m u qu .,tri djem tjer pan e edhe i nimun m u qu .,[0] -> [8] -> [9]
aj e ka ni urrxohët me at bicikletën e tina .,aj ka ni e urrxohët me at bicikletën e tina .,[0] -> [8] -> [9]
ëh dardhat i kan shti te korpa i kan nimu m u qu n kam .,ëh dardhat i kan shti te korpa kan nimu i m u qu n kam .,[0] -> [8] -> [9]
ateher iku ene kaloj ni couc e bukur edhe e pa ene iku kapa .,ateher iku ene kaloj ni couc e bukur edhe pa e ene iku kapa .,[0] -> [8] -> [9]
j a mur ni korp e vu n bicikell .,j a mur ni korp vu e n bicikell .,[0] -> [8] -> [9]
i ndimojn me mledh ato dardha j a qesin n korp e masanena hec aj .,i ndimojn me mledh ato dardha j qesin a n korp e masanena hec aj .,[0] -> [8] -> [9]
ata tri i kan honger .,ata tri kan honger i .,[0] -> [8] -> [9]
e ato tri djel i kan nimu ati djalit m i mledh dardhat edhe m i j a qit n biciklet .,e ato tri djel i kan nimu ati djalit m i mledh dardhat edhe m j a qit i n biciklet .,[0] -> [8] -> [9]
