sen_str,swapped_sen_str,leaf_rule
"Programme ontwikkel wat belegging sal vergemaklik in sektore wat deel uitmaak van die voorsieningsketting vir ons infrastruktuur , met inbegrip van kapitaalgoedere , inligting en kommunikasie-tegnologie ( ICT ) , vervoer en energie .","Programme ontwikkel wat belegging sal vergemaklik in sektore deel uitmaak wat van die voorsieningsketting vir ons infrastruktuur , met inbegrip van kapitaalgoedere , inligting en kommunikasie-tegnologie ( ICT ) , vervoer en energie .",[0] -> [14]
"Tesame met die vordering wat ons maak ten opsigte van die verskeidenheid van ingrypings wat op die vermindering van armoede gerig is , gaan ons voort om 'n aantal tekortkominge aan te spreek , insluitend die prosessering van die Konsepwet op Grondgebruik , die finalisering van grondhervormingsgevalle , die ondersteuningsprogram vir diegene wat grond bekom , en die ontwikkeling en implementering van 'n vasgestelde landelike ontwikkelingsprogram .","Tesame met die vordering wat ons maak ten opsigte van die verskeidenheid van ingrypings wat op die vermindering van armoede gerig is , gaan ons voort om 'n aantal tekortkominge aan te spreek , insluitend die prosessering van die Konsepwet op Grondgebruik , die finalisering van grondhervormingsgevalle , die ondersteuningsprogram vir diegene grond bekom wat , en die ontwikkeling en implementering van 'n vasgestelde landelike ontwikkelingsprogram .",[0] -> [14]
"Die derde betaling is 'n vrywillige betaling , wat enige voorlopige belastingbetaler mag maak .","Die derde betaling is 'n vrywillige betaling , enige voorlopige belastingbetaler mag maak wat .",[0] -> [14]
"Ek verwys vandag na hierdie belangrike gebeurtenis , want die uitdagings wat ons tans in die gesig staar het daartoe gelei dat sommige mense elders in die wêreld weereens wonder of ons in staat is om hierdie toernooie suksesvol aan te bied .","Ek verwys vandag na hierdie belangrike gebeurtenis , want die uitdagings ons tans in die gesig staar wat het daartoe gelei dat sommige mense elders in die wêreld weereens wonder of ons in staat is om hierdie toernooie suksesvol aan te bied .",[0] -> [14]
Môre sal ons die laaste eer aan haar betoon wanneer ons haar oorskot ter aarde bestel .,Môre sal die laaste eer aan haar betoon ons wanneer ons haar oorskot ter aarde bestel .,[0] -> [14]
"Wat belangrik is , is dat die voordele van groei werkskepping moet insluit en moet verseker dat daar behoorlike werk is .","Wat belangrik is , is dat werkskepping moet insluit die voordele van groei en moet verseker dat daar behoorlike werk is .",[0] -> [14]
"Die aansoeker moet 'n regspersoon wees , byvoorbeeld Johan Pieters Burger wat handel dryf as Diepsloot-stoetery .","Die aansoeker moet 'n regspersoon wees , byvoorbeeld Johan Pieters Burger handel dryf wat as Diepsloot-stoetery .",[0] -> [14]
"Indien leerders meer as een assesseringsaktiwiteit gedoen het , bestaan die versoeking om die punte op te tel en die gemiddeld uit te werk .","Indien meer as een assesseringsaktiwiteit gedoen leerders het , bestaan die versoeking om die punte op te tel en die gemiddeld uit te werk .",[0] -> [14]
"Indien betaling elektronies geskied , moet jy voorsiening maak vir jou bank se afsluittye en 'n verrekeningstyd van tussen twee en vyf dae .","Indien betaling elektronies geskied , moet voorsiening maak jy vir jou bank se afsluittye en 'n verrekeningstyd van tussen twee en vyf dae .",[0] -> [14]
"Terwyl die verbruikersbloeitydperk , aangevuur deur meer werksgeleenthede , stygende inkomste en laer inflasie- en rentekoerse , in hierdie verband 'n rol gespeel het , word ons bemoedig deur die breë spektrum geleenthede vir verdere ontwikkeling in die toekoms .","Terwyl in hierdie verband 'n rol gespeel die verbruikersbloeitydperk , aangevuur deur meer werksgeleenthede , stygende inkomste en laer inflasie- en rentekoerse , het , word ons bemoedig deur die breë spektrum geleenthede vir verdere ontwikkeling in die toekoms .",[0] -> [14]
