sen_str,swapped_sen_str,leaf_rule
"men menggü waqitni yëngelmeydighanliqimni bilsemmu , biraq eslidikidin bir qedem bolsimu tëz yügürgili bolidighanliqini chüshinip yettim .","men menggü waqitni yëngelmeydighanliqimni bilsemmu , biraq chüshinip eslidikidin bir qedem bolsimu tëz yügürgili bolidighanliqini yettim .",[0]
biraq numusni bilmeydighan bir adem keynimde turup xëtimni oghriliqche oquwatidu » .,biraq numusni bilmeydighan bir adem keynimde turup oghriliqche oquwatidu xëtimni » .,[0]
"u ushtumtut wapat bolghandin këyin , teqdirni ten ëlishni öginiwaldim .","u ushtumtut wapat bolghandin këyin , ten ëlishni teqdirni öginiwaldim .",[0]
ular uchup –leylep küzning salqin hawasini ëlip keldi .,ular uchup –leylep ëlip keldi küzning salqin hawasini .,[0]
"bir küni lënin baghchidiki hëliqi qëyinning yënigha kelgende , toq qizil töshlük boz torghayning yoqluqini bayqap qaldi .","bir küni lënin baghchidiki hëliqi qëyinning yënigha kelgende , bayqap toq qizil töshlük boz torghayning yoqluqini qaldi .",[0]
"beziliri dizize chikip , birawliri ishk qiqip uni aramida normal yashighili qoymaytti .","beziliri dizize chikip , birawliri ishk qiqip aramida normal yashighili qoymaytti uni .",[0]
padishah özi eng aliy chewendazlirini bashlap bëriptu .,padishah özi bashlap eng aliy chewendazlirini bëriptu .,[0]
"bugha . . öküz . . qochqar . . . . , - riyasetchi bala münggüzlük haywanlarning namigha ulapla , münggüzsiz haywanlarning naminimu mahirliq bilen qisturiwëtetti ,","bugha . . öküz . . qochqar . . . . , - riyasetchi bala münggüzlük haywanlarning namigha ulapla , mahirliq bilen qisturiwëtetti münggüzsiz haywanlarning naminimu ,",[0]
"ayalim qolini qolumdin ëlip hoyligha chiqti we wëlisipitini ëlip : — arqa derwazigha chiqip këley ! kelgende hemmini sözlep bërimen , – dëdi .","ayalim qolini qolumdin ëlip hoyligha chiqti we ëlip wëlisipitini : — arqa derwazigha chiqip këley ! kelgende hemmini sözlep bërimen , – dëdi .",[0]
"shunga , qizimni ëlip qëlip , oghlumni bëriwetken bolsila .","shunga , ëlip qizimni qëlip , oghlumni bëriwetken bolsila .",[0]
"qoylarni otlaqqa qoyup bërip , turup kallisigha , kishilerni bir exmeq qilmaymu , dëgen oy këchiptu - de , peske qarap : - böre keldi ! way böre keldi ! - dep towlaptu .","qoylarni otlaqqa qoyup bërip , turup kallisigha , bir exmeq qilmaymu kishilerni , dëgen oy këchiptu - de , peske qarap : - böre keldi ! way böre keldi ! - dep towlaptu .",[0]
_ men hëchkimni qoghdiyalmidim ?,_ men qoghdiyalmidim hëchkimni ?,[0]
"lëkin , krayning aldida xataliqimni ëtirap qilsam , yüzüm chüshüp ketmemdu !","lëkin , krayning aldida ëtirap qilsam xataliqimni , yüzüm chüshüp ketmemdu !",[0]
shundaq qilsingiz choqum nurghun–nurghun nersilerni bayqiwalalaysiz ;,shundaq qilsingiz choqum bayqiwalalaysiz nurghun–nurghun nersilerni ;,[0]
"köpligen tawi nazuk kishilerning birer – yërim ëghiz qattiq söz anglisila chidimay qalidighanliqini tonup yetken bolghachqa , imkaniyetning bariche sezgür mijezimni tizginlep keldim .","köpligen tawi nazuk kishilerning birer – yërim ëghiz qattiq söz anglisila chidimay qalidighanliqini tonup yetken bolghachqa , imkaniyetning bariche tizginlep sezgür mijezimni keldim .",[0]
"qaysi aile öy salmaqchi , qaysi aile sapan yasimaqchi bolsa , shu ailidikiler paltilirini kötürüp taghqa chiqip derexlerni kësidiken .","qaysi aile öy salmaqchi , qaysi aile sapan yasimaqchi bolsa , shu ailidikiler paltilirini kötürüp taghqa chiqip kësidiken derexlerni .",[0]
"anglashlargha qarighanda , chashqanlar ta hazirghiche bu ishni detalash qilidiken ,","anglashlargha qarighanda , chashqanlar ta hazirghiche detalash qilidiken bu ishni ,",[0]
"- timsah aka , bu besh qizni deryadin ötküzüp qoysingiz ,","- timsah aka , deryadin ötküzüp bu besh qizni qoysingiz ,",[0]
