sen_str,swapped_sen_str,leaf_rule
"స్నేహితుడవు గదా , కాస్త వాడికి నచ్చజెప్పుదూ ?","స్నేహితుడవు గదా , కాస్త నచ్చజెప్పుదూ వాడికి ?",[0] -> [1]
మీకు కాఫీయా టీయా కావాలి ?,మీకు కావాలి కాఫీయా టీయా ?,[0] -> [1]
ఒక వారం లోపల ఈ పని చేయగలుగుతావా ?,ఒక వారం లోపల చేయగలుగుతావా ఈ పని ?,[0] -> [1]
"అంగడికి వెళ్తే , మామిడి పండ్లు దొరుకుతాయి .","అంగడికి వెళ్తే , దొరుకుతాయి మామిడి పండ్లు .",[0] -> [1]
"రాము ఇంటికి వెళ్ళి, పేపరు చదువుతాడు .","రాము ఇంటికి వెళ్ళి, చదువుతాడు పేపరు .",[0] -> [1]
"నిన్ను కాపాడుతున్నాను గదా , నాకు తిండి పెట్టు !","నిన్ను కాపాడుతున్నాను గదా , నాకు పెట్టు తిండి !",[0] -> [1]
శర్మగారు వెళ్ళేది నాకు తెలియదు .,శర్మగారు వెళ్ళేది తెలియదు నాకు .,[0] -> [1]
వాళ్ళు మమ్మల్ని పెండ్లికి పిలవటానికి వచ్చేరు .,వాళ్ళు పెండ్లికి పిలవటానికి మమ్మల్ని వచ్చేరు .,[0] -> [1]
అందరికీ అర్థం అయ్యేటట్టు పరిస్థితులు వివరించేరు .,అందరికీ అర్థం అయ్యేటట్టు వివరించేరు పరిస్థితులు .,[0] -> [1]
"నడుస్తూ , కథ చెప్పేడు .","నడుస్తూ , చెప్పేడు కథ .",[0] -> [1]
"పిల్ల వాడికి ఆకలైంది కాబట్టి , పాలు ఇవ్వు .","పిల్ల వాడికి ఆకలైంది కాబట్టి , ఇవ్వు పాలు .",[0] -> [1]
మాకు డబ్బు కావాలి .,మాకు కావాలి డబ్బు .,[0] -> [1]
"రాము ఇడ్లీలు తింటాడు , కాఫీ తాగేడు .","రాము ఇడ్లీలు తింటాడు , తాగేడు కాఫీ .",[0] -> [1]
"మీకు కాఫీ కావాలా , టీ కావాలా ?","మీకు కావాలా కాఫీ , టీ కావాలా ?",[0] -> [1]
రూపాయికి చేరెడు బియ్యం రావటం లేదు .,రూపాయికి రావటం లేదు చేరెడు బియ్యం .,[0] -> [1]
నాకు సిగరెట్లు కాల్చే అలవాటు ఉండేది .,నాకు కాల్చే సిగరెట్లు అలవాటు ఉండేది .,[0] -> [1]
"మావాళ్ళు వస్తే , తాళంచెవి ఇవ్వండి .","మావాళ్ళు వస్తే , ఇవ్వండి తాళంచెవి .",[0] -> [1]
