sen_str,swapped_sen_str,leaf_rule
"Viens no spilgtākajiem politiķiem , kas aizstāv šo ideju ir bijušais Beļģijas premjerministrs Gijs Verhofstads .","Viens no spilgtākajiem politiķiem , aizstāv kas šo ideju ir bijušais Beļģijas premjerministrs Gijs Verhofstads .",[0] -> [1] -> [2] -> [3]
"Tāpat programmu papildinās sarunas , kā arī režisora un operatora Gunta Lēmaņa veidotās audiovizuālās gleznas , kas tapušas , iedvesmojoties no Rozentāla darbiem , kuros redzama mākslinieka dzīvesbiedre .","Tāpat programmu papildinās sarunas , kā arī režisora un operatora Gunta Lēmaņa veidotās audiovizuālās gleznas , tapušas kas , iedvesmojoties no Rozentāla darbiem , kuros redzama mākslinieka dzīvesbiedre .",[0] -> [1] -> [2] -> [3]
"Es uzkavējos koku ēnā , man bija karsti mētelī , bet tas man bija vajadzīgs , tā kabatas bija pilnas ar manu dzīvi .","Es uzkavējos koku ēnā , man bija karsti mētelī , bet man bija vajadzīgs tas , tā kabatas bija pilnas ar manu dzīvi .",[0] -> [1] -> [2] -> [3]
Un tad mēs bijām klāt .,Un tad bijām klāt mēs .,[0] -> [1] -> [2] -> [3]
"Kad beidzot atguvu spēju runāt , es viņam jautāju : - Bet … ko tad tu še dari ?","Kad beidzot atguvu spēju runāt , es viņam jautāju : - Bet … ko tad še dari tu ?",[0] -> [1] -> [2] -> [3]
"Bijis izkritis arī kāds stikls , kas , iespējams , sasprādzis no karstuma .","Bijis izkritis arī kāds stikls , , iespējams , sasprādzis kas no karstuma .",[0] -> [1] -> [2] -> [3]
"“ Reāli jau tas nedarbojas , jo mazie smēķētāji palūdz tabakas izstrādājumus nopirkt kādu pieaugušo , ” atzīst policists .","“ Reāli jau nedarbojas tas , jo mazie smēķētāji palūdz tabakas izstrādājumus nopirkt kādu pieaugušo , ” atzīst policists .",[0] -> [1] -> [2] -> [3]
Šobrīd viņš pārvietojas ratiņkrēslā un pat nevar aizšņorēt savas kurpes .,Šobrīd pārvietojas viņš ratiņkrēslā un pat nevar aizšņorēt savas kurpes .,[0] -> [1] -> [2] -> [3]
"Sigrijs runāja tādā tonī , it kā pūlēdamies pats ar dzeloni iedzelt dakterim par to , ka viņš ielauzies svešā teritorijā .","Sigrijs runāja tādā tonī , it kā pūlēdamies pats ar dzeloni iedzelt dakterim par to , ka ielauzies viņš svešā teritorijā .",[0] -> [1] -> [2] -> [3]
"Vēlreiz zvanīju pa Valentīnas kundzes uzrādīto tālruņa numuru , un viņa atkal apgalvoja , ka dati esot pareizi .","Vēlreiz zvanīju pa Valentīnas kundzes uzrādīto tālruņa numuru , un atkal apgalvoja viņa , ka dati esot pareizi .",[0] -> [1] -> [2] -> [3]
"« Zaiga , tagad tu ej ārā , tagad tu zaudēji ! » , « Tagad tev ir jāvingro » , « Nostājies uz vienas kājas . »","« Zaiga , tagad ej tu ārā , tagad tu zaudēji ! » , « Tagad tev ir jāvingro » , « Nostājies uz vienas kājas . »",[0] -> [1] -> [2] -> [3]
"- Viņš man pāri nedarīs , - meitene pēkšņi ļoti pārliecināti teica .","- man pāri nedarīs Viņš , - meitene pēkšņi ļoti pārliecināti teica .",[0] -> [1] -> [2] -> [3]
"Teorijā tas izklausās ļoti vienkārši : ņemam spirtu , piesperam klāt kadiķogu eļļu un tad pēc garšas visus pārējos labumus .","Teorijā izklausās tas ļoti vienkārši : ņemam spirtu , piesperam klāt kadiķogu eļļu un tad pēc garšas visus pārējos labumus .",[0] -> [1] -> [2] -> [3]
""" Ir tikai nedaudzi citi bez baltvāciešiem , "" viņš rakstīja , "" kam ir tik cieši kontakti ar vienkāršajiem cilvēkiem Padomju Savienībā .",""" Ir tikai nedaudzi citi bez baltvāciešiem , "" rakstīja viņš , "" kam ir tik cieši kontakti ar vienkāršajiem cilvēkiem Padomju Savienībā .",[0] -> [1] -> [2] -> [3]
"Šajā periodā VZD saņemti 53 738 pieprasījumi par 86 327 zemes vienībām 348 646,99 ha platībā , kas ir 5,4 % no Latvijas kopplatības un veido vairāk nekā 75 % no zemes pastāvīgajiem lietotājiem , kuri pieteikumus varēja iesniegt .","Šajā periodā VZD saņemti 53 738 pieprasījumi par 86 327 zemes vienībām 348 646,99 ha platībā , ir 5,4 % kas no Latvijas kopplatības un veido vairāk nekā 75 % no zemes pastāvīgajiem lietotājiem , kuri pieteikumus varēja iesniegt .",[0] -> [1] -> [2] -> [3]
"Visas šīs pajumtes , viesnīcas , alas , viesu mājas , marcipāna mājas , tās , kā izrādījās , nebija manas mājas , kas tur dramatisks , ja es tās pametu .","Visas šīs pajumtes , viesnīcas , alas , viesu mājas , marcipāna mājas , tās , kā izrādījās , nebija manas mājas , kas tur dramatisks , ja tās pametu es .",[0] -> [1] -> [2] -> [3]
"– Tēti , Rainim ūdenī muša , – – Jurģis norūpējies teica , un es cēlos , izlēju veco pieputējušo ūdeni , kurā tiešām peldēja nosprāgusi muša , un ielēju jaunu .","– Tēti , Rainim ūdenī muša , – – Jurģis norūpējies teica , un cēlos es , izlēju veco pieputējušo ūdeni , kurā tiešām peldēja nosprāgusi muša , un ielēju jaunu .",[0] -> [1] -> [2] -> [3]
"- Tu jau katru dienu zvani mammai , - viņš atbild , - un viņa man visu pastāsta .","- Tu jau katru dienu zvani mammai , - viņš atbild , - un man visu pastāsta viņa .",[0] -> [1] -> [2] -> [3]
"Vienmēr pavēro arī pašu zemeņu pārdevēju – tie , kas savas zemeņu kastītes pārvieto ar maigumu , visticamāk , arī paši ir savu zemeņu audzētāji .","Vienmēr pavēro arī pašu zemeņu pārdevēju – tie , savas zemeņu kastītes pārvieto kas ar maigumu , visticamāk , arī paši ir savu zemeņu audzētāji .",[0] -> [1] -> [2] -> [3]
"Ja sastapu kādu cilvēku , kas man šķita mazliet saprātīgāks , es eksperimentēju ar viņu , rādot savu pirmo zīmējumu , ko vēl arvien esmu saglabājis .","Ja sastapu kādu cilvēku , man šķita kas mazliet saprātīgāks , es eksperimentēju ar viņu , rādot savu pirmo zīmējumu , ko vēl arvien esmu saglabājis .",[0] -> [1] -> [2] -> [3]
"Es nesen dzirdēju lielisku stāstu , kuru man patīk pārstāstīt .","Es nesen dzirdēju lielisku stāstu , kuru patīk man pārstāstīt .",[0] -> [1] -> [2] -> [3]
"Sofija bija pilnīgi pārliecināta , ka tas , kurš bija uzrakstījis šīs anonīmās vēstules , atkal mēģinās nodibināt kontaktus ar viņu .","Sofija bija pilnīgi pārliecināta , ka tas , bija uzrakstījis kurš šīs anonīmās vēstules , atkal mēģinās nodibināt kontaktus ar viņu .",[0] -> [1] -> [2] -> [3]
"Vairāk es neko neteicu , bet viņš saprata : japāņi ātri uzcels metro un aizbrauks , bet , ja šeit uz palikšanu apmetīsies metro cēlāji no citām republikām , latviešu tauta tiks pievesta vēl tuvāk demogrāfiskai iznīcībai .","Vairāk neko neteicu es , bet viņš saprata : japāņi ātri uzcels metro un aizbrauks , bet , ja šeit uz palikšanu apmetīsies metro cēlāji no citām republikām , latviešu tauta tiks pievesta vēl tuvāk demogrāfiskai iznīcībai .",[0] -> [1] -> [2] -> [3]
"No metodiskā viedokļa tika konstatēts , ka intervijas ar mazrunīgiem cilvēkiem vai tiem , kuri vēlējās sekot dzīves vēstures intervijas noteikumiem , prasīja lielāku sagatavošanos no intervētāju puses .","No metodiskā viedokļa tika konstatēts , ka intervijas ar mazrunīgiem cilvēkiem vai tiem , vēlējās kuri sekot dzīves vēstures intervijas noteikumiem , prasīja lielāku sagatavošanos no intervētāju puses .",[0] -> [1] -> [2] -> [3]
1970. gada aprīlī tas nonāca mistera Paskua īpašumā un tika pārvests uz Džersiju .,1970. gada aprīlī nonāca tas mistera Paskua īpašumā un tika pārvests uz Džersiju .,[0] -> [1] -> [2] -> [3]
"„ Mēs strādāsim vēl vairāk , mūsu ciems atkal uzplauks , ” cilvēki teica un sarāva dūšīgāk .","„ strādāsim Mēs vēl vairāk , mūsu ciems atkal uzplauks , ” cilvēki teica un sarāva dūšīgāk .",[0] -> [1] -> [2] -> [3]
"Un man likās , ka tas ir kādā slepenā dūrienā izšūts roku darbs .","Un man likās , ka ir kādā slepenā dūrienā izšūts roku darbs tas .",[0] -> [1] -> [2] -> [3]
"Bet mans laiks vēl nav pienācis , tā es sev saku .","Bet mans laiks vēl nav pienācis , tā sev saku es .",[0] -> [1] -> [2] -> [3]
"Tad jutu , ka rati kustas , it kā kāds tos bakstītu , jā , ir , paskatos , tante ar savu spieķi , pabāzusi zem barjeras , kas nošķir ratiņvietas no sēdvietām , un cītīgi baksta man ratus .","Tad jutu , ka rati kustas , it kā kāds tos bakstītu , jā , ir , paskatos , tante ar savu spieķi , pabāzusi zem barjeras , nošķir kas ratiņvietas no sēdvietām , un cītīgi baksta man ratus .",[0] -> [1] -> [2] -> [3]
Nu jau pieaudzis viņš labprāt pastaigājas pa nepazīstamām vietām dabā un pa Losandželosu regulāri brauc ar riteni .,Nu jau pieaudzis labprāt pastaigājas viņš pa nepazīstamām vietām dabā un pa Losandželosu regulāri brauc ar riteni .,[0] -> [1] -> [2] -> [3]
"Parasti šādi apavi ir ar izteikti šauriem un neērtiem purngaliem , kas , spiežot pirkstus kopā , rada deformācijas pēdā .","Parasti šādi apavi ir ar izteikti šauriem un neērtiem purngaliem , , spiežot pirkstus kopā , rada kas deformācijas pēdā .",[0] -> [1] -> [2] -> [3]
"Vienā no tiem , saliecies kā embrijs mātes miesās , tiek radīts Daiņa Grūbes atveidotais mākslīgais cilvēks , kurš paliek bez vārda un kuru dēvēs par Radību .","Vienā no tiem , saliecies kā embrijs mātes miesās , tiek radīts Daiņa Grūbes atveidotais mākslīgais cilvēks , paliek kurš bez vārda un kuru dēvēs par Radību .",[0] -> [1] -> [2] -> [3]
"Es esmu pārskaitusies , es ne ar vienu nevēlos runāt , es pagriežos pret sienu un klusēju , - viņi , izrādās , iedomājušies , ka tas bijis pašnāvības mēģinājums .","Es esmu pārskaitusies , es ne ar vienu nevēlos runāt , pagriežos es pret sienu un klusēju , - viņi , izrādās , iedomājušies , ka tas bijis pašnāvības mēģinājums .",[0] -> [1] -> [2] -> [3]
"Glikoze un fruktoze rodas nektāra fermentācijas procesā , kas turpinās arī burkā , tāpēc 7 % saharozes svaigā medū pēc pāris uzglabāšanas gadiem pārvērtīsies divos vienkāršajos cukuros .","Glikoze un fruktoze rodas nektāra fermentācijas procesā , turpinās kas arī burkā , tāpēc 7 % saharozes svaigā medū pēc pāris uzglabāšanas gadiem pārvērtīsies divos vienkāršajos cukuros .",[0] -> [1] -> [2] -> [3]
"Un tas parāda , ka šīs mehānisms nav pilnīgs un taisnīgs .","Un parāda tas , ka šīs mehānisms nav pilnīgs un taisnīgs .",[0] -> [1] -> [2] -> [3]
"Un ir patiešām liels pārsteigums , ka bija deputāti , kas to atbalstīja .","Un ir patiešām liels pārsteigums , ka bija deputāti , to atbalstīja kas .",[0] -> [1] -> [2] -> [3]
"Un man bija jākārto tie paši murgainie "" ideoloģiskie "" eksāmeni .","Un bija jākārto man tie paši murgainie "" ideoloģiskie "" eksāmeni .",[0] -> [1] -> [2] -> [3]
"Sofija ir spītīga , mērķtiecīga , godkārīga , apveltīta ar lielām darbaspējām un seksapīlu , un viņa zina , kā patikt pretējam dzimumam .","Sofija ir spītīga , mērķtiecīga , godkārīga , apveltīta ar lielām darbaspējām un seksapīlu , un zina viņa , kā patikt pretējam dzimumam .",[0] -> [1] -> [2] -> [3]
"Biju dzirdējis , ka šmigā zeme nāk pretī , bet nesapratu , kā tas var būt .","Biju dzirdējis , ka šmigā zeme nāk pretī , bet nesapratu , kā var tas būt .",[0] -> [1] -> [2] -> [3]
"Lidostas darbinieks man angliski kaut ko jautāja , bet es nesapratu , par ko ir runa .","Lidostas darbinieks man angliski kaut ko jautāja , bet nesapratu es , par ko ir runa .",[0] -> [1] -> [2] -> [3]
"Konservatīvā partija "" Likums un taisnīgums "" ( PiS ) izraisīja politisko krīzi decembrī , kad sāka virzīt pieņemšanai likumprojektus un reformas , kas paralizējuši konstitucionālās tiesas darbu un pastiprinājuši kontroli pār medijiem .","Konservatīvā partija "" Likums un taisnīgums "" ( PiS ) izraisīja politisko krīzi decembrī , kad sāka virzīt pieņemšanai likumprojektus un reformas , paralizējuši kas konstitucionālās tiesas darbu un pastiprinājuši kontroli pār medijiem .",[0] -> [1] -> [2] -> [3]
"Ikdienišķu lietu par "" Slēpto varoni "" padara tas , ka tā tapusi no veiksmīgas , viegli saprotamas idejas .","Ikdienišķu lietu par "" Slēpto varoni "" padara tas , ka tapusi tā no veiksmīgas , viegli saprotamas idejas .",[0] -> [1] -> [2] -> [3]
"Kad gāju prom no mūsu operas , es patiešām zināju - maizei es nopelnīšu .","Kad gāju prom no mūsu operas , es patiešām zināju - maizei nopelnīšu es .",[0] -> [1] -> [2] -> [3]
"Ja runa ir par IT kapacitāti , jāvaicā , kas notiek ar lieljaudas datu apstrādes projektu ?","Ja runa ir par IT kapacitāti , jāvaicā , notiek kas ar lieljaudas datu apstrādes projektu ?",[0] -> [1] -> [2] -> [3]
"Un es zinu , ko jūs teiksiet - nav vērts domāt par bailēm , ir jādzīvo !","Un es zinu , ko teiksiet jūs - nav vērts domāt par bailēm , ir jādzīvo !",[0] -> [1] -> [2] -> [3]
"Vai viņa patiešām nebija pilnīgi pārliecinājusies par to , ka vēstuļu kastīte palika gluži tukša , kad viņa no tās izņēma pirmo aploksni ?","Vai viņa patiešām nebija pilnīgi pārliecinājusies par to , ka vēstuļu kastīte palika gluži tukša , kad no tās izņēma viņa pirmo aploksni ?",[0] -> [1] -> [2] -> [3]
- Kas ziņo - sieva ziņo .,- ziņo Kas - sieva ziņo .,[0] -> [1] -> [2] -> [3]
"Nacionālais teātris veido izrādes visplašākajam skatītāju lokam saskaņā ar Nacionālā teātra pamatuzdevumu - nodrošināt daudzveidīgu repertuāru un diferencētu biļešu cenu politiku , kas ļauj izrādes noskatīties visiem interesentiem .","Nacionālais teātris veido izrādes visplašākajam skatītāju lokam saskaņā ar Nacionālā teātra pamatuzdevumu - nodrošināt daudzveidīgu repertuāru un diferencētu biļešu cenu politiku , ļauj kas izrādes noskatīties visiem interesentiem .",[0] -> [1] -> [2] -> [3]
"— Labi , ka vakar nolija , nebūs putekļu , — sacīja Vilnis , nogriezdamies no šosejas uz grantētā lielceļa , kas cauri diviem sīkiem ciematiņiem veda uz Mežmaļiem .","— Labi , ka vakar nolija , nebūs putekļu , — sacīja Vilnis , nogriezdamies no šosejas uz grantētā lielceļa , cauri diviem sīkiem ciematiņiem veda kas uz Mežmaļiem .",[0] -> [1] -> [2] -> [3]
Patiesībā tās tikai pieauga .,Patiesībā tikai pieauga tās .,[0] -> [1] -> [2] -> [3]
"Kaut kad novembrī tas viss pārvērtās par tādu mīcīšanos uz vietas , pēc kuras viss , kas bija solīts , pazuda un visi par to aizmirsa .","Kaut kad novembrī tas viss pārvērtās par tādu mīcīšanos uz vietas , pēc kuras viss , kas bija solīts , pazuda un par to aizmirsa visi .",[0] -> [1] -> [2] -> [3]
"Tiem , kas tur nonākuši no vidusslāņa , prātā tikai viena doma – nedod , Dievs , pazaudēt šo labi apmaksāto vietu !","Tiem , tur nonākuši kas no vidusslāņa , prātā tikai viena doma – nedod , Dievs , pazaudēt šo labi apmaksāto vietu !",[0] -> [1] -> [2] -> [3]
"Pašam bērnu nav bijis , bet māsasdēla Ludviga ģimenē viņš jūtoties ļoti labi .","Pašam bērnu nav bijis , bet māsasdēla Ludviga ģimenē jūtoties viņš ļoti labi .",[0] -> [1] -> [2] -> [3]
"Aktieri nolemj meklēt atbildes pie tautas medicīnas dziedniekiem un cilvēkiem ar savdabīgu , alternatīvu skatu uz dzīves problēmu risināšanu : tautas valodā runājot , viņi dodas pie « raganām » un veselu mēnesi apbraukā šīs « raganas » dažādās Latvijas malās .","Aktieri nolemj meklēt atbildes pie tautas medicīnas dziedniekiem un cilvēkiem ar savdabīgu , alternatīvu skatu uz dzīves problēmu risināšanu : tautas valodā runājot , dodas viņi pie « raganām » un veselu mēnesi apbraukā šīs « raganas » dažādās Latvijas malās .",[0] -> [1] -> [2] -> [3]
"Inese stāsta , ka lidsabiedrības piedāvātajā akcijā varēja iegādāties biļeti par santīmu , ko viņa nevarējusi laist garām .","Inese stāsta , ka lidsabiedrības piedāvātajā akcijā varēja iegādāties biļeti par santīmu , ko nevarējusi viņa laist garām .",[0] -> [1] -> [2] -> [3]
"Lieliska ir Inga Apine , kurai jāspēlē pozitīvais tēls – Anna .","Lieliska ir Inga Apine , jāspēlē kurai pozitīvais tēls – Anna .",[0] -> [1] -> [2] -> [3]
- Vai varu apsēsties pie tava galdiņa ? - es jautāju .,- Vai varu apsēsties pie tava galdiņa ? - jautāju es .,[0] -> [1] -> [2] -> [3]
"Nē , tu jau biji arī iepriekš , bet tagad tas ir oficiāli , tagad esi ievēlēts !","Nē , tu jau biji arī iepriekš , bet tagad ir oficiāli tas , tagad esi ievēlēts !",[0] -> [1] -> [2] -> [3]
"Taču mēs mammu un sevi mierinājām , ka ir vēl traģiskāki stāsti , ka aizgājējs nepiedzīvo ne mazbērnus vai pat bērnus , vai bērni aiziet pirms vecākiem , vientulīgi .","Taču mammu un sevi mierinājām mēs , ka ir vēl traģiskāki stāsti , ka aizgājējs nepiedzīvo ne mazbērnus vai pat bērnus , vai bērni aiziet pirms vecākiem , vientulīgi .",[0] -> [1] -> [2] -> [3]
"Kā atpestīšanu es gaidu rītu , māsa sāk iznēsāt termometrus , nāk palātā , skaļi verot durvis , iededzot lielo gaismu , skaļš « labrīt » , kā gulējām , mērām temperatūru , - samiegojušās slimnieces virina plakstus , berž acis , klepo , ieliek termometru , aizmieg .","Kā atpestīšanu gaidu es rītu , māsa sāk iznēsāt termometrus , nāk palātā , skaļi verot durvis , iededzot lielo gaismu , skaļš « labrīt » , kā gulējām , mērām temperatūru , - samiegojušās slimnieces virina plakstus , berž acis , klepo , ieliek termometru , aizmieg .",[0] -> [1] -> [2] -> [3]
"Mēs esam tie , kas pārvalda savu viedokli .","Mēs esam tie , pārvalda kas savu viedokli .",[0] -> [1] -> [2] -> [3]
