sen_str,swapped_sen_str,leaf_rule
अगले वर्ष २००० - २००१ में छह अन्य अकाली नेताओं के बच्चों को एनआरआई कोटे के तहत दाखिला दिया गया तथा बाद में उनसे सामान्य कोटे की दर से फीस की वसूली की गई ।,अगले वर्ष २००० - २००१ में एनआरआई कोटे के तहत दाखिला दिया छह अन्य अकाली नेताओं के बच्चों को गया तथा बाद में उनसे सामान्य कोटे की दर से फीस की वसूली की गई ।,[0]
पार्टी सूत्रों का कहना है कि कार्यकारिणी में राजनाथ सिंह को प्रमुखता से स्थान मिलेगा ।,पार्टी सूत्रों का कहना है कि कार्यकारिणी में प्रमुखता से स्थान मिलेगा राजनाथ सिंह को ।,[0]
इस विज्ञापन में लालू प्रसाद ने मतदाताओं को यह बताने की कोशिश की है कि वह मुस्लिमों और पिछड़ी जातियों के असल हमदर्द हैं ।,इस विज्ञापन में लालू प्रसाद ने यह बताने मतदाताओं को की कोशिश की है कि वह मुस्लिमों और पिछड़ी जातियों के असल हमदर्द हैं ।,[0]
"वह स्वस्थ हो गया और 11 अप्रेल को उसे अस्पताल से छुट्टी मिल गयी , वह हत्या के एक प्रयास में गोली लगने के बाद जिन्दा बचने वाला पहला सेवारत अमेरिकी राष्ट्रपति बन गया ।","वह स्वस्थ हो गया और 11 अप्रेल को अस्पताल से छुट्टी मिल उसे गयी , वह हत्या के एक प्रयास में गोली लगने के बाद जिन्दा बचने वाला पहला सेवारत अमेरिकी राष्ट्रपति बन गया ।",[0]
समाधान प्रस्ताव को सम्मेलन में पारित करवाकर उसे प्रधानमंत्री सरदार मनमोहन सिंह को इस आशय से सौंपा जाएगा कि भारत सरकार उच्चतम न्यायालय में याचिका पर समाधान प्रक्रिया सुनिश्चित कर सके ।,समाधान प्रस्ताव को सम्मेलन में पारित करवाकर उसे इस आशय से सौंपा प्रधानमंत्री सरदार मनमोहन सिंह को जाएगा कि भारत सरकार उच्चतम न्यायालय में याचिका पर समाधान प्रक्रिया सुनिश्चित कर सके ।,[0]
सरकारी सूत्रों के मुताबिक भारत सरकार ने बंगलादेश को संवाद भेजा है कि प्रधानमंत्री मनमोहन सिंह १३ मई को संसद सत्र के समापन के बाद सम्मेलन में शिरकत कर सकते हैं ।,सरकारी सूत्रों के मुताबिक भारत सरकार ने संवाद भेजा बंगलादेश को है कि प्रधानमंत्री मनमोहन सिंह १३ मई को संसद सत्र के समापन के बाद सम्मेलन में शिरकत कर सकते हैं ।,[0]
कामथ की रिपोर्ट के बाद कोकिलाबेन बेटों से दो - दो बार मिलने के अलावा पुत्रियों दीप्ति व नीना और उनके पतियों से भी अलग - अलग बात कर चुकी हैं ।,कामथ की रिपोर्ट के बाद कोकिलाबेन दो - दो बार मिलने बेटों से के अलावा पुत्रियों दीप्ति व नीना और उनके पतियों से भी अलग - अलग बात कर चुकी हैं ।,[0]
अदालत ने खुले मतदान की नई प्रक्रिया व संबंधित राज्य का निवासी होने की बाध्यता खत्म करने को चुनौती देने वाली एक याचिका के आधार पर चुनाव आयोग को पक्षकार बनाते हुए उसे नोटिस जारी कर दिया ।,अदालत ने खुले मतदान की नई प्रक्रिया व संबंधित राज्य का निवासी होने की बाध्यता खत्म करने को चुनौती देने वाली एक याचिका के आधार पर चुनाव आयोग को पक्षकार बनाते हुए नोटिस जारी कर उसे दिया ।,[0]
बात - चीत के दौरान बांग्लादेश ने स्पष्ट किया कि उनके यहाँ अगस्त में हुए विस्फोट में भारत की कथित लिता की मीडिया की रिपोर्ट वास्तव में उसकी सरकार के पक्ष को उजागर नहीं करती ।,बात - चीत के दौरान बांग्लादेश ने स्पष्ट किया कि उनके यहाँ अगस्त में हुए विस्फोट में भारत की कथित लिता की मीडिया की रिपोर्ट वास्तव में उजागर नहीं करती उसकी सरकार के पक्ष को ।,[0]
यहां बृहस्पतिवार को पत्रकारों के साथ बातचीत में पुलिस की विशेष सुरक्षा शाखा के अधिकारी ने बताया कि विहिप मुख्यालय को गुजराती भाषा में लिखा हुआ पोस्ट - कार्ड मिला है जो ११ जून को लिखा गया ।,यहां बृहस्पतिवार को पत्रकारों के साथ बातचीत में पुलिस की विशेष सुरक्षा शाखा के अधिकारी ने बताया कि गुजराती भाषा में लिखा हुआ पोस्ट - कार्ड मिला विहिप मुख्यालय को है जो ११ जून को लिखा गया ।,[0]
