sen_str,swapped_sen_str,leaf_rule
"საინჟინრო საქმის საფუძველი ა მეცნიერული ცოდნა და პრაქტიკული გამოცდილება , რომელსაც იყენებენ გარკვეული საგნების და ტექნოლოგიური პროცესების დაპროექტებისა და შექმნისა თვის .","საინჟინრო საქმის საფუძველი ა მეცნიერული ცოდნა და პრაქტიკული გამოცდილება , იყენებენ რომელსაც გარკვეული საგნების და ტექნოლოგიური პროცესების დაპროექტებისა და შექმნისა თვის .",[0] -> [1] -> [5]
"მას უყვარს თავისი დედიკო , რომელსაც სულ პატარაობი დან იცნობს .","მას უყვარს თავისი დედიკო , სულ პატარაობი დან იცნობს რომელსაც .",[0] -> [1] -> [5]
"და იმის გან , რაც მან ჩაიდინა და გაგებით კი ვერავინ ვერაფერი გაუგო .","და იმის გან , მან ჩაიდინა რაც და გაგებით კი ვერავინ ვერაფერი გაუგო .",[0] -> [1] -> [5]
"თანამედროვე კაპიტალისტურ ფილოსოფია ში ამ ტერმინით აღნიშნავენ აგრეთვე ეთიკის იდეალისტურ სისტემებს , რომლებსაც ძირითადი მორალური ნორმების დოგმატიკურობის პრინციპები უდევს საფუძვლად .","თანამედროვე კაპიტალისტურ ფილოსოფია ში ამ ტერმინით აღნიშნავენ აგრეთვე ეთიკის იდეალისტურ სისტემებს , ძირითადი მორალური ნორმების დოგმატიკურობის პრინციპები უდევს რომლებსაც საფუძვლად .",[0] -> [1] -> [5]
"აგრონომიული მომსახურება — ღონისძიებათა სისტემა , რომელსაც მიწათმოქმედების კულტურის ასამაღლებლად ატარებენ სამიწათმოქმედო ორგანოები და სოფლის მეურნეობის სპეციალისტები .","აგრონომიული მომსახურება — ღონისძიებათა სისტემა , მიწათმოქმედების კულტურის ასამაღლებლად ატარებენ რომელსაც სამიწათმოქმედო ორგანოები და სოფლის მეურნეობის სპეციალისტები .",[0] -> [1] -> [5]
"იქ , მაღაზია ში , საკიდ ზე ჩამოკიდებული გაშლილი კაბა ისე მიმზიდველი იყო , ისე თვალისმომჭრელი , ისე კარგად ადგა ტან ზე , ახლა კი ის ჰგავს დაჭმუჭნილ ჩვარს , რომელსაც დედა თვალებით ჭამს .","იქ , მაღაზია ში , საკიდ ზე ჩამოკიდებული გაშლილი კაბა ისე მიმზიდველი იყო , ისე თვალისმომჭრელი , ისე კარგად ადგა ტან ზე , ახლა კი ის ჰგავს დაჭმუჭნილ ჩვარს , დედა თვალებით ჭამს რომელსაც .",[0] -> [1] -> [5]
"გამომძიებლის განმარტება : თუ დანაშაული არ შეიცავს პოლიტიკურ ან წოდებრივ მოტივს , ანუ ისეთ კრიმინალს , რომელსაც კანონი ტერორისტულ აქტად მიიჩნევს , მაშინ ბოროტმოქმედება კვალიფიცირებულ იქნება , როგორც წინასწარგანზრახული , მაგრამ შეუსრულებული მკვლელობა ან ჭრილობის მიყენება ჯანმრთელობის თვის მძიმე შედეგებით .","გამომძიებლის განმარტება : თუ დანაშაული არ შეიცავს პოლიტიკურ ან წოდებრივ მოტივს , ანუ ისეთ კრიმინალს , კანონი ტერორისტულ აქტად მიიჩნევს რომელსაც , მაშინ ბოროტმოქმედება კვალიფიცირებულ იქნება , როგორც წინასწარგანზრახული , მაგრამ შეუსრულებული მკვლელობა ან ჭრილობის მიყენება ჯანმრთელობის თვის მძიმე შედეგებით .",[0] -> [1] -> [5]
"ექვსი-შვიდი წლისამ ამ კაცისა მხოლოდ ის ვიცოდი , რასაც ვხედავდი : თავისი სარდაფი დან იმ საათებ ში , როცა ეზო ში ვთამაშობდი , იშვიათად ამოდიოდა .","ექვსი-შვიდი წლისამ ამ კაცისა მხოლოდ ის ვიცოდი , ვხედავდი რასაც : თავისი სარდაფი დან იმ საათებ ში , როცა ეზო ში ვთამაშობდი , იშვიათად ამოდიოდა .",[0] -> [1] -> [5]
"ის წინამორბედი ჟურნალი ა „ ტექნიკა და ცხოვრება “ ( 1925-1929 ) , რომელსაც შემდეგ ერქვა „ ტექნიკა და შრომა “ ( 1929-1936 ) , „ ტექნიკა “ ( 1936-1941 ) .","ის წინამორბედი ჟურნალი ა „ ტექნიკა და ცხოვრება “ ( 1925-1929 ) , შემდეგ ერქვა რომელსაც „ ტექნიკა და შრომა “ ( 1929-1936 ) , „ ტექნიკა “ ( 1936-1941 ) .",[0] -> [1] -> [5]
"„ ეს იმა ზე მეტი ა , რაც მე დამემართა ო ” , და ჭამა-სმა ზე უარი აღარ უთქვამს .","„ ეს იმა ზე მეტი ა , მე დამემართა რაც ო ” , და ჭამა-სმა ზე უარი აღარ უთქვამს .",[0] -> [1] -> [5]
"მქნევარა , ( მქნევარა თვალი ) — მასიური მრგვალი დეტალი , რომელსაც აყენებენ მანქანის წამყვან ლილვ ზე მისი ბრუნვის უთანაბრობის შესამცირებლად მოძრაობის დამყარებული რეჟიმის დროს .","მქნევარა , ( მქნევარა თვალი ) — მასიური მრგვალი დეტალი , აყენებენ რომელსაც მანქანის წამყვან ლილვ ზე მისი ბრუნვის უთანაბრობის შესამცირებლად მოძრაობის დამყარებული რეჟიმის დროს .",[0] -> [1] -> [5]
"ჯერ კიდევ XX საუკუნის სამოციან წლებ ში გეოლოგიური სამართველოს ჰიდროგეოლოგიურ ქვედანაყოფ ში საფუძველი ჩაეყარა კვლევებს მელიორაციული ჰიდროგეოლოგიის მიმართულებით , რომელსაც აწარმოებდნენ ენთუზიასტი სპეციალისტები , საქართველოს დამსახურებული გეოლოგი გიორგი ( გოგი ) მარტაშვილი და გივი გოგინაშვილი .","ჯერ კიდევ XX საუკუნის სამოციან წლებ ში გეოლოგიური სამართველოს ჰიდროგეოლოგიურ ქვედანაყოფ ში საფუძველი ჩაეყარა კვლევებს მელიორაციული ჰიდროგეოლოგიის მიმართულებით , აწარმოებდნენ რომელსაც ენთუზიასტი სპეციალისტები , საქართველოს დამსახურებული გეოლოგი გიორგი ( გოგი ) მარტაშვილი და გივი გოგინაშვილი .",[0] -> [1] -> [5]
"მილისი — მანქანების , მექანიზმების , ხელსაწყოების ან ცილინდრული ან კონუსური ფორმის ( ღერძული სიმეტრიით ) საგნის დეტალი , რომელსაც გააჩნია ღერძული ხვრელი .","მილისი — მანქანების , მექანიზმების , ხელსაწყოების ან ცილინდრული ან კონუსური ფორმის ( ღერძული სიმეტრიით ) საგნის დეტალი , გააჩნია რომელსაც ღერძული ხვრელი .",[0] -> [1] -> [5]
"ნივთიერი ძეგლების მოსაპოვებლად ტარდება არქეოლოგიური გათხრები , რომლებსაც ჩვეულებრივ წინ უძღვის არქეოლოგიური დაზვერვა .","ნივთიერი ძეგლების მოსაპოვებლად ტარდება არქეოლოგიური გათხრები , ჩვეულებრივ წინ უძღვის რომლებსაც არქეოლოგიური დაზვერვა .",[0] -> [1] -> [5]
"მთელი ეს ფიქრი იმ მედლის ორ მხარეს ჰგავდა , რომელსაც სოფი აქეთ-იქით ატრიალებდა .","მთელი ეს ფიქრი იმ მედლის ორ მხარეს ჰგავდა , სოფი აქეთ-იქით ატრიალებდა რომელსაც .",[0] -> [1] -> [5]
"ფართო გაგებით , შეიარაღების კონტროლი სათავეს იღებს განიარაღების სფერო ში არსებული სახელმწიფოების პრაქტიკი დან , რომელსაც XX საუკუნის განმავლობა ში ჰქონდა ადგილი .","ფართო გაგებით , შეიარაღების კონტროლი სათავეს იღებს განიარაღების სფერო ში არსებული სახელმწიფოების პრაქტიკი დან , XX საუკუნის განმავლობა ში ჰქონდა რომელსაც ადგილი .",[0] -> [1] -> [5]
"იმ დროის თვის ეს კანონი აღმოჩნდა ერთადერთ აქტად , რომელსაც კონსტიტუციის გარეშე დარჩენილ ქვეყანა ში შეეძლო გაეწია ძირითადი კანონის მაგივრობა .","იმ დროის თვის ეს კანონი აღმოჩნდა ერთადერთ აქტად , კონსტიტუციის გარეშე დარჩენილ ქვეყანა ში შეეძლო რომელსაც გაეწია ძირითადი კანონის მაგივრობა .",[0] -> [1] -> [5]
"მაგრამ არის კიდევ რაღაც , რაც ასევე სჭირდება ყველას : გაგება იმისა , თუ ვინ ვართ და რატომ ვარსებობთ .","მაგრამ არის კიდევ რაღაც , ასევე სჭირდება რაც ყველას : გაგება იმისა , თუ ვინ ვართ და რატომ ვარსებობთ .",[0] -> [1] -> [5]
