sen_str,swapped_sen_str,leaf_rule
"Pochopil som to , keď som prišiel na koniec schodišťa a stretol som suseda z prízemia .","to Pochopil som , keď som prišiel na koniec schodišťa a stretol som suseda z prízemia .",[0] -> [1] -> [19]
"Nezničil som ich , iba som ich ukryl .","ich Nezničil som , iba som ich ukryl .",[0] -> [1] -> [19]
Vzal som ho a vypil až do dna .,ho Vzal som a vypil až do dna .,[0] -> [1] -> [19]
""" Zradila som ťa , "" povedala bez okolkov .",""" ťa Zradila som , "" povedala bez okolkov .",[0] -> [1] -> [19]
Otvoril som ju .,ju Otvoril som .,[0] -> [1] -> [19]
"Pravdu povediac , nemala som to v úmysle .","Pravdu povediac , to nemala som v úmysle .",[0] -> [1] -> [19]
Našli sme ich ?,ich Našli sme ?,[0] -> [1] -> [19]
Vytrhol som mu ho a opäť som ho vypil až do dna .,ho Vytrhol som mu a opäť som ho vypil až do dna .,[0] -> [1] -> [19]
Zistila som to až po jej smrti .,to Zistila som až po jej smrti .,[0] -> [1] -> [19]
"Očakávala som niečo iné , ona však nevyslovila jedinú výčitku .","niečo iné Očakávala som , ona však nevyslovila jedinú výčitku .",[0] -> [1] -> [19]
"Dozvedel som sa to , keď som sa vrátil domov a ešte predtým urobil jeden pokus .","to Dozvedel som sa , keď som sa vrátil domov a ešte predtým urobil jeden pokus .",[0] -> [1] -> [19]
"Povedal : "" Hľadal som vás a teraz ste vy našli mňa .","Povedal : "" vás Hľadal som a teraz ste vy našli mňa .",[0] -> [1] -> [19]
Odháňal som ho !,ho Odháňal som !,[0] -> [1] -> [19]
Nepovedal som jej to .,to Nepovedal som jej .,[0] -> [1] -> [19]
"Nekúpila som ho , povedala , priniesla som ti ho .","ho Nekúpila som , povedala , priniesla som ti ho .",[0] -> [1] -> [19]
"Do toho , do toho , do toho , povzbudzovala som sa v duchu , cítiac , ako mi pulzuje celé telo .","Do toho , do toho , do toho , sa povzbudzovala som v duchu , cítiac , ako mi pulzuje celé telo .",[0] -> [1] -> [19]
Očakával som ich .,ich Očakával som .,[0] -> [1] -> [19]
Nevyháňala som ho .,ho Nevyháňala som .,[0] -> [1] -> [19]
Dotkol som sa jej .,jej Dotkol som sa .,[0] -> [1] -> [19]
"Poznala som aj všelijaké iné historky , podozvedala som sa ich , keď k mame chodili na návštevu ženy .","Poznala som aj všelijaké iné historky , ich podozvedala som sa , keď k mame chodili na návštevu ženy .",[0] -> [1] -> [19]
"Prepáčila by mi to , aj keby vedela , že som to odkladala kvôli nočnému astronomickému klubu s Chrisom ?","to Prepáčila by mi , aj keby vedela , že som to odkladala kvôli nočnému astronomickému klubu s Chrisom ?",[0] -> [1] -> [19]
Uvidel som ju veľmi rýchlo .,ju Uvidel som veľmi rýchlo .,[0] -> [1] -> [19]
"Nekúpila som ho , povedala , priniesla som ti ho .","Nekúpila som ho , povedala , ho priniesla som ti .",[0] -> [1] -> [19]
Rozmyslel som si to .,to Rozmyslel som si .,[0] -> [1] -> [19]
Robili sme to v mori a ja som necítil váhu Soninho tela .,to Robili sme v mori a ja som necítil váhu Soninho tela .,[0] -> [1] -> [19]
Vytrhla som Blythe fotoaparát a odfotila som ich .,Vytrhla som Blythe fotoaparát a ich odfotila som .,[0] -> [1] -> [19]
“ Zachránil som nás ! “,“ nás Zachránil som ! “,[0] -> [1] -> [19]
Nechal som ho deň predtým na hotelovej recepcii .,ho Nechal som deň predtým na hotelovej recepcii .,[0] -> [1] -> [19]
“ Dokázal som to ! “ zvolal .,“ to Dokázal som ! “ zvolal .,[0] -> [1] -> [19]
""" Nezabil som ju .",""" ju Nezabil som .",[0] -> [1] -> [19]
Pobozkala som ju na líce a odišla do svojej izby .,ju Pobozkala som na líce a odišla do svojej izby .,[0] -> [1] -> [19]
Nechal som ju vzlykať .,ju Nechal som vzlykať .,[0] -> [1] -> [19]
Pozrela som na neho a šťastne sa usmiala .,na neho Pozrela som a šťastne sa usmiala .,[0] -> [1] -> [19]
“ Našla si ju ? “ spýtal sa Chris .,“ ju Našla si ? “ spýtal sa Chris .,[0] -> [1] -> [19]
"Zazrela som ho , keď vystrkoval z obloženia svoj odporný rypák .","ho Zazrela som , keď vystrkoval z obloženia svoj odporný rypák .",[0] -> [1] -> [19]
Našiel som ju .,ju Našiel som .,[0] -> [1] -> [19]
Vybral som peniaze a podal som mu ich .,Vybral som peniaze a ich podal som mu .,[0] -> [1] -> [19]
Myslel som to úprimne .,to Myslel som úprimne .,[0] -> [1] -> [19]
Robievali sme to vždy postojačky .,to Robievali sme vždy postojačky .,[0] -> [1] -> [19]
"Stretol som ju , keď som odchádzal z kvetu .","ju Stretol som , keď som odchádzal z kvetu .",[0] -> [1] -> [19]
Mával som ich už dlhšie .,ich Mával som už dlhšie .,[0] -> [1] -> [19]
Nespýtala som sa ho to .,to Nespýtala som sa ho .,[0] -> [1] -> [19]
“ Videl som ťa v bazéne a mal som sa ti vyhnúť .,“ ťa Videl som v bazéne a mal som sa ti vyhnúť .,[0] -> [1] -> [19]
Tvrdil som to stále .,to Tvrdil som stále .,[0] -> [1] -> [19]
"“ Skoro všetky sú mamine , “ opravila som ho rýchlo .","“ Skoro všetky sú mamine , “ ho opravila som rýchlo .",[0] -> [1] -> [19]
"Hoci bývali naproti , vídala som ich zriedka .","Hoci bývali naproti , ich vídala som zriedka .",[0] -> [1] -> [19]
Pohladkal som ho a veru ani sa nehol .,ho Pohladkal som a veru ani sa nehol .,[0] -> [1] -> [19]
Poslúchol som ju a podišiel k oknu .,ju Poslúchol som a podišiel k oknu .,[0] -> [1] -> [19]
"Sledoval som ju pohľadom , až kým sa nestratila v dave .","ju Sledoval som pohľadom , až kým sa nestratila v dave .",[0] -> [1] -> [19]
Nevedel som to .,to Nevedel som .,[0] -> [1] -> [19]
"“ Zachránil som ťa pred riekou , ale čo si teraz s tebou počnem ?","“ ťa Zachránil som pred riekou , ale čo si teraz s tebou počnem ?",[0] -> [1] -> [19]
"Poznali sme ho podľa klopania , boli to tri ľahké údery .","ho Poznali sme podľa klopania , boli to tri ľahké údery .",[0] -> [1] -> [19]
Nepovedal som jej nič .,nič Nepovedal som jej .,[0] -> [1] -> [19]
"Nevedel som dešifrovať jej pohľad , neprečítal som v ňom nič .","Nevedel som dešifrovať jej pohľad , nič neprečítal som v ňom .",[0] -> [1] -> [19]
“ Našiel si ju ? “ spytovala sa zlá víla .,“ ju Našiel si ? “ spytovala sa zlá víla .,[0] -> [1] -> [19]
“ Videla som ju zblízka .,“ ju Videla som zblízka .,[0] -> [1] -> [19]
“ No . . . napísal som ho dobre .,“ No . . . ho napísal som dobre .,[0] -> [1] -> [19]
"“ Psst , “ umlčala som ju a ukázala na obývačku , kde mama čítala noviny .","“ Psst , “ ju umlčala som a ukázala na obývačku , kde mama čítala noviny .",[0] -> [1] -> [19]
Objal som ju .,ju Objal som .,[0] -> [1] -> [19]
Videla som to na tebe ! “,to Videla som na tebe ! “,[0] -> [1] -> [19]
Chytila som ho za ruku .,ho Chytila som za ruku .,[0] -> [1] -> [19]
Zlomili sme ťa .,ťa Zlomili sme .,[0] -> [1] -> [19]
"Kým svetlo stihlo zmiznúť , upozornil som na neho taxikára .","Kým svetlo stihlo zmiznúť , na neho upozornil som taxikára .",[0] -> [1] -> [19]
Zdvihol som ho .,ho Zdvihol som .,[0] -> [1] -> [19]
“ Sledovala som ho na chate . “,“ ho Sledovala som na chate . “,[0] -> [1] -> [19]
""" Nezabil som ju .",""" ju Nezabil som .",[0] -> [1] -> [19]
Spoznal som ich .,ich Spoznal som .,[0] -> [1] -> [19]
Pobozkal som ju na obidve líca .,ju Pobozkal som na obidve líca .,[0] -> [1] -> [19]
